Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
552402,552403,1999107S12090,SI,MM,HAMISH,-11.5,89.5,25,0,1999,4,17,1999/04/17 04:00:00+00
552403,552404,1999107S12090,SI,MM,HAMISH,-11.12,89.95,25,0,1999,4,17,1999/04/17 04:00:00+00
552404,552405,1999107S12090,SI,WA,HAMISH,-10.8,90.3,25,0,1999,4,17,1999/04/17 04:00:00+00
552405,552406,1999107S12090,SI,WA,HAMISH,-10.56,90.49,25,0,1999,4,17,1999/04/17 04:00:00+00
552406,552407,1999107S12090,SI,WA,HAMISH,-10.3,90.6,25,0,1999,4,17,1999/04/17 04:00:00+00
552407,552408,1999107S12090,SI,WA,HAMISH,-9.87,90.71,25,0,1999,4,17,1999/04/17 04:00:00+00
552408,552409,1999107S12090,SI,WA,HAMISH,-9.4,90.8,25,0,1999,4,17,1999/04/17 04:00:00+00
552409,552410,1999107S12090,SI,WA,HAMISH,-8.96,90.89,25,0,1999,4,17,1999/04/17 04:00:00+00
552410,552411,1999107S12090,SI,WA,HAMISH,-8.6,91.0,25,0,1999,4,18,1999/04/18 04:00:00+00
552411,552412,1999107S12090,SI,WA,HAMISH,-8.36,91.19,25,0,1999,4,18,1999/04/18 04:00:00+00
552412,552413,1999107S12090,SI,WA,HAMISH,-8.2,91.4,25,0,1999,4,18,1999/04/18 04:00:00+00
552413,552414,1999107S12090,SI,WA,HAMISH,-8.04,91.6,25,0,1999,4,18,1999/04/18 04:00:00+00
552414,552415,1999107S12090,SI,WA,HAMISH,-8.0,91.8,25,0,1999,4,18,1999/04/18 04:00:00+00
552415,552416,1999107S12090,SI,WA,HAMISH,-8.13,92.02,25,0,1999,4,18,1999/04/18 04:00:00+00
552416,552417,1999107S12090,SI,WA,HAMISH,-8.4,92.2,25,0,1999,4,18,1999/04/18 04:00:00+00
552417,552418,1999107S12090,SI,WA,HAMISH,-8.76,92.32,25,0,1999,4,18,1999/04/18 04:00:00+00
552418,552419,1999107S12090,SI,WA,HAMISH,-9.1,92.4,25,0,1999,4,19,1999/04/19 04:00:00+00
552419,552420,1999107S12090,SI,WA,HAMISH,-9.29,92.46,25,0,1999,4,19,1999/04/19 04:00:00+00
552420,552421,1999107S12090,SI,WA,HAMISH,-9.27,92.57,25,0,1999,4,19,1999/04/19 04:00:00+00
552421,552422,1999107S12090,SI,WA,HAMISH,-9.22,92.6,30,0,1999,4,19,1999/04/19 04:00:00+00
552422,552423,1999107S12090,SI,WA,HAMISH,-9.3,92.72,31,0,1999,4,19,1999/04/19 04:00:00+00
552423,552424,1999107S12090,SI,WA,HAMISH,-9.43,92.78,35,0,1999,4,19,1999/04/19 04:00:00+00
552424,552425,1999107S12090,SI,WA,HAMISH,-9.6,92.84,35,0,1999,4,19,1999/04/19 04:00:00+00
552425,552426,1999107S12090,SI,WA,HAMISH,-9.89,92.91,35,0,1999,4,19,1999/04/19 04:00:00+00
552426,552427,1999107S12090,SI,WA,HAMISH,-10.0,92.93,35,0,1999,4,19,1999/04/19 04:00:00+00
552427,552428,1999107S12090,SI,WA,HAMISH,-10.25,93.01,35,0,1999,4,19,1999/04/19 04:00:00+00
552428,552429,1999107S12090,SI,WA,HAMISH,-10.39,93.05,35,0,1999,4,19,1999/04/19 04:00:00+00
552429,552430,1999107S12090,SI,WA,HAMISH,-10.73,93.14,35,0,1999,4,19,1999/04/19 04:00:00+00
552430,552431,1999107S12090,SI,WA,HAMISH,-10.92,93.19,35,0,1999,4,19,1999/04/19 04:00:00+00
