Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
433181,433182,1982259N15202,EP,CP,HANA,14.7,-158.0,30,0,1982,9,15,1982/09/15 04:00:00+00
433182,433183,1982259N15202,EP,CP,HANA,14.91,-158.17,32,0,1982,9,15,1982/09/15 04:00:00+00
433183,433184,1982259N15202,EP,CP,HANA,15.1,-158.3,35,0,1982,9,16,1982/09/16 04:00:00+00
433184,433185,1982259N15202,EP,CP,HANA,15.26,-158.36,35,0,1982,9,16,1982/09/16 04:00:00+00
433185,433186,1982259N15202,EP,CP,HANA,15.41,-158.42,35,0,1982,9,16,1982/09/16 04:00:00+00
433186,433187,1982259N15202,EP,CP,HANA,15.55,-158.55,37,0,1982,9,16,1982/09/16 04:00:00+00
433187,433188,1982259N15202,EP,CP,HANA,15.7,-158.7,40,0,1982,9,16,1982/09/16 04:00:00+00
433188,433189,1982259N15202,EP,CP,HANA,15.91,-158.85,37,0,1982,9,16,1982/09/16 04:00:00+00
433189,433190,1982259N15202,EP,CP,HANA,16.05,-159.01,35,0,1982,9,16,1982/09/16 04:00:00+00
433190,433191,1982259N15202,EP,CP,HANA,15.97,-159.21,35,0,1982,9,16,1982/09/16 04:00:00+00
433191,433192,1982259N15202,EP,CP,HANA,15.8,-159.4,35,0,1982,9,17,1982/09/17 04:00:00+00
433192,433193,1982259N15202,EP,CP,HANA,15.66,-159.52,35,0,1982,9,17,1982/09/17 04:00:00+00
433193,433194,1982259N15202,EP,CP,HANA,15.52,-159.61,35,0,1982,9,17,1982/09/17 04:00:00+00
433194,433195,1982259N15202,EP,CP,HANA,15.41,-159.71,35,0,1982,9,17,1982/09/17 04:00:00+00
433195,433196,1982259N15202,EP,CP,HANA,15.3,-159.8,35,0,1982,9,17,1982/09/17 04:00:00+00
433196,433197,1982259N15202,EP,CP,HANA,15.11,-159.91,35,0,1982,9,17,1982/09/17 04:00:00+00
433197,433198,1982259N15202,EP,CP,HANA,14.93,-159.99,35,0,1982,9,17,1982/09/17 04:00:00+00
433198,433199,1982259N15202,EP,CP,HANA,14.87,-160.01,35,0,1982,9,17,1982/09/17 04:00:00+00
433199,433200,1982259N15202,EP,CP,HANA,14.86,-160.02,35,0,1982,9,18,1982/09/18 04:00:00+00
433200,433201,1982259N15202,EP,CP,HANA,14.85,-160.02,32,0,1982,9,18,1982/09/18 04:00:00+00
433201,433202,1982259N15202,EP,CP,HANA,14.84,-160.02,30,0,1982,9,18,1982/09/18 04:00:00+00
433202,433203,1982259N15202,EP,CP,HANA,14.86,-160.0,30,0,1982,9,18,1982/09/18 04:00:00+00
433203,433204,1982259N15202,EP,CP,HANA,14.78,-160.08,30,0,1982,9,18,1982/09/18 04:00:00+00
433204,433205,1982259N15202,EP,CP,HANA,14.47,-160.32,30,0,1982,9,18,1982/09/18 04:00:00+00
433205,433206,1982259N15202,EP,CP,HANA,14.06,-160.68,30,0,1982,9,18,1982/09/18 04:00:00+00
433206,433207,1982259N15202,EP,CP,HANA,13.71,-161.08,30,0,1982,9,18,1982/09/18 04:00:00+00
