Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
236962,236963,1952206N09134,WP,MM,HARRIET,9.0,134.0,0,0,1952,7,23,1952/07/23 04:00:00+00
236963,236964,1952206N09134,WP,MM,HARRIET,9.1,133.67,0,0,1952,7,23,1952/07/23 04:00:00+00
236964,236965,1952206N09134,WP,MM,HARRIET,9.1,133.47,0,0,1952,7,24,1952/07/24 04:00:00+00
236965,236966,1952206N09134,WP,MM,HARRIET,9.16,133.12,0,0,1952,7,24,1952/07/24 04:00:00+00
236966,236967,1952206N09134,WP,MM,HARRIET,9.29,132.8,0,0,1952,7,24,1952/07/24 04:00:00+00
236967,236968,1952206N09134,WP,MM,HARRIET,9.56,132.51,0,0,1952,7,24,1952/07/24 04:00:00+00
236968,236969,1952206N09134,WP,MM,HARRIET,9.95,132.25,0,0,1952,7,24,1952/07/24 04:00:00+00
236969,236970,1952206N09134,WP,MM,HARRIET,10.34,132.08,0,0,1952,7,24,1952/07/24 04:00:00+00
236970,236971,1952206N09134,WP,MM,HARRIET,10.75,132.0,0,0,1952,7,24,1952/07/24 04:00:00+00
236971,236972,1952206N09134,WP,MM,HARRIET,11.19,131.99,0,0,1952,7,24,1952/07/24 04:00:00+00
236972,236973,1952206N09134,WP,MM,HARRIET,11.65,132.0,0,0,1952,7,25,1952/07/25 04:00:00+00
236973,236974,1952206N09134,WP,MM,HARRIET,12.12,131.97,0,0,1952,7,25,1952/07/25 04:00:00+00
236974,236975,1952206N09134,WP,MM,HARRIET,12.6,131.9,0,0,1952,7,25,1952/07/25 04:00:00+00
236975,236976,1952206N09134,WP,MM,HARRIET,13.08,131.79,0,0,1952,7,25,1952/07/25 04:00:00+00
236976,236977,1952206N09134,WP,MM,HARRIET,13.55,131.65,0,0,1952,7,25,1952/07/25 04:00:00+00
236977,236978,1952206N09134,WP,MM,HARRIET,13.99,131.51,0,0,1952,7,25,1952/07/25 04:00:00+00
236978,236979,1952206N09134,WP,MM,HARRIET,14.4,131.35,0,0,1952,7,25,1952/07/25 04:00:00+00
236979,236980,1952206N09134,WP,MM,HARRIET,14.79,131.17,0,0,1952,7,25,1952/07/25 04:00:00+00
236980,236981,1952206N09134,WP,MM,HARRIET,15.07,129.8,30,0,1952,7,26,1952/07/26 04:00:00+00
236981,236982,1952206N09134,WP,MM,HARRIET,15.26,129.01,30,0,1952,7,26,1952/07/26 04:00:00+00
236982,236983,1952206N09134,WP,MM,HARRIET,15.43,128.46,30,0,1952,7,26,1952/07/26 04:00:00+00
236983,236984,1952206N09134,WP,MM,HARRIET,15.6,128.04,32,0,1952,7,26,1952/07/26 04:00:00+00
236984,236985,1952206N09134,WP,MM,HARRIET,15.78,127.82,35,0,1952,7,26,1952/07/26 04:00:00+00
236985,236986,1952206N09134,WP,MM,HARRIET,15.94,127.56,35,0,1952,7,26,1952/07/26 04:00:00+00
236986,236987,1952206N09134,WP,MM,HARRIET,16.07,127.27,35,0,1952,7,26,1952/07/26 04:00:00+00
236987,236988,1952206N09134,WP,MM,HARRIET,16.17,126.99,37,0,1952,7,26,1952/07/26 04:00:00+00
236988,236989,1952206N09134,WP,MM,HARRIET,16.28,126.7,40,0,1952,7,27,1952/07/27 04:00:00+00
236989,236990,1952206N09134,WP,MM,HARRIET,16.43,126.39,45,0,1952,7,27,1952/07/27 04:00:00+00
236990,236991,1952206N09134,WP,MM,HARRIET,16.59,126.06,50,0,1952,7,27,1952/07/27 04:00:00+00
236991,236992,1952206N09134,WP,MM,HARRIET,16.75,125.69,55,0,1952,7,27,1952/07/27 04:00:00+00
236992,236993,1952206N09134,WP,MM,HARRIET,16.9,125.32,60,0,1952,7,27,1952/07/27 04:00:00+00
236993,236994,1952206N09134,WP,MM,HARRIET,17.03,124.98,60,0,1952,7,27,1952/07/27 04:00:00+00
236994,236995,1952206N09134,WP,MM,HARRIET,17.17,124.68,60,0,1952,7,27,1952/07/27 04:00:00+00
236995,236996,1952206N09134,WP,MM,HARRIET,17.33,124.44,62,0,1952,7,27,1952/07/27 04:00:00+00
236996,236997,1952206N09134,WP,MM,HARRIET,17.6,124.15,65,0,1952,7,28,1952/07/28 04:00:00+00
236997,236998,1952206N09134,WP,MM,HARRIET,18.09,123.72,65,0,1952,7,28,1952/07/28 04:00:00+00
236998,236999,1952206N09134,WP,MM,HARRIET,18.64,123.21,65,0,1952,7,28,1952/07/28 04:00:00+00
236999,237000,1952206N09134,WP,MM,HARRIET,19.08,122.7,67,0,1952,7,28,1952/07/28 04:00:00+00
237000,237001,1952206N09134,WP,MM,HARRIET,19.43,122.13,70,0,1952,7,28,1952/07/28 04:00:00+00
237001,237002,1952206N09134,WP,MM,HARRIET,19.67,121.48,75,0,1952,7,28,1952/07/28 04:00:00+00
237002,237003,1952206N09134,WP,MM,HARRIET,19.86,120.78,80,0,1952,7,28,1952/07/28 04:00:00+00
237003,237004,1952206N09134,WP,MM,HARRIET,20.06,120.12,82,0,1952,7,28,1952/07/28 04:00:00+00
237004,237005,1952206N09134,WP,MM,HARRIET,20.37,119.47,85,0,1952,7,29,1952/07/29 04:00:00+00
237005,237006,1952206N09134,WP,MM,HARRIET,20.91,118.84,87,0,1952,7,29,1952/07/29 04:00:00+00
237006,237007,1952206N09134,WP,MM,HARRIET,21.54,118.19,90,0,1952,7,29,1952/07/29 04:00:00+00
237007,237008,1952206N09134,WP,MM,HARRIET,22.09,117.5,95,0,1952,7,29,1952/07/29 04:00:00+00
237008,237009,1952206N09134,WP,MM,HARRIET,22.65,116.73,100,0,1952,7,29,1952/07/29 04:00:00+00
237009,237010,1952206N09134,WP,MM,HARRIET,23.24,115.84,95,0,1952,7,29,1952/07/29 04:00:00+00
237010,237011,1952206N09134,WP,MM,HARRIET,23.77,114.87,90,0,1952,7,29,1952/07/29 04:00:00+00
237011,237012,1952206N09134,WP,MM,HARRIET,24.23,113.89,75,0,1952,7,29,1952/07/29 04:00:00+00
237012,237013,1952206N09134,WP,MM,HARRIET,24.62,112.9,60,0,1952,7,30,1952/07/30 04:00:00+00
237013,237014,1952206N09134,WP,MM,HARRIET,24.69,111.94,0,0,1952,7,30,1952/07/30 04:00:00+00
237014,237015,1952206N09134,WP,MM,HARRIET,25.08,110.88,0,0,1952,7,30,1952/07/30 04:00:00+00
237015,237016,1952206N09134,WP,MM,HARRIET,25.52,109.65,0,0,1952,7,30,1952/07/30 04:00:00+00
237016,237017,1952206N09134,WP,MM,HARRIET,25.8,108.7,0,0,1952,7,30,1952/07/30 04:00:00+00
237017,237018,1952206N09134,WP,MM,HARRIET,26.01,107.72,0,0,1952,7,30,1952/07/30 04:00:00+00
237018,237019,1952206N09134,WP,MM,HARRIET,26.2,106.7,0,0,1952,7,30,1952/07/30 04:00:00+00
237019,237020,1952206N09134,WP,MM,HARRIET,26.4,105.62,0,0,1952,7,30,1952/07/30 04:00:00+00
257569,257570,1956263N15142,WP,MM,HARRIET,15.2,142.3,0,0,1956,9,19,1956/09/19 04:00:00+00
257570,257571,1956263N15142,WP,MM,HARRIET,15.17,142.14,0,0,1956,9,19,1956/09/19 04:00:00+00
257571,257572,1956263N15142,WP,MM,HARRIET,15.4,142.13,25,0,1956,9,19,1956/09/19 04:00:00+00
257572,257573,1956263N15142,WP,MM,HARRIET,15.38,141.95,25,0,1956,9,19,1956/09/19 04:00:00+00
257573,257574,1956263N15142,WP,MM,HARRIET,15.38,141.78,25,0,1956,9,19,1956/09/19 04:00:00+00
257574,257575,1956263N15142,WP,MM,HARRIET,15.33,141.61,25,0,1956,9,19,1956/09/19 04:00:00+00
257575,257576,1956263N15142,WP,MM,HARRIET,15.24,141.4,25,0,1956,9,19,1956/09/19 04:00:00+00
257576,257577,1956263N15142,WP,MM,HARRIET,15.19,141.15,25,0,1956,9,19,1956/09/19 04:00:00+00
257577,257578,1956263N15142,WP,MM,HARRIET,15.13,140.9,25,0,1956,9,20,1956/09/20 04:00:00+00
257578,257579,1956263N15142,WP,MM,HARRIET,15.07,140.69,25,0,1956,9,20,1956/09/20 04:00:00+00
257579,257580,1956263N15142,WP,MM,HARRIET,14.99,140.44,25,0,1956,9,20,1956/09/20 04:00:00+00
257580,257581,1956263N15142,WP,MM,HARRIET,14.89,140.09,25,0,1956,9,20,1956/09/20 04:00:00+00
257581,257582,1956263N15142,WP,MM,HARRIET,14.8,139.67,25,0,1956,9,20,1956/09/20 04:00:00+00
257582,257583,1956263N15142,WP,MM,HARRIET,14.72,139.24,25,0,1956,9,20,1956/09/20 04:00:00+00
257583,257584,1956263N15142,WP,MM,HARRIET,14.67,138.8,25,0,1956,9,20,1956/09/20 04:00:00+00
