Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
425951,425952,1981255N14311,,,HARVEY,14.0,-49.0,25,1009,1981,9,11,1981/09/11 04:00:00+00
425952,425953,1981255N14311,,,HARVEY,14.66,-49.82,25,1007,1981,9,11,1981/09/11 04:00:00+00
425953,425954,1981255N14311,,,HARVEY,15.4,-50.7,25,1006,1981,9,12,1981/09/12 04:00:00+00
425954,425955,1981255N14311,,,HARVEY,16.26,-51.68,25,1004,1981,9,12,1981/09/12 04:00:00+00
425955,425956,1981255N14311,,,HARVEY,17.1,-52.7,25,1003,1981,9,12,1981/09/12 04:00:00+00
425956,425957,1981255N14311,,,HARVEY,17.8,-53.73,27,1002,1981,9,12,1981/09/12 04:00:00+00
425957,425958,1981255N14311,,,HARVEY,18.4,-54.7,30,1001,1981,9,12,1981/09/12 04:00:00+00
425958,425959,1981255N14311,,,HARVEY,18.94,-55.54,35,998,1981,9,12,1981/09/12 04:00:00+00
425959,425960,1981255N14311,,,HARVEY,19.4,-56.3,40,995,1981,9,12,1981/09/12 04:00:00+00
425960,425961,1981255N14311,,,HARVEY,19.8,-57.06,55,992,1981,9,12,1981/09/12 04:00:00+00
425961,425962,1981255N14311,,,HARVEY,20.2,-57.8,70,990,1981,9,13,1981/09/13 04:00:00+00
425962,425963,1981255N14311,,,HARVEY,20.68,-58.57,70,987,1981,9,13,1981/09/13 04:00:00+00
425963,425964,1981255N14311,,,HARVEY,21.2,-59.3,70,985,1981,9,13,1981/09/13 04:00:00+00
425964,425965,1981255N14311,,,HARVEY,21.71,-60.0,72,984,1981,9,13,1981/09/13 04:00:00+00
425965,425966,1981255N14311,,,HARVEY,22.2,-60.6,75,983,1981,9,13,1981/09/13 04:00:00+00
425966,425967,1981255N14311,,,HARVEY,22.65,-61.05,77,981,1981,9,13,1981/09/13 04:00:00+00
425967,425968,1981255N14311,,,HARVEY,23.1,-61.4,80,980,1981,9,13,1981/09/13 04:00:00+00
425968,425969,1981255N14311,,,HARVEY,23.58,-61.72,82,979,1981,9,13,1981/09/13 04:00:00+00
425969,425970,1981255N14311,,,HARVEY,24.1,-62.0,85,978,1981,9,14,1981/09/14 04:00:00+00
425970,425971,1981255N14311,,,HARVEY,24.64,-62.28,87,977,1981,9,14,1981/09/14 04:00:00+00
425971,425972,1981255N14311,,,HARVEY,25.2,-62.5,90,976,1981,9,14,1981/09/14 04:00:00+00
425972,425973,1981255N14311,,,HARVEY,25.79,-62.63,92,968,1981,9,14,1981/09/14 04:00:00+00
425973,425974,1981255N14311,,,HARVEY,26.4,-62.7,95,960,1981,9,14,1981/09/14 04:00:00+00
425974,425975,1981255N14311,,,HARVEY,27.03,-62.78,102,956,1981,9,14,1981/09/14 04:00:00+00
425975,425976,1981255N14311,,,HARVEY,27.6,-62.8,110,952,1981,9,14,1981/09/14 04:00:00+00
425976,425977,1981255N14311,,,HARVEY,28.01,-62.73,112,949,1981,9,14,1981/09/14 04:00:00+00
425977,425978,1981255N14311,,,HARVEY,28.4,-62.6,115,946,1981,9,15,1981/09/15 04:00:00+00
