Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
663085,663086,2017232N19130,WP,MM,HATO,19.1,130.1,0,0,2017,8,19,2017/08/19 04:00:00+00
663086,663087,2017232N19130,WP,MM,HATO,19.27,129.58,0,0,2017,8,19,2017/08/19 04:00:00+00
663087,663088,2017232N19130,WP,MM,HATO,19.23,129.22,0,0,2017,8,19,2017/08/19 04:00:00+00
663088,663089,2017232N19130,WP,MM,HATO,19.34,128.82,0,0,2017,8,19,2017/08/19 04:00:00+00
663089,663090,2017232N19130,WP,MM,HATO,19.46,128.43,0,0,2017,8,20,2017/08/20 04:00:00+00
663090,663091,2017232N19130,WP,MM,HATO,19.59,128.02,0,0,2017,8,20,2017/08/20 04:00:00+00
663091,663092,2017232N19130,WP,MM,HATO,19.71,127.53,20,1007,2017,8,20,2017/08/20 04:00:00+00
663092,663093,2017232N19130,WP,MM,HATO,19.75,127.12,22,1005,2017,8,20,2017/08/20 04:00:00+00
663093,663094,2017232N19130,WP,MM,HATO,19.72,126.7,25,1004,2017,8,20,2017/08/20 04:00:00+00
663094,663095,2017232N19130,WP,MM,HATO,19.73,126.32,27,1002,2017,8,20,2017/08/20 04:00:00+00
663095,663096,2017232N19130,WP,MM,HATO,19.81,125.95,30,1000,2017,8,20,2017/08/20 04:00:00+00
663096,663097,2017232N19130,WP,MM,HATO,19.95,125.59,30,1000,2017,8,20,2017/08/20 04:00:00+00
663097,663098,2017232N19130,WP,MM,HATO,20.12,125.15,30,1000,2017,8,21,2017/08/21 04:00:00+00
663098,663099,2017232N19130,WP,MM,HATO,20.29,124.68,32,998,2017,8,21,2017/08/21 04:00:00+00
663099,663100,2017232N19130,WP,MM,HATO,20.4,124.15,35,996,2017,8,21,2017/08/21 04:00:00+00
663100,663101,2017232N19130,WP,MM,HATO,20.43,123.57,40,992,2017,8,21,2017/08/21 04:00:00+00
663101,663102,2017232N19130,WP,MM,HATO,20.38,122.9,45,989,2017,8,21,2017/08/21 04:00:00+00
663102,663103,2017232N19130,WP,MM,HATO,20.22,122.09,45,989,2017,8,21,2017/08/21 04:00:00+00
663103,663104,2017232N19130,WP,MM,HATO,20.1,121.28,45,989,2017,8,21,2017/08/21 04:00:00+00
663104,663105,2017232N19130,WP,MM,HATO,20.14,120.6,47,987,2017,8,21,2017/08/21 04:00:00+00
663105,663106,2017232N19130,WP,MM,HATO,20.25,119.97,50,985,2017,8,22,2017/08/22 04:00:00+00
663106,663107,2017232N19130,WP,MM,HATO,20.37,119.35,55,983,2017,8,22,2017/08/22 04:00:00+00
663107,663108,2017232N19130,WP,MM,HATO,20.48,118.7,60,981,2017,8,22,2017/08/22 04:00:00+00
663108,663109,2017232N19130,WP,MM,HATO,20.5,117.98,67,974,2017,8,22,2017/08/22 04:00:00+00
663109,663110,2017232N19130,WP,MM,HATO,20.57,117.33,75,967,2017,8,22,2017/08/22 04:00:00+00
663110,663111,2017232N19130,WP,MM,HATO,20.78,116.67,77,965,2017,8,22,2017/08/22 04:00:00+00
663111,663112,2017232N19130,WP,MM,HATO,21.05,115.97,80,963,2017,8,22,2017/08/22 04:00:00+00
663112,663113,2017232N19130,WP,MM,HATO,21.27,115.23,85,959,2017,8,22,2017/08/22 04:00:00+00
663113,663114,2017232N19130,WP,MM,HATO,21.52,114.47,90,956,2017,8,23,2017/08/23 04:00:00+00
663114,663115,2017232N19130,WP,MM,HATO,21.89,113.68,100,948,2017,8,23,2017/08/23 04:00:00+00
663115,663116,2017232N19130,WP,MM,HATO,22.18,112.85,85,964,2017,8,23,2017/08/23 04:00:00+00
663116,663117,2017232N19130,WP,MM,HATO,22.43,111.92,72,971,2017,8,23,2017/08/23 04:00:00+00
663117,663118,2017232N19130,WP,MM,HATO,22.68,110.95,60,978,2017,8,23,2017/08/23 04:00:00+00
663118,663119,2017232N19130,WP,MM,HATO,22.93,110.01,52,983,2017,8,23,2017/08/23 04:00:00+00
663119,663120,2017232N19130,WP,MM,HATO,23.15,109.12,45,989,2017,8,23,2017/08/23 04:00:00+00
663120,663121,2017232N19130,WP,MM,HATO,23.32,108.32,40,992,2017,8,23,2017/08/23 04:00:00+00
663121,663122,2017232N19130,WP,MM,HATO,23.45,107.58,35,996,2017,8,24,2017/08/24 04:00:00+00
663122,663123,2017232N19130,WP,MM,HATO,23.58,106.87,32,998,2017,8,24,2017/08/24 04:00:00+00
663123,663124,2017232N19130,WP,MM,HATO,23.68,106.18,30,1000,2017,8,24,2017/08/24 04:00:00+00
663124,663125,2017232N19130,WP,MM,HATO,23.74,105.49,25,1003,2017,8,24,2017/08/24 04:00:00+00
663125,663126,2017232N19130,WP,MM,HATO,23.76,104.71,20,1007,2017,8,24,2017/08/24 04:00:00+00
663126,663127,2017232N19130,WP,MM,HATO,23.73,103.64,0,0,2017,8,24,2017/08/24 04:00:00+00
663127,663128,2017232N19130,WP,MM,HATO,23.7,102.35,0,0,2017,8,24,2017/08/24 04:00:00+00
663128,663129,2017232N19130,WP,MM,HATO,23.67,101.01,0,0,2017,8,24,2017/08/24 04:00:00+00
