Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
218635,218636,1948246N15134,WP,MM,HAZEL,14.8,133.7,60,0,1948,9,2,1948/09/02 04:00:00+00
218636,218637,1948246N15134,WP,MM,HAZEL,14.83,133.26,60,0,1948,9,2,1948/09/02 04:00:00+00
218637,218638,1948246N15134,WP,MM,HAZEL,14.9,132.8,60,0,1948,9,2,1948/09/02 04:00:00+00
218638,218639,1948246N15134,WP,MM,HAZEL,15.04,132.31,60,0,1948,9,2,1948/09/02 04:00:00+00
218639,218640,1948246N15134,WP,MM,HAZEL,15.2,131.78,60,0,1948,9,2,1948/09/02 04:00:00+00
218640,218641,1948246N15134,WP,MM,HAZEL,15.34,131.22,62,0,1948,9,2,1948/09/02 04:00:00+00
218641,218642,1948246N15134,WP,MM,HAZEL,15.5,130.7,65,0,1948,9,3,1948/09/03 04:00:00+00
218642,218643,1948246N15134,WP,MM,HAZEL,15.69,130.28,67,0,1948,9,3,1948/09/03 04:00:00+00
218643,218644,1948246N15134,WP,MM,HAZEL,15.89,129.88,70,0,1948,9,3,1948/09/03 04:00:00+00
218644,218645,1948246N15134,WP,MM,HAZEL,16.09,129.45,70,0,1948,9,3,1948/09/03 04:00:00+00
218645,218646,1948246N15134,WP,MM,HAZEL,16.3,129.0,70,0,1948,9,3,1948/09/03 04:00:00+00
218646,218647,1948246N15134,WP,MM,HAZEL,16.54,128.51,70,0,1948,9,3,1948/09/03 04:00:00+00
218647,218648,1948246N15134,WP,MM,HAZEL,16.81,128.03,70,0,1948,9,3,1948/09/03 04:00:00+00
218648,218649,1948246N15134,WP,MM,HAZEL,17.1,127.61,70,0,1948,9,3,1948/09/03 04:00:00+00
218649,218650,1948246N15134,WP,MM,HAZEL,17.4,127.2,70,0,1948,9,4,1948/09/04 04:00:00+00
218650,218651,1948246N15134,WP,MM,HAZEL,17.7,126.75,72,0,1948,9,4,1948/09/04 04:00:00+00
218651,218652,1948246N15134,WP,MM,HAZEL,17.98,126.31,75,0,1948,9,4,1948/09/04 04:00:00+00
218652,218653,1948246N15134,WP,MM,HAZEL,18.23,125.91,75,0,1948,9,4,1948/09/04 04:00:00+00
218653,218654,1948246N15134,WP,MM,HAZEL,18.5,125.5,75,0,1948,9,4,1948/09/04 04:00:00+00
218654,218655,1948246N15134,WP,MM,HAZEL,18.83,125.05,75,0,1948,9,4,1948/09/04 04:00:00+00
218655,218656,1948246N15134,WP,MM,HAZEL,19.2,124.59,75,0,1948,9,4,1948/09/04 04:00:00+00
218656,218657,1948246N15134,WP,MM,HAZEL,19.58,124.13,75,0,1948,9,4,1948/09/04 04:00:00+00
218657,218658,1948246N15134,WP,MM,HAZEL,20.0,123.7,75,0,1948,9,5,1948/09/05 04:00:00+00
218658,218659,1948246N15134,WP,MM,HAZEL,20.48,123.32,77,0,1948,9,5,1948/09/05 04:00:00+00
218659,218660,1948246N15134,WP,MM,HAZEL,20.99,123.0,80,0,1948,9,5,1948/09/05 04:00:00+00
218660,218661,1948246N15134,WP,MM,HAZEL,21.49,122.72,80,0,1948,9,5,1948/09/05 04:00:00+00
218661,218662,1948246N15134,WP,MM,HAZEL,22.0,122.5,80,0,1948,9,5,1948/09/05 04:00:00+00
218662,218663,1948246N15134,WP,MM,HAZEL,22.5,122.32,80,0,1948,9,5,1948/09/05 04:00:00+00
218663,218664,1948246N15134,WP,MM,HAZEL,23.01,122.19,80,0,1948,9,5,1948/09/05 04:00:00+00
218664,218665,1948246N15134,WP,MM,HAZEL,23.56,122.07,75,0,1948,9,5,1948/09/05 04:00:00+00
218665,218666,1948246N15134,WP,MM,HAZEL,24.1,122.0,70,0,1948,9,6,1948/09/06 04:00:00+00
218666,218667,1948246N15134,WP,MM,HAZEL,24.56,121.97,70,0,1948,9,6,1948/09/06 04:00:00+00
218667,218668,1948246N15134,WP,MM,HAZEL,25.03,121.99,70,0,1948,9,6,1948/09/06 04:00:00+00
218668,218669,1948246N15134,WP,MM,HAZEL,25.6,122.02,65,0,1948,9,6,1948/09/06 04:00:00+00
218669,218670,1948246N15134,WP,MM,HAZEL,26.2,122.1,60,0,1948,9,6,1948/09/06 04:00:00+00
218670,218671,1948246N15134,WP,MM,HAZEL,26.75,122.23,60,0,1948,9,6,1948/09/06 04:00:00+00
218671,218672,1948246N15134,WP,MM,HAZEL,27.31,122.41,60,0,1948,9,6,1948/09/06 04:00:00+00
