Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
427365,427366,1981317N14153,WP,MM,HAZEN,13.8,153.3,15,0,1981,11,12,1981/11/12 05:00:00+00
427366,427367,1981317N14153,WP,MM,HAZEN,13.99,152.98,15,0,1981,11,12,1981/11/12 05:00:00+00
427367,427368,1981317N14153,WP,MM,HAZEN,14.16,152.64,15,0,1981,11,12,1981/11/12 05:00:00+00
427368,427369,1981317N14153,WP,MM,HAZEN,14.29,152.27,15,0,1981,11,12,1981/11/12 05:00:00+00
427369,427370,1981317N14153,WP,MM,HAZEN,14.5,151.86,15,0,1981,11,13,1981/11/13 05:00:00+00
427370,427371,1981317N14153,WP,MM,HAZEN,14.67,151.44,17,0,1981,11,13,1981/11/13 05:00:00+00
427371,427372,1981317N14153,WP,MM,HAZEN,14.8,151.0,20,0,1981,11,13,1981/11/13 05:00:00+00
427372,427373,1981317N14153,WP,MM,HAZEN,14.91,150.59,22,0,1981,11,13,1981/11/13 05:00:00+00
427373,427374,1981317N14153,WP,MM,HAZEN,15.02,150.22,25,0,1981,11,13,1981/11/13 05:00:00+00
427374,427375,1981317N14153,WP,MM,HAZEN,15.16,149.83,27,0,1981,11,13,1981/11/13 05:00:00+00
427375,427376,1981317N14153,WP,MM,HAZEN,15.3,149.45,30,0,1981,11,13,1981/11/13 05:00:00+00
427376,427377,1981317N14153,WP,MM,HAZEN,15.43,149.1,30,0,1981,11,13,1981/11/13 05:00:00+00
427377,427378,1981317N14153,WP,MM,HAZEN,15.52,148.78,30,0,1981,11,14,1981/11/14 05:00:00+00
427378,427379,1981317N14153,WP,MM,HAZEN,15.57,148.52,30,0,1981,11,14,1981/11/14 05:00:00+00
427379,427380,1981317N14153,WP,MM,HAZEN,15.6,148.31,30,0,1981,11,14,1981/11/14 05:00:00+00
427380,427381,1981317N14153,WP,MM,HAZEN,15.64,148.12,32,0,1981,11,14,1981/11/14 05:00:00+00
427381,427382,1981317N14153,WP,MM,HAZEN,15.66,147.9,35,0,1981,11,14,1981/11/14 05:00:00+00
427382,427383,1981317N14153,WP,MM,HAZEN,15.64,147.6,35,0,1981,11,14,1981/11/14 05:00:00+00
427383,427384,1981317N14153,WP,MM,HAZEN,15.59,147.24,35,0,1981,11,14,1981/11/14 05:00:00+00
427384,427385,1981317N14153,WP,MM,HAZEN,15.5,146.83,40,0,1981,11,14,1981/11/14 05:00:00+00
427385,427386,1981317N14153,WP,MM,HAZEN,15.36,146.36,45,0,1981,11,15,1981/11/15 05:00:00+00
427386,427387,1981317N14153,WP,MM,HAZEN,15.17,145.85,50,0,1981,11,15,1981/11/15 05:00:00+00
427387,427388,1981317N14153,WP,MM,HAZEN,14.92,145.29,55,0,1981,11,15,1981/11/15 05:00:00+00
427388,427389,1981317N14153,WP,MM,HAZEN,14.6,144.71,57,0,1981,11,15,1981/11/15 05:00:00+00
427389,427390,1981317N14153,WP,MM,HAZEN,14.28,144.06,60,0,1981,11,15,1981/11/15 05:00:00+00
427390,427391,1981317N14153,WP,MM,HAZEN,14.01,143.33,62,0,1981,11,15,1981/11/15 05:00:00+00
427391,427392,1981317N14153,WP,MM,HAZEN,13.78,142.53,65,0,1981,11,15,1981/11/15 05:00:00+00
