Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
327394,327395,1967293N21306,,,HEIDI,20.5,-54.0,25,0,1967,10,19,1967/10/19 04:00:00+00
327395,327396,1967293N21306,,,HEIDI,20.6,-54.75,27,0,1967,10,19,1967/10/19 04:00:00+00
327396,327397,1967293N21306,,,HEIDI,20.7,-55.5,30,0,1967,10,19,1967/10/19 04:00:00+00
327397,327398,1967293N21306,,,HEIDI,20.81,-56.25,32,0,1967,10,19,1967/10/19 04:00:00+00
327398,327399,1967293N21306,,,HEIDI,20.9,-57.0,35,0,1967,10,20,1967/10/20 04:00:00+00
327399,327400,1967293N21306,,,HEIDI,20.96,-57.75,37,0,1967,10,20,1967/10/20 04:00:00+00
327400,327401,1967293N21306,,,HEIDI,21.0,-58.5,40,0,1967,10,20,1967/10/20 04:00:00+00
327401,327402,1967293N21306,,,HEIDI,21.03,-59.25,42,0,1967,10,20,1967/10/20 04:00:00+00
327402,327403,1967293N21306,,,HEIDI,21.1,-60.0,45,0,1967,10,20,1967/10/20 04:00:00+00
327403,327404,1967293N21306,,,HEIDI,21.22,-60.76,47,0,1967,10,20,1967/10/20 04:00:00+00
327404,327405,1967293N21306,,,HEIDI,21.4,-61.5,50,0,1967,10,20,1967/10/20 04:00:00+00
327405,327406,1967293N21306,,,HEIDI,21.63,-62.22,50,0,1967,10,20,1967/10/20 04:00:00+00
327406,327407,1967293N21306,,,HEIDI,21.9,-62.9,50,0,1967,10,21,1967/10/21 04:00:00+00
327407,327408,1967293N21306,,,HEIDI,22.13,-63.52,50,0,1967,10,21,1967/10/21 04:00:00+00
327408,327409,1967293N21306,,,HEIDI,22.4,-64.1,50,0,1967,10,21,1967/10/21 04:00:00+00
327409,327410,1967293N21306,,,HEIDI,22.74,-64.67,50,0,1967,10,21,1967/10/21 04:00:00+00
327410,327411,1967293N21306,,,HEIDI,23.2,-65.2,50,0,1967,10,21,1967/10/21 04:00:00+00
327411,327412,1967293N21306,,,HEIDI,23.81,-65.68,50,0,1967,10,21,1967/10/21 04:00:00+00
327412,327413,1967293N21306,,,HEIDI,24.5,-66.1,50,1005,1967,10,21,1967/10/21 04:00:00+00
327413,327414,1967293N21306,,,HEIDI,25.16,-66.5,52,0,1967,10,21,1967/10/21 04:00:00+00
327414,327415,1967293N21306,,,HEIDI,25.8,-66.8,55,0,1967,10,22,1967/10/22 04:00:00+00
327415,327416,1967293N21306,,,HEIDI,26.36,-66.97,55,0,1967,10,22,1967/10/22 04:00:00+00
327416,327417,1967293N21306,,,HEIDI,26.9,-67.0,55,0,1967,10,22,1967/10/22 04:00:00+00
327417,327418,1967293N21306,,,HEIDI,27.48,-67.0,55,0,1967,10,22,1967/10/22 04:00:00+00
327418,327419,1967293N21306,,,HEIDI,28.1,-66.8,55,1006,1967,10,22,1967/10/22 04:00:00+00
327419,327420,1967293N21306,,,HEIDI,28.74,-66.31,55,1006,1967,10,22,1967/10/22 04:00:00+00
327420,327421,1967293N21306,,,HEIDI,29.4,-65.6,55,1006,1967,10,22,1967/10/22 04:00:00+00
327421,327422,1967293N21306,,,HEIDI,30.06,-64.86,60,1000,1967,10,22,1967/10/22 04:00:00+00
327422,327423,1967293N21306,,,HEIDI,30.7,-64.0,65,995,1967,10,23,1967/10/23 04:00:00+00
327423,327424,1967293N21306,,,HEIDI,31.34,-63.03,65,994,1967,10,23,1967/10/23 04:00:00+00
327424,327425,1967293N21306,,,HEIDI,31.9,-62.0,65,994,1967,10,23,1967/10/23 04:00:00+00
327425,327426,1967293N21306,,,HEIDI,32.37,-61.0,65,994,1967,10,23,1967/10/23 04:00:00+00
327426,327427,1967293N21306,,,HEIDI,32.7,-60.0,65,994,1967,10,23,1967/10/23 04:00:00+00
327427,327428,1967293N21306,,,HEIDI,32.85,-58.98,67,993,1967,10,23,1967/10/23 04:00:00+00
327428,327429,1967293N21306,,,HEIDI,32.9,-58.0,70,992,1967,10,23,1967/10/23 04:00:00+00
327429,327430,1967293N21306,,,HEIDI,32.96,-57.08,70,0,1967,10,23,1967/10/23 04:00:00+00
327430,327431,1967293N21306,,,HEIDI,33.0,-56.2,70,0,1967,10,24,1967/10/24 04:00:00+00
327431,327432,1967293N21306,,,HEIDI,33.01,-55.33,67,0,1967,10,24,1967/10/24 04:00:00+00
327432,327433,1967293N21306,,,HEIDI,33.0,-54.5,65,0,1967,10,24,1967/10/24 04:00:00+00
327433,327434,1967293N21306,,,HEIDI,33.0,-53.69,65,0,1967,10,24,1967/10/24 04:00:00+00
327434,327435,1967293N21306,,,HEIDI,33.0,-52.9,65,999,1967,10,24,1967/10/24 04:00:00+00
327435,327436,1967293N21306,,,HEIDI,32.98,-52.07,65,997,1967,10,24,1967/10/24 04:00:00+00
327436,327437,1967293N21306,,,HEIDI,33.0,-51.3,65,995,1967,10,24,1967/10/24 04:00:00+00
327437,327438,1967293N21306,,,HEIDI,33.11,-50.64,67,0,1967,10,24,1967/10/24 04:00:00+00
327438,327439,1967293N21306,,,HEIDI,33.3,-50.1,70,0,1967,10,25,1967/10/25 04:00:00+00
327439,327440,1967293N21306,,,HEIDI,33.52,-49.67,70,0,1967,10,25,1967/10/25 04:00:00+00
327440,327441,1967293N21306,,,HEIDI,33.8,-49.3,70,0,1967,10,25,1967/10/25 04:00:00+00
327441,327442,1967293N21306,,,HEIDI,34.15,-48.91,72,0,1967,10,25,1967/10/25 04:00:00+00
327442,327443,1967293N21306,,,HEIDI,34.5,-48.5,75,988,1967,10,25,1967/10/25 04:00:00+00
327443,327444,1967293N21306,,,HEIDI,34.78,-48.06,75,987,1967,10,25,1967/10/25 04:00:00+00
327444,327445,1967293N21306,,,HEIDI,35.0,-47.6,75,986,1967,10,25,1967/10/25 04:00:00+00
327445,327446,1967293N21306,,,HEIDI,35.17,-47.11,75,0,1967,10,25,1967/10/25 04:00:00+00
327446,327447,1967293N21306,,,HEIDI,35.3,-46.7,75,0,1967,10,26,1967/10/26 04:00:00+00
327447,327448,1967293N21306,,,HEIDI,35.45,-46.45,75,0,1967,10,26,1967/10/26 04:00:00+00
327448,327449,1967293N21306,,,HEIDI,35.6,-46.3,75,0,1967,10,26,1967/10/26 04:00:00+00
327449,327450,1967293N21306,,,HEIDI,35.75,-46.16,75,0,1967,10,26,1967/10/26 04:00:00+00
327450,327451,1967293N21306,,,HEIDI,35.9,-46.1,75,985,1967,10,26,1967/10/26 04:00:00+00
327451,327452,1967293N21306,,,HEIDI,36.05,-46.13,75,983,1967,10,26,1967/10/26 04:00:00+00
327452,327453,1967293N21306,,,HEIDI,36.2,-46.2,75,981,1967,10,26,1967/10/26 04:00:00+00
327453,327454,1967293N21306,,,HEIDI,36.36,-46.25,75,0,1967,10,26,1967/10/26 04:00:00+00
327454,327455,1967293N21306,,,HEIDI,36.5,-46.3,75,0,1967,10,27,1967/10/27 04:00:00+00
327455,327456,1967293N21306,,,HEIDI,36.6,-46.37,72,0,1967,10,27,1967/10/27 04:00:00+00
327456,327457,1967293N21306,,,HEIDI,36.7,-46.4,70,0,1967,10,27,1967/10/27 04:00:00+00
327457,327458,1967293N21306,,,HEIDI,36.83,-46.38,67,0,1967,10,27,1967/10/27 04:00:00+00
327458,327459,1967293N21306,,,HEIDI,37.0,-46.3,65,991,1967,10,27,1967/10/27 04:00:00+00
