Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
208353,208354,1945242N15136,WP,MM,HELEN,14.5,135.5,25,0,1945,8,29,1945/08/29 04:00:00+00
208354,208355,1945242N15136,WP,MM,HELEN,14.5,135.26,27,0,1945,8,29,1945/08/29 04:00:00+00
208355,208356,1945242N15136,WP,MM,HELEN,14.49,135.04,30,0,1945,8,29,1945/08/29 04:00:00+00
208356,208357,1945242N15136,WP,MM,HELEN,14.49,134.83,32,0,1945,8,29,1945/08/29 04:00:00+00
208357,208358,1945242N15136,WP,MM,HELEN,14.5,134.5,35,0,1945,8,30,1945/08/30 04:00:00+00
208358,208359,1945242N15136,WP,MM,HELEN,14.53,133.92,37,0,1945,8,30,1945/08/30 04:00:00+00
208359,208360,1945242N15136,WP,MM,HELEN,14.62,133.23,40,0,1945,8,30,1945/08/30 04:00:00+00
208360,208361,1945242N15136,WP,MM,HELEN,14.79,132.6,40,0,1945,8,30,1945/08/30 04:00:00+00
208361,208362,1945242N15136,WP,MM,HELEN,15.0,132.0,40,0,1945,8,30,1945/08/30 04:00:00+00
208362,208363,1945242N15136,WP,MM,HELEN,15.19,131.47,42,0,1945,8,30,1945/08/30 04:00:00+00
208363,208364,1945242N15136,WP,MM,HELEN,15.42,130.98,45,0,1945,8,30,1945/08/30 04:00:00+00
208364,208365,1945242N15136,WP,MM,HELEN,15.7,130.47,45,0,1945,8,30,1945/08/30 04:00:00+00
208365,208366,1945242N15136,WP,MM,HELEN,16.0,130.0,45,0,1945,8,31,1945/08/31 04:00:00+00
208366,208367,1945242N15136,WP,MM,HELEN,16.25,129.63,47,0,1945,8,31,1945/08/31 04:00:00+00
208367,208368,1945242N15136,WP,MM,HELEN,16.49,129.29,50,0,1945,8,31,1945/08/31 04:00:00+00
208368,208369,1945242N15136,WP,MM,HELEN,16.73,128.92,55,0,1945,8,31,1945/08/31 04:00:00+00
208369,208370,1945242N15136,WP,MM,HELEN,17.0,128.5,60,0,1945,8,31,1945/08/31 04:00:00+00
208370,208371,1945242N15136,WP,MM,HELEN,17.33,128.01,62,0,1945,8,31,1945/08/31 04:00:00+00
208371,208372,1945242N15136,WP,MM,HELEN,17.7,127.5,65,0,1945,8,31,1945/08/31 04:00:00+00
208372,208373,1945242N15136,WP,MM,HELEN,18.09,127.0,67,0,1945,8,31,1945/08/31 04:00:00+00
208373,208374,1945242N15136,WP,MM,HELEN,18.5,126.5,70,0,1945,9,1,1945/09/01 04:00:00+00
208374,208375,1945242N15136,WP,MM,HELEN,18.9,126.0,75,0,1945,9,1,1945/09/01 04:00:00+00
208375,208376,1945242N15136,WP,MM,HELEN,19.29,125.49,80,0,1945,9,1,1945/09/01 04:00:00+00
208376,208377,1945242N15136,WP,MM,HELEN,19.65,124.98,82,0,1945,9,1,1945/09/01 04:00:00+00
208377,208378,1945242N15136,WP,MM,HELEN,20.0,124.5,85,0,1945,9,1,1945/09/01 04:00:00+00
208378,208379,1945242N15136,WP,MM,HELEN,20.35,124.08,90,0,1945,9,1,1945/09/01 04:00:00+00
208379,208380,1945242N15136,WP,MM,HELEN,20.7,123.69,95,0,1945,9,1,1945/09/01 04:00:00+00
208380,208381,1945242N15136,WP,MM,HELEN,21.08,123.33,100,0,1945,9,1,1945/09/01 04:00:00+00
208381,208382,1945242N15136,WP,MM,HELEN,21.5,123.0,105,0,1945,9,2,1945/09/02 04:00:00+00
208382,208383,1945242N15136,WP,MM,HELEN,21.98,122.73,105,0,1945,9,2,1945/09/02 04:00:00+00
208383,208384,1945242N15136,WP,MM,HELEN,22.5,122.49,105,0,1945,9,2,1945/09/02 04:00:00+00
208384,208385,1945242N15136,WP,MM,HELEN,23.02,122.25,97,0,1945,9,2,1945/09/02 04:00:00+00
208385,208386,1945242N15136,WP,MM,HELEN,23.5,122.0,90,0,1945,9,2,1945/09/02 04:00:00+00
208386,208387,1945242N15136,WP,MM,HELEN,23.88,121.75,82,0,1945,9,2,1945/09/02 04:00:00+00
208387,208388,1945242N15136,WP,MM,HELEN,24.23,121.5,75,0,1945,9,2,1945/09/02 04:00:00+00
208388,208389,1945242N15136,WP,MM,HELEN,24.63,121.25,67,0,1945,9,2,1945/09/02 04:00:00+00
208389,208390,1945242N15136,WP,MM,HELEN,25.0,121.0,60,0,1945,9,3,1945/09/03 04:00:00+00
208390,208391,1945242N15136,WP,MM,HELEN,25.28,120.75,55,0,1945,9,3,1945/09/03 04:00:00+00
208391,208392,1945242N15136,WP,MM,HELEN,25.52,120.51,50,0,1945,9,3,1945/09/03 04:00:00+00
208392,208393,1945242N15136,WP,MM,HELEN,25.78,120.28,50,0,1945,9,3,1945/09/03 04:00:00+00
208393,208394,1945242N15136,WP,MM,HELEN,26.0,120.0,50,0,1945,9,3,1945/09/03 04:00:00+00
208394,208395,1945242N15136,WP,MM,HELEN,26.12,119.62,47,0,1945,9,3,1945/09/03 04:00:00+00
208395,208396,1945242N15136,WP,MM,HELEN,26.21,119.21,45,0,1945,9,3,1945/09/03 04:00:00+00
