Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
413383,413384,1979258N20273,,CS,HENRI,20.3,-86.8,25,1003,1979,9,15,1979/09/15 04:00:00+00
413384,413385,1979258N20273,,CS,HENRI,20.9,-86.83,25,1003,1979,9,15,1979/09/15 04:00:00+00
413385,413386,1979258N20273,,CS,HENRI,21.5,-86.9,25,1003,1979,9,15,1979/09/15 04:00:00+00
413386,413387,1979258N20273,,GM,HENRI,22.09,-87.07,27,1003,1979,9,15,1979/09/15 04:00:00+00
413387,413388,1979258N20273,,GM,HENRI,22.5,-87.4,30,1003,1979,9,15,1979/09/15 04:00:00+00
413388,413389,1979258N20273,,GM,HENRI,22.58,-87.9,30,1003,1979,9,15,1979/09/15 04:00:00+00
413389,413390,1979258N20273,,GM,HENRI,22.5,-88.5,30,1003,1979,9,15,1979/09/15 04:00:00+00
413390,413391,1979258N20273,,GM,HENRI,22.5,-89.08,30,1003,1979,9,15,1979/09/15 04:00:00+00
413391,413392,1979258N20273,,GM,HENRI,22.5,-89.7,30,1003,1979,9,16,1979/09/16 04:00:00+00
413392,413393,1979258N20273,,GM,HENRI,22.53,-90.35,30,1002,1979,9,16,1979/09/16 04:00:00+00
413393,413394,1979258N20273,,GM,HENRI,22.5,-91.0,30,1002,1979,9,16,1979/09/16 04:00:00+00
413394,413395,1979258N20273,,GM,HENRI,22.36,-91.63,32,1001,1979,9,16,1979/09/16 04:00:00+00
413395,413396,1979258N20273,,GM,HENRI,22.1,-92.2,35,1001,1979,9,16,1979/09/16 04:00:00+00
413396,413397,1979258N20273,,GM,HENRI,21.75,-92.7,40,1000,1979,9,16,1979/09/16 04:00:00+00
413397,413398,1979258N20273,,GM,HENRI,21.3,-93.1,45,999,1979,9,16,1979/09/16 04:00:00+00
413398,413399,1979258N20273,,GM,HENRI,20.69,-93.39,50,997,1979,9,16,1979/09/16 04:00:00+00
413399,413400,1979258N20273,,GM,HENRI,20.2,-93.6,55,995,1979,9,17,1979/09/17 04:00:00+00
413400,413401,1979258N20273,,GM,HENRI,20.1,-93.81,60,992,1979,9,17,1979/09/17 04:00:00+00
413401,413402,1979258N20273,,GM,HENRI,20.2,-94.0,65,990,1979,9,17,1979/09/17 04:00:00+00
413402,413403,1979258N20273,,GM,HENRI,20.27,-94.16,70,986,1979,9,17,1979/09/17 04:00:00+00
413403,413404,1979258N20273,,GM,HENRI,20.4,-94.3,75,983,1979,9,17,1979/09/17 04:00:00+00
413404,413405,1979258N20273,,GM,HENRI,20.61,-94.44,72,983,1979,9,17,1979/09/17 04:00:00+00
413405,413406,1979258N20273,,GM,HENRI,20.8,-94.6,70,984,1979,9,17,1979/09/17 04:00:00+00
413406,413407,1979258N20273,,GM,HENRI,20.87,-94.79,67,988,1979,9,17,1979/09/17 04:00:00+00
413407,413408,1979258N20273,,GM,HENRI,20.9,-95.0,65,992,1979,9,18,1979/09/18 04:00:00+00
413408,413409,1979258N20273,,GM,HENRI,20.94,-95.21,62,994,1979,9,18,1979/09/18 04:00:00+00
413409,413410,1979258N20273,,GM,HENRI,21.0,-95.4,60,997,1979,9,18,1979/09/18 04:00:00+00
413410,413411,1979258N20273,,GM,HENRI,21.08,-95.58,55,998,1979,9,18,1979/09/18 04:00:00+00
413411,413412,1979258N20273,,GM,HENRI,21.2,-95.7,50,1000,1979,9,18,1979/09/18 04:00:00+00
413412,413413,1979258N20273,,GM,HENRI,21.42,-95.72,45,1000,1979,9,18,1979/09/18 04:00:00+00
