Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
252042,252043,1955255N19294,,,HILDA,19.2,-66.1,40,0,1955,9,12,1955/09/12 04:00:00+00
252043,252044,1955255N19294,,,HILDA,19.35,-66.54,42,0,1955,9,12,1955/09/12 04:00:00+00
252044,252045,1955255N19294,,,HILDA,19.5,-67.0,45,0,1955,9,12,1955/09/12 04:00:00+00
252045,252046,1955255N19294,,,HILDA,19.64,-67.49,47,0,1955,9,12,1955/09/12 04:00:00+00
252046,252047,1955255N19294,,,HILDA,19.8,-68.0,50,0,1955,9,12,1955/09/12 04:00:00+00
252047,252048,1955255N19294,,,HILDA,20.0,-68.5,55,996,1955,9,12,1955/09/12 04:00:00+00
252048,252049,1955255N19294,,,HILDA,20.1,-69.1,60,0,1955,9,12,1955/09/12 04:00:00+00
252049,252050,1955255N19294,,,HILDA,20.2,-69.66,65,0,1955,9,12,1955/09/12 04:00:00+00
252050,252051,1955255N19294,,,HILDA,20.3,-70.2,70,0,1955,9,13,1955/09/13 04:00:00+00
252051,252052,1955255N19294,,,HILDA,20.42,-70.74,70,0,1955,9,13,1955/09/13 04:00:00+00
252052,252053,1955255N19294,,,HILDA,20.5,-71.3,70,0,1955,9,13,1955/09/13 04:00:00+00
252053,252054,1955255N19294,,,HILDA,20.48,-71.9,70,0,1955,9,13,1955/09/13 04:00:00+00
252054,252055,1955255N19294,,,HILDA,20.4,-72.5,70,0,1955,9,13,1955/09/13 04:00:00+00
252055,252056,1955255N19294,,,HILDA,20.29,-73.05,70,0,1955,9,13,1955/09/13 04:00:00+00
252056,252057,1955255N19294,,,HILDA,20.2,-73.6,70,986,1955,9,13,1955/09/13 04:00:00+00
252057,252058,1955255N19294,,,HILDA,20.2,-74.2,70,986,1955,9,13,1955/09/13 04:00:00+00
252058,252059,1955255N19294,,,HILDA,20.1,-74.8,60,0,1955,9,14,1955/09/14 04:00:00+00
