Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
694779,694780,2022240N26149,WP,MM,HINNAMNOR,25.8,149.3,35,1002,2022,8,28,2022/08/28 04:00:00+00
694780,694781,2022240N26149,WP,MM,HINNAMNOR,26.28,148.84,37,1000,2022,8,28,2022/08/28 04:00:00+00
694781,694782,2022240N26149,WP,MM,HINNAMNOR,26.7,148.3,39,999,2022,8,28,2022/08/28 04:00:00+00
694782,694783,2022240N26149,WP,MM,HINNAMNOR,27.01,147.65,45,997,2022,8,28,2022/08/28 04:00:00+00
694783,694784,2022240N26149,WP,MM,HINNAMNOR,27.2,146.9,51,996,2022,8,28,2022/08/28 04:00:00+00
694784,694785,2022240N26149,WP,MM,HINNAMNOR,27.28,146.15,52,993,2022,8,28,2022/08/28 04:00:00+00
694785,694786,2022240N26149,WP,MM,HINNAMNOR,27.3,145.3,54,990,2022,8,29,2022/08/29 04:00:00+00
694786,694787,2022240N26149,WP,MM,HINNAMNOR,27.37,144.27,64,984,2022,8,29,2022/08/29 04:00:00+00
694787,694788,2022240N26149,WP,MM,HINNAMNOR,27.4,143.2,74,978,2022,8,29,2022/08/29 04:00:00+00
694788,694789,2022240N26149,WP,MM,HINNAMNOR,27.37,142.24,86,968,2022,8,29,2022/08/29 04:00:00+00
694789,694790,2022240N26149,WP,MM,HINNAMNOR,27.3,141.3,99,959,2022,8,29,2022/08/29 04:00:00+00
694790,694791,2022240N26149,WP,MM,HINNAMNOR,27.21,140.3,111,947,2022,8,29,2022/08/29 04:00:00+00
694791,694792,2022240N26149,WP,MM,HINNAMNOR,27.1,139.3,124,936,2022,8,29,2022/08/29 04:00:00+00
694792,694793,2022240N26149,WP,MM,HINNAMNOR,26.94,138.35,119,940,2022,8,29,2022/08/29 04:00:00+00
694793,694794,2022240N26149,WP,MM,HINNAMNOR,26.8,137.4,115,944,2022,8,30,2022/08/30 04:00:00+00
694794,694795,2022240N26149,WP,MM,HINNAMNOR,26.74,136.39,119,938,2022,8,30,2022/08/30 04:00:00+00
694795,694796,2022240N26149,WP,MM,HINNAMNOR,26.7,135.4,124,932,2022,8,30,2022/08/30 04:00:00+00
694796,694797,2022240N26149,WP,MM,HINNAMNOR,26.61,134.48,126,929,2022,8,30,2022/08/30 04:00:00+00
694797,694798,2022240N26149,WP,MM,HINNAMNOR,26.5,133.6,128,926,2022,8,30,2022/08/30 04:00:00+00
694798,694799,2022240N26149,WP,MM,HINNAMNOR,26.41,132.74,133,923,2022,8,30,2022/08/30 04:00:00+00
694799,694800,2022240N26149,WP,MM,HINNAMNOR,26.3,131.9,138,920,2022,8,30,2022/08/30 04:00:00+00
694800,694801,2022240N26149,WP,MM,HINNAMNOR,26.12,131.07,136,922,2022,8,30,2022/08/30 04:00:00+00
694801,694802,2022240N26149,WP,MM,HINNAMNOR,25.9,130.3,134,924,2022,8,31,2022/08/31 04:00:00+00
694802,694803,2022240N26149,WP,MM,HINNAMNOR,25.66,129.63,131,925,2022,8,31,2022/08/31 04:00:00+00
694803,694804,2022240N26149,WP,MM,HINNAMNOR,25.4,129.0,128,926,2022,8,31,2022/08/31 04:00:00+00
694804,694805,2022240N26149,WP,MM,HINNAMNOR,25.12,128.34,126,928,2022,8,31,2022/08/31 04:00:00+00
694805,694806,2022240N26149,WP,MM,HINNAMNOR,24.8,127.7,124,930,2022,8,31,2022/08/31 04:00:00+00
694806,694807,2022240N26149,WP,MM,HINNAMNOR,24.46,127.06,124,930,2022,8,31,2022/08/31 04:00:00+00
694807,694808,2022240N26149,WP,MM,HINNAMNOR,24.0,126.5,124,931,2022,8,31,2022/08/31 04:00:00+00
694808,694809,2022240N26149,WP,MM,HINNAMNOR,23.3,126.08,131,923,2022,8,31,2022/08/31 04:00:00+00
694809,694810,2022240N26149,WP,MM,HINNAMNOR,22.6,125.8,138,915,2022,9,1,2022/09/01 04:00:00+00
694810,694811,2022240N26149,WP,MM,HINNAMNOR,22.13,125.59,136,918,2022,9,1,2022/09/01 04:00:00+00
694811,694812,2022240N26149,WP,MM,HINNAMNOR,21.8,125.5,134,921,2022,9,1,2022/09/01 04:00:00+00
694812,694813,2022240N26149,WP,MM,HINNAMNOR,21.48,125.53,126,928,2022,9,1,2022/09/01 04:00:00+00
694813,694814,2022240N26149,WP,MM,HINNAMNOR,21.3,125.6,119,935,2022,9,1,2022/09/01 04:00:00+00
694814,694815,2022240N26149,WP,MM,HINNAMNOR,21.3,125.56,117,935,2022,9,1,2022/09/01 04:00:00+00
694815,694816,2022240N26149,WP,MM,HINNAMNOR,21.4,125.5,115,936,2022,9,1,2022/09/01 04:00:00+00
694816,694817,2022240N26149,WP,MM,HINNAMNOR,21.42,125.47,104,944,2022,9,1,2022/09/01 04:00:00+00
694817,694818,2022240N26149,WP,MM,HINNAMNOR,21.5,125.4,93,952,2022,9,2,2022/09/02 04:00:00+00
694818,694819,2022240N26149,WP,MM,HINNAMNOR,21.74,125.27,86,958,2022,9,2,2022/09/02 04:00:00+00
694819,694820,2022240N26149,WP,MM,HINNAMNOR,22.0,125.1,80,964,2022,9,2,2022/09/02 04:00:00+00
694820,694821,2022240N26149,WP,MM,HINNAMNOR,22.12,124.88,80,963,2022,9,2,2022/09/02 04:00:00+00
694821,694822,2022240N26149,WP,MM,HINNAMNOR,22.2,124.7,80,962,2022,9,2,2022/09/02 04:00:00+00
694822,694823,2022240N26149,WP,MM,HINNAMNOR,22.26,124.67,77,964,2022,9,2,2022/09/02 04:00:00+00
694823,694824,2022240N26149,WP,MM,HINNAMNOR,22.4,124.7,74,967,2022,9,2,2022/09/02 04:00:00+00
