Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
231593,231594,1951105N08152,WP,MM,HOPE,8.0,151.5,0,0,1951,4,15,1951/04/15 04:00:00+00
231594,231595,1951105N08152,WP,MM,HOPE,8.15,150.88,0,0,1951,4,15,1951/04/15 04:00:00+00
231595,231596,1951105N08152,WP,MM,HOPE,8.3,150.3,0,0,1951,4,15,1951/04/15 04:00:00+00
231596,231597,1951105N08152,WP,MM,HOPE,8.46,149.78,0,0,1951,4,15,1951/04/15 04:00:00+00
231597,231598,1951105N08152,WP,MM,HOPE,8.6,149.3,0,0,1951,4,15,1951/04/15 04:00:00+00
231598,231599,1951105N08152,WP,MM,HOPE,8.69,148.81,0,0,1951,4,15,1951/04/15 04:00:00+00
231599,231600,1951105N08152,WP,MM,HOPE,8.8,148.3,0,0,1951,4,15,1951/04/15 04:00:00+00
231600,231601,1951105N08152,WP,MM,HOPE,8.99,147.74,0,0,1951,4,15,1951/04/15 04:00:00+00
231601,231602,1951105N08152,WP,MM,HOPE,9.2,147.2,0,0,1951,4,16,1951/04/16 04:00:00+00
231602,231603,1951105N08152,WP,MM,HOPE,9.38,146.79,0,0,1951,4,16,1951/04/16 04:00:00+00
231603,231604,1951105N08152,WP,MM,HOPE,9.6,146.4,0,0,1951,4,16,1951/04/16 04:00:00+00
231604,231605,1951105N08152,WP,MM,HOPE,9.9,145.93,0,0,1951,4,16,1951/04/16 04:00:00+00
231605,231606,1951105N08152,WP,MM,HOPE,10.25,145.45,0,0,1951,4,16,1951/04/16 04:00:00+00
231606,231607,1951105N08152,WP,MM,HOPE,10.62,145.0,0,0,1951,4,16,1951/04/16 04:00:00+00
231607,231608,1951105N08152,WP,MM,HOPE,11.0,144.6,0,0,1951,4,16,1951/04/16 04:00:00+00
231608,231609,1951105N08152,WP,MM,HOPE,11.35,144.27,0,0,1951,4,16,1951/04/16 04:00:00+00
231609,231610,1951105N08152,WP,MM,HOPE,11.7,144.0,0,0,1951,4,17,1951/04/17 04:00:00+00
231610,231611,1951105N08152,WP,MM,HOPE,12.08,143.74,0,0,1951,4,17,1951/04/17 04:00:00+00
231611,231612,1951105N08152,WP,MM,HOPE,12.5,143.5,0,0,1951,4,17,1951/04/17 04:00:00+00
231612,231613,1951105N08152,WP,MM,HOPE,13.0,143.29,0,0,1951,4,17,1951/04/17 04:00:00+00
231613,231614,1951105N08152,WP,MM,HOPE,13.53,142.9,60,0,1951,4,17,1951/04/17 04:00:00+00
231614,231615,1951105N08152,WP,MM,HOPE,13.95,142.66,62,0,1951,4,17,1951/04/17 04:00:00+00
231615,231616,1951105N08152,WP,MM,HOPE,14.3,142.52,65,0,1951,4,17,1951/04/17 04:00:00+00
231616,231617,1951105N08152,WP,MM,HOPE,14.59,142.45,67,0,1951,4,17,1951/04/17 04:00:00+00
231617,231618,1951105N08152,WP,MM,HOPE,14.92,142.43,70,0,1951,4,18,1951/04/18 04:00:00+00
231618,231619,1951105N08152,WP,MM,HOPE,15.43,142.46,67,0,1951,4,18,1951/04/18 04:00:00+00
231619,231620,1951105N08152,WP,MM,HOPE,15.86,142.5,65,0,1951,4,18,1951/04/18 04:00:00+00
231620,231621,1951105N08152,WP,MM,HOPE,15.92,142.54,62,0,1951,4,18,1951/04/18 04:00:00+00
231621,231622,1951105N08152,WP,MM,HOPE,15.83,142.53,60,0,1951,4,18,1951/04/18 04:00:00+00
231622,231623,1951105N08152,WP,MM,HOPE,15.8,142.42,57,0,1951,4,18,1951/04/18 04:00:00+00
231623,231624,1951105N08152,WP,MM,HOPE,15.79,142.23,55,0,1951,4,18,1951/04/18 04:00:00+00
231624,231625,1951105N08152,WP,MM,HOPE,15.82,142.01,55,0,1951,4,18,1951/04/18 04:00:00+00
231625,231626,1951105N08152,WP,MM,HOPE,15.87,141.73,55,0,1951,4,19,1951/04/19 04:00:00+00
231626,231627,1951105N08152,WP,MM,HOPE,15.89,141.45,55,0,1951,4,19,1951/04/19 04:00:00+00
231627,231628,1951105N08152,WP,MM,HOPE,15.89,141.1,55,0,1951,4,19,1951/04/19 04:00:00+00
231628,231629,1951105N08152,WP,MM,HOPE,15.85,140.64,50,0,1951,4,19,1951/04/19 04:00:00+00
231629,231630,1951105N08152,WP,MM,HOPE,15.77,140.15,45,0,1951,4,19,1951/04/19 04:00:00+00
231630,231631,1951105N08152,WP,MM,HOPE,15.65,139.73,42,0,1951,4,19,1951/04/19 04:00:00+00
231631,231632,1951105N08152,WP,MM,HOPE,15.51,139.31,40,0,1951,4,19,1951/04/19 04:00:00+00
231632,231633,1951105N08152,WP,MM,HOPE,15.37,138.89,37,0,1951,4,19,1951/04/19 04:00:00+00
231633,231634,1951105N08152,WP,MM,HOPE,15.25,138.42,35,0,1951,4,20,1951/04/20 04:00:00+00
231634,231635,1951105N08152,WP,MM,HOPE,15.16,137.86,35,0,1951,4,20,1951/04/20 04:00:00+00
231635,231636,1951105N08152,WP,MM,HOPE,15.07,137.23,35,0,1951,4,20,1951/04/20 04:00:00+00
231636,231637,1951105N08152,WP,MM,HOPE,14.96,136.59,32,0,1951,4,20,1951/04/20 04:00:00+00
231637,231638,1951105N08152,WP,MM,HOPE,14.83,136.0,30,0,1951,4,20,1951/04/20 04:00:00+00
231638,231639,1951105N08152,WP,MM,HOPE,14.71,135.56,0,0,1951,4,20,1951/04/20 04:00:00+00
231639,231640,1951105N08152,WP,MM,HOPE,14.7,135.15,0,0,1951,4,20,1951/04/20 04:00:00+00
231640,231641,1951105N08152,WP,MM,HOPE,14.67,134.78,0,0,1951,4,20,1951/04/20 04:00:00+00
231641,231642,1951105N08152,WP,MM,HOPE,14.65,134.4,0,0,1951,4,21,1951/04/21 04:00:00+00
231642,231643,1951105N08152,WP,MM,HOPE,14.67,133.95,0,0,1951,4,21,1951/04/21 04:00:00+00
231643,231644,1951105N08152,WP,MM,HOPE,14.7,133.5,0,0,1951,4,21,1951/04/21 04:00:00+00
231644,231645,1951105N08152,WP,MM,HOPE,14.71,133.12,0,0,1951,4,21,1951/04/21 04:00:00+00
231645,231646,1951105N08152,WP,MM,HOPE,14.75,132.75,0,0,1951,4,21,1951/04/21 04:00:00+00
231646,231647,1951105N08152,WP,MM,HOPE,14.85,132.37,0,0,1951,4,21,1951/04/21 04:00:00+00
231647,231648,1951105N08152,WP,MM,HOPE,14.95,131.95,0,0,1951,4,21,1951/04/21 04:00:00+00
231648,231649,1951105N08152,WP,MM,HOPE,15.0,131.47,0,0,1951,4,21,1951/04/21 04:00:00+00
231649,231650,1951105N08152,WP,MM,HOPE,15.05,131.0,0,0,1951,4,22,1951/04/22 04:00:00+00
231650,231651,1951105N08152,WP,MM,HOPE,15.11,130.64,0,0,1951,4,22,1951/04/22 04:00:00+00
231651,231652,1951105N08152,WP,MM,HOPE,15.2,130.3,0,0,1951,4,22,1951/04/22 04:00:00+00
231652,231653,1951105N08152,WP,MM,HOPE,15.32,129.88,0,0,1951,4,22,1951/04/22 04:00:00+00
231653,231654,1951105N08152,WP,MM,HOPE,15.45,129.45,0,0,1951,4,22,1951/04/22 04:00:00+00
231654,231655,1951105N08152,WP,MM,HOPE,15.52,129.07,0,0,1951,4,22,1951/04/22 04:00:00+00
231655,231656,1951105N08152,WP,MM,HOPE,15.6,128.7,0,0,1951,4,22,1951/04/22 04:00:00+00
231656,231657,1951105N08152,WP,MM,HOPE,15.73,128.29,0,0,1951,4,22,1951/04/22 04:00:00+00
231657,231658,1951105N08152,WP,MM,HOPE,15.9,127.9,0,0,1951,4,23,1951/04/23 04:00:00+00
231658,231659,1951105N08152,WP,MM,HOPE,16.07,127.54,0,0,1951,4,23,1951/04/23 04:00:00+00
231659,231660,1951105N08152,WP,MM,HOPE,16.3,127.25,0,0,1951,4,23,1951/04/23 04:00:00+00
231660,231661,1951105N08152,WP,MM,HOPE,16.65,127.04,0,0,1951,4,23,1951/04/23 04:00:00+00
231661,231662,1951105N08152,WP,MM,HOPE,17.05,126.9,0,0,1951,4,23,1951/04/23 04:00:00+00
231662,231663,1951105N08152,WP,MM,HOPE,17.43,126.79,0,0,1951,4,23,1951/04/23 04:00:00+00
250815,250816,1955215N12139,WP,MM,HOPE,12.2,139.0,0,0,1955,8,2,1955/08/02 04:00:00+00
250816,250817,1955215N12139,WP,MM,HOPE,12.77,138.47,0,0,1955,8,2,1955/08/02 04:00:00+00
250817,250818,1955215N12139,WP,MM,HOPE,13.3,138.0,0,0,1955,8,3,1955/08/03 04:00:00+00
250818,250819,1955215N12139,WP,MM,HOPE,13.76,137.62,0,0,1955,8,3,1955/08/03 04:00:00+00
250819,250820,1955215N12139,WP,MM,HOPE,14.99,137.14,25,0,1955,8,3,1955/08/03 04:00:00+00
250820,250821,1955215N12139,WP,MM,HOPE,15.78,136.76,27,0,1955,8,3,1955/08/03 04:00:00+00
250821,250822,1955215N12139,WP,MM,HOPE,16.43,136.42,30,0,1955,8,3,1955/08/03 04:00:00+00
250822,250823,1955215N12139,WP,MM,HOPE,16.97,136.11,35,0,1955,8,3,1955/08/03 04:00:00+00
250823,250824,1955215N12139,WP,MM,HOPE,17.39,135.86,40,0,1955,8,3,1955/08/03 04:00:00+00
250824,250825,1955215N12139,WP,MM,HOPE,17.85,135.65,42,0,1955,8,3,1955/08/03 04:00:00+00
250825,250826,1955215N12139,WP,MM,HOPE,18.3,135.5,45,0,1955,8,4,1955/08/04 04:00:00+00
250826,250827,1955215N12139,WP,MM,HOPE,18.75,135.4,47,0,1955,8,4,1955/08/04 04:00:00+00
250827,250828,1955215N12139,WP,MM,HOPE,19.14,135.36,50,0,1955,8,4,1955/08/04 04:00:00+00
250828,250829,1955215N12139,WP,MM,HOPE,19.41,135.37,50,0,1955,8,4,1955/08/04 04:00:00+00
250829,250830,1955215N12139,WP,MM,HOPE,19.63,135.4,50,0,1955,8,4,1955/08/04 04:00:00+00
250830,250831,1955215N12139,WP,MM,HOPE,19.9,135.42,50,0,1955,8,4,1955/08/04 04:00:00+00
250831,250832,1955215N12139,WP,MM,HOPE,20.17,135.44,50,0,1955,8,4,1955/08/04 04:00:00+00
250832,250833,1955215N12139,WP,MM,HOPE,20.36,135.43,50,0,1955,8,4,1955/08/04 04:00:00+00
250833,250834,1955215N12139,WP,MM,HOPE,20.63,135.42,50,0,1955,8,5,1955/08/05 04:00:00+00
