Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
448577,448578,1985041S14129,SI,WA,HUBERT,-14.2,129.0,0,0,1985,2,10,1985/02/10 05:00:00+00
448578,448579,1985041S14129,SI,WA,HUBERT,-14.2,128.75,0,0,1985,2,10,1985/02/10 05:00:00+00
448579,448580,1985041S14129,SI,WA,HUBERT,-14.22,128.49,0,0,1985,2,10,1985/02/10 05:00:00+00
448580,448581,1985041S14129,SI,WA,HUBERT,-14.26,128.2,0,0,1985,2,10,1985/02/10 05:00:00+00
448581,448582,1985041S14129,SI,WA,HUBERT,-14.3,127.9,0,0,1985,2,10,1985/02/10 05:00:00+00
448582,448583,1985041S14129,SI,WA,HUBERT,-14.3,127.6,0,0,1985,2,10,1985/02/10 05:00:00+00
448583,448584,1985041S14129,SI,WA,HUBERT,-14.31,127.27,20,0,1985,2,10,1985/02/10 05:00:00+00
448584,448585,1985041S14129,SI,WA,HUBERT,-14.35,126.91,20,0,1985,2,10,1985/02/10 05:00:00+00
448585,448586,1985041S14129,SI,WA,HUBERT,-14.4,126.54,20,0,1985,2,11,1985/02/11 05:00:00+00
448586,448587,1985041S14129,SI,WA,HUBERT,-14.46,126.17,22,0,1985,2,11,1985/02/11 05:00:00+00
448587,448588,1985041S14129,SI,WA,HUBERT,-14.55,125.78,25,0,1985,2,11,1985/02/11 05:00:00+00
448588,448589,1985041S14129,SI,WA,HUBERT,-14.66,125.38,25,0,1985,2,11,1985/02/11 05:00:00+00
448589,448590,1985041S14129,SI,WA,HUBERT,-14.8,124.97,25,0,1985,2,11,1985/02/11 05:00:00+00
448590,448591,1985041S14129,SI,WA,HUBERT,-14.96,124.55,27,0,1985,2,11,1985/02/11 05:00:00+00
448591,448592,1985041S14129,SI,WA,HUBERT,-15.15,124.12,30,0,1985,2,11,1985/02/11 05:00:00+00
448592,448593,1985041S14129,SI,WA,HUBERT,-15.37,123.73,30,0,1985,2,11,1985/02/11 05:00:00+00
448593,448594,1985041S14129,SI,WA,HUBERT,-15.55,123.3,30,0,1985,2,12,1985/02/12 05:00:00+00
448594,448595,1985041S14129,SI,WA,HUBERT,-15.6,122.81,32,0,1985,2,12,1985/02/12 05:00:00+00
448595,448596,1985041S14129,SI,WA,HUBERT,-15.61,122.21,35,0,1985,2,12,1985/02/12 05:00:00+00
448596,448597,1985041S14129,SI,WA,HUBERT,-15.65,121.43,37,0,1985,2,12,1985/02/12 05:00:00+00
448597,448598,1985041S14129,SI,WA,HUBERT,-15.7,120.7,40,0,1985,2,12,1985/02/12 05:00:00+00
448598,448599,1985041S14129,SI,WA,HUBERT,-15.75,120.32,42,0,1985,2,12,1985/02/12 05:00:00+00
448599,448600,1985041S14129,SI,WA,HUBERT,-15.81,120.01,45,0,1985,2,12,1985/02/12 05:00:00+00
448600,448601,1985041S14129,SI,WA,HUBERT,-15.9,119.55,47,0,1985,2,12,1985/02/12 05:00:00+00
448601,448602,1985041S14129,SI,WA,HUBERT,-16.0,118.97,50,0,1985,2,13,1985/02/13 05:00:00+00
448602,448603,1985041S14129,SI,WA,HUBERT,-16.09,118.3,52,0,1985,2,13,1985/02/13 05:00:00+00
448603,448604,1985041S14129,SI,WA,HUBERT,-16.2,117.57,55,0,1985,2,13,1985/02/13 05:00:00+00
448604,448605,1985041S14129,SI,WA,HUBERT,-16.33,116.88,55,0,1985,2,13,1985/02/13 05:00:00+00
448605,448606,1985041S14129,SI,WA,HUBERT,-16.5,116.15,55,0,1985,2,13,1985/02/13 05:00:00+00
448606,448607,1985041S14129,SI,WA,HUBERT,-16.71,115.33,55,0,1985,2,13,1985/02/13 05:00:00+00
448607,448608,1985041S14129,SI,WA,HUBERT,-16.93,114.42,55,0,1985,2,13,1985/02/13 05:00:00+00
448608,448609,1985041S14129,SI,WA,HUBERT,-17.14,113.47,55,0,1985,2,13,1985/02/13 05:00:00+00
448609,448610,1985041S14129,SI,WA,HUBERT,-17.35,112.5,55,0,1985,2,14,1985/02/14 05:00:00+00
