Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
557909,557910,2000083S17102,SI,WA,HUDAH,-16.7,101.9,20,0,2000,3,22,2000/03/22 04:00:00+00
557910,557911,2000083S17102,SI,WA,HUDAH,-16.67,101.33,20,0,2000,3,22,2000/03/22 04:00:00+00
557911,557912,2000083S17102,SI,WA,HUDAH,-16.6,100.7,20,0,2000,3,23,2000/03/23 04:00:00+00
557912,557913,2000083S17102,SI,WA,HUDAH,-16.46,100.0,20,0,2000,3,23,2000/03/23 04:00:00+00
557913,557914,2000083S17102,SI,WA,HUDAH,-16.3,99.3,20,0,2000,3,23,2000/03/23 04:00:00+00
557914,557915,2000083S17102,SI,WA,HUDAH,-16.19,98.69,20,0,2000,3,23,2000/03/23 04:00:00+00
557915,557916,2000083S17102,SI,WA,HUDAH,-16.1,98.1,20,0,2000,3,23,2000/03/23 04:00:00+00
557916,557917,2000083S17102,SI,WA,HUDAH,-16.0,97.47,22,0,2000,3,23,2000/03/23 04:00:00+00
557917,557918,2000083S17102,SI,WA,HUDAH,-15.9,96.8,25,0,2000,3,23,2000/03/23 04:00:00+00
557918,557919,2000083S17102,SI,WA,HUDAH,-15.81,96.1,25,0,2000,3,23,2000/03/23 04:00:00+00
557919,557920,2000083S17102,SI,WA,HUDAH,-15.67,95.37,25,0,2000,3,24,2000/03/24 04:00:00+00
557920,557921,2000083S17102,SI,WA,HUDAH,-15.48,94.69,25,0,2000,3,24,2000/03/24 04:00:00+00
557921,557922,2000083S17102,SI,WA,HUDAH,-15.34,94.06,25,0,2000,3,24,2000/03/24 04:00:00+00
557922,557923,2000083S17102,SI,WA,HUDAH,-15.31,93.47,27,0,2000,3,24,2000/03/24 04:00:00+00
557923,557924,2000083S17102,SI,WA,HUDAH,-15.3,92.9,30,0,2000,3,24,2000/03/24 04:00:00+00
557924,557925,2000083S17102,SI,WA,HUDAH,-15.27,92.28,32,0,2000,3,24,2000/03/24 04:00:00+00
557925,557926,2000083S17102,SI,WA,HUDAH,-15.25,91.65,35,0,2000,3,24,2000/03/24 04:00:00+00
557926,557927,2000083S17102,SI,WA,HUDAH,-15.21,91.02,35,0,2000,3,24,2000/03/24 04:00:00+00
557927,557928,2000083S17102,SI,WA,HUDAH,-15.2,90.42,35,0,2000,3,25,2000/03/25 04:00:00+00
557928,557929,2000083S17102,SI,MM,HUDAH,-15.25,89.87,45,0,2000,3,25,2000/03/25 04:00:00+00
557929,557930,2000083S17102,SI,MM,HUDAH,-15.3,89.35,55,0,2000,3,25,2000/03/25 04:00:00+00
557930,557931,2000083S17102,SI,MM,HUDAH,-15.32,88.82,62,0,2000,3,25,2000/03/25 04:00:00+00
557931,557932,2000083S17102,SI,MM,HUDAH,-15.3,88.3,70,0,2000,3,25,2000/03/25 04:00:00+00
557932,557933,2000083S17102,SI,MM,HUDAH,-15.23,87.82,67,0,2000,3,25,2000/03/25 04:00:00+00
557933,557934,2000083S17102,SI,MM,HUDAH,-15.15,87.35,65,0,2000,3,25,2000/03/25 04:00:00+00
557934,557935,2000083S17102,SI,MM,HUDAH,-15.1,86.89,65,0,2000,3,25,2000/03/25 04:00:00+00
557935,557936,2000083S17102,SI,MM,HUDAH,-15.05,86.4,65,0,2000,3,26,2000/03/26 04:00:00+00
557936,557937,2000083S17102,SI,MM,HUDAH,-14.98,85.85,65,0,2000,3,26,2000/03/26 04:00:00+00
557937,557938,2000083S17102,SI,MM,HUDAH,-14.9,85.3,65,0,2000,3,26,2000/03/26 04:00:00+00
557938,557939,2000083S17102,SI,MM,HUDAH,-14.79,84.78,65,0,2000,3,26,2000/03/26 04:00:00+00
557939,557940,2000083S17102,SI,MM,HUDAH,-14.7,84.3,65,0,2000,3,26,2000/03/26 04:00:00+00
557940,557941,2000083S17102,SI,MM,HUDAH,-14.66,83.89,65,0,2000,3,26,2000/03/26 04:00:00+00
