Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
208547,208548,1945253N08157,WP,MM,IDA,8.0,157.0,30,0,1945,9,10,1945/09/10 04:00:00+00
208548,208549,1945253N08157,WP,MM,IDA,8.25,156.5,30,0,1945,9,10,1945/09/10 04:00:00+00
208549,208550,1945253N08157,WP,MM,IDA,8.5,156.01,30,0,1945,9,10,1945/09/10 04:00:00+00
208550,208551,1945253N08157,WP,MM,IDA,8.74,155.55,30,0,1945,9,10,1945/09/10 04:00:00+00
208551,208552,1945253N08157,WP,MM,IDA,9.0,155.1,30,0,1945,9,10,1945/09/10 04:00:00+00
208552,208553,1945253N08157,WP,MM,IDA,9.3,154.66,30,0,1945,9,10,1945/09/10 04:00:00+00
208553,208554,1945253N08157,WP,MM,IDA,9.58,154.17,30,0,1945,9,10,1945/09/10 04:00:00+00
208554,208555,1945253N08157,WP,MM,IDA,9.81,153.61,32,0,1945,9,10,1945/09/10 04:00:00+00
208555,208556,1945253N08157,WP,MM,IDA,10.0,153.0,35,0,1945,9,11,1945/09/11 04:00:00+00
208556,208557,1945253N08157,WP,MM,IDA,10.16,152.41,35,0,1945,9,11,1945/09/11 04:00:00+00
208557,208558,1945253N08157,WP,MM,IDA,10.3,151.79,35,0,1945,9,11,1945/09/11 04:00:00+00
208558,208559,1945253N08157,WP,MM,IDA,10.4,151.15,35,0,1945,9,11,1945/09/11 04:00:00+00
208559,208560,1945253N08157,WP,MM,IDA,10.5,150.5,35,0,1945,9,11,1945/09/11 04:00:00+00
208560,208561,1945253N08157,WP,MM,IDA,10.6,149.85,37,0,1945,9,11,1945/09/11 04:00:00+00
208561,208562,1945253N08157,WP,MM,IDA,10.71,149.21,40,0,1945,9,11,1945/09/11 04:00:00+00
208562,208563,1945253N08157,WP,MM,IDA,10.85,148.6,40,0,1945,9,11,1945/09/11 04:00:00+00
208563,208564,1945253N08157,WP,MM,IDA,11.0,148.0,40,0,1945,9,12,1945/09/12 04:00:00+00
208564,208565,1945253N08157,WP,MM,IDA,11.1,147.4,40,0,1945,9,12,1945/09/12 04:00:00+00
208565,208566,1945253N08157,WP,MM,IDA,11.23,146.81,40,0,1945,9,12,1945/09/12 04:00:00+00
208566,208567,1945253N08157,WP,MM,IDA,11.46,146.25,42,0,1945,9,12,1945/09/12 04:00:00+00
208567,208568,1945253N08157,WP,MM,IDA,11.7,145.7,45,0,1945,9,12,1945/09/12 04:00:00+00
208568,208569,1945253N08157,WP,MM,IDA,11.86,145.15,45,0,1945,9,12,1945/09/12 04:00:00+00
208569,208570,1945253N08157,WP,MM,IDA,12.02,144.6,45,0,1945,9,12,1945/09/12 04:00:00+00
208570,208571,1945253N08157,WP,MM,IDA,12.25,144.06,47,0,1945,9,12,1945/09/12 04:00:00+00
208571,208572,1945253N08157,WP,MM,IDA,12.5,143.5,50,0,1945,9,13,1945/09/13 04:00:00+00
208572,208573,1945253N08157,WP,MM,IDA,12.75,142.91,52,0,1945,9,13,1945/09/13 04:00:00+00
208573,208574,1945253N08157,WP,MM,IDA,13.0,142.29,55,0,1945,9,13,1945/09/13 04:00:00+00
208574,208575,1945253N08157,WP,MM,IDA,13.25,141.65,55,0,1945,9,13,1945/09/13 04:00:00+00
208575,208576,1945253N08157,WP,MM,IDA,13.5,141.0,55,0,1945,9,13,1945/09/13 04:00:00+00
208576,208577,1945253N08157,WP,MM,IDA,13.7,140.35,55,0,1945,9,13,1945/09/13 04:00:00+00
208577,208578,1945253N08157,WP,MM,IDA,13.92,139.72,55,0,1945,9,13,1945/09/13 04:00:00+00
208578,208579,1945253N08157,WP,MM,IDA,14.2,139.12,57,0,1945,9,13,1945/09/13 04:00:00+00
208579,208580,1945253N08157,WP,MM,IDA,14.5,138.5,60,0,1945,9,14,1945/09/14 04:00:00+00
208580,208581,1945253N08157,WP,MM,IDA,14.75,137.77,60,0,1945,9,14,1945/09/14 04:00:00+00
208581,208582,1945253N08157,WP,MM,IDA,15.02,137.03,60,0,1945,9,14,1945/09/14 04:00:00+00
