Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
674109,674110,2019063S18038,SI,MM,IDAI,-18.0,38.0,0,0,2019,3,4,2019/03/04 05:00:00+00
674110,674111,2019063S18038,SI,MM,IDAI,-17.88,38.02,0,0,2019,3,4,2019/03/04 05:00:00+00
674111,674112,2019063S18038,SI,MM,IDAI,-17.8,37.9,0,0,2019,3,4,2019/03/04 05:00:00+00
674112,674113,2019063S18038,SI,MM,IDAI,-17.77,37.59,0,0,2019,3,4,2019/03/04 05:00:00+00
674113,674114,2019063S18038,SI,MM,IDAI,-17.7,37.3,0,0,2019,3,4,2019/03/04 05:00:00+00
674114,674115,2019063S18038,SI,MM,IDAI,-17.51,37.27,0,0,2019,3,4,2019/03/04 05:00:00+00
674115,674116,2019063S18038,SI,MM,IDAI,-17.3,37.3,0,0,2019,3,4,2019/03/04 05:00:00+00
674116,674117,2019063S18038,SI,MM,IDAI,-17.13,37.21,0,0,2019,3,4,2019/03/04 05:00:00+00
674117,674118,2019063S18038,SI,MM,IDAI,-17.02,37.18,25,1004,2019,3,5,2019/03/05 05:00:00+00
674118,674119,2019063S18038,SI,MM,IDAI,-16.98,37.18,25,1004,2019,3,5,2019/03/05 05:00:00+00
674119,674120,2019063S18038,SI,MM,IDAI,-16.94,37.17,25,1004,2019,3,5,2019/03/05 05:00:00+00
674120,674121,2019063S18038,SI,MM,IDAI,-16.86,37.14,27,1003,2019,3,5,2019/03/05 05:00:00+00
674121,674122,2019063S18038,SI,MM,IDAI,-16.75,37.1,30,1002,2019,3,5,2019/03/05 05:00:00+00
674122,674123,2019063S18038,SI,MM,IDAI,-16.61,37.09,30,1002,2019,3,5,2019/03/05 05:00:00+00
674123,674124,2019063S18038,SI,MM,IDAI,-16.45,37.1,30,1002,2019,3,5,2019/03/05 05:00:00+00
674124,674125,2019063S18038,SI,MM,IDAI,-16.25,37.1,30,1002,2019,3,5,2019/03/05 05:00:00+00
674125,674126,2019063S18038,SI,MM,IDAI,-16.05,37.1,30,1003,2019,3,6,2019/03/06 05:00:00+00
674126,674127,2019063S18038,SI,MM,IDAI,-15.88,37.09,30,1003,2019,3,6,2019/03/06 05:00:00+00
674127,674128,2019063S18038,SI,MM,IDAI,-15.7,37.05,30,1004,2019,3,6,2019/03/06 05:00:00+00
674128,674129,2019063S18038,SI,MM,IDAI,-15.47,36.98,30,1004,2019,3,6,2019/03/06 05:00:00+00
674129,674130,2019063S18038,SI,MM,IDAI,-15.25,36.85,30,1004,2019,3,6,2019/03/06 05:00:00+00
674130,674131,2019063S18038,SI,MM,IDAI,-15.05,36.68,27,1005,2019,3,6,2019/03/06 05:00:00+00
674131,674132,2019063S18038,SI,MM,IDAI,-14.95,36.45,25,1007,2019,3,6,2019/03/06 05:00:00+00
674132,674133,2019063S18038,SI,MM,IDAI,-15.02,36.16,22,1007,2019,3,6,2019/03/06 05:00:00+00
674133,674134,2019063S18038,SI,MM,IDAI,-15.15,35.9,20,1008,2019,3,7,2019/03/07 05:00:00+00
674134,674135,2019063S18038,SI,MM,IDAI,-15.23,35.78,22,1007,2019,3,7,2019/03/07 05:00:00+00
674135,674136,2019063S18038,SI,MM,IDAI,-15.3,35.75,25,1006,2019,3,7,2019/03/07 05:00:00+00
674136,674137,2019063S18038,SI,MM,IDAI,-15.35,35.75,22,1006,2019,3,7,2019/03/07 05:00:00+00
674137,674138,2019063S18038,SI,MM,IDAI,-15.4,35.75,20,1006,2019,3,7,2019/03/07 05:00:00+00
674138,674139,2019063S18038,SI,MM,IDAI,-15.43,35.69,20,1006,2019,3,7,2019/03/07 05:00:00+00
674139,674140,2019063S18038,SI,MM,IDAI,-15.5,35.65,20,1007,2019,3,7,2019/03/07 05:00:00+00
674140,674141,2019063S18038,SI,MM,IDAI,-15.67,35.67,20,1007,2019,3,7,2019/03/07 05:00:00+00
674141,674142,2019063S18038,SI,MM,IDAI,-15.85,35.8,20,1007,2019,3,8,2019/03/08 05:00:00+00
674142,674143,2019063S18038,SI,MM,IDAI,-15.96,36.08,20,1007,2019,3,8,2019/03/08 05:00:00+00
674143,674144,2019063S18038,SI,MM,IDAI,-16.05,36.45,20,1007,2019,3,8,2019/03/08 05:00:00+00
674144,674145,2019063S18038,SI,MM,IDAI,-16.18,36.81,20,1007,2019,3,8,2019/03/08 05:00:00+00
674145,674146,2019063S18038,SI,MM,IDAI,-16.3,37.2,20,1007,2019,3,8,2019/03/08 05:00:00+00
674146,674147,2019063S18038,SI,MM,IDAI,-16.4,37.6,22,1006,2019,3,8,2019/03/08 05:00:00+00
674147,674148,2019063S18038,SI,MM,IDAI,-16.5,38.05,25,1005,2019,3,8,2019/03/08 05:00:00+00
674148,674149,2019063S18038,SI,MM,IDAI,-16.62,38.56,27,1004,2019,3,8,2019/03/08 05:00:00+00
674149,674150,2019063S18038,SI,MM,IDAI,-16.75,39.1,30,1004,2019,3,9,2019/03/09 05:00:00+00
674150,674151,2019063S18038,SI,MM,IDAI,-16.9,39.65,30,1004,2019,3,9,2019/03/09 05:00:00+00
674151,674152,2019063S18038,SI,MM,IDAI,-17.0,40.2,30,1005,2019,3,9,2019/03/09 05:00:00+00
674152,674153,2019063S18038,SI,MM,IDAI,-16.99,40.76,32,1004,2019,3,9,2019/03/09 05:00:00+00
674153,674154,2019063S18038,SI,MM,IDAI,-16.95,41.25,35,1004,2019,3,9,2019/03/09 05:00:00+00
674154,674155,2019063S18038,SI,MM,IDAI,-16.98,41.65,37,1003,2019,3,9,2019/03/09 05:00:00+00
674155,674156,2019063S18038,SI,MM,IDAI,-17.05,41.95,40,1002,2019,3,9,2019/03/09 05:00:00+00
674156,674157,2019063S18038,SI,MM,IDAI,-17.13,42.18,40,1002,2019,3,9,2019/03/09 05:00:00+00
674157,674158,2019063S18038,SI,MM,IDAI,-17.2,42.35,40,1002,2019,3,10,2019/03/10 05:00:00+00
674158,674159,2019063S18038,SI,MM,IDAI,-17.24,42.48,45,999,2019,3,10,2019/03/10 05:00:00+00
674159,674160,2019063S18038,SI,MM,IDAI,-17.25,42.6,50,996,2019,3,10,2019/03/10 05:00:00+00
674160,674161,2019063S18038,SI,MM,IDAI,-17.23,42.8,55,993,2019,3,10,2019/03/10 05:00:00+00
674161,674162,2019063S18038,SI,MM,IDAI,-17.2,43.0,60,990,2019,3,10,2019/03/10 05:00:00+00
674162,674163,2019063S18038,SI,MM,IDAI,-17.16,43.14,67,985,2019,3,10,2019/03/10 05:00:00+00
674163,674164,2019063S18038,SI,MM,IDAI,-17.15,43.2,75,980,2019,3,10,2019/03/10 05:00:00+00
674164,674165,2019063S18038,SI,MM,IDAI,-17.19,43.18,85,972,2019,3,10,2019/03/10 05:00:00+00
674165,674166,2019063S18038,SI,MM,IDAI,-17.25,43.1,95,965,2019,3,11,2019/03/11 04:00:00+00
674166,674167,2019063S18038,SI,MM,IDAI,-17.27,43.03,115,947,2019,3,11,2019/03/11 04:00:00+00
674167,674168,2019063S18038,SI,MM,IDAI,-17.35,43.0,110,950,2019,3,11,2019/03/11 04:00:00+00
674168,674169,2019063S18038,SI,MM,IDAI,-17.45,42.9,110,950,2019,3,11,2019/03/11 04:00:00+00
674169,674170,2019063S18038,SI,MM,IDAI,-17.55,42.75,110,951,2019,3,11,2019/03/11 04:00:00+00
674170,674171,2019063S18038,SI,MM,IDAI,-17.62,42.58,107,953,2019,3,11,2019/03/11 04:00:00+00
674171,674172,2019063S18038,SI,MM,IDAI,-17.7,42.4,105,956,2019,3,11,2019/03/11 04:00:00+00
674172,674173,2019063S18038,SI,MM,IDAI,-17.81,42.28,102,957,2019,3,11,2019/03/11 04:00:00+00
674173,674174,2019063S18038,SI,MM,IDAI,-17.95,42.15,100,959,2019,3,12,2019/03/12 04:00:00+00
674174,674175,2019063S18038,SI,MM,IDAI,-18.11,41.97,95,963,2019,3,12,2019/03/12 04:00:00+00
674175,674176,2019063S18038,SI,MM,IDAI,-18.3,41.75,90,968,2019,3,12,2019/03/12 04:00:00+00
674176,674177,2019063S18038,SI,MM,IDAI,-18.5,41.5,90,968,2019,3,12,2019/03/12 04:00:00+00
674177,674178,2019063S18038,SI,MM,IDAI,-18.7,41.25,90,968,2019,3,12,2019/03/12 04:00:00+00
674178,674179,2019063S18038,SI,MM,IDAI,-18.86,41.04,92,966,2019,3,12,2019/03/12 04:00:00+00
674179,674180,2019063S18038,SI,MM,IDAI,-19.0,40.8,95,964,2019,3,12,2019/03/12 04:00:00+00
674180,674181,2019063S18038,SI,MM,IDAI,-19.12,40.43,95,965,2019,3,12,2019/03/12 04:00:00+00
674181,674182,2019063S18038,SI,MM,IDAI,-19.2,40.05,95,966,2019,3,13,2019/03/13 04:00:00+00
674182,674183,2019063S18038,SI,MM,IDAI,-19.26,39.78,95,966,2019,3,13,2019/03/13 04:00:00+00
674183,674184,2019063S18038,SI,MM,IDAI,-19.3,39.55,95,966,2019,3,13,2019/03/13 04:00:00+00
674184,674185,2019063S18038,SI,MM,IDAI,-19.35,39.27,100,963,2019,3,13,2019/03/13 04:00:00+00
674185,674186,2019063S18038,SI,MM,IDAI,-19.4,39.0,105,960,2019,3,13,2019/03/13 04:00:00+00
674186,674187,2019063S18038,SI,MM,IDAI,-19.45,38.75,110,954,2019,3,13,2019/03/13 04:00:00+00
674187,674188,2019063S18038,SI,MM,IDAI,-19.5,38.5,115,948,2019,3,13,2019/03/13 04:00:00+00
674188,674189,2019063S18038,SI,MM,IDAI,-19.57,38.22,112,950,2019,3,13,2019/03/13 04:00:00+00
674189,674190,2019063S18038,SI,MM,IDAI,-19.65,37.9,110,953,2019,3,14,2019/03/14 04:00:00+00
674190,674191,2019063S18038,SI,MM,IDAI,-19.73,37.54,107,955,2019,3,14,2019/03/14 04:00:00+00
674191,674192,2019063S18038,SI,MM,IDAI,-19.8,37.15,105,958,2019,3,14,2019/03/14 04:00:00+00
674192,674193,2019063S18038,SI,MM,IDAI,-19.87,36.75,100,962,2019,3,14,2019/03/14 04:00:00+00
674193,674194,2019063S18038,SI,MM,IDAI,-19.9,36.35,95,967,2019,3,14,2019/03/14 04:00:00+00
674194,674195,2019063S18038,SI,MM,IDAI,-19.86,35.97,92,967,2019,3,14,2019/03/14 04:00:00+00
674195,674196,2019063S18038,SI,MM,IDAI,-19.8,35.6,90,968,2019,3,14,2019/03/14 04:00:00+00
674196,674197,2019063S18038,SI,MM,IDAI,-19.79,35.2,100,964,2019,3,14,2019/03/14 04:00:00+00
674197,674198,2019063S18038,SI,MM,IDAI,-19.7,34.8,100,965,2019,3,15,2019/03/15 04:00:00+00
674198,674199,2019063S18038,SI,MM,IDAI,-19.55,34.47,92,971,2019,3,15,2019/03/15 04:00:00+00
674199,674200,2019063S18038,SI,MM,IDAI,-19.4,34.15,85,977,2019,3,15,2019/03/15 04:00:00+00
674200,674201,2019063S18038,SI,MM,IDAI,-19.34,33.79,77,982,2019,3,15,2019/03/15 04:00:00+00
674201,674202,2019063S18038,SI,MM,IDAI,-19.3,33.45,70,987,2019,3,15,2019/03/15 04:00:00+00
674202,674203,2019063S18038,SI,MM,IDAI,-19.23,33.17,62,991,2019,3,15,2019/03/15 04:00:00+00
674203,674204,2019063S18038,SI,MM,IDAI,-19.15,32.9,55,995,2019,3,15,2019/03/15 04:00:00+00
674204,674205,2019063S18038,SI,MM,IDAI,-19.09,32.55,47,997,2019,3,15,2019/03/15 04:00:00+00
674205,674206,2019063S18038,SI,MM,IDAI,-19.0,32.21,40,1000,2019,3,16,2019/03/16 04:00:00+00
674206,674207,2019063S18038,SI,MM,IDAI,-18.86,31.95,35,1005,2019,3,16,2019/03/16 04:00:00+00
674207,674208,2019063S18038,SI,MM,IDAI,-18.7,31.73,30,1010,2019,3,16,2019/03/16 04:00:00+00
674208,674209,2019063S18038,SI,MM,IDAI,-18.59,31.59,0,0,2019,3,16,2019/03/16 04:00:00+00
