Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
628851,628852,2012024S15116,SI,WA,IGGY,-15.0,116.0,0,0,2012,1,23,2012/01/23 05:00:00+00
628852,628853,2012024S15116,SI,WA,IGGY,-15.08,115.26,0,0,2012,1,23,2012/01/23 05:00:00+00
628853,628854,2012024S15116,SI,WA,IGGY,-15.15,114.5,0,0,2012,1,23,2012/01/23 05:00:00+00
628854,628855,2012024S15116,SI,WA,IGGY,-15.22,113.71,0,0,2012,1,23,2012/01/23 05:00:00+00
628855,628856,2012024S15116,SI,WA,IGGY,-15.54,112.98,20,1003,2012,1,24,2012/01/24 05:00:00+00
628856,628857,2012024S15116,SI,WA,IGGY,-15.81,112.44,22,1003,2012,1,24,2012/01/24 05:00:00+00
628857,628858,2012024S15116,SI,WA,IGGY,-16.0,111.96,25,1004,2012,1,24,2012/01/24 05:00:00+00
628858,628859,2012024S15116,SI,WA,IGGY,-16.04,111.42,25,1004,2012,1,24,2012/01/24 05:00:00+00
628859,628860,2012024S15116,SI,WA,IGGY,-15.97,110.9,25,1004,2012,1,24,2012/01/24 05:00:00+00
628860,628861,2012024S15116,SI,WA,IGGY,-15.96,110.4,27,1000,2012,1,24,2012/01/24 05:00:00+00
628861,628862,2012024S15116,SI,WA,IGGY,-15.95,109.96,30,996,2012,1,24,2012/01/24 05:00:00+00
628862,628863,2012024S15116,SI,WA,IGGY,-15.89,109.62,30,998,2012,1,24,2012/01/24 05:00:00+00
628863,628864,2012024S15116,SI,WA,IGGY,-15.87,109.43,30,998,2012,1,24,2012/01/24 05:00:00+00
628864,628865,2012024S15116,SI,WA,IGGY,-15.85,109.2,30,1000,2012,1,25,2012/01/25 05:00:00+00
628865,628866,2012024S15116,SI,WA,IGGY,-15.85,108.69,32,998,2012,1,25,2012/01/25 05:00:00+00
628866,628867,2012024S15116,SI,WA,IGGY,-15.85,108.3,35,996,2012,1,25,2012/01/25 05:00:00+00
628867,628868,2012024S15116,SI,WA,IGGY,-15.8,108.21,35,996,2012,1,25,2012/01/25 05:00:00+00
628868,628869,2012024S15116,SI,WA,IGGY,-15.8,108.25,35,996,2012,1,25,2012/01/25 05:00:00+00
628869,628870,2012024S15116,SI,WA,IGGY,-15.83,108.26,35,996,2012,1,25,2012/01/25 05:00:00+00
628870,628871,2012024S15116,SI,WA,IGGY,-15.84,108.28,35,996,2012,1,25,2012/01/25 05:00:00+00
628871,628872,2012024S15116,SI,WA,IGGY,-15.85,108.38,35,996,2012,1,25,2012/01/25 05:00:00+00
628872,628873,2012024S15116,SI,WA,IGGY,-15.93,108.48,40,992,2012,1,25,2012/01/25 05:00:00+00
628873,628874,2012024S15116,SI,WA,IGGY,-15.99,108.54,42,991,2012,1,25,2012/01/25 05:00:00+00
628874,628875,2012024S15116,SI,WA,IGGY,-16.09,108.64,45,989,2012,1,26,2012/01/26 05:00:00+00
628875,628876,2012024S15116,SI,WA,IGGY,-16.31,108.77,45,989,2012,1,26,2012/01/26 05:00:00+00
628876,628877,2012024S15116,SI,WA,IGGY,-16.56,108.9,45,989,2012,1,26,2012/01/26 05:00:00+00
628877,628878,2012024S15116,SI,WA,IGGY,-16.79,109.1,45,989,2012,1,26,2012/01/26 05:00:00+00
628878,628879,2012024S15116,SI,WA,IGGY,-16.91,109.22,45,989,2012,1,26,2012/01/26 05:00:00+00
628879,628880,2012024S15116,SI,WA,IGGY,-16.98,109.28,45,989,2012,1,26,2012/01/26 05:00:00+00
628880,628881,2012024S15116,SI,WA,IGGY,-17.04,109.34,45,988,2012,1,26,2012/01/26 05:00:00+00
628881,628882,2012024S15116,SI,WA,IGGY,-17.17,109.44,47,987,2012,1,26,2012/01/26 05:00:00+00
628882,628883,2012024S15116,SI,WA,IGGY,-17.47,109.64,50,985,2012,1,26,2012/01/26 05:00:00+00
628883,628884,2012024S15116,SI,WA,IGGY,-17.8,109.83,52,983,2012,1,26,2012/01/26 05:00:00+00
628884,628885,2012024S15116,SI,WA,IGGY,-17.9,109.89,53,982,2012,1,26,2012/01/26 05:00:00+00
628885,628886,2012024S15116,SI,WA,IGGY,-18.04,109.99,55,982,2012,1,27,2012/01/27 05:00:00+00
628886,628887,2012024S15116,SI,WA,IGGY,-18.32,110.19,55,982,2012,1,27,2012/01/27 05:00:00+00
628887,628888,2012024S15116,SI,WA,IGGY,-18.58,110.42,55,982,2012,1,27,2012/01/27 05:00:00+00
628888,628889,2012024S15116,SI,WA,IGGY,-18.72,110.57,55,982,2012,1,27,2012/01/27 05:00:00+00
628889,628890,2012024S15116,SI,WA,IGGY,-18.81,110.63,55,982,2012,1,27,2012/01/27 05:00:00+00
628890,628891,2012024S15116,SI,WA,IGGY,-19.02,110.72,55,982,2012,1,27,2012/01/27 05:00:00+00
628891,628892,2012024S15116,SI,WA,IGGY,-19.11,110.75,55,982,2012,1,27,2012/01/27 05:00:00+00
628892,628893,2012024S15116,SI,WA,IGGY,-19.34,110.79,55,982,2012,1,27,2012/01/27 05:00:00+00
628893,628894,2012024S15116,SI,WA,IGGY,-19.42,110.79,55,982,2012,1,27,2012/01/27 05:00:00+00
628894,628895,2012024S15116,SI,WA,IGGY,-19.46,110.77,55,982,2012,1,27,2012/01/27 05:00:00+00
628895,628896,2012024S15116,SI,WA,IGGY,-19.56,110.68,55,982,2012,1,27,2012/01/27 05:00:00+00
628896,628897,2012024S15116,SI,WA,IGGY,-19.6,110.67,55,982,2012,1,27,2012/01/27 05:00:00+00
628897,628898,2012024S15116,SI,WA,IGGY,-19.7,110.74,55,982,2012,1,28,2012/01/28 05:00:00+00
628898,628899,2012024S15116,SI,WA,IGGY,-19.83,110.74,55,982,2012,1,28,2012/01/28 05:00:00+00
628899,628900,2012024S15116,SI,WA,IGGY,-19.93,110.7,55,982,2012,1,28,2012/01/28 05:00:00+00
628900,628901,2012024S15116,SI,WA,IGGY,-19.97,110.7,55,982,2012,1,28,2012/01/28 05:00:00+00
628901,628902,2012024S15116,SI,WA,IGGY,-20.06,110.74,55,982,2012,1,28,2012/01/28 05:00:00+00
628902,628903,2012024S15116,SI,WA,IGGY,-20.12,110.78,55,982,2012,1,28,2012/01/28 05:00:00+00
628903,628904,2012024S15116,SI,WA,IGGY,-20.12,110.83,55,982,2012,1,28,2012/01/28 05:00:00+00
628904,628905,2012024S15116,SI,WA,IGGY,-20.17,110.91,55,982,2012,1,28,2012/01/28 05:00:00+00
628905,628906,2012024S15116,SI,WA,IGGY,-20.18,110.92,55,982,2012,1,28,2012/01/28 05:00:00+00
