Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
414280,414281,1979297N12265,EP,MM,IGNACIO,11.7,-95.3,25,0,1979,10,23,1979/10/23 04:00:00+00
414281,414282,1979297N12265,EP,MM,IGNACIO,11.64,-95.75,27,0,1979,10,23,1979/10/23 04:00:00+00
414282,414283,1979297N12265,EP,MM,IGNACIO,11.6,-96.2,30,0,1979,10,24,1979/10/24 04:00:00+00
414283,414284,1979297N12265,EP,MM,IGNACIO,11.59,-96.65,30,0,1979,10,24,1979/10/24 04:00:00+00
414284,414285,1979297N12265,EP,MM,IGNACIO,11.58,-97.09,30,0,1979,10,24,1979/10/24 04:00:00+00
414285,414286,1979297N12265,EP,MM,IGNACIO,11.54,-97.49,32,0,1979,10,24,1979/10/24 04:00:00+00
414286,414287,1979297N12265,EP,MM,IGNACIO,11.5,-97.9,35,0,1979,10,24,1979/10/24 04:00:00+00
414287,414288,1979297N12265,EP,MM,IGNACIO,11.48,-98.35,35,0,1979,10,24,1979/10/24 04:00:00+00
414288,414289,1979297N12265,EP,MM,IGNACIO,11.51,-98.8,35,0,1979,10,24,1979/10/24 04:00:00+00
414289,414290,1979297N12265,EP,MM,IGNACIO,11.59,-99.26,35,0,1979,10,24,1979/10/24 04:00:00+00
414290,414291,1979297N12265,EP,MM,IGNACIO,11.7,-99.7,35,0,1979,10,25,1979/10/25 04:00:00+00
414291,414292,1979297N12265,EP,MM,IGNACIO,11.79,-100.11,37,0,1979,10,25,1979/10/25 04:00:00+00
414292,414293,1979297N12265,EP,MM,IGNACIO,11.93,-100.5,40,0,1979,10,25,1979/10/25 04:00:00+00
414293,414294,1979297N12265,EP,MM,IGNACIO,12.19,-100.85,40,0,1979,10,25,1979/10/25 04:00:00+00
414294,414295,1979297N12265,EP,MM,IGNACIO,12.5,-101.2,40,0,1979,10,25,1979/10/25 04:00:00+00
414295,414296,1979297N12265,EP,MM,IGNACIO,12.75,-101.6,40,0,1979,10,25,1979/10/25 04:00:00+00
414296,414297,1979297N12265,EP,MM,IGNACIO,12.99,-102.0,40,0,1979,10,25,1979/10/25 04:00:00+00
414297,414298,1979297N12265,EP,MM,IGNACIO,13.23,-102.37,42,0,1979,10,25,1979/10/25 04:00:00+00
414298,414299,1979297N12265,EP,MM,IGNACIO,13.5,-102.7,45,0,1979,10,26,1979/10/26 04:00:00+00
414299,414300,1979297N12265,EP,MM,IGNACIO,13.84,-102.97,50,0,1979,10,26,1979/10/26 04:00:00+00
414300,414301,1979297N12265,EP,MM,IGNACIO,14.19,-103.2,55,0,1979,10,26,1979/10/26 04:00:00+00
414301,414302,1979297N12265,EP,MM,IGNACIO,14.51,-103.44,57,0,1979,10,26,1979/10/26 04:00:00+00
414302,414303,1979297N12265,EP,MM,IGNACIO,14.8,-103.7,60,0,1979,10,26,1979/10/26 04:00:00+00
414303,414304,1979297N12265,EP,MM,IGNACIO,15.06,-103.99,65,0,1979,10,26,1979/10/26 04:00:00+00
414304,414305,1979297N12265,EP,MM,IGNACIO,15.32,-104.3,70,0,1979,10,26,1979/10/26 04:00:00+00
414305,414306,1979297N12265,EP,MM,IGNACIO,15.61,-104.64,75,0,1979,10,26,1979/10/26 04:00:00+00
414306,414307,1979297N12265,EP,MM,IGNACIO,15.9,-105.0,80,0,1979,10,27,1979/10/27 04:00:00+00
414307,414308,1979297N12265,EP,MM,IGNACIO,16.16,-105.35,85,0,1979,10,27,1979/10/27 04:00:00+00
414308,414309,1979297N12265,EP,MM,IGNACIO,16.4,-105.7,90,0,1979,10,27,1979/10/27 04:00:00+00
414309,414310,1979297N12265,EP,MM,IGNACIO,16.62,-106.04,90,0,1979,10,27,1979/10/27 04:00:00+00
414310,414311,1979297N12265,EP,MM,IGNACIO,16.8,-106.4,90,0,1979,10,27,1979/10/27 04:00:00+00
414311,414312,1979297N12265,EP,MM,IGNACIO,16.92,-106.85,107,0,1979,10,27,1979/10/27 04:00:00+00
414312,414313,1979297N12265,EP,MM,IGNACIO,17.0,-107.25,125,938,1979,10,27,1979/10/27 04:00:00+00
414313,414314,1979297N12265,EP,MM,IGNACIO,17.07,-107.46,122,0,1979,10,27,1979/10/27 04:00:00+00
414314,414315,1979297N12265,EP,MM,IGNACIO,17.1,-107.6,120,0,1979,10,28,1979/10/28 04:00:00+00
414315,414316,1979297N12265,EP,MM,IGNACIO,17.05,-107.81,117,0,1979,10,28,1979/10/28 04:00:00+00
414316,414317,1979297N12265,EP,MM,IGNACIO,17.05,-107.98,115,0,1979,10,28,1979/10/28 04:00:00+00
414317,414318,1979297N12265,EP,MM,IGNACIO,17.2,-108.01,107,0,1979,10,28,1979/10/28 04:00:00+00
414318,414319,1979297N12265,EP,MM,IGNACIO,17.4,-108.0,100,0,1979,10,28,1979/10/28 04:00:00+00
414319,414320,1979297N12265,EP,MM,IGNACIO,17.56,-108.06,95,0,1979,10,28,1979/10/28 04:00:00+00
414320,414321,1979297N12265,EP,MM,IGNACIO,17.7,-108.1,90,969,1979,10,28,1979/10/28 04:00:00+00
414321,414322,1979297N12265,EP,MM,IGNACIO,17.87,-108.05,85,0,1979,10,28,1979/10/28 04:00:00+00
414322,414323,1979297N12265,EP,MM,IGNACIO,18.0,-107.9,80,0,1979,10,29,1979/10/29 04:00:00+00
414323,414324,1979297N12265,EP,MM,IGNACIO,18.03,-107.64,77,0,1979,10,29,1979/10/29 04:00:00+00
414324,414325,1979297N12265,EP,MM,IGNACIO,18.01,-107.31,75,0,1979,10,29,1979/10/29 04:00:00+00
414325,414326,1979297N12265,EP,MM,IGNACIO,18.0,-106.97,70,0,1979,10,29,1979/10/29 04:00:00+00
414326,414327,1979297N12265,EP,MM,IGNACIO,18.0,-106.6,65,0,1979,10,29,1979/10/29 04:00:00+00
414327,414328,1979297N12265,EP,MM,IGNACIO,18.05,-106.22,60,0,1979,10,29,1979/10/29 04:00:00+00
414328,414329,1979297N12265,EP,MM,IGNACIO,18.09,-105.82,55,0,1979,10,29,1979/10/29 04:00:00+00
414329,414330,1979297N12265,EP,MM,IGNACIO,18.11,-105.44,55,0,1979,10,29,1979/10/29 04:00:00+00
414330,414331,1979297N12265,EP,MM,IGNACIO,18.1,-105.0,55,997,1979,10,30,1979/10/30 04:00:00+00
414331,414332,1979297N12265,EP,MM,IGNACIO,18.06,-104.44,55,0,1979,10,30,1979/10/30 04:00:00+00
414332,414333,1979297N12265,EP,MM,IGNACIO,18.01,-103.79,55,0,1979,10,30,1979/10/30 04:00:00+00
414333,414334,1979297N12265,EP,MM,IGNACIO,18.0,-103.0,42,0,1979,10,30,1979/10/30 04:00:00+00
414334,414335,1979297N12265,EP,MM,IGNACIO,18.0,-102.3,30,0,1979,10,30,1979/10/30 04:00:00+00
414335,414336,1979297N12265,EP,MM,IGNACIO,18.0,-101.94,27,0,1979,10,30,1979/10/30 04:00:00+00
451242,451243,1985202N13226,EP,MM,IGNACIO,13.2,-134.4,25,0,1985,7,21,1985/07/21 04:00:00+00
451243,451244,1985202N13226,EP,MM,IGNACIO,13.2,-134.95,30,0,1985,7,21,1985/07/21 04:00:00+00
451244,451245,1985202N13226,EP,MM,IGNACIO,13.21,-135.48,35,0,1985,7,21,1985/07/21 04:00:00+00
451245,451246,1985202N13226,EP,MM,IGNACIO,13.26,-136.0,37,0,1985,7,21,1985/07/21 04:00:00+00
451246,451247,1985202N13226,EP,MM,IGNACIO,13.3,-136.5,40,0,1985,7,21,1985/07/21 04:00:00+00
451247,451248,1985202N13226,EP,MM,IGNACIO,13.3,-136.96,45,0,1985,7,21,1985/07/21 04:00:00+00
451248,451249,1985202N13226,EP,MM,IGNACIO,13.31,-137.45,50,0,1985,7,21,1985/07/21 04:00:00+00
451249,451250,1985202N13226,EP,MM,IGNACIO,13.35,-138.02,55,0,1985,7,21,1985/07/21 04:00:00+00
451250,451251,1985202N13226,EP,MM,IGNACIO,13.4,-138.6,60,0,1985,7,22,1985/07/22 04:00:00+00
451251,451252,1985202N13226,EP,MM,IGNACIO,13.45,-139.12,60,0,1985,7,22,1985/07/22 04:00:00+00
451252,451253,1985202N13226,EP,MM,IGNACIO,13.51,-139.55,60,0,1985,7,22,1985/07/22 04:00:00+00
451253,451254,1985202N13226,EP,MM,IGNACIO,13.6,-139.84,60,0,1985,7,22,1985/07/22 04:00:00+00
451254,451255,1985202N13226,EP,CP,IGNACIO,13.71,-140.11,60,0,1985,7,22,1985/07/22 04:00:00+00
451255,451256,1985202N13226,EP,CP,IGNACIO,13.81,-140.44,67,0,1985,7,22,1985/07/22 04:00:00+00
451256,451257,1985202N13226,EP,CP,IGNACIO,13.92,-140.8,75,0,1985,7,22,1985/07/22 04:00:00+00
451257,451258,1985202N13226,EP,CP,IGNACIO,14.05,-141.19,82,0,1985,7,22,1985/07/22 04:00:00+00
451258,451259,1985202N13226,EP,CP,IGNACIO,14.18,-141.6,90,0,1985,7,23,1985/07/23 04:00:00+00
451259,451260,1985202N13226,EP,CP,IGNACIO,14.29,-141.99,95,0,1985,7,23,1985/07/23 04:00:00+00
451260,451261,1985202N13226,EP,CP,IGNACIO,14.39,-142.36,100,0,1985,7,23,1985/07/23 04:00:00+00
451261,451262,1985202N13226,EP,CP,IGNACIO,14.46,-142.68,105,0,1985,7,23,1985/07/23 04:00:00+00
451262,451263,1985202N13226,EP,CP,IGNACIO,14.54,-143.0,110,0,1985,7,23,1985/07/23 04:00:00+00
451263,451264,1985202N13226,EP,CP,IGNACIO,14.67,-143.37,112,0,1985,7,23,1985/07/23 04:00:00+00
451264,451265,1985202N13226,EP,CP,IGNACIO,14.82,-143.77,115,0,1985,7,23,1985/07/23 04:00:00+00
451265,451266,1985202N13226,EP,CP,IGNACIO,14.96,-144.18,115,0,1985,7,23,1985/07/23 04:00:00+00
451266,451267,1985202N13226,EP,CP,IGNACIO,15.1,-144.6,115,0,1985,7,24,1985/07/24 04:00:00+00
451267,451268,1985202N13226,EP,CP,IGNACIO,15.25,-145.05,115,0,1985,7,24,1985/07/24 04:00:00+00
451268,451269,1985202N13226,EP,CP,IGNACIO,15.38,-145.53,115,0,1985,7,24,1985/07/24 04:00:00+00
451269,451270,1985202N13226,EP,CP,IGNACIO,15.47,-146.01,115,0,1985,7,24,1985/07/24 04:00:00+00
451270,451271,1985202N13226,EP,CP,IGNACIO,15.54,-146.5,115,0,1985,7,24,1985/07/24 04:00:00+00
451271,451272,1985202N13226,EP,CP,IGNACIO,15.6,-146.96,107,0,1985,7,24,1985/07/24 04:00:00+00
451272,451273,1985202N13226,EP,CP,IGNACIO,15.65,-147.43,100,0,1985,7,24,1985/07/24 04:00:00+00
451273,451274,1985202N13226,EP,CP,IGNACIO,15.74,-147.9,95,0,1985,7,24,1985/07/24 04:00:00+00
451274,451275,1985202N13226,EP,CP,IGNACIO,15.82,-148.4,90,0,1985,7,25,1985/07/25 04:00:00+00
451275,451276,1985202N13226,EP,CP,IGNACIO,15.88,-148.95,90,0,1985,7,25,1985/07/25 04:00:00+00
451276,451277,1985202N13226,EP,CP,IGNACIO,15.92,-149.51,90,0,1985,7,25,1985/07/25 04:00:00+00
451277,451278,1985202N13226,EP,CP,IGNACIO,15.92,-150.06,90,0,1985,7,25,1985/07/25 04:00:00+00
451278,451279,1985202N13226,EP,CP,IGNACIO,15.9,-150.62,90,0,1985,7,25,1985/07/25 04:00:00+00
451279,451280,1985202N13226,EP,CP,IGNACIO,15.86,-151.24,85,0,1985,7,25,1985/07/25 04:00:00+00
451280,451281,1985202N13226,EP,CP,IGNACIO,15.81,-151.86,80,0,1985,7,25,1985/07/25 04:00:00+00
451281,451282,1985202N13226,EP,CP,IGNACIO,15.75,-152.43,72,0,1985,7,25,1985/07/25 04:00:00+00
451282,451283,1985202N13226,EP,CP,IGNACIO,15.68,-153.0,65,0,1985,7,26,1985/07/26 04:00:00+00
451283,451284,1985202N13226,EP,CP,IGNACIO,15.62,-153.61,57,0,1985,7,26,1985/07/26 04:00:00+00
451284,451285,1985202N13226,EP,CP,IGNACIO,15.53,-154.21,50,0,1985,7,26,1985/07/26 04:00:00+00
451285,451286,1985202N13226,EP,CP,IGNACIO,15.4,-154.74,50,0,1985,7,26,1985/07/26 04:00:00+00
451286,451287,1985202N13226,EP,CP,IGNACIO,15.24,-155.32,50,0,1985,7,26,1985/07/26 04:00:00+00
451287,451288,1985202N13226,EP,CP,IGNACIO,15.06,-156.04,45,0,1985,7,26,1985/07/26 04:00:00+00
451288,451289,1985202N13226,EP,CP,IGNACIO,14.83,-156.84,40,0,1985,7,26,1985/07/26 04:00:00+00
451289,451290,1985202N13226,EP,CP,IGNACIO,14.56,-157.66,32,0,1985,7,26,1985/07/26 04:00:00+00
493744,493745,1991259N14258,EP,MM,IGNACIO,14.1,-102.2,25,1009,1991,9,16,1991/09/16 04:00:00+00
493745,493746,1991259N14258,EP,MM,IGNACIO,14.61,-102.1,27,1008,1991,9,16,1991/09/16 04:00:00+00
493746,493747,1991259N14258,EP,MM,IGNACIO,15.1,-102.1,30,1008,1991,9,16,1991/09/16 04:00:00+00
493747,493748,1991259N14258,EP,MM,IGNACIO,15.57,-102.25,32,1006,1991,9,16,1991/09/16 04:00:00+00
493748,493749,1991259N14258,EP,MM,IGNACIO,16.0,-102.5,35,1005,1991,9,16,1991/09/16 04:00:00+00
493749,493750,1991259N14258,EP,MM,IGNACIO,16.39,-102.76,40,1002,1991,9,16,1991/09/16 04:00:00+00
493750,493751,1991259N14258,EP,MM,IGNACIO,16.7,-103.0,45,1000,1991,9,17,1991/09/17 04:00:00+00
493751,493752,1991259N14258,EP,MM,IGNACIO,16.92,-103.17,47,998,1991,9,17,1991/09/17 04:00:00+00
493752,493753,1991259N14258,EP,MM,IGNACIO,17.1,-103.3,50,997,1991,9,17,1991/09/17 04:00:00+00
493753,493754,1991259N14258,EP,MM,IGNACIO,17.32,-103.44,52,995,1991,9,17,1991/09/17 04:00:00+00
493754,493755,1991259N14258,EP,MM,IGNACIO,17.5,-103.5,55,994,1991,9,17,1991/09/17 04:00:00+00
493755,493756,1991259N14258,EP,MM,IGNACIO,17.63,-103.44,55,994,1991,9,17,1991/09/17 04:00:00+00
493756,493757,1991259N14258,EP,MM,IGNACIO,17.7,-103.3,55,995,1991,9,17,1991/09/17 04:00:00+00
493757,493758,1991259N14258,EP,MM,IGNACIO,17.73,-103.15,52,996,1991,9,17,1991/09/17 04:00:00+00
