Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
536167,536168,1997018S10074,SI,MM,ILETTA,-9.9,74.0,25,0,1997,1,17,1997/01/17 05:00:00+00
536168,536169,1997018S10074,SI,MM,ILETTA,-9.95,73.91,25,0,1997,1,17,1997/01/17 05:00:00+00
536169,536170,1997018S10074,SI,MM,ILETTA,-10.0,73.8,25,0,1997,1,18,1997/01/18 05:00:00+00
536170,536171,1997018S10074,SI,MM,ILETTA,-10.05,73.65,25,0,1997,1,18,1997/01/18 05:00:00+00
536171,536172,1997018S10074,SI,MM,ILETTA,-10.1,73.5,25,0,1997,1,18,1997/01/18 05:00:00+00
536172,536173,1997018S10074,SI,MM,ILETTA,-10.15,73.39,25,0,1997,1,18,1997/01/18 05:00:00+00
536173,536174,1997018S10074,SI,MM,ILETTA,-10.2,73.3,25,0,1997,1,18,1997/01/18 05:00:00+00
536174,536175,1997018S10074,SI,MM,ILETTA,-10.25,73.2,25,0,1997,1,18,1997/01/18 05:00:00+00
536175,536176,1997018S10074,SI,MM,ILETTA,-10.3,73.1,25,0,1997,1,18,1997/01/18 05:00:00+00
536176,536177,1997018S10074,SI,MM,ILETTA,-10.35,72.99,25,0,1997,1,18,1997/01/18 05:00:00+00
536177,536178,1997018S10074,SI,MM,ILETTA,-10.4,72.9,25,0,1997,1,19,1997/01/19 05:00:00+00
536178,536179,1997018S10074,SI,MM,ILETTA,-10.45,72.84,25,0,1997,1,19,1997/01/19 05:00:00+00
536179,536180,1997018S10074,SI,MM,ILETTA,-10.5,72.8,25,0,1997,1,19,1997/01/19 05:00:00+00
536180,536181,1997018S10074,SI,MM,ILETTA,-10.55,72.76,25,0,1997,1,19,1997/01/19 05:00:00+00
536181,536182,1997018S10074,SI,MM,ILETTA,-10.6,72.7,25,0,1997,1,19,1997/01/19 05:00:00+00
536182,536183,1997018S10074,SI,MM,ILETTA,-10.65,72.6,25,0,1997,1,19,1997/01/19 05:00:00+00
536183,536184,1997018S10074,SI,MM,ILETTA,-10.7,72.5,25,0,1997,1,19,1997/01/19 05:00:00+00
536184,536185,1997018S10074,SI,MM,ILETTA,-10.76,72.45,25,0,1997,1,19,1997/01/19 05:00:00+00
536185,536186,1997018S10074,SI,MM,ILETTA,-10.8,72.4,25,0,1997,1,20,1997/01/20 05:00:00+00
536186,536187,1997018S10074,SI,MM,ILETTA,-10.81,72.31,25,0,1997,1,20,1997/01/20 05:00:00+00
536187,536188,1997018S10074,SI,MM,ILETTA,-10.8,72.2,25,0,1997,1,20,1997/01/20 05:00:00+00
536188,536189,1997018S10074,SI,MM,ILETTA,-10.8,72.1,25,0,1997,1,20,1997/01/20 05:00:00+00
536189,536190,1997018S10074,SI,MM,ILETTA,-10.8,72.0,25,0,1997,1,20,1997/01/20 05:00:00+00
536190,536191,1997018S10074,SI,MM,ILETTA,-10.8,71.9,25,0,1997,1,20,1997/01/20 05:00:00+00
536191,536192,1997018S10074,SI,MM,ILETTA,-10.8,71.8,25,0,1997,1,20,1997/01/20 05:00:00+00
536192,536193,1997018S10074,SI,MM,ILETTA,-10.8,71.7,20,0,1997,1,20,1997/01/20 05:00:00+00
536193,536194,1997018S10074,SI,MM,ILETTA,-10.8,71.6,15,0,1997,1,21,1997/01/21 05:00:00+00
536194,536195,1997018S10074,SI,MM,ILETTA,-10.8,71.5,17,0,1997,1,21,1997/01/21 05:00:00+00
536195,536196,1997018S10074,SI,MM,ILETTA,-10.8,71.4,20,0,1997,1,21,1997/01/21 05:00:00+00
536196,536197,1997018S10074,SI,MM,ILETTA,-10.8,71.3,20,0,1997,1,21,1997/01/21 05:00:00+00
536197,536198,1997018S10074,SI,MM,ILETTA,-10.8,71.2,20,0,1997,1,21,1997/01/21 05:00:00+00
536198,536199,1997018S10074,SI,MM,ILETTA,-10.8,71.1,20,0,1997,1,21,1997/01/21 05:00:00+00
536199,536200,1997018S10074,SI,MM,ILETTA,-10.8,71.0,20,0,1997,1,21,1997/01/21 05:00:00+00
536200,536201,1997018S10074,SI,MM,ILETTA,-10.79,70.91,20,0,1997,1,21,1997/01/21 05:00:00+00
536201,536202,1997018S10074,SI,MM,ILETTA,-10.8,70.8,20,0,1997,1,22,1997/01/22 05:00:00+00
536202,536203,1997018S10074,SI,MM,ILETTA,-10.85,70.65,22,0,1997,1,22,1997/01/22 05:00:00+00
536203,536204,1997018S10074,SI,MM,ILETTA,-10.9,70.5,25,0,1997,1,22,1997/01/22 05:00:00+00
536204,536205,1997018S10074,SI,MM,ILETTA,-10.9,70.4,25,0,1997,1,22,1997/01/22 05:00:00+00
536205,536206,1997018S10074,SI,MM,ILETTA,-10.9,70.3,25,0,1997,1,22,1997/01/22 05:00:00+00
536206,536207,1997018S10074,SI,MM,ILETTA,-10.95,70.15,25,0,1997,1,22,1997/01/22 05:00:00+00
536207,536208,1997018S10074,SI,MM,ILETTA,-11.0,70.0,25,0,1997,1,22,1997/01/22 05:00:00+00
536208,536209,1997018S10074,SI,MM,ILETTA,-11.01,69.9,27,0,1997,1,22,1997/01/22 05:00:00+00
536209,536210,1997018S10074,SI,MM,ILETTA,-11.0,69.8,30,0,1997,1,23,1997/01/23 05:00:00+00
536210,536211,1997018S10074,SI,MM,ILETTA,-10.99,69.67,30,0,1997,1,23,1997/01/23 05:00:00+00
536211,536212,1997018S10074,SI,MM,ILETTA,-11.0,69.5,30,0,1997,1,23,1997/01/23 05:00:00+00
536212,536213,1997018S10074,SI,MM,ILETTA,-11.04,69.3,32,0,1997,1,23,1997/01/23 05:00:00+00
536213,536214,1997018S10074,SI,MM,ILETTA,-11.1,69.1,35,0,1997,1,23,1997/01/23 05:00:00+00
536214,536215,1997018S10074,SI,MM,ILETTA,-11.14,68.94,35,0,1997,1,23,1997/01/23 05:00:00+00
536215,536216,1997018S10074,SI,MM,ILETTA,-11.2,68.8,35,0,1997,1,23,1997/01/23 05:00:00+00
536216,536217,1997018S10074,SI,MM,ILETTA,-11.29,68.65,35,0,1997,1,23,1997/01/23 05:00:00+00
536217,536218,1997018S10074,SI,MM,ILETTA,-11.4,68.5,35,0,1997,1,24,1997/01/24 05:00:00+00
536218,536219,1997018S10074,SI,MM,ILETTA,-11.5,68.34,35,0,1997,1,24,1997/01/24 05:00:00+00
536219,536220,1997018S10074,SI,MM,ILETTA,-11.6,68.2,35,0,1997,1,24,1997/01/24 05:00:00+00
536220,536221,1997018S10074,SI,MM,ILETTA,-11.7,68.09,37,0,1997,1,24,1997/01/24 05:00:00+00
536221,536222,1997018S10074,SI,MM,ILETTA,-11.8,68.0,40,0,1997,1,24,1997/01/24 05:00:00+00
536222,536223,1997018S10074,SI,MM,ILETTA,-11.88,67.89,42,0,1997,1,24,1997/01/24 05:00:00+00
