Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
653418,653419,2015321N04164,WP,MM,IN-FA,3.95,163.85,25,1004,2015,11,16,2015/11/16 05:00:00+00
653419,653420,2015321N04164,WP,MM,IN-FA,3.94,163.09,27,1002,2015,11,16,2015/11/16 05:00:00+00
653420,653421,2015321N04164,WP,MM,IN-FA,4.09,162.53,30,1000,2015,11,17,2015/11/17 05:00:00+00
653421,653422,2015321N04164,WP,MM,IN-FA,4.24,161.91,32,998,2015,11,17,2015/11/17 05:00:00+00
653422,653423,2015321N04164,WP,MM,IN-FA,4.4,161.26,35,996,2015,11,17,2015/11/17 05:00:00+00
653423,653424,2015321N04164,WP,MM,IN-FA,4.54,160.5,37,994,2015,11,17,2015/11/17 05:00:00+00
653424,653425,2015321N04164,WP,MM,IN-FA,4.72,159.72,40,993,2015,11,17,2015/11/17 05:00:00+00
653425,653426,2015321N04164,WP,MM,IN-FA,4.99,159.0,42,991,2015,11,17,2015/11/17 05:00:00+00
653426,653427,2015321N04164,WP,MM,IN-FA,5.25,158.32,45,989,2015,11,17,2015/11/17 05:00:00+00
653427,653428,2015321N04164,WP,MM,IN-FA,5.41,157.69,50,985,2015,11,17,2015/11/17 05:00:00+00
653428,653429,2015321N04164,WP,MM,IN-FA,5.53,157.07,55,982,2015,11,18,2015/11/18 05:00:00+00
653429,653430,2015321N04164,WP,MM,IN-FA,5.65,156.4,60,978,2015,11,18,2015/11/18 05:00:00+00
653430,653431,2015321N04164,WP,MM,IN-FA,5.8,155.75,65,974,2015,11,18,2015/11/18 05:00:00+00
653431,653432,2015321N04164,WP,MM,IN-FA,6.01,155.18,65,974,2015,11,18,2015/11/18 05:00:00+00
653432,653433,2015321N04164,WP,MM,IN-FA,6.3,154.68,65,974,2015,11,18,2015/11/18 05:00:00+00
653433,653434,2015321N04164,WP,MM,IN-FA,6.64,154.24,60,978,2015,11,18,2015/11/18 05:00:00+00
653434,653435,2015321N04164,WP,MM,IN-FA,7.05,153.8,55,982,2015,11,18,2015/11/18 05:00:00+00
653435,653436,2015321N04164,WP,MM,IN-FA,7.56,153.29,55,982,2015,11,18,2015/11/18 05:00:00+00
653436,653437,2015321N04164,WP,MM,IN-FA,8.05,152.72,55,982,2015,11,19,2015/11/19 05:00:00+00
653437,653438,2015321N04164,WP,MM,IN-FA,8.4,152.07,57,980,2015,11,19,2015/11/19 05:00:00+00
