Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
597918,597919,2006228N10218,EP,CP,IOKE,10.4,217.5,25,1010,2006,8,16,2006/08/16 04:00:00+00
597919,597920,2006228N10218,EP,CP,IOKE,10.4,216.81,25,1010,2006,8,16,2006/08/16 04:00:00+00
597920,597921,2006228N10218,EP,CP,IOKE,10.4,216.1,25,1010,2006,8,16,2006/08/16 04:00:00+00
597921,597922,2006228N10218,EP,CP,IOKE,10.41,215.34,25,1010,2006,8,16,2006/08/16 04:00:00+00
597922,597923,2006228N10218,EP,CP,IOKE,10.4,214.6,25,1010,2006,8,16,2006/08/16 04:00:00+00
597923,597924,2006228N10218,EP,CP,IOKE,10.35,213.93,25,1009,2006,8,16,2006/08/16 04:00:00+00
597924,597925,2006228N10218,EP,CP,IOKE,10.3,213.3,25,1009,2006,8,16,2006/08/16 04:00:00+00
597925,597926,2006228N10218,EP,CP,IOKE,10.29,212.66,25,1009,2006,8,16,2006/08/16 04:00:00+00
597926,597927,2006228N10218,EP,CP,IOKE,10.3,212.1,25,1009,2006,8,17,2006/08/17 04:00:00+00
597927,597928,2006228N10218,EP,CP,IOKE,10.3,211.7,25,1009,2006,8,17,2006/08/17 04:00:00+00
597928,597929,2006228N10218,EP,CP,IOKE,10.3,211.3,25,1009,2006,8,17,2006/08/17 04:00:00+00
597929,597930,2006228N10218,EP,CP,IOKE,10.3,210.81,25,1009,2006,8,17,2006/08/17 04:00:00+00
597930,597931,2006228N10218,EP,CP,IOKE,10.3,210.3,25,1009,2006,8,17,2006/08/17 04:00:00+00
597931,597932,2006228N10218,EP,CP,IOKE,10.3,209.85,25,1009,2006,8,17,2006/08/17 04:00:00+00
597932,597933,2006228N10218,EP,CP,IOKE,10.3,209.4,25,1009,2006,8,17,2006/08/17 04:00:00+00
597933,597934,2006228N10218,EP,CP,IOKE,10.3,208.91,25,1009,2006,8,17,2006/08/17 04:00:00+00
597934,597935,2006228N10218,EP,CP,IOKE,10.3,208.4,25,1009,2006,8,18,2006/08/18 04:00:00+00
597935,597936,2006228N10218,EP,CP,IOKE,10.3,207.9,25,1009,2006,8,18,2006/08/18 04:00:00+00
597936,597937,2006228N10218,EP,CP,IOKE,10.3,207.4,25,1009,2006,8,18,2006/08/18 04:00:00+00
597937,597938,2006228N10218,EP,CP,IOKE,10.3,206.89,25,1009,2006,8,18,2006/08/18 04:00:00+00
597938,597939,2006228N10218,EP,CP,IOKE,10.3,206.4,25,1009,2006,8,18,2006/08/18 04:00:00+00
597939,597940,2006228N10218,EP,CP,IOKE,10.3,205.94,25,1009,2006,8,18,2006/08/18 04:00:00+00
597940,597941,2006228N10218,EP,CP,IOKE,10.3,205.5,25,1009,2006,8,18,2006/08/18 04:00:00+00
597941,597942,2006228N10218,EP,CP,IOKE,10.3,205.05,25,1009,2006,8,18,2006/08/18 04:00:00+00
597942,597943,2006228N10218,EP,CP,IOKE,10.3,204.6,25,1009,2006,8,19,2006/08/19 04:00:00+00
597943,597944,2006228N10218,EP,CP,IOKE,10.3,204.14,25,1009,2006,8,19,2006/08/19 04:00:00+00
597944,597945,2006228N10218,EP,CP,IOKE,10.3,203.7,25,1009,2006,8,19,2006/08/19 04:00:00+00
597945,597946,2006228N10218,EP,CP,IOKE,10.3,203.29,25,1009,2006,8,19,2006/08/19 04:00:00+00
597946,597947,2006228N10218,EP,CP,IOKE,10.3,202.9,25,1009,2006,8,19,2006/08/19 04:00:00+00
597947,597948,2006228N10218,EP,CP,IOKE,10.29,202.5,25,1008,2006,8,19,2006/08/19 04:00:00+00
597948,597949,2006228N10218,EP,CP,IOKE,10.27,202.19,25,1008,2006,8,19,2006/08/19 04:00:00+00
597949,597950,2006228N10218,EP,CP,IOKE,10.29,201.84,27,1010,2006,8,19,2006/08/19 04:00:00+00
597950,597951,2006228N10218,EP,CP,IOKE,10.35,201.49,30,1012,2006,8,20,2006/08/20 04:00:00+00
597951,597952,2006228N10218,EP,CP,IOKE,10.39,201.15,30,1012,2006,8,20,2006/08/20 04:00:00+00
597952,597953,2006228N10218,EP,CP,IOKE,10.47,200.73,30,1012,2006,8,20,2006/08/20 04:00:00+00
597953,597954,2006228N10218,EP,CP,IOKE,10.57,200.28,35,1009,2006,8,20,2006/08/20 04:00:00+00
597954,597955,2006228N10218,EP,CP,IOKE,10.7,199.73,40,1007,2006,8,20,2006/08/20 04:00:00+00
597955,597956,2006228N10218,EP,CP,IOKE,10.85,199.03,42,1006,2006,8,20,2006/08/20 04:00:00+00
597956,597957,2006228N10218,EP,CP,IOKE,11.0,198.27,45,1005,2006,8,20,2006/08/20 04:00:00+00
597957,597958,2006228N10218,EP,CP,IOKE,11.1,197.52,55,1000,2006,8,20,2006/08/20 04:00:00+00
597958,597959,2006228N10218,EP,CP,IOKE,11.2,196.8,65,995,2006,8,21,2006/08/21 04:00:00+00
597959,597960,2006228N10218,EP,CP,IOKE,11.33,196.13,67,992,2006,8,21,2006/08/21 04:00:00+00
597960,597961,2006228N10218,EP,CP,IOKE,11.5,195.57,70,990,2006,8,21,2006/08/21 04:00:00+00
597961,597962,2006228N10218,EP,CP,IOKE,11.72,195.15,72,987,2006,8,21,2006/08/21 04:00:00+00
597962,597963,2006228N10218,EP,CP,IOKE,12.0,194.8,75,985,2006,8,21,2006/08/21 04:00:00+00
597963,597964,2006228N10218,EP,CP,IOKE,12.33,194.42,87,972,2006,8,21,2006/08/21 04:00:00+00
597964,597965,2006228N10218,EP,CP,IOKE,12.7,194.0,100,960,2006,8,21,2006/08/21 04:00:00+00
597965,597966,2006228N10218,EP,CP,IOKE,13.08,193.49,107,952,2006,8,21,2006/08/21 04:00:00+00
597966,597967,2006228N10218,EP,CP,IOKE,13.5,193.0,115,945,2006,8,22,2006/08/22 04:00:00+00
597967,597968,2006228N10218,EP,CP,IOKE,13.99,192.63,115,945,2006,8,22,2006/08/22 04:00:00+00
597968,597969,2006228N10218,EP,CP,IOKE,14.47,192.3,115,945,2006,8,22,2006/08/22 04:00:00+00
597969,597970,2006228N10218,EP,CP,IOKE,14.86,191.91,115,945,2006,8,22,2006/08/22 04:00:00+00
597970,597971,2006228N10218,EP,CP,IOKE,15.2,191.5,115,945,2006,8,22,2006/08/22 04:00:00+00
597971,597972,2006228N10218,EP,CP,IOKE,15.51,191.04,102,954,2006,8,22,2006/08/22 04:00:00+00
597972,597973,2006228N10218,EP,CP,IOKE,15.8,190.63,90,964,2006,8,22,2006/08/22 04:00:00+00
597973,597974,2006228N10218,EP,CP,IOKE,16.09,190.38,90,967,2006,8,22,2006/08/22 04:00:00+00
