Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
429489,429490,1982058S10185,SP,MM,ISAAC,-9.8,-175.0,0,0,1982,2,27,1982/02/27 05:00:00+00
429490,429491,1982058S10185,SP,MM,ISAAC,-10.07,-174.52,0,0,1982,2,27,1982/02/27 05:00:00+00
429491,429492,1982058S10185,SP,MM,ISAAC,-10.35,-174.03,0,0,1982,2,27,1982/02/27 05:00:00+00
429492,429493,1982058S10185,SP,MM,ISAAC,-10.62,-173.53,0,0,1982,2,27,1982/02/27 05:00:00+00
429493,429494,1982058S10185,SP,MM,ISAAC,-10.9,-173.0,0,0,1982,2,27,1982/02/27 05:00:00+00
429494,429495,1982058S10185,SP,MM,ISAAC,-11.18,-172.44,0,0,1982,2,27,1982/02/27 05:00:00+00
429495,429496,1982058S10185,SP,MM,ISAAC,-11.48,-171.88,0,0,1982,2,27,1982/02/27 05:00:00+00
429496,429497,1982058S10185,SP,MM,ISAAC,-11.78,-171.36,0,0,1982,2,27,1982/02/27 05:00:00+00
429497,429498,1982058S10185,SP,MM,ISAAC,-12.49,-170.51,0,0,1982,2,28,1982/02/28 05:00:00+00
429498,429499,1982058S10185,SP,MM,ISAAC,-12.93,-170.08,0,0,1982,2,28,1982/02/28 05:00:00+00
429499,429500,1982058S10185,SP,MM,ISAAC,-13.29,-169.79,0,0,1982,2,28,1982/02/28 05:00:00+00
429500,429501,1982058S10185,SP,MM,ISAAC,-13.61,-169.59,0,0,1982,2,28,1982/02/28 05:00:00+00
429501,429502,1982058S10185,SP,MM,ISAAC,-13.88,-169.5,0,0,1982,2,28,1982/02/28 05:00:00+00
429502,429503,1982058S10185,SP,MM,ISAAC,-14.11,-169.47,0,0,1982,2,28,1982/02/28 05:00:00+00
429503,429504,1982058S10185,SP,MM,ISAAC,-14.32,-169.49,0,0,1982,2,28,1982/02/28 05:00:00+00
429504,429505,1982058S10185,SP,MM,ISAAC,-14.51,-169.55,0,0,1982,2,28,1982/02/28 05:00:00+00
429505,429506,1982058S10185,SP,MM,ISAAC,-14.7,-169.65,0,0,1982,3,1,1982/03/01 05:00:00+00
429506,429507,1982058S10185,SP,MM,ISAAC,-14.91,-169.75,0,0,1982,3,1,1982/03/01 05:00:00+00
429507,429508,1982058S10185,SP,MM,ISAAC,-15.13,-169.89,0,0,1982,3,1,1982/03/01 05:00:00+00
429508,429509,1982058S10185,SP,MM,ISAAC,-15.34,-170.05,0,0,1982,3,1,1982/03/01 05:00:00+00
429509,429510,1982058S10185,SP,MM,ISAAC,-15.6,-170.28,0,0,1982,3,1,1982/03/01 05:00:00+00
429510,429511,1982058S10185,SP,MM,ISAAC,-15.94,-170.6,0,0,1982,3,1,1982/03/01 05:00:00+00
429511,429512,1982058S10185,SP,MM,ISAAC,-16.32,-171.0,0,0,1982,3,1,1982/03/01 05:00:00+00
429512,429513,1982058S10185,SP,MM,ISAAC,-16.7,-171.39,0,0,1982,3,1,1982/03/01 05:00:00+00
429513,429514,1982058S10185,SP,MM,ISAAC,-17.1,-171.8,0,0,1982,3,2,1982/03/02 05:00:00+00
429514,429515,1982058S10185,SP,MM,ISAAC,-17.51,-172.22,0,0,1982,3,2,1982/03/02 05:00:00+00
429515,429516,1982058S10185,SP,MM,ISAAC,-17.93,-172.66,0,0,1982,3,2,1982/03/02 05:00:00+00
429516,429517,1982058S10185,SP,MM,ISAAC,-18.38,-173.11,0,0,1982,3,2,1982/03/02 05:00:00+00
429517,429518,1982058S10185,SP,MM,ISAAC,-18.85,-173.55,0,0,1982,3,2,1982/03/02 05:00:00+00
429518,429519,1982058S10185,SP,MM,ISAAC,-19.32,-174.0,0,0,1982,3,2,1982/03/02 05:00:00+00
429519,429520,1982058S10185,SP,MM,ISAAC,-19.8,-174.45,0,0,1982,3,2,1982/03/02 05:00:00+00
429520,429521,1982058S10185,SP,MM,ISAAC,-20.3,-174.9,0,0,1982,3,2,1982/03/02 05:00:00+00
429521,429522,1982058S10185,SP,MM,ISAAC,-20.82,-175.32,0,0,1982,3,3,1982/03/03 05:00:00+00
429522,429523,1982058S10185,SP,MM,ISAAC,-21.37,-175.78,0,0,1982,3,3,1982/03/03 05:00:00+00
429523,429524,1982058S10185,SP,MM,ISAAC,-21.91,-176.18,0,0,1982,3,3,1982/03/03 05:00:00+00
429524,429525,1982058S10185,SP,MM,ISAAC,-22.34,-176.49,0,0,1982,3,3,1982/03/03 05:00:00+00
429525,429526,1982058S10185,SP,MM,ISAAC,-22.74,-176.6,0,0,1982,3,3,1982/03/03 05:00:00+00
429526,429527,1982058S10185,SP,MM,ISAAC,-23.24,-176.36,0,0,1982,3,3,1982/03/03 05:00:00+00
429527,429528,1982058S10185,SP,MM,ISAAC,-23.99,-176.05,0,0,1982,3,3,1982/03/03 05:00:00+00
429528,429529,1982058S10185,SP,MM,ISAAC,-24.75,-175.71,0,0,1982,3,3,1982/03/03 05:00:00+00
429529,429530,1982058S10185,SP,MM,ISAAC,-25.5,-175.2,0,0,1982,3,4,1982/03/04 05:00:00+00
429530,429531,1982058S10185,SP,MM,ISAAC,-26.16,-174.46,0,0,1982,3,4,1982/03/04 05:00:00+00
429531,429532,1982058S10185,SP,MM,ISAAC,-26.8,-173.54,0,0,1982,3,4,1982/03/04 05:00:00+00
429532,429533,1982058S10185,SP,MM,ISAAC,-27.47,-172.63,0,0,1982,3,4,1982/03/04 05:00:00+00
429533,429534,1982058S10185,SP,MM,ISAAC,-28.2,-171.6,0,0,1982,3,4,1982/03/04 05:00:00+00
429534,429535,1982058S10185,SP,MM,ISAAC,-28.99,-170.4,0,0,1982,3,4,1982/03/04 05:00:00+00
429535,429536,1982058S10185,SP,MM,ISAAC,-29.84,-169.07,0,0,1982,3,4,1982/03/04 05:00:00+00
429536,429537,1982058S10185,SP,MM,ISAAC,-30.72,-167.72,0,0,1982,3,4,1982/03/04 05:00:00+00
429537,429538,1982058S10185,SP,MM,ISAAC,-31.7,-166.3,0,0,1982,3,5,1982/03/05 05:00:00+00
429538,429539,1982058S10185,SP,MM,ISAAC,-32.84,-164.79,0,0,1982,3,5,1982/03/05 05:00:00+00
429539,429540,1982058S10185,SP,MM,ISAAC,-34.07,-163.23,0,0,1982,3,5,1982/03/05 05:00:00+00
429540,429541,1982058S10185,SP,MM,ISAAC,-35.34,-161.63,0,0,1982,3,5,1982/03/05 05:00:00+00
