Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
282854,282855,1961074S14162,SP,MM,ISIS,-14.0,162.0,0,0,1961,3,15,1961/03/15 04:00:00+00
282855,282856,1961074S14162,SP,MM,ISIS,-13.85,162.15,0,0,1961,3,15,1961/03/15 04:00:00+00
282856,282857,1961074S14162,SP,MM,ISIS,-13.5,162.71,0,0,1961,3,15,1961/03/15 04:00:00+00
282857,282858,1961074S14162,SP,MM,ISIS,-13.42,163.04,0,0,1961,3,15,1961/03/15 04:00:00+00
282858,282859,1961074S14162,SP,MM,ISIS,-13.38,163.38,0,0,1961,3,15,1961/03/15 04:00:00+00
282859,282860,1961074S14162,SP,MM,ISIS,-13.38,163.67,0,0,1961,3,15,1961/03/15 04:00:00+00
282860,282861,1961074S14162,SP,MM,ISIS,-13.39,163.79,0,0,1961,3,15,1961/03/15 04:00:00+00
282861,282862,1961074S14162,SP,MM,ISIS,-13.39,163.84,0,0,1961,3,16,1961/03/16 04:00:00+00
282862,282863,1961074S14162,SP,MM,ISIS,-13.38,163.98,0,0,1961,3,16,1961/03/16 04:00:00+00
282863,282864,1961074S14162,SP,MM,ISIS,-13.4,164.12,0,0,1961,3,16,1961/03/16 04:00:00+00
282864,282865,1961074S14162,SP,MM,ISIS,-13.44,164.21,0,0,1961,3,16,1961/03/16 04:00:00+00
282865,282866,1961074S14162,SP,MM,ISIS,-13.48,164.27,0,0,1961,3,16,1961/03/16 04:00:00+00
282866,282867,1961074S14162,SP,MM,ISIS,-13.6,164.44,0,0,1961,3,16,1961/03/16 04:00:00+00
282867,282868,1961074S14162,SP,MM,ISIS,-13.75,164.64,0,0,1961,3,16,1961/03/16 04:00:00+00
282868,282869,1961074S14162,SP,MM,ISIS,-13.93,164.85,0,0,1961,3,16,1961/03/16 04:00:00+00
282869,282870,1961074S14162,SP,MM,ISIS,-14.13,165.05,0,0,1961,3,16,1961/03/16 04:00:00+00
282870,282871,1961074S14162,SP,MM,ISIS,-14.27,165.16,0,0,1961,3,16,1961/03/16 04:00:00+00
282871,282872,1961074S14162,SP,MM,ISIS,-14.33,165.21,0,0,1961,3,17,1961/03/17 04:00:00+00
282872,282873,1961074S14162,SP,MM,ISIS,-14.52,165.34,0,0,1961,3,17,1961/03/17 04:00:00+00
282873,282874,1961074S14162,SP,MM,ISIS,-14.72,165.44,0,0,1961,3,17,1961/03/17 04:00:00+00
282874,282875,1961074S14162,SP,MM,ISIS,-14.94,165.5,0,0,1961,3,17,1961/03/17 04:00:00+00
282875,282876,1961074S14162,SP,MM,ISIS,-15.16,165.54,0,0,1961,3,17,1961/03/17 04:00:00+00
282876,282877,1961074S14162,SP,MM,ISIS,-15.36,165.56,0,0,1961,3,17,1961/03/17 04:00:00+00
282877,282878,1961074S14162,SP,MM,ISIS,-15.55,165.56,0,0,1961,3,17,1961/03/17 04:00:00+00
282878,282879,1961074S14162,SP,MM,ISIS,-15.74,165.55,0,0,1961,3,17,1961/03/17 04:00:00+00
282879,282880,1961074S14162,SP,MM,ISIS,-15.89,165.53,0,0,1961,3,17,1961/03/17 04:00:00+00
282880,282881,1961074S14162,SP,MM,ISIS,-15.98,165.52,0,0,1961,3,18,1961/03/18 04:00:00+00
282881,282882,1961074S14162,SP,MM,ISIS,-16.32,165.45,0,0,1961,3,18,1961/03/18 04:00:00+00
282882,282883,1961074S14162,SP,MM,ISIS,-16.73,165.33,0,0,1961,3,18,1961/03/18 04:00:00+00
282883,282884,1961074S14162,SP,MM,ISIS,-17.17,165.16,0,0,1961,3,18,1961/03/18 04:00:00+00
282884,282885,1961074S14162,SP,MM,ISIS,-17.59,164.94,0,0,1961,3,18,1961/03/18 04:00:00+00
282885,282886,1961074S14162,SP,MM,ISIS,-17.94,164.72,0,0,1961,3,18,1961/03/18 04:00:00+00
282886,282887,1961074S14162,SP,MM,ISIS,-18.28,164.46,0,0,1961,3,18,1961/03/18 04:00:00+00
282887,282888,1961074S14162,SP,MM,ISIS,-18.65,164.16,0,0,1961,3,18,1961/03/18 04:00:00+00
282888,282889,1961074S14162,SP,MM,ISIS,-18.91,163.92,0,0,1961,3,18,1961/03/18 04:00:00+00
282889,282890,1961074S14162,SP,MM,ISIS,-19.04,163.78,0,0,1961,3,19,1961/03/19 04:00:00+00
282890,282891,1961074S14162,SP,MM,ISIS,-19.46,163.25,0,0,1961,3,19,1961/03/19 04:00:00+00
282891,282892,1961074S14162,SP,MM,ISIS,-19.88,162.67,0,0,1961,3,19,1961/03/19 04:00:00+00
282892,282893,1961074S14162,SP,MM,ISIS,-20.24,162.08,0,0,1961,3,19,1961/03/19 04:00:00+00
282893,282894,1961074S14162,SP,MM,ISIS,-20.58,161.5,0,0,1961,3,19,1961/03/19 04:00:00+00
282894,282895,1961074S14162,SP,MM,ISIS,-20.92,160.96,0,0,1961,3,19,1961/03/19 04:00:00+00
282895,282896,1961074S14162,SP,MM,ISIS,-21.29,160.5,0,0,1961,3,19,1961/03/19 04:00:00+00
282896,282897,1961074S14162,SP,MM,ISIS,-21.7,160.13,0,0,1961,3,19,1961/03/19 04:00:00+00
282897,282898,1961074S14162,SP,EA,ISIS,-22.03,159.96,0,0,1961,3,19,1961/03/19 04:00:00+00
282898,282899,1961074S14162,SP,EA,ISIS,-22.2,159.9,0,0,1961,3,20,1961/03/20 04:00:00+00
282899,282900,1961074S14162,SP,EA,ISIS,-22.78,159.82,0,0,1961,3,20,1961/03/20 04:00:00+00
282900,282901,1961074S14162,SP,EA,ISIS,-23.44,159.84,0,0,1961,3,20,1961/03/20 04:00:00+00
282901,282902,1961074S14162,SP,EA,ISIS,-24.15,159.89,0,0,1961,3,20,1961/03/20 04:00:00+00
282902,282903,1961074S14162,SP,EA,ISIS,-24.97,159.95,0,0,1961,3,20,1961/03/20 04:00:00+00
282903,282904,1961074S14162,SP,MM,ISIS,-25.89,160.01,0,0,1961,3,20,1961/03/20 04:00:00+00
282904,282905,1961074S14162,SP,MM,ISIS,-26.88,160.07,0,0,1961,3,20,1961/03/20 04:00:00+00
282905,282906,1961074S14162,SP,MM,ISIS,-27.92,160.14,0,0,1961,3,20,1961/03/20 04:00:00+00
282906,282907,1961074S14162,SP,MM,ISIS,-28.61,160.14,0,0,1961,3,20,1961/03/20 04:00:00+00
282907,282908,1961074S14162,SP,MM,ISIS,-28.94,160.1,0,0,1961,3,21,1961/03/21 04:00:00+00
282908,282909,1961074S14162,SP,EA,ISIS,-29.86,159.86,0,0,1961,3,21,1961/03/21 04:00:00+00
282909,282910,1961074S14162,SP,EA,ISIS,-30.39,159.7,0,0,1961,3,21,1961/03/21 04:00:00+00
282910,282911,1961074S14162,SP,EA,ISIS,-30.61,159.66,0,0,1961,3,21,1961/03/21 04:00:00+00
282911,282912,1961074S14162,SP,EA,ISIS,-31.04,159.48,0,0,1961,3,21,1961/03/21 04:00:00+00
282912,282913,1961074S14162,SP,EA,ISIS,-31.25,159.37,0,0,1961,3,21,1961/03/21 04:00:00+00
282913,282914,1961074S14162,SP,EA,ISIS,-32.0,159.1,0,0,1961,3,21,1961/03/21 04:00:00+00
282914,282915,1961074S14162,SP,EA,ISIS,-32.91,159.15,0,0,1961,3,21,1961/03/21 04:00:00+00
282915,282916,1961074S14162,SP,EA,ISIS,-33.84,159.41,0,0,1961,3,21,1961/03/21 04:00:00+00
282916,282917,1961074S14162,SP,EA,ISIS,-34.73,159.77,0,0,1961,3,21,1961/03/21 04:00:00+00
282917,282918,1961074S14162,SP,MM,ISIS,-35.5,160.2,0,0,1961,3,22,1961/03/22 04:00:00+00
282918,282919,1961074S14162,SP,MM,ISIS,-36.06,160.63,0,0,1961,3,22,1961/03/22 04:00:00+00
282919,282920,1961074S14162,SP,MM,ISIS,-36.48,161.09,0,0,1961,3,22,1961/03/22 04:00:00+00
282920,282921,1961074S14162,SP,MM,ISIS,-36.86,161.55,0,0,1961,3,22,1961/03/22 04:00:00+00
282921,282922,1961074S14162,SP,MM,ISIS,-37.2,162.0,0,0,1961,3,22,1961/03/22 04:00:00+00
282922,282923,1961074S14162,SP,MM,ISIS,-37.53,162.39,0,0,1961,3,22,1961/03/22 04:00:00+00
282923,282924,1961074S14162,SP,MM,ISIS,-37.86,162.78,0,0,1961,3,22,1961/03/22 04:00:00+00
282924,282925,1961074S14162,SP,MM,ISIS,-38.14,163.14,0,0,1961,3,22,1961/03/22 04:00:00+00
282925,282926,1961074S14162,SP,MM,ISIS,-38.6,163.6,0,0,1961,3,23,1961/03/23 04:00:00+00
282926,282927,1961074S14162,SP,MM,ISIS,-39.43,164.26,0,0,1961,3,23,1961/03/23 04:00:00+00
282927,282928,1961074S14162,SP,MM,ISIS,-40.44,165.09,0,0,1961,3,23,1961/03/23 04:00:00+00
282928,282929,1961074S14162,SP,MM,ISIS,-41.47,165.99,0,0,1961,3,23,1961/03/23 04:00:00+00
282929,282930,1961074S14162,SP,MM,ISIS,-42.4,167.0,0,0,1961,3,23,1961/03/23 04:00:00+00
282930,282931,1961074S14162,SP,MM,ISIS,-43.11,168.07,0,0,1961,3,23,1961/03/23 04:00:00+00
282931,282932,1961074S14162,SP,MM,ISIS,-43.64,169.23,0,0,1961,3,23,1961/03/23 04:00:00+00
282932,282933,1961074S14162,SP,MM,ISIS,-44.05,170.48,0,0,1961,3,23,1961/03/23 04:00:00+00
367756,367757,1973045S12052,SI,MM,ISIS,-11.9,51.8,0,0,1973,2,14,1973/02/14 05:00:00+00
367757,367758,1973045S12052,SI,MM,ISIS,-11.9,51.65,0,0,1973,2,14,1973/02/14 05:00:00+00
367758,367759,1973045S12052,SI,MM,ISIS,-11.92,51.5,0,0,1973,2,14,1973/02/14 05:00:00+00
367759,367760,1973045S12052,SI,MM,ISIS,-11.95,51.35,0,0,1973,2,14,1973/02/14 05:00:00+00
367760,367761,1973045S12052,SI,MM,ISIS,-12.0,51.2,0,0,1973,2,14,1973/02/14 05:00:00+00
367761,367762,1973045S12052,SI,MM,ISIS,-12.04,51.05,0,0,1973,2,14,1973/02/14 05:00:00+00
367762,367763,1973045S12052,SI,MM,ISIS,-12.08,50.91,0,0,1973,2,15,1973/02/15 05:00:00+00
367763,367764,1973045S12052,SI,MM,ISIS,-12.12,50.78,0,0,1973,2,15,1973/02/15 05:00:00+00
367764,367765,1973045S12052,SI,MM,ISIS,-12.18,50.64,0,0,1973,2,15,1973/02/15 05:00:00+00
367765,367766,1973045S12052,SI,MM,ISIS,-12.31,50.46,0,0,1973,2,15,1973/02/15 05:00:00+00
367766,367767,1973045S12052,SI,MM,ISIS,-12.45,50.23,0,0,1973,2,15,1973/02/15 05:00:00+00
367767,367768,1973045S12052,SI,MM,ISIS,-12.59,49.96,0,0,1973,2,15,1973/02/15 05:00:00+00
367768,367769,1973045S12052,SI,MM,ISIS,-12.68,49.66,0,0,1973,2,15,1973/02/15 05:00:00+00
367769,367770,1973045S12052,SI,MM,ISIS,-12.68,49.39,0,0,1973,2,15,1973/02/15 05:00:00+00
367770,367771,1973045S12052,SI,MM,ISIS,-12.6,49.16,0,0,1973,2,16,1973/02/16 05:00:00+00
367771,367772,1973045S12052,SI,MM,ISIS,-12.5,48.97,0,0,1973,2,16,1973/02/16 05:00:00+00
367772,367773,1973045S12052,SI,MM,ISIS,-12.34,48.86,0,0,1973,2,16,1973/02/16 05:00:00+00
367773,367774,1973045S12052,SI,MM,ISIS,-12.12,48.85,0,0,1973,2,16,1973/02/16 05:00:00+00
367774,367775,1973045S12052,SI,MM,ISIS,-11.87,48.93,0,0,1973,2,16,1973/02/16 05:00:00+00
367775,367776,1973045S12052,SI,MM,ISIS,-11.62,49.04,0,0,1973,2,16,1973/02/16 05:00:00+00
367776,367777,1973045S12052,SI,MM,ISIS,-11.42,49.22,0,0,1973,2,16,1973/02/16 05:00:00+00
367777,367778,1973045S12052,SI,MM,ISIS,-11.34,49.43,0,0,1973,2,16,1973/02/16 05:00:00+00
