Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
375290,375291,1974068S12112,SI,WA,ISOBEL,-12.0,111.7,0,0,1974,3,9,1974/03/09 05:00:00+00
375291,375292,1974068S12112,SI,WA,ISOBEL,-12.04,111.64,0,0,1974,3,9,1974/03/09 05:00:00+00
375292,375293,1974068S12112,SI,WA,ISOBEL,-12.05,111.55,0,0,1974,3,9,1974/03/09 05:00:00+00
375293,375294,1974068S12112,SI,WA,ISOBEL,-12.06,111.5,0,0,1974,3,9,1974/03/09 05:00:00+00
375294,375295,1974068S12112,SI,WA,ISOBEL,-12.14,111.41,0,0,1974,3,9,1974/03/09 05:00:00+00
375295,375296,1974068S12112,SI,WA,ISOBEL,-12.19,111.36,0,0,1974,3,9,1974/03/09 05:00:00+00
375296,375297,1974068S12112,SI,WA,ISOBEL,-12.27,111.24,0,0,1974,3,9,1974/03/09 05:00:00+00
375297,375298,1974068S12112,SI,WA,ISOBEL,-12.32,111.19,0,0,1974,3,9,1974/03/09 05:00:00+00
375298,375299,1974068S12112,SI,WA,ISOBEL,-12.38,111.06,0,0,1974,3,9,1974/03/09 05:00:00+00
375299,375300,1974068S12112,SI,WA,ISOBEL,-12.41,111.0,0,0,1974,3,9,1974/03/09 05:00:00+00
375300,375301,1974068S12112,SI,WA,ISOBEL,-12.45,110.87,0,0,1974,3,9,1974/03/09 05:00:00+00
375301,375302,1974068S12112,SI,WA,ISOBEL,-12.48,110.81,0,0,1974,3,9,1974/03/09 05:00:00+00
375302,375303,1974068S12112,SI,WA,ISOBEL,-12.55,110.68,0,0,1974,3,9,1974/03/09 05:00:00+00
375303,375304,1974068S12112,SI,WA,ISOBEL,-12.59,110.62,0,0,1974,3,9,1974/03/09 05:00:00+00
375304,375305,1974068S12112,SI,WA,ISOBEL,-12.66,110.52,0,0,1974,3,9,1974/03/09 05:00:00+00
375305,375306,1974068S12112,SI,WA,ISOBEL,-12.71,110.47,0,0,1974,3,9,1974/03/09 05:00:00+00
375306,375307,1974068S12112,SI,WA,ISOBEL,-12.8,110.36,0,0,1974,3,10,1974/03/10 05:00:00+00
375307,375308,1974068S12112,SI,WA,ISOBEL,-12.86,110.31,0,0,1974,3,10,1974/03/10 05:00:00+00
375308,375309,1974068S12112,SI,WA,ISOBEL,-12.97,110.21,0,0,1974,3,10,1974/03/10 05:00:00+00
375309,375310,1974068S12112,SI,WA,ISOBEL,-13.02,110.17,0,0,1974,3,10,1974/03/10 05:00:00+00
375310,375311,1974068S12112,SI,WA,ISOBEL,-13.11,110.08,0,0,1974,3,10,1974/03/10 05:00:00+00
375311,375312,1974068S12112,SI,WA,ISOBEL,-13.14,110.04,0,0,1974,3,10,1974/03/10 05:00:00+00
375312,375313,1974068S12112,SI,WA,ISOBEL,-13.19,109.95,0,0,1974,3,10,1974/03/10 05:00:00+00
375313,375314,1974068S12112,SI,WA,ISOBEL,-13.22,109.9,0,0,1974,3,10,1974/03/10 05:00:00+00
375314,375315,1974068S12112,SI,WA,ISOBEL,-13.28,109.81,0,0,1974,3,10,1974/03/10 05:00:00+00
375315,375316,1974068S12112,SI,WA,ISOBEL,-13.31,109.76,0,0,1974,3,10,1974/03/10 05:00:00+00
375316,375317,1974068S12112,SI,WA,ISOBEL,-13.38,109.67,0,0,1974,3,10,1974/03/10 05:00:00+00
375317,375318,1974068S12112,SI,WA,ISOBEL,-13.41,109.63,0,0,1974,3,10,1974/03/10 05:00:00+00
375318,375319,1974068S12112,SI,WA,ISOBEL,-13.48,109.55,0,0,1974,3,10,1974/03/10 05:00:00+00
375319,375320,1974068S12112,SI,WA,ISOBEL,-13.51,109.51,0,0,1974,3,10,1974/03/10 05:00:00+00
375320,375321,1974068S12112,SI,WA,ISOBEL,-13.55,109.44,0,0,1974,3,10,1974/03/10 05:00:00+00
375321,375322,1974068S12112,SI,WA,ISOBEL,-13.58,109.4,0,0,1974,3,10,1974/03/10 05:00:00+00
375322,375323,1974068S12112,SI,WA,ISOBEL,-13.66,109.34,0,0,1974,3,11,1974/03/11 04:00:00+00
375323,375324,1974068S12112,SI,WA,ISOBEL,-13.7,109.31,0,0,1974,3,11,1974/03/11 04:00:00+00
375324,375325,1974068S12112,SI,WA,ISOBEL,-13.77,109.26,0,0,1974,3,11,1974/03/11 04:00:00+00
375325,375326,1974068S12112,SI,WA,ISOBEL,-13.81,109.23,0,0,1974,3,11,1974/03/11 04:00:00+00
375326,375327,1974068S12112,SI,WA,ISOBEL,-13.89,109.17,0,0,1974,3,11,1974/03/11 04:00:00+00
375327,375328,1974068S12112,SI,WA,ISOBEL,-13.93,109.14,0,0,1974,3,11,1974/03/11 04:00:00+00
375328,375329,1974068S12112,SI,WA,ISOBEL,-14.01,109.08,0,0,1974,3,11,1974/03/11 04:00:00+00
375329,375330,1974068S12112,SI,WA,ISOBEL,-14.05,109.04,0,0,1974,3,11,1974/03/11 04:00:00+00
375330,375331,1974068S12112,SI,WA,ISOBEL,-14.13,108.96,0,0,1974,3,11,1974/03/11 04:00:00+00
375331,375332,1974068S12112,SI,WA,ISOBEL,-14.17,108.92,0,0,1974,3,11,1974/03/11 04:00:00+00
375332,375333,1974068S12112,SI,WA,ISOBEL,-14.25,108.85,0,0,1974,3,11,1974/03/11 04:00:00+00
375333,375334,1974068S12112,SI,WA,ISOBEL,-14.3,108.81,0,0,1974,3,11,1974/03/11 04:00:00+00
375334,375335,1974068S12112,SI,WA,ISOBEL,-14.4,108.74,0,0,1974,3,11,1974/03/11 04:00:00+00
375335,375336,1974068S12112,SI,WA,ISOBEL,-14.45,108.71,0,0,1974,3,11,1974/03/11 04:00:00+00
375336,375337,1974068S12112,SI,WA,ISOBEL,-14.53,108.65,0,0,1974,3,11,1974/03/11 04:00:00+00
375337,375338,1974068S12112,SI,WA,ISOBEL,-14.57,108.62,0,0,1974,3,11,1974/03/11 04:00:00+00
375338,375339,1974068S12112,SI,WA,ISOBEL,-14.67,108.57,0,0,1974,3,12,1974/03/12 04:00:00+00
