Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
649769,649770,2015190N12210,EP,CP,IUNE,11.5,-150.5,25,1007,2015,7,8,2015/07/08 04:00:00+00
649770,649771,2015190N12210,EP,CP,IUNE,11.5,-150.91,25,1007,2015,7,8,2015/07/08 04:00:00+00
649771,649772,2015190N12210,EP,CP,IUNE,11.5,-151.3,25,1007,2015,7,9,2015/07/09 04:00:00+00
649772,649773,2015190N12210,EP,CP,IUNE,11.51,-151.66,25,1007,2015,7,9,2015/07/09 04:00:00+00
649773,649774,2015190N12210,EP,CP,IUNE,11.5,-152.0,25,1007,2015,7,9,2015/07/09 04:00:00+00
649774,649775,2015190N12210,EP,CP,IUNE,11.46,-152.34,25,1007,2015,7,9,2015/07/09 04:00:00+00
649775,649776,2015190N12210,EP,CP,IUNE,11.4,-152.7,25,1007,2015,7,9,2015/07/09 04:00:00+00
649776,649777,2015190N12210,EP,CP,IUNE,11.31,-153.11,25,1007,2015,7,9,2015/07/09 04:00:00+00
649777,649778,2015190N12210,EP,CP,IUNE,11.2,-153.5,25,1007,2015,7,9,2015/07/09 04:00:00+00
649778,649779,2015190N12210,EP,CP,IUNE,11.09,-153.84,25,1007,2015,7,9,2015/07/09 04:00:00+00
649779,649780,2015190N12210,EP,CP,IUNE,11.0,-154.1,25,1007,2015,7,10,2015/07/10 04:00:00+00
649780,649781,2015190N12210,EP,CP,IUNE,10.9,-154.26,27,1006,2015,7,10,2015/07/10 04:00:00+00
649781,649782,2015190N12210,EP,CP,IUNE,10.9,-154.4,30,1006,2015,7,10,2015/07/10 04:00:00+00
649782,649783,2015190N12210,EP,CP,IUNE,11.05,-154.68,30,1005,2015,7,10,2015/07/10 04:00:00+00
649783,649784,2015190N12210,EP,CP,IUNE,11.3,-154.9,30,1005,2015,7,10,2015/07/10 04:00:00+00
649784,649785,2015190N12210,EP,CP,IUNE,11.59,-154.86,30,1005,2015,7,10,2015/07/10 04:00:00+00
649785,649786,2015190N12210,EP,CP,IUNE,11.9,-154.8,30,1005,2015,7,10,2015/07/10 04:00:00+00
649786,649787,2015190N12210,EP,CP,IUNE,12.2,-154.94,30,1005,2015,7,10,2015/07/10 04:00:00+00
649787,649788,2015190N12210,EP,CP,IUNE,12.5,-155.2,30,1005,2015,7,11,2015/07/11 04:00:00+00
649788,649789,2015190N12210,EP,CP,IUNE,12.8,-155.51,30,1005,2015,7,11,2015/07/11 04:00:00+00
649789,649790,2015190N12210,EP,CP,IUNE,13.1,-155.9,30,1005,2015,7,11,2015/07/11 04:00:00+00
649790,649791,2015190N12210,EP,CP,IUNE,13.39,-156.34,30,1005,2015,7,11,2015/07/11 04:00:00+00
649791,649792,2015190N12210,EP,CP,IUNE,13.7,-156.8,30,1005,2015,7,11,2015/07/11 04:00:00+00
649792,649793,2015190N12210,EP,CP,IUNE,14.06,-157.2,32,1004,2015,7,11,2015/07/11 04:00:00+00
