Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
415969,415970,1980032S14071,SI,MM,JACINTHE,-14.0,71.0,0,0,1980,2,1,1980/02/01 05:00:00+00
415970,415971,1980032S14071,SI,MM,JACINTHE,-14.05,70.44,0,0,1980,2,1,1980/02/01 05:00:00+00
415971,415972,1980032S14071,SI,MM,JACINTHE,-14.04,69.96,30,0,1980,2,1,1980/02/01 05:00:00+00
415972,415973,1980032S14071,SI,MM,JACINTHE,-14.09,69.43,32,0,1980,2,1,1980/02/01 05:00:00+00
415973,415974,1980032S14071,SI,MM,JACINTHE,-14.13,68.89,35,0,1980,2,1,1980/02/01 05:00:00+00
415974,415975,1980032S14071,SI,MM,JACINTHE,-14.17,68.35,37,0,1980,2,1,1980/02/01 05:00:00+00
415975,415976,1980032S14071,SI,MM,JACINTHE,-14.22,67.82,40,0,1980,2,2,1980/02/02 05:00:00+00
415976,415977,1980032S14071,SI,MM,JACINTHE,-14.29,67.33,45,0,1980,2,2,1980/02/02 05:00:00+00
415977,415978,1980032S14071,SI,MM,JACINTHE,-14.39,66.84,50,0,1980,2,2,1980/02/02 05:00:00+00
415978,415979,1980032S14071,SI,MM,JACINTHE,-14.49,66.33,52,0,1980,2,2,1980/02/02 05:00:00+00
415979,415980,1980032S14071,SI,MM,JACINTHE,-14.74,65.78,55,0,1980,2,2,1980/02/02 05:00:00+00
415980,415981,1980032S14071,SI,MM,JACINTHE,-15.28,65.16,60,0,1980,2,2,1980/02/02 05:00:00+00
415981,415982,1980032S14071,SI,MM,JACINTHE,-15.99,64.52,65,0,1980,2,2,1980/02/02 05:00:00+00
415982,415983,1980032S14071,SI,MM,JACINTHE,-16.74,63.9,70,0,1980,2,2,1980/02/02 05:00:00+00
415983,415984,1980032S14071,SI,MM,JACINTHE,-17.44,63.34,75,0,1980,2,3,1980/02/03 05:00:00+00
415984,415985,1980032S14071,SI,MM,JACINTHE,-17.94,62.85,80,0,1980,2,3,1980/02/03 05:00:00+00
415985,415986,1980032S14071,SI,MM,JACINTHE,-18.33,62.42,85,0,1980,2,3,1980/02/03 05:00:00+00
415986,415987,1980032S14071,SI,MM,JACINTHE,-18.7,62.02,90,0,1980,2,3,1980/02/03 05:00:00+00
415987,415988,1980032S14071,SI,MM,JACINTHE,-19.02,61.62,95,0,1980,2,3,1980/02/03 05:00:00+00
415988,415989,1980032S14071,SI,MM,JACINTHE,-19.32,61.18,97,0,1980,2,3,1980/02/03 05:00:00+00
415989,415990,1980032S14071,SI,MM,JACINTHE,-19.61,60.71,100,0,1980,2,3,1980/02/03 05:00:00+00
415990,415991,1980032S14071,SI,MM,JACINTHE,-19.88,60.23,100,0,1980,2,3,1980/02/03 05:00:00+00
415991,415992,1980032S14071,SI,MM,JACINTHE,-20.22,59.78,100,0,1980,2,4,1980/02/04 05:00:00+00
415992,415993,1980032S14071,SI,MM,JACINTHE,-20.71,59.38,97,0,1980,2,4,1980/02/04 05:00:00+00
415993,415994,1980032S14071,SI,MM,JACINTHE,-21.25,59.03,95,0,1980,2,4,1980/02/04 05:00:00+00
415994,415995,1980032S14071,SI,MM,JACINTHE,-21.72,58.72,95,0,1980,2,4,1980/02/04 05:00:00+00
415995,415996,1980032S14071,SI,MM,JACINTHE,-22.18,58.46,95,0,1980,2,4,1980/02/04 05:00:00+00
415996,415997,1980032S14071,SI,MM,JACINTHE,-22.64,58.23,92,0,1980,2,4,1980/02/04 05:00:00+00
415997,415998,1980032S14071,SI,MM,JACINTHE,-23.09,58.08,90,0,1980,2,4,1980/02/04 05:00:00+00
415998,415999,1980032S14071,SI,MM,JACINTHE,-23.53,57.99,87,0,1980,2,4,1980/02/04 05:00:00+00
415999,416000,1980032S14071,SI,MM,JACINTHE,-24.02,58.0,85,0,1980,2,5,1980/02/05 05:00:00+00
416000,416001,1980032S14071,SI,MM,JACINTHE,-24.64,58.09,82,0,1980,2,5,1980/02/05 05:00:00+00
416001,416002,1980032S14071,SI,MM,JACINTHE,-25.3,58.29,80,0,1980,2,5,1980/02/05 05:00:00+00
