Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
580961,580962,2003340S07093,SI,WA,JANA,-7.0,93.2,0,0,2003,12,6,2003/12/06 05:00:00+00
580962,580963,2003340S07093,SI,WA,JANA,-7.1,93.5,0,0,2003,12,6,2003/12/06 05:00:00+00
580963,580964,2003340S07093,SI,WA,JANA,-7.2,93.8,0,0,2003,12,6,2003/12/06 05:00:00+00
580964,580965,2003340S07093,SI,WA,JANA,-7.31,94.08,0,0,2003,12,6,2003/12/06 05:00:00+00
580965,580966,2003340S07093,SI,WA,JANA,-7.43,94.13,15,1006,2003,12,6,2003/12/06 05:00:00+00
580966,580967,2003340S07093,SI,WA,JANA,-7.53,94.42,20,1004,2003,12,6,2003/12/06 05:00:00+00
580967,580968,2003340S07093,SI,WA,JANA,-7.62,94.78,25,1002,2003,12,6,2003/12/06 05:00:00+00
580968,580969,2003340S07093,SI,WA,JANA,-7.69,95.14,30,999,2003,12,6,2003/12/06 05:00:00+00
580969,580970,2003340S07093,SI,WA,JANA,-7.73,95.5,35,997,2003,12,7,2003/12/07 05:00:00+00
580970,580971,2003340S07093,SI,WA,JANA,-7.77,95.81,37,995,2003,12,7,2003/12/07 05:00:00+00
580971,580972,2003340S07093,SI,WA,JANA,-7.8,96.07,40,994,2003,12,7,2003/12/07 05:00:00+00
580972,580973,2003340S07093,SI,WA,JANA,-7.8,96.31,45,990,2003,12,7,2003/12/07 05:00:00+00
580973,580974,2003340S07093,SI,WA,JANA,-7.8,96.53,50,987,2003,12,7,2003/12/07 05:00:00+00
580974,580975,2003340S07093,SI,WA,JANA,-7.8,96.78,52,985,2003,12,7,2003/12/07 05:00:00+00
580975,580976,2003340S07093,SI,WA,JANA,-7.8,97.03,55,984,2003,12,7,2003/12/07 05:00:00+00
580976,580977,2003340S07093,SI,WA,JANA,-7.79,97.28,57,982,2003,12,7,2003/12/07 05:00:00+00
580977,580978,2003340S07093,SI,WA,JANA,-7.83,97.53,60,980,2003,12,8,2003/12/08 05:00:00+00
580978,580979,2003340S07093,SI,WA,JANA,-7.95,97.8,62,978,2003,12,8,2003/12/08 05:00:00+00
580979,580980,2003340S07093,SI,WA,JANA,-8.13,98.07,65,976,2003,12,8,2003/12/08 05:00:00+00
580980,580981,2003340S07093,SI,WA,JANA,-8.36,98.36,65,976,2003,12,8,2003/12/08 05:00:00+00
580981,580982,2003340S07093,SI,WA,JANA,-8.63,98.63,65,976,2003,12,8,2003/12/08 05:00:00+00
580982,580983,2003340S07093,SI,WA,JANA,-8.9,98.89,67,974,2003,12,8,2003/12/08 05:00:00+00
580983,580984,2003340S07093,SI,WA,JANA,-9.23,99.07,70,972,2003,12,8,2003/12/08 05:00:00+00
580984,580985,2003340S07093,SI,WA,JANA,-9.67,99.14,72,969,2003,12,8,2003/12/08 05:00:00+00
580985,580986,2003340S07093,SI,WA,JANA,-10.17,99.17,75,967,2003,12,9,2003/12/09 05:00:00+00
580986,580987,2003340S07093,SI,WA,JANA,-10.64,99.22,77,965,2003,12,9,2003/12/09 05:00:00+00
580987,580988,2003340S07093,SI,WA,JANA,-11.1,99.27,80,963,2003,12,9,2003/12/09 05:00:00+00
580988,580989,2003340S07093,SI,WA,JANA,-11.56,99.28,80,963,2003,12,9,2003/12/09 05:00:00+00
580989,580990,2003340S07093,SI,WA,JANA,-12.0,99.27,80,963,2003,12,9,2003/12/09 05:00:00+00
580990,580991,2003340S07093,SI,WA,JANA,-12.41,99.25,80,963,2003,12,9,2003/12/09 05:00:00+00
580991,580992,2003340S07093,SI,WA,JANA,-12.8,99.23,80,963,2003,12,9,2003/12/09 05:00:00+00
580992,580993,2003340S07093,SI,WA,JANA,-13.22,99.24,80,963,2003,12,9,2003/12/09 05:00:00+00
580993,580994,2003340S07093,SI,WA,JANA,-13.6,99.2,80,963,2003,12,10,2003/12/10 05:00:00+00
580994,580995,2003340S07093,SI,WA,JANA,-13.92,99.07,77,965,2003,12,10,2003/12/10 05:00:00+00
580995,580996,2003340S07093,SI,WA,JANA,-14.17,98.9,75,967,2003,12,10,2003/12/10 05:00:00+00
580996,580997,2003340S07093,SI,WA,JANA,-14.38,98.77,72,969,2003,12,10,2003/12/10 05:00:00+00
580997,580998,2003340S07093,SI,WA,JANA,-14.53,98.6,70,972,2003,12,10,2003/12/10 05:00:00+00
580998,580999,2003340S07093,SI,WA,JANA,-14.66,98.38,67,974,2003,12,10,2003/12/10 05:00:00+00
580999,581000,2003340S07093,SI,WA,JANA,-14.73,98.1,65,976,2003,12,10,2003/12/10 05:00:00+00
581000,581001,2003340S07093,SI,WA,JANA,-14.76,97.77,57,981,2003,12,10,2003/12/10 05:00:00+00
581001,581002,2003340S07093,SI,WA,JANA,-14.77,97.4,50,987,2003,12,11,2003/12/11 05:00:00+00
581002,581003,2003340S07093,SI,WA,JANA,-14.78,97.01,42,992,2003,12,11,2003/12/11 05:00:00+00
581003,581004,2003340S07093,SI,WA,JANA,-14.8,96.6,35,997,2003,12,11,2003/12/11 05:00:00+00
581004,581005,2003340S07093,SI,WA,JANA,-14.85,96.17,35,997,2003,12,11,2003/12/11 05:00:00+00
581005,581006,2003340S07093,SI,WA,JANA,-14.9,95.73,35,997,2003,12,11,2003/12/11 05:00:00+00
581006,581007,2003340S07093,SI,WA,JANA,-14.91,95.3,35,997,2003,12,11,2003/12/11 05:00:00+00
581007,581008,2003340S07093,SI,WA,JANA,-14.9,94.87,35,997,2003,12,11,2003/12/11 05:00:00+00
581008,581009,2003340S07093,SI,WA,JANA,-14.89,94.44,32,998,2003,12,11,2003/12/11 05:00:00+00
581009,581010,2003340S07093,SI,WA,JANA,-14.87,94.02,30,1000,2003,12,12,2003/12/12 05:00:00+00
581010,581011,2003340S07093,SI,WA,JANA,-14.84,93.58,27,1001,2003,12,12,2003/12/12 05:00:00+00
581011,581012,2003340S07093,SI,WA,JANA,-14.79,93.09,25,1002,2003,12,12,2003/12/12 05:00:00+00
581012,581013,2003340S07093,SI,WA,JANA,-14.76,92.52,25,1002,2003,12,12,2003/12/12 05:00:00+00
581013,581014,2003340S07093,SI,WA,JANA,-14.7,91.9,25,1002,2003,12,12,2003/12/12 05:00:00+00
581014,581015,2003340S07093,SI,WA,JANA,-14.6,91.29,25,1002,2003,12,12,2003/12/12 05:00:00+00
581015,581016,2003340S07093,SI,WA,JANA,-14.5,90.7,25,1002,2003,12,12,2003/12/12 05:00:00+00
581016,581017,2003340S07093,SI,WA,JANA,-14.42,90.15,25,1002,2003,12,12,2003/12/12 05:00:00+00
581017,581018,2003340S07093,SI,MM,JANA,-14.4,89.6,25,1002,2003,12,13,2003/12/13 05:00:00+00
