Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
499306,499307,1992212N05154,WP,MM,JANIS,5.0,154.3,15,0,1992,7,30,1992/07/30 04:00:00+00
499307,499308,1992212N05154,WP,MM,JANIS,5.0,154.2,15,0,1992,7,30,1992/07/30 04:00:00+00
499308,499309,1992212N05154,WP,MM,JANIS,5.0,154.1,15,0,1992,7,30,1992/07/30 04:00:00+00
499309,499310,1992212N05154,WP,MM,JANIS,4.99,154.0,15,0,1992,7,30,1992/07/30 04:00:00+00
499310,499311,1992212N05154,WP,MM,JANIS,5.0,153.9,15,0,1992,7,30,1992/07/30 04:00:00+00
499311,499312,1992212N05154,WP,MM,JANIS,5.04,153.8,17,0,1992,7,30,1992/07/30 04:00:00+00
499312,499313,1992212N05154,WP,MM,JANIS,5.1,153.7,20,0,1992,7,30,1992/07/30 04:00:00+00
499313,499314,1992212N05154,WP,MM,JANIS,5.18,153.6,20,0,1992,7,30,1992/07/30 04:00:00+00
499314,499315,1992212N05154,WP,MM,JANIS,5.3,153.5,20,0,1992,7,31,1992/07/31 04:00:00+00
499315,499316,1992212N05154,WP,MM,JANIS,5.44,153.4,20,0,1992,7,31,1992/07/31 04:00:00+00
499316,499317,1992212N05154,WP,MM,JANIS,5.6,153.3,20,0,1992,7,31,1992/07/31 04:00:00+00
499317,499318,1992212N05154,WP,MM,JANIS,5.75,153.2,20,0,1992,7,31,1992/07/31 04:00:00+00
499318,499319,1992212N05154,WP,MM,JANIS,5.9,153.1,20,0,1992,7,31,1992/07/31 04:00:00+00
499319,499320,1992212N05154,WP,MM,JANIS,6.04,153.01,20,0,1992,7,31,1992/07/31 04:00:00+00
499320,499321,1992212N05154,WP,MM,JANIS,6.2,152.9,20,0,1992,7,31,1992/07/31 04:00:00+00
499321,499322,1992212N05154,WP,MM,JANIS,6.38,152.72,20,0,1992,7,31,1992/07/31 04:00:00+00
499322,499323,1992212N05154,WP,MM,JANIS,6.6,152.5,20,0,1992,8,1,1992/08/01 04:00:00+00
499323,499324,1992212N05154,WP,MM,JANIS,6.83,152.26,20,0,1992,8,1,1992/08/01 04:00:00+00
499324,499325,1992212N05154,WP,MM,JANIS,7.1,152.0,20,0,1992,8,1,1992/08/01 04:00:00+00
499325,499326,1992212N05154,WP,MM,JANIS,7.39,151.7,20,0,1992,8,1,1992/08/01 04:00:00+00
499326,499327,1992212N05154,WP,MM,JANIS,7.7,151.4,20,0,1992,8,1,1992/08/01 04:00:00+00
499327,499328,1992212N05154,WP,MM,JANIS,8.0,151.16,20,0,1992,8,1,1992/08/01 04:00:00+00
499328,499329,1992212N05154,WP,MM,JANIS,8.3,150.9,20,0,1992,8,1,1992/08/01 04:00:00+00
499329,499330,1992212N05154,WP,MM,JANIS,8.6,150.53,20,0,1992,8,1,1992/08/01 04:00:00+00
499330,499331,1992212N05154,WP,MM,JANIS,9.12,149.88,20,0,1992,8,2,1992/08/02 04:00:00+00
499331,499332,1992212N05154,WP,MM,JANIS,9.4,149.28,20,0,1992,8,2,1992/08/02 04:00:00+00
499332,499333,1992212N05154,WP,MM,JANIS,9.59,148.64,20,0,1992,8,2,1992/08/02 04:00:00+00
499333,499334,1992212N05154,WP,MM,JANIS,9.76,147.93,20,0,1992,8,2,1992/08/02 04:00:00+00
499334,499335,1992212N05154,WP,MM,JANIS,9.95,147.3,20,0,1992,8,2,1992/08/02 04:00:00+00
499335,499336,1992212N05154,WP,MM,JANIS,10.12,146.84,22,0,1992,8,2,1992/08/02 04:00:00+00
499336,499337,1992212N05154,WP,MM,JANIS,10.33,146.47,25,0,1992,8,2,1992/08/02 04:00:00+00
499337,499338,1992212N05154,WP,MM,JANIS,10.69,146.09,25,0,1992,8,2,1992/08/02 04:00:00+00
