Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
637043,637044,2013210N13122,WP,MM,JEBI,12.7,121.65,0,0,2013,7,28,2013/07/28 04:00:00+00
637044,637045,2013210N13122,WP,MM,JEBI,12.82,121.4,0,0,2013,7,28,2013/07/28 04:00:00+00
637045,637046,2013210N13122,WP,MM,JEBI,12.95,121.15,0,0,2013,7,29,2013/07/29 04:00:00+00
637046,637047,2013210N13122,WP,MM,JEBI,13.12,120.92,0,0,2013,7,29,2013/07/29 04:00:00+00
637047,637048,2013210N13122,WP,MM,JEBI,13.3,120.7,0,0,2013,7,29,2013/07/29 04:00:00+00
637048,637049,2013210N13122,WP,MM,JEBI,13.48,120.51,0,0,2013,7,29,2013/07/29 04:00:00+00
637049,637050,2013210N13122,WP,MM,JEBI,13.65,120.3,0,0,2013,7,29,2013/07/29 04:00:00+00
637050,637051,2013210N13122,WP,MM,JEBI,13.79,120.05,0,0,2013,7,29,2013/07/29 04:00:00+00
637051,637052,2013210N13122,WP,MM,JEBI,13.9,119.75,0,0,2013,7,29,2013/07/29 04:00:00+00
637052,637053,2013210N13122,WP,MM,JEBI,13.98,119.43,0,0,2013,7,29,2013/07/29 04:00:00+00
637053,637054,2013210N13122,WP,MM,JEBI,14.05,119.05,0,0,2013,7,30,2013/07/30 04:00:00+00
637054,637055,2013210N13122,WP,MM,JEBI,14.12,118.56,0,0,2013,7,30,2013/07/30 04:00:00+00
637055,637056,2013210N13122,WP,MM,JEBI,14.2,118.05,0,0,2013,7,30,2013/07/30 04:00:00+00
637056,637057,2013210N13122,WP,MM,JEBI,14.29,117.62,0,0,2013,7,30,2013/07/30 04:00:00+00
637057,637058,2013210N13122,WP,MM,JEBI,14.41,117.29,20,1007,2013,7,30,2013/07/30 04:00:00+00
637058,637059,2013210N13122,WP,MM,JEBI,14.53,117.03,22,1005,2013,7,30,2013/07/30 04:00:00+00
637059,637060,2013210N13122,WP,MM,JEBI,14.64,116.78,25,1004,2013,7,30,2013/07/30 04:00:00+00
637060,637061,2013210N13122,WP,MM,JEBI,14.72,116.49,27,1002,2013,7,30,2013/07/30 04:00:00+00
637061,637062,2013210N13122,WP,MM,JEBI,14.8,116.15,30,1000,2013,7,31,2013/07/31 04:00:00+00
637062,637063,2013210N13122,WP,MM,JEBI,14.87,115.82,30,1000,2013,7,31,2013/07/31 04:00:00+00
637063,637064,2013210N13122,WP,MM,JEBI,14.95,115.5,30,1000,2013,7,31,2013/07/31 04:00:00+00
637064,637065,2013210N13122,WP,MM,JEBI,15.07,115.18,32,998,2013,7,31,2013/07/31 04:00:00+00
637065,637066,2013210N13122,WP,MM,JEBI,15.18,114.88,35,996,2013,7,31,2013/07/31 04:00:00+00
637066,637067,2013210N13122,WP,MM,JEBI,15.2,114.63,35,996,2013,7,31,2013/07/31 04:00:00+00
637067,637068,2013210N13122,WP,MM,JEBI,15.25,114.4,35,996,2013,7,31,2013/07/31 04:00:00+00
637068,637069,2013210N13122,WP,MM,JEBI,15.38,114.15,35,996,2013,7,31,2013/07/31 04:00:00+00
637069,637070,2013210N13122,WP,MM,JEBI,15.57,113.92,35,996,2013,8,1,2013/08/01 04:00:00+00
637070,637071,2013210N13122,WP,MM,JEBI,15.84,113.77,35,996,2013,8,1,2013/08/01 04:00:00+00
637071,637072,2013210N13122,WP,MM,JEBI,16.12,113.65,35,996,2013,8,1,2013/08/01 04:00:00+00
637072,637073,2013210N13122,WP,MM,JEBI,16.34,113.52,40,992,2013,8,1,2013/08/01 04:00:00+00
637073,637074,2013210N13122,WP,MM,JEBI,16.55,113.38,45,989,2013,8,1,2013/08/01 04:00:00+00
637074,637075,2013210N13122,WP,MM,JEBI,16.75,113.18,47,987,2013,8,1,2013/08/01 04:00:00+00
637075,637076,2013210N13122,WP,MM,JEBI,17.0,112.97,50,985,2013,8,1,2013/08/01 04:00:00+00
637076,637077,2013210N13122,WP,MM,JEBI,17.3,112.83,52,983,2013,8,1,2013/08/01 04:00:00+00
637077,637078,2013210N13122,WP,MM,JEBI,17.7,112.62,55,982,2013,8,2,2013/08/02 04:00:00+00
637078,637079,2013210N13122,WP,MM,JEBI,18.22,112.26,57,980,2013,8,2,2013/08/02 04:00:00+00
637079,637080,2013210N13122,WP,MM,JEBI,18.77,111.8,60,978,2013,8,2,2013/08/02 04:00:00+00
637080,637081,2013210N13122,WP,MM,JEBI,19.3,111.38,57,980,2013,8,2,2013/08/02 04:00:00+00
637081,637082,2013210N13122,WP,MM,JEBI,19.75,110.85,55,982,2013,8,2,2013/08/02 04:00:00+00
637082,637083,2013210N13122,WP,MM,JEBI,20.07,110.11,55,982,2013,8,2,2013/08/02 04:00:00+00
637083,637084,2013210N13122,WP,MM,JEBI,20.35,109.33,55,982,2013,8,2,2013/08/02 04:00:00+00
637084,637085,2013210N13122,WP,MM,JEBI,20.7,108.7,52,983,2013,8,2,2013/08/02 04:00:00+00
637085,637086,2013210N13122,WP,MM,JEBI,21.05,108.08,50,985,2013,8,3,2013/08/03 04:00:00+00
637086,637087,2013210N13122,WP,MM,JEBI,21.36,107.32,47,987,2013,8,3,2013/08/03 04:00:00+00
637087,637088,2013210N13122,WP,MM,JEBI,21.65,106.47,45,989,2013,8,3,2013/08/03 04:00:00+00
637088,637089,2013210N13122,WP,MM,JEBI,21.91,105.59,40,992,2013,8,3,2013/08/03 04:00:00+00
669717,669718,2018239N11161,WP,MM,JEBI,11.0,160.5,0,0,2018,8,26,2018/08/26 04:00:00+00
669718,669719,2018239N11161,WP,MM,JEBI,11.45,160.07,0,0,2018,8,26,2018/08/26 04:00:00+00
