Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
559691,559692,2000214N22155,WP,MM,JELAWAT,21.7,155.2,15,0,2000,7,31,2000/07/31 04:00:00+00
559692,559693,2000214N22155,WP,MM,JELAWAT,21.9,154.77,17,0,2000,7,31,2000/07/31 04:00:00+00
559693,559694,2000214N22155,WP,MM,JELAWAT,22.0,154.32,20,0,2000,7,31,2000/07/31 04:00:00+00
559694,559695,2000214N22155,WP,MM,JELAWAT,21.98,153.73,25,0,2000,7,31,2000/07/31 04:00:00+00
559695,559696,2000214N22155,WP,MM,JELAWAT,21.95,153.1,30,0,2000,8,1,2000/08/01 04:00:00+00
559696,559697,2000214N22155,WP,MM,JELAWAT,21.98,152.55,37,0,2000,8,1,2000/08/01 04:00:00+00
559697,559698,2000214N22155,WP,MM,JELAWAT,22.01,152.06,45,0,2000,8,1,2000/08/01 04:00:00+00
559698,559699,2000214N22155,WP,MM,JELAWAT,22.02,151.63,50,0,2000,8,1,2000/08/01 04:00:00+00
559699,559700,2000214N22155,WP,MM,JELAWAT,22.02,151.2,55,0,2000,8,1,2000/08/01 04:00:00+00
559700,559701,2000214N22155,WP,MM,JELAWAT,22.01,150.7,62,0,2000,8,1,2000/08/01 04:00:00+00
559701,559702,2000214N22155,WP,MM,JELAWAT,22.0,150.2,70,0,2000,8,1,2000/08/01 04:00:00+00
559702,559703,2000214N22155,WP,MM,JELAWAT,22.03,149.79,85,0,2000,8,1,2000/08/01 04:00:00+00
559703,559704,2000214N22155,WP,MM,JELAWAT,22.1,149.4,100,0,2000,8,2,2000/08/02 04:00:00+00
559704,559705,2000214N22155,WP,MM,JELAWAT,22.19,149.0,107,0,2000,8,2,2000/08/02 04:00:00+00
559705,559706,2000214N22155,WP,MM,JELAWAT,22.3,148.57,115,0,2000,8,2,2000/08/02 04:00:00+00
559706,559707,2000214N22155,WP,MM,JELAWAT,22.4,148.14,115,0,2000,8,2,2000/08/02 04:00:00+00
559707,559708,2000214N22155,WP,MM,JELAWAT,22.55,147.68,115,0,2000,8,2,2000/08/02 04:00:00+00
559708,559709,2000214N22155,WP,MM,JELAWAT,22.8,147.15,115,0,2000,8,2,2000/08/02 04:00:00+00
559709,559710,2000214N22155,WP,MM,JELAWAT,23.1,146.6,115,0,2000,8,2,2000/08/02 04:00:00+00
559710,559711,2000214N22155,WP,MM,JELAWAT,23.38,146.07,117,0,2000,8,2,2000/08/02 04:00:00+00
559711,559712,2000214N22155,WP,MM,JELAWAT,23.68,145.53,120,0,2000,8,3,2000/08/03 04:00:00+00
559712,559713,2000214N22155,WP,MM,JELAWAT,24.03,144.97,122,0,2000,8,3,2000/08/03 04:00:00+00
559713,559714,2000214N22155,WP,MM,JELAWAT,24.38,144.38,125,0,2000,8,3,2000/08/03 04:00:00+00
559714,559715,2000214N22155,WP,MM,JELAWAT,24.68,143.71,120,0,2000,8,3,2000/08/03 04:00:00+00
559715,559716,2000214N22155,WP,MM,JELAWAT,24.93,143.0,115,0,2000,8,3,2000/08/03 04:00:00+00
559716,559717,2000214N22155,WP,MM,JELAWAT,25.09,142.3,110,0,2000,8,3,2000/08/03 04:00:00+00
559717,559718,2000214N22155,WP,MM,JELAWAT,25.23,141.65,105,0,2000,8,3,2000/08/03 04:00:00+00
559718,559719,2000214N22155,WP,MM,JELAWAT,25.47,140.98,102,0,2000,8,3,2000/08/03 04:00:00+00
559719,559720,2000214N22155,WP,MM,JELAWAT,25.68,140.32,100,0,2000,8,4,2000/08/04 04:00:00+00
559720,559721,2000214N22155,WP,MM,JELAWAT,25.89,139.69,97,0,2000,8,4,2000/08/04 04:00:00+00
559721,559722,2000214N22155,WP,MM,JELAWAT,26.05,139.05,95,0,2000,8,4,2000/08/04 04:00:00+00
559722,559723,2000214N22155,WP,MM,JELAWAT,26.09,138.37,95,0,2000,8,4,2000/08/04 04:00:00+00
559723,559724,2000214N22155,WP,MM,JELAWAT,26.07,137.7,95,0,2000,8,4,2000/08/04 04:00:00+00
559724,559725,2000214N22155,WP,MM,JELAWAT,26.09,137.05,95,0,2000,8,4,2000/08/04 04:00:00+00
559725,559726,2000214N22155,WP,MM,JELAWAT,26.1,136.45,95,0,2000,8,4,2000/08/04 04:00:00+00
559726,559727,2000214N22155,WP,MM,JELAWAT,26.13,135.93,95,0,2000,8,4,2000/08/04 04:00:00+00
