Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
537697,537698,1997108N05168,WP,MM,JIMMY,5.1,168.0,15,0,1997,4,18,1997/04/18 04:00:00+00
537698,537699,1997108N05168,WP,MM,JIMMY,5.14,167.66,15,0,1997,4,18,1997/04/18 04:00:00+00
537699,537700,1997108N05168,WP,MM,JIMMY,5.2,167.3,15,0,1997,4,18,1997/04/18 04:00:00+00
537700,537701,1997108N05168,WP,MM,JIMMY,5.29,166.91,15,0,1997,4,18,1997/04/18 04:00:00+00
537701,537702,1997108N05168,WP,MM,JIMMY,5.4,166.5,15,0,1997,4,18,1997/04/18 04:00:00+00
537702,537703,1997108N05168,WP,MM,JIMMY,5.5,166.11,15,0,1997,4,18,1997/04/18 04:00:00+00
537703,537704,1997108N05168,WP,MM,JIMMY,5.6,165.7,15,0,1997,4,18,1997/04/18 04:00:00+00
537704,537705,1997108N05168,WP,MM,JIMMY,5.69,165.24,15,0,1997,4,18,1997/04/18 04:00:00+00
537705,537706,1997108N05168,WP,MM,JIMMY,5.8,164.8,15,0,1997,4,19,1997/04/19 04:00:00+00
537706,537707,1997108N05168,WP,MM,JIMMY,5.98,164.44,15,0,1997,4,19,1997/04/19 04:00:00+00
537707,537708,1997108N05168,WP,MM,JIMMY,6.2,164.1,15,0,1997,4,19,1997/04/19 04:00:00+00
537708,537709,1997108N05168,WP,MM,JIMMY,6.41,163.76,15,0,1997,4,19,1997/04/19 04:00:00+00
537709,537710,1997108N05168,WP,MM,JIMMY,6.6,163.4,15,0,1997,4,19,1997/04/19 04:00:00+00
537710,537711,1997108N05168,WP,MM,JIMMY,6.76,163.0,15,0,1997,4,19,1997/04/19 04:00:00+00
537711,537712,1997108N05168,WP,MM,JIMMY,6.9,162.6,15,0,1997,4,19,1997/04/19 04:00:00+00
537712,537713,1997108N05168,WP,MM,JIMMY,7.06,162.24,15,0,1997,4,19,1997/04/19 04:00:00+00
537713,537714,1997108N05168,WP,MM,JIMMY,7.2,161.9,15,0,1997,4,20,1997/04/20 04:00:00+00
537714,537715,1997108N05168,WP,MM,JIMMY,7.32,161.53,15,0,1997,4,20,1997/04/20 04:00:00+00
537715,537716,1997108N05168,WP,MM,JIMMY,7.4,161.2,15,0,1997,4,20,1997/04/20 04:00:00+00
537716,537717,1997108N05168,WP,MM,JIMMY,7.46,160.94,17,0,1997,4,20,1997/04/20 04:00:00+00
537717,537718,1997108N05168,WP,MM,JIMMY,7.5,160.7,20,0,1997,4,20,1997/04/20 04:00:00+00
537718,537719,1997108N05168,WP,MM,JIMMY,7.54,160.45,20,0,1997,4,20,1997/04/20 04:00:00+00
537719,537720,1997108N05168,WP,MM,JIMMY,7.6,160.2,20,0,1997,4,20,1997/04/20 04:00:00+00
537720,537721,1997108N05168,WP,MM,JIMMY,7.68,159.94,20,0,1997,4,20,1997/04/20 04:00:00+00
537721,537722,1997108N05168,WP,MM,JIMMY,7.8,159.7,20,0,1997,4,21,1997/04/21 04:00:00+00
537722,537723,1997108N05168,WP,MM,JIMMY,7.93,159.5,22,0,1997,4,21,1997/04/21 04:00:00+00
537723,537724,1997108N05168,WP,MM,JIMMY,8.1,159.3,25,0,1997,4,21,1997/04/21 04:00:00+00
537724,537725,1997108N05168,WP,MM,JIMMY,8.31,159.06,25,0,1997,4,21,1997/04/21 04:00:00+00
537725,537726,1997108N05168,WP,MM,JIMMY,8.6,158.8,25,0,1997,4,21,1997/04/21 04:00:00+00
537726,537727,1997108N05168,WP,MM,JIMMY,8.97,158.51,27,0,1997,4,21,1997/04/21 04:00:00+00
537727,537728,1997108N05168,WP,MM,JIMMY,9.4,158.2,30,0,1997,4,21,1997/04/21 04:00:00+00
537728,537729,1997108N05168,WP,MM,JIMMY,9.84,157.89,30,0,1997,4,21,1997/04/21 04:00:00+00
537729,537730,1997108N05168,WP,MM,JIMMY,10.3,157.6,30,0,1997,4,22,1997/04/22 04:00:00+00
537730,537731,1997108N05168,WP,MM,JIMMY,10.79,157.35,32,0,1997,4,22,1997/04/22 04:00:00+00
537731,537732,1997108N05168,WP,MM,JIMMY,11.3,157.1,35,0,1997,4,22,1997/04/22 04:00:00+00
537732,537733,1997108N05168,WP,MM,JIMMY,11.81,156.84,35,0,1997,4,22,1997/04/22 04:00:00+00
537733,537734,1997108N05168,WP,MM,JIMMY,12.9,156.0,35,0,1997,4,22,1997/04/22 04:00:00+00
537734,537735,1997108N05168,WP,MM,JIMMY,13.5,155.43,35,0,1997,4,22,1997/04/22 04:00:00+00
537735,537736,1997108N05168,WP,MM,JIMMY,13.88,155.03,35,0,1997,4,22,1997/04/22 04:00:00+00
537736,537737,1997108N05168,WP,MM,JIMMY,14.24,154.74,37,0,1997,4,22,1997/04/22 04:00:00+00
537737,537738,1997108N05168,WP,MM,JIMMY,14.57,154.52,40,0,1997,4,23,1997/04/23 04:00:00+00
537738,537739,1997108N05168,WP,MM,JIMMY,14.92,154.32,42,0,1997,4,23,1997/04/23 04:00:00+00
537739,537740,1997108N05168,WP,MM,JIMMY,15.28,154.12,45,0,1997,4,23,1997/04/23 04:00:00+00
537740,537741,1997108N05168,WP,MM,JIMMY,15.57,153.92,45,0,1997,4,23,1997/04/23 04:00:00+00
537741,537742,1997108N05168,WP,MM,JIMMY,15.85,153.75,45,0,1997,4,23,1997/04/23 04:00:00+00
537742,537743,1997108N05168,WP,MM,JIMMY,16.17,153.61,47,0,1997,4,23,1997/04/23 04:00:00+00
537743,537744,1997108N05168,WP,MM,JIMMY,16.52,153.55,50,0,1997,4,23,1997/04/23 04:00:00+00
537744,537745,1997108N05168,WP,MM,JIMMY,16.92,153.55,52,0,1997,4,23,1997/04/23 04:00:00+00
537745,537746,1997108N05168,WP,MM,JIMMY,17.35,153.65,55,0,1997,4,24,1997/04/24 04:00:00+00
537746,537747,1997108N05168,WP,MM,JIMMY,17.81,153.82,55,0,1997,4,24,1997/04/24 04:00:00+00
537747,537748,1997108N05168,WP,MM,JIMMY,18.27,154.07,55,0,1997,4,24,1997/04/24 04:00:00+00
537748,537749,1997108N05168,WP,MM,JIMMY,18.73,154.4,55,0,1997,4,24,1997/04/24 04:00:00+00
537749,537750,1997108N05168,WP,MM,JIMMY,19.18,154.78,55,0,1997,4,24,1997/04/24 04:00:00+00
537750,537751,1997108N05168,WP,MM,JIMMY,19.63,155.18,55,0,1997,4,24,1997/04/24 04:00:00+00
537751,537752,1997108N05168,WP,MM,JIMMY,19.98,155.47,55,0,1997,4,24,1997/04/24 04:00:00+00
537752,537753,1997108N05168,WP,MM,JIMMY,20.12,155.48,52,0,1997,4,24,1997/04/24 04:00:00+00
537753,537754,1997108N05168,WP,MM,JIMMY,20.12,155.4,50,0,1997,4,25,1997/04/25 04:00:00+00
537754,537755,1997108N05168,WP,MM,JIMMY,20.07,155.4,47,0,1997,4,25,1997/04/25 04:00:00+00
537755,537756,1997108N05168,WP,MM,JIMMY,20.05,155.48,45,0,1997,4,25,1997/04/25 04:00:00+00
537756,537757,1997108N05168,WP,MM,JIMMY,20.17,155.72,40,0,1997,4,25,1997/04/25 04:00:00+00
537757,537758,1997108N05168,WP,MM,JIMMY,20.35,156.01,35,0,1997,4,25,1997/04/25 04:00:00+00
537758,537759,1997108N05168,WP,MM,JIMMY,20.5,156.25,32,0,1997,4,25,1997/04/25 04:00:00+00
537759,537760,1997108N05168,WP,MM,JIMMY,20.68,156.47,30,0,1997,4,25,1997/04/25 04:00:00+00
537760,537761,1997108N05168,WP,MM,JIMMY,20.89,156.69,27,0,1997,4,25,1997/04/25 04:00:00+00
537761,537762,1997108N05168,WP,MM,JIMMY,21.13,156.99,25,0,1997,4,26,1997/04/26 04:00:00+00
