Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
648308,648309,2015092S18074,SI,MM,JOALANE,-18.0,73.9,0,0,2015,4,2,2015/04/02 04:00:00+00
648309,648310,2015092S18074,SI,MM,JOALANE,-17.67,73.79,0,0,2015,4,2,2015/04/02 04:00:00+00
648310,648311,2015092S18074,SI,MM,JOALANE,-17.4,73.7,0,0,2015,4,2,2015/04/02 04:00:00+00
648311,648312,2015092S18074,SI,MM,JOALANE,-17.23,73.62,0,0,2015,4,2,2015/04/02 04:00:00+00
648312,648313,2015092S18074,SI,MM,JOALANE,-17.1,73.5,0,0,2015,4,2,2015/04/02 04:00:00+00
648313,648314,2015092S18074,SI,MM,JOALANE,-16.95,73.32,0,0,2015,4,2,2015/04/02 04:00:00+00
648314,648315,2015092S18074,SI,MM,JOALANE,-16.8,73.1,0,0,2015,4,2,2015/04/02 04:00:00+00
648315,648316,2015092S18074,SI,MM,JOALANE,-16.64,72.86,0,0,2015,4,2,2015/04/02 04:00:00+00
648316,648317,2015092S18074,SI,MM,JOALANE,-16.5,72.6,0,0,2015,4,3,2015/04/03 04:00:00+00
648317,648318,2015092S18074,SI,MM,JOALANE,-16.39,72.35,0,0,2015,4,3,2015/04/03 04:00:00+00
648318,648319,2015092S18074,SI,MM,JOALANE,-16.3,72.1,0,0,2015,4,3,2015/04/03 04:00:00+00
648319,648320,2015092S18074,SI,MM,JOALANE,-16.24,71.86,0,0,2015,4,3,2015/04/03 04:00:00+00
648320,648321,2015092S18074,SI,MM,JOALANE,-16.2,71.6,0,0,2015,4,3,2015/04/03 04:00:00+00
648321,648322,2015092S18074,SI,MM,JOALANE,-16.14,71.31,0,0,2015,4,3,2015/04/03 04:00:00+00
648322,648323,2015092S18074,SI,MM,JOALANE,-16.1,71.0,0,0,2015,4,3,2015/04/03 04:00:00+00
648323,648324,2015092S18074,SI,MM,JOALANE,-16.09,70.68,0,0,2015,4,3,2015/04/03 04:00:00+00
648324,648325,2015092S18074,SI,MM,JOALANE,-16.1,70.3,0,0,2015,4,4,2015/04/04 04:00:00+00
648325,648326,2015092S18074,SI,MM,JOALANE,-16.09,69.82,0,0,2015,4,4,2015/04/04 04:00:00+00
648326,648327,2015092S18074,SI,MM,JOALANE,-16.1,69.3,0,0,2015,4,4,2015/04/04 04:00:00+00
648327,648328,2015092S18074,SI,MM,JOALANE,-16.19,68.8,0,0,2015,4,4,2015/04/04 04:00:00+00
648328,648329,2015092S18074,SI,MM,JOALANE,-16.3,68.3,0,0,2015,4,4,2015/04/04 04:00:00+00
648329,648330,2015092S18074,SI,MM,JOALANE,-16.37,67.79,0,0,2015,4,4,2015/04/04 04:00:00+00
648330,648331,2015092S18074,SI,MM,JOALANE,-16.4,67.3,0,0,2015,4,4,2015/04/04 04:00:00+00
648331,648332,2015092S18074,SI,MM,JOALANE,-16.38,66.84,0,0,2015,4,4,2015/04/04 04:00:00+00
648332,648333,2015092S18074,SI,MM,JOALANE,-16.3,66.4,0,0,2015,4,5,2015/04/05 04:00:00+00
648333,648334,2015092S18074,SI,MM,JOALANE,-16.19,65.94,0,0,2015,4,5,2015/04/05 04:00:00+00
648334,648335,2015092S18074,SI,MM,JOALANE,-15.9,65.52,25,1004,2015,4,5,2015/04/05 04:00:00+00
648335,648336,2015092S18074,SI,MM,JOALANE,-15.56,65.08,27,1002,2015,4,5,2015/04/05 04:00:00+00
648336,648337,2015092S18074,SI,MM,JOALANE,-15.26,64.66,30,1000,2015,4,5,2015/04/05 04:00:00+00
648337,648338,2015092S18074,SI,MM,JOALANE,-15.05,64.26,32,998,2015,4,5,2015/04/05 04:00:00+00
648338,648339,2015092S18074,SI,MM,JOALANE,-14.9,63.9,35,996,2015,4,5,2015/04/05 04:00:00+00
648339,648340,2015092S18074,SI,MM,JOALANE,-14.81,63.51,35,996,2015,4,5,2015/04/05 04:00:00+00
