Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
404809,404810,1978230N12239,EP,MM,JOHN,12.2,-121.0,30,0,1978,8,18,1978/08/18 04:00:00+00
404810,404811,1978230N12239,EP,MM,JOHN,12.25,-121.35,30,0,1978,8,18,1978/08/18 04:00:00+00
404811,404812,1978230N12239,EP,MM,JOHN,12.31,-121.7,30,0,1978,8,18,1978/08/18 04:00:00+00
404812,404813,1978230N12239,EP,MM,JOHN,12.36,-122.03,30,0,1978,8,18,1978/08/18 04:00:00+00
404813,404814,1978230N12239,EP,MM,JOHN,12.4,-122.4,30,0,1978,8,18,1978/08/18 04:00:00+00
404814,404815,1978230N12239,EP,MM,JOHN,12.41,-122.85,30,0,1978,8,18,1978/08/18 04:00:00+00
404815,404816,1978230N12239,EP,MM,JOHN,12.4,-123.27,30,0,1978,8,18,1978/08/18 04:00:00+00
404816,404817,1978230N12239,EP,MM,JOHN,12.35,-123.56,32,0,1978,8,18,1978/08/18 04:00:00+00
404817,404818,1978230N12239,EP,MM,JOHN,12.3,-123.8,35,0,1978,8,19,1978/08/19 04:00:00+00
404818,404819,1978230N12239,EP,MM,JOHN,12.25,-124.06,35,0,1978,8,19,1978/08/19 04:00:00+00
404819,404820,1978230N12239,EP,MM,JOHN,12.2,-124.29,35,0,1978,8,19,1978/08/19 04:00:00+00
404820,404821,1978230N12239,EP,MM,JOHN,12.15,-124.45,35,0,1978,8,19,1978/08/19 04:00:00+00
404821,404822,1978230N12239,EP,MM,JOHN,12.1,-124.6,35,0,1978,8,19,1978/08/19 04:00:00+00
404822,404823,1978230N12239,EP,MM,JOHN,12.04,-124.79,37,0,1978,8,19,1978/08/19 04:00:00+00
404823,404824,1978230N12239,EP,MM,JOHN,12.02,-125.01,40,0,1978,8,19,1978/08/19 04:00:00+00
404824,404825,1978230N12239,EP,MM,JOHN,12.09,-125.3,47,0,1978,8,19,1978/08/19 04:00:00+00
404825,404826,1978230N12239,EP,MM,JOHN,12.2,-125.6,55,0,1978,8,20,1978/08/20 04:00:00+00
404826,404827,1978230N12239,EP,MM,JOHN,12.29,-125.85,57,0,1978,8,20,1978/08/20 04:00:00+00
404827,404828,1978230N12239,EP,MM,JOHN,12.41,-126.11,60,0,1978,8,20,1978/08/20 04:00:00+00
404828,404829,1978230N12239,EP,MM,JOHN,12.58,-126.46,60,0,1978,8,20,1978/08/20 04:00:00+00
404829,404830,1978230N12239,EP,MM,JOHN,12.8,-126.8,60,0,1978,8,20,1978/08/20 04:00:00+00
404830,404831,1978230N12239,EP,MM,JOHN,13.04,-127.05,60,0,1978,8,20,1978/08/20 04:00:00+00
404831,404832,1978230N12239,EP,MM,JOHN,13.29,-127.33,60,0,1978,8,20,1978/08/20 04:00:00+00
404832,404833,1978230N12239,EP,MM,JOHN,13.5,-127.74,60,0,1978,8,20,1978/08/20 04:00:00+00
404833,404834,1978230N12239,EP,MM,JOHN,13.7,-128.2,60,0,1978,8,21,1978/08/21 04:00:00+00
404834,404835,1978230N12239,EP,MM,JOHN,13.9,-128.64,60,0,1978,8,21,1978/08/21 04:00:00+00
404835,404836,1978230N12239,EP,MM,JOHN,14.09,-129.1,60,0,1978,8,21,1978/08/21 04:00:00+00
404836,404837,1978230N12239,EP,MM,JOHN,14.24,-129.59,55,0,1978,8,21,1978/08/21 04:00:00+00
404837,404838,1978230N12239,EP,MM,JOHN,14.4,-130.1,50,0,1978,8,21,1978/08/21 04:00:00+00
404838,404839,1978230N12239,EP,MM,JOHN,14.64,-130.59,50,0,1978,8,21,1978/08/21 04:00:00+00
404839,404840,1978230N12239,EP,MM,JOHN,14.91,-131.12,50,0,1978,8,21,1978/08/21 04:00:00+00
