Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
629547,629548,2012066S10101,SI,WA,JONI:KOJI,-10.4,101.3,0,0,2012,3,5,2012/03/05 05:00:00+00
629548,629549,2012066S10101,SI,WA,JONI:KOJI,-10.66,101.11,0,0,2012,3,5,2012/03/05 05:00:00+00
629549,629550,2012066S10101,SI,WA,JONI:KOJI,-10.92,100.93,0,0,2012,3,5,2012/03/05 05:00:00+00
629550,629551,2012066S10101,SI,WA,JONI:KOJI,-11.19,100.75,0,0,2012,3,5,2012/03/05 05:00:00+00
629551,629552,2012066S10101,SI,WA,JONI:KOJI,-11.45,100.57,0,0,2012,3,6,2012/03/06 05:00:00+00
629552,629553,2012066S10101,SI,WA,JONI:KOJI,-11.69,100.41,0,0,2012,3,6,2012/03/06 05:00:00+00
629553,629554,2012066S10101,SI,WA,JONI:KOJI,-12.03,100.18,20,1007,2012,3,6,2012/03/06 05:00:00+00
629554,629555,2012066S10101,SI,WA,JONI:KOJI,-12.3,99.71,22,1005,2012,3,6,2012/03/06 05:00:00+00
629555,629556,2012066S10101,SI,WA,JONI:KOJI,-12.61,99.19,25,1004,2012,3,6,2012/03/06 05:00:00+00
629556,629557,2012066S10101,SI,WA,JONI:KOJI,-13.02,98.75,25,1004,2012,3,6,2012/03/06 05:00:00+00
629557,629558,2012066S10101,SI,WA,JONI:KOJI,-13.07,98.71,25,1004,2012,3,6,2012/03/06 05:00:00+00
629558,629559,2012066S10101,SI,WA,JONI:KOJI,-13.44,98.4,25,1004,2012,3,6,2012/03/06 05:00:00+00
629559,629560,2012066S10101,SI,WA,JONI:KOJI,-13.85,97.99,27,1002,2012,3,6,2012/03/06 05:00:00+00
629560,629561,2012066S10101,SI,WA,JONI:KOJI,-14.2,97.47,30,1000,2012,3,7,2012/03/07 05:00:00+00
629561,629562,2012066S10101,SI,WA,JONI:KOJI,-14.42,96.91,32,998,2012,3,7,2012/03/07 05:00:00+00
629562,629563,2012066S10101,SI,WA,JONI:KOJI,-14.47,96.77,32,998,2012,3,7,2012/03/07 05:00:00+00
629563,629564,2012066S10101,SI,WA,JONI:KOJI,-14.67,96.03,35,996,2012,3,7,2012/03/07 05:00:00+00
629564,629565,2012066S10101,SI,WA,JONI:KOJI,-14.74,95.29,35,996,2012,3,7,2012/03/07 05:00:00+00
629565,629566,2012066S10101,SI,WA,JONI:KOJI,-14.8,94.57,35,996,2012,3,7,2012/03/07 05:00:00+00
629566,629567,2012066S10101,SI,WA,JONI:KOJI,-14.97,93.88,35,996,2012,3,7,2012/03/07 05:00:00+00
629567,629568,2012066S10101,SI,WA,JONI:KOJI,-15.18,93.1,35,996,2012,3,7,2012/03/07 05:00:00+00
629568,629569,2012066S10101,SI,WA,JONI:KOJI,-15.37,92.33,37,994,2012,3,7,2012/03/07 05:00:00+00
629569,629570,2012066S10101,SI,WA,JONI:KOJI,-15.54,91.64,40,993,2012,3,8,2012/03/08 05:00:00+00
629570,629571,2012066S10101,SI,WA,JONI:KOJI,-15.71,91.1,42,991,2012,3,8,2012/03/08 05:00:00+00
629571,629572,2012066S10101,SI,WA,JONI:KOJI,-15.78,90.93,43,990,2012,3,8,2012/03/08 05:00:00+00
629572,629573,2012066S10101,SI,WA,JONI:KOJI,-15.97,90.44,45,989,2012,3,8,2012/03/08 05:00:00+00
629573,629574,2012066S10101,SI,MM,JONI:KOJI,-16.14,89.9,47,987,2012,3,8,2012/03/08 05:00:00+00
629574,629575,2012066S10101,SI,MM,JONI:KOJI,-16.3,89.35,50,985,2012,3,8,2012/03/08 05:00:00+00
629575,629576,2012066S10101,SI,MM,JONI:KOJI,-16.47,88.77,52,983,2012,3,8,2012/03/08 05:00:00+00
629576,629577,2012066S10101,SI,MM,JONI:KOJI,-16.65,88.2,55,982,2012,3,8,2012/03/08 05:00:00+00
629577,629578,2012066S10101,SI,MM,JONI:KOJI,-16.81,87.67,57,980,2012,3,8,2012/03/08 05:00:00+00
629578,629579,2012066S10101,SI,MM,JONI:KOJI,-16.95,87.15,60,978,2012,3,9,2012/03/09 05:00:00+00
629579,629580,2012066S10101,SI,MM,JONI:KOJI,-17.07,86.63,60,978,2012,3,9,2012/03/09 05:00:00+00
629580,629581,2012066S10101,SI,MM,JONI:KOJI,-17.2,86.1,60,978,2012,3,9,2012/03/09 05:00:00+00
629581,629582,2012066S10101,SI,MM,JONI:KOJI,-17.33,85.54,62,976,2012,3,9,2012/03/09 05:00:00+00
