Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
582883,582884,2004125S08084,SI,MM,JUBA,-7.6,84.1,20,1004,2004,5,4,2004/05/04 04:00:00+00
582884,582885,2004125S08084,SI,MM,JUBA,-7.86,83.6,22,1003,2004,5,4,2004/05/04 04:00:00+00
582885,582886,2004125S08084,SI,MM,JUBA,-8.1,83.1,25,1002,2004,5,4,2004/05/04 04:00:00+00
582886,582887,2004125S08084,SI,MM,JUBA,-8.32,82.58,25,1002,2004,5,4,2004/05/04 04:00:00+00
582887,582888,2004125S08084,SI,MM,JUBA,-8.5,82.0,25,1002,2004,5,4,2004/05/04 04:00:00+00
582888,582889,2004125S08084,SI,MM,JUBA,-8.63,81.32,25,1002,2004,5,4,2004/05/04 04:00:00+00
582889,582890,2004125S08084,SI,MM,JUBA,-8.7,80.6,25,1002,2004,5,4,2004/05/04 04:00:00+00
582890,582891,2004125S08084,SI,MM,JUBA,-8.72,79.9,25,1002,2004,5,4,2004/05/04 04:00:00+00
582891,582892,2004125S08084,SI,MM,JUBA,-8.7,79.2,25,1002,2004,5,5,2004/05/05 04:00:00+00
582892,582893,2004125S08084,SI,MM,JUBA,-8.66,78.5,27,1001,2004,5,5,2004/05/05 04:00:00+00
582893,582894,2004125S08084,SI,MM,JUBA,-8.6,77.8,30,1000,2004,5,5,2004/05/05 04:00:00+00
582894,582895,2004125S08084,SI,MM,JUBA,-8.54,77.07,32,998,2004,5,5,2004/05/05 04:00:00+00
582895,582896,2004125S08084,SI,MM,JUBA,-8.44,76.48,35,997,2004,5,5,2004/05/05 04:00:00+00
582896,582897,2004125S08084,SI,MM,JUBA,-8.41,76.02,35,997,2004,5,5,2004/05/05 04:00:00+00
582897,582898,2004125S08084,SI,MM,JUBA,-8.39,75.65,35,997,2004,5,5,2004/05/05 04:00:00+00
582898,582899,2004125S08084,SI,MM,JUBA,-8.4,75.32,35,997,2004,5,5,2004/05/05 04:00:00+00
582899,582900,2004125S08084,SI,MM,JUBA,-8.37,75.0,35,997,2004,5,6,2004/05/06 04:00:00+00
582900,582901,2004125S08084,SI,MM,JUBA,-8.22,74.64,35,997,2004,5,6,2004/05/06 04:00:00+00
582901,582902,2004125S08084,SI,MM,JUBA,-8.0,74.47,35,997,2004,5,6,2004/05/06 04:00:00+00
582902,582903,2004125S08084,SI,MM,JUBA,-7.73,74.59,32,998,2004,5,6,2004/05/06 04:00:00+00
582903,582904,2004125S08084,SI,MM,JUBA,-7.5,74.97,30,1000,2004,5,6,2004/05/06 04:00:00+00
582904,582905,2004125S08084,SI,MM,JUBA,-7.38,75.46,30,1000,2004,5,6,2004/05/06 04:00:00+00
582905,582906,2004125S08084,SI,MM,JUBA,-7.33,76.07,30,1000,2004,5,6,2004/05/06 04:00:00+00
582906,582907,2004125S08084,SI,MM,JUBA,-7.26,76.68,30,1000,2004,5,6,2004/05/06 04:00:00+00
582907,582908,2004125S08084,SI,MM,JUBA,-7.3,77.27,30,1000,2004,5,7,2004/05/07 04:00:00+00
582908,582909,2004125S08084,SI,MM,JUBA,-7.54,77.8,30,1000,2004,5,7,2004/05/07 04:00:00+00
582909,582910,2004125S08084,SI,MM,JUBA,-7.9,78.23,30,1000,2004,5,7,2004/05/07 04:00:00+00
582910,582911,2004125S08084,SI,MM,JUBA,-8.27,78.54,30,1000,2004,5,7,2004/05/07 04:00:00+00
582911,582912,2004125S08084,SI,MM,JUBA,-8.67,78.73,30,1000,2004,5,7,2004/05/07 04:00:00+00
582912,582913,2004125S08084,SI,MM,JUBA,-9.09,78.88,30,1000,2004,5,7,2004/05/07 04:00:00+00
582913,582914,2004125S08084,SI,MM,JUBA,-9.47,78.9,30,1000,2004,5,7,2004/05/07 04:00:00+00
582914,582915,2004125S08084,SI,MM,JUBA,-9.72,78.78,27,1001,2004,5,7,2004/05/07 04:00:00+00
582915,582916,2004125S08084,SI,MM,JUBA,-9.9,78.57,25,1002,2004,5,8,2004/05/08 04:00:00+00
582916,582917,2004125S08084,SI,MM,JUBA,-10.1,78.35,25,1002,2004,5,8,2004/05/08 04:00:00+00
582917,582918,2004125S08084,SI,MM,JUBA,-10.27,78.1,25,1002,2004,5,8,2004/05/08 04:00:00+00
582918,582919,2004125S08084,SI,MM,JUBA,-10.42,77.86,25,1002,2004,5,8,2004/05/08 04:00:00+00
582919,582920,2004125S08084,SI,MM,JUBA,-10.5,77.6,25,1002,2004,5,8,2004/05/08 04:00:00+00
582920,582921,2004125S08084,SI,MM,JUBA,-10.49,77.32,25,1002,2004,5,8,2004/05/08 04:00:00+00
582921,582922,2004125S08084,SI,MM,JUBA,-10.43,77.03,25,1002,2004,5,8,2004/05/08 04:00:00+00
582922,582923,2004125S08084,SI,MM,JUBA,-10.36,76.77,25,1002,2004,5,8,2004/05/08 04:00:00+00
582923,582924,2004125S08084,SI,MM,JUBA,-10.3,76.5,25,1002,2004,5,9,2004/05/09 04:00:00+00
582924,582925,2004125S08084,SI,MM,JUBA,-10.29,76.22,25,1002,2004,5,9,2004/05/09 04:00:00+00
582925,582926,2004125S08084,SI,MM,JUBA,-10.27,75.93,25,1002,2004,5,9,2004/05/09 04:00:00+00
582926,582927,2004125S08084,SI,MM,JUBA,-10.14,75.67,25,1002,2004,5,9,2004/05/09 04:00:00+00
582927,582928,2004125S08084,SI,MM,JUBA,-10.03,75.37,25,1002,2004,5,9,2004/05/09 04:00:00+00
582928,582929,2004125S08084,SI,MM,JUBA,-10.06,74.97,25,1002,2004,5,9,2004/05/09 04:00:00+00
582929,582930,2004125S08084,SI,MM,JUBA,-10.13,74.53,25,1002,2004,5,9,2004/05/09 04:00:00+00
582930,582931,2004125S08084,SI,MM,JUBA,-10.2,74.14,25,1002,2004,5,9,2004/05/09 04:00:00+00
582931,582932,2004125S08084,SI,MM,JUBA,-10.27,73.77,25,1002,2004,5,10,2004/05/10 04:00:00+00
