Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
512240,512241,1994047S17041,SI,MM,JULITA,-17.2,40.8,0,0,1994,2,15,1994/02/15 05:00:00+00
512241,512242,1994047S17041,SI,MM,JULITA,-17.19,41.06,0,0,1994,2,15,1994/02/15 05:00:00+00
512242,512243,1994047S17041,SI,MM,JULITA,-17.2,41.3,0,0,1994,2,16,1994/02/16 05:00:00+00
512243,512244,1994047S17041,SI,MM,JULITA,-17.25,41.51,0,0,1994,2,16,1994/02/16 05:00:00+00
512244,512245,1994047S17041,SI,MM,JULITA,-17.3,41.7,0,0,1994,2,16,1994/02/16 05:00:00+00
512245,512246,1994047S17041,SI,MM,JULITA,-17.3,41.9,0,0,1994,2,16,1994/02/16 05:00:00+00
512246,512247,1994047S17041,SI,MM,JULITA,-17.3,42.1,0,0,1994,2,16,1994/02/16 05:00:00+00
512247,512248,1994047S17041,SI,MM,JULITA,-17.34,42.31,0,0,1994,2,16,1994/02/16 05:00:00+00
512248,512249,1994047S17041,SI,MM,JULITA,-17.4,42.5,0,0,1994,2,16,1994/02/16 05:00:00+00
512249,512250,1994047S17041,SI,MM,JULITA,-17.43,42.65,0,0,1994,2,16,1994/02/16 05:00:00+00
512250,512251,1994047S17041,SI,MM,JULITA,-17.5,42.8,0,0,1994,2,17,1994/02/17 05:00:00+00
512251,512252,1994047S17041,SI,MM,JULITA,-17.65,43.01,0,0,1994,2,17,1994/02/17 05:00:00+00
512252,512253,1994047S17041,SI,MM,JULITA,-17.9,43.2,0,0,1994,2,17,1994/02/17 05:00:00+00
512253,512254,1994047S17041,SI,MM,JULITA,-18.29,43.31,0,0,1994,2,17,1994/02/17 05:00:00+00
512254,512255,1994047S17041,SI,MM,JULITA,-18.7,43.4,0,0,1994,2,17,1994/02/17 05:00:00+00
512255,512256,1994047S17041,SI,MM,JULITA,-19.0,43.54,0,0,1994,2,17,1994/02/17 05:00:00+00
512256,512257,1994047S17041,SI,MM,JULITA,-19.2,43.7,0,0,1994,2,17,1994/02/17 05:00:00+00
512257,512258,1994047S17041,SI,MM,JULITA,-19.31,43.84,0,0,1994,2,17,1994/02/17 05:00:00+00
512258,512259,1994047S17041,SI,MM,JULITA,-19.4,44.0,0,0,1994,2,18,1994/02/18 05:00:00+00
512259,512260,1994047S17041,SI,MM,JULITA,-19.56,44.23,0,0,1994,2,18,1994/02/18 05:00:00+00
512260,512261,1994047S17041,SI,MM,JULITA,-19.8,44.5,0,0,1994,2,18,1994/02/18 05:00:00+00
512261,512262,1994047S17041,SI,MM,JULITA,-20.13,44.79,0,0,1994,2,18,1994/02/18 05:00:00+00
