Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
571136,571137,2002198N09182,EP,CP,KALMAEGI,9.1,181.7,25,1002,2002,7,17,2002/07/17 04:00:00+00
571137,571138,2002198N09182,EP,CP,KALMAEGI,9.49,181.97,25,1002,2002,7,17,2002/07/17 04:00:00+00
571138,571139,2002198N09182,EP,CP,KALMAEGI,10.0,182.3,25,1002,2002,7,17,2002/07/17 04:00:00+00
571139,571140,2002198N09182,EP,CP,KALMAEGI,10.69,182.73,25,1002,2002,7,17,2002/07/17 04:00:00+00
571140,571141,2002198N09182,EP,CP,KALMAEGI,11.4,183.1,25,1002,2002,7,17,2002/07/17 04:00:00+00
571141,571142,2002198N09182,EP,CP,KALMAEGI,11.97,183.27,25,1002,2002,7,17,2002/07/17 04:00:00+00
571142,571143,2002198N09182,EP,CP,KALMAEGI,12.4,183.3,25,1002,2002,7,18,2002/07/18 04:00:00+00
571143,571144,2002198N09182,EP,CP,KALMAEGI,12.7,183.28,22,1005,2002,7,18,2002/07/18 04:00:00+00
571144,571145,2002198N09182,EP,CP,KALMAEGI,12.9,183.2,20,1009,2002,7,18,2002/07/18 04:00:00+00
571145,571146,2002198N09182,EP,CP,KALMAEGI,13.09,183.12,20,1009,2002,7,18,2002/07/18 04:00:00+00
571146,571147,2002198N09182,EP,CP,KALMAEGI,13.3,183.0,20,1009,2002,7,18,2002/07/18 04:00:00+00
571147,571148,2002198N09182,EP,CP,KALMAEGI,13.63,182.85,20,1006,2002,7,18,2002/07/18 04:00:00+00
571148,571149,2002198N09182,EP,CP,KALMAEGI,14.0,182.7,20,1004,2002,7,18,2002/07/18 04:00:00+00
571149,571150,2002198N09182,EP,CP,KALMAEGI,14.37,182.6,20,1004,2002,7,18,2002/07/18 04:00:00+00
571150,571151,2002198N09182,EP,CP,KALMAEGI,14.7,182.5,20,1004,2002,7,19,2002/07/19 04:00:00+00
571151,571152,2002198N09182,EP,CP,KALMAEGI,14.94,182.37,20,1004,2002,7,19,2002/07/19 04:00:00+00
571152,571153,2002198N09182,EP,CP,KALMAEGI,15.1,182.2,20,1004,2002,7,19,2002/07/19 04:00:00+00
571153,571154,2002198N09182,EP,CP,KALMAEGI,15.23,182.01,22,1003,2002,7,19,2002/07/19 04:00:00+00
571154,571155,2002198N09182,EP,CP,KALMAEGI,15.3,181.8,25,1002,2002,7,19,2002/07/19 04:00:00+00
571155,571156,2002198N09182,EP,CP,KALMAEGI,15.3,181.61,25,1002,2002,7,19,2002/07/19 04:00:00+00
571156,571157,2002198N09182,EP,CP,KALMAEGI,15.3,181.4,25,1002,2002,7,19,2002/07/19 04:00:00+00
571157,571158,2002198N09182,EP,CP,KALMAEGI,15.36,181.18,25,1002,2002,7,19,2002/07/19 04:00:00+00
571158,571159,2002198N09182,EP,CP,KALMAEGI,15.5,180.9,25,1002,2002,7,20,2002/07/20 04:00:00+00
571159,571160,2002198N09182,EP,CP,KALMAEGI,15.73,180.51,25,1002,2002,7,20,2002/07/20 04:00:00+00
571160,571161,2002198N09182,EP,CP,KALMAEGI,16.03,180.2,25,1002,2002,7,20,2002/07/20 04:00:00+00
571161,571162,2002198N09182,WP,MM,KALMAEGI,16.06,179.85,25,1002,2002,7,20,2002/07/20 04:00:00+00
571162,571163,2002198N09182,WP,MM,KALMAEGI,16.08,179.46,25,1002,2002,7,20,2002/07/20 04:00:00+00
571163,571164,2002198N09182,WP,MM,KALMAEGI,16.27,179.05,27,1001,2002,7,20,2002/07/20 04:00:00+00
571164,571165,2002198N09182,WP,MM,KALMAEGI,16.71,178.64,30,1000,2002,7,20,2002/07/20 04:00:00+00
571165,571166,2002198N09182,WP,MM,KALMAEGI,17.17,178.35,30,1000,2002,7,20,2002/07/20 04:00:00+00
571166,571167,2002198N09182,WP,MM,KALMAEGI,17.62,178.07,30,1000,2002,7,21,2002/07/21 04:00:00+00
571167,571168,2002198N09182,WP,MM,KALMAEGI,18.07,177.75,27,1001,2002,7,21,2002/07/21 04:00:00+00
608559,608560,2008193N20126,WP,MM,KALMAEGI,20.1,126.1,15,1006,2008,7,11,2008/07/11 04:00:00+00
608560,608561,2008193N20126,WP,MM,KALMAEGI,19.98,126.3,15,1006,2008,7,11,2008/07/11 04:00:00+00
608561,608562,2008193N20126,WP,MM,KALMAEGI,19.9,126.5,15,1006,2008,7,11,2008/07/11 04:00:00+00
608562,608563,2008193N20126,WP,MM,KALMAEGI,19.87,126.7,15,1008,2008,7,11,2008/07/11 04:00:00+00
608563,608564,2008193N20126,WP,MM,KALMAEGI,19.9,126.9,15,1010,2008,7,11,2008/07/11 04:00:00+00
608564,608565,2008193N20126,WP,MM,KALMAEGI,20.03,127.16,15,1010,2008,7,11,2008/07/11 04:00:00+00
608565,608566,2008193N20126,WP,MM,KALMAEGI,20.1,127.3,15,1010,2008,7,12,2008/07/12 04:00:00+00
608566,608567,2008193N20126,WP,MM,KALMAEGI,19.89,127.14,15,1008,2008,7,12,2008/07/12 04:00:00+00
608567,608568,2008193N20126,WP,MM,KALMAEGI,19.7,126.9,15,1006,2008,7,12,2008/07/12 04:00:00+00
608568,608569,2008193N20126,WP,MM,KALMAEGI,19.8,126.83,15,1006,2008,7,12,2008/07/12 04:00:00+00
608569,608570,2008193N20126,WP,MM,KALMAEGI,20.0,126.8,15,1006,2008,7,12,2008/07/12 04:00:00+00
608570,608571,2008193N20126,WP,MM,KALMAEGI,20.2,126.76,17,1006,2008,7,12,2008/07/12 04:00:00+00
608571,608572,2008193N20126,WP,MM,KALMAEGI,20.3,126.7,20,1007,2008,7,12,2008/07/12 04:00:00+00
608572,608573,2008193N20126,WP,MM,KALMAEGI,20.17,126.61,20,1007,2008,7,12,2008/07/12 04:00:00+00
608573,608574,2008193N20126,WP,MM,KALMAEGI,20.0,126.5,20,1007,2008,7,13,2008/07/13 04:00:00+00
608574,608575,2008193N20126,WP,MM,KALMAEGI,19.95,126.35,20,1006,2008,7,13,2008/07/13 04:00:00+00
608575,608576,2008193N20126,WP,MM,KALMAEGI,20.03,126.25,20,1005,2008,7,13,2008/07/13 04:00:00+00
608576,608577,2008193N20126,WP,MM,KALMAEGI,20.19,126.17,20,1005,2008,7,13,2008/07/13 04:00:00+00
608577,608578,2008193N20126,WP,MM,KALMAEGI,20.28,126.09,20,1005,2008,7,13,2008/07/13 04:00:00+00
608578,608579,2008193N20126,WP,MM,KALMAEGI,20.26,126.0,20,1006,2008,7,13,2008/07/13 04:00:00+00
608579,608580,2008193N20126,WP,MM,KALMAEGI,20.17,125.9,20,1007,2008,7,13,2008/07/13 04:00:00+00
608580,608581,2008193N20126,WP,MM,KALMAEGI,19.98,125.78,22,1005,2008,7,13,2008/07/13 04:00:00+00
608581,608582,2008193N20126,WP,MM,KALMAEGI,19.73,125.63,25,1004,2008,7,14,2008/07/14 04:00:00+00
608582,608583,2008193N20126,WP,MM,KALMAEGI,19.49,125.45,25,1004,2008,7,14,2008/07/14 04:00:00+00
608583,608584,2008193N20126,WP,MM,KALMAEGI,19.25,125.24,25,1004,2008,7,14,2008/07/14 04:00:00+00
608584,608585,2008193N20126,WP,MM,KALMAEGI,19.02,125.02,25,1004,2008,7,14,2008/07/14 04:00:00+00
608585,608586,2008193N20126,WP,MM,KALMAEGI,18.81,124.82,25,1004,2008,7,14,2008/07/14 04:00:00+00
608586,608587,2008193N20126,WP,MM,KALMAEGI,18.64,124.67,27,1002,2008,7,14,2008/07/14 04:00:00+00
608587,608588,2008193N20126,WP,MM,KALMAEGI,18.48,124.53,30,1000,2008,7,14,2008/07/14 04:00:00+00
608588,608589,2008193N20126,WP,MM,KALMAEGI,18.28,124.36,30,1000,2008,7,14,2008/07/14 04:00:00+00
608589,608590,2008193N20126,WP,MM,KALMAEGI,18.12,124.17,30,1000,2008,7,15,2008/07/15 04:00:00+00
608590,608591,2008193N20126,WP,MM,KALMAEGI,18.08,123.98,32,998,2008,7,15,2008/07/15 04:00:00+00
608591,608592,2008193N20126,WP,MM,KALMAEGI,18.07,123.8,35,996,2008,7,15,2008/07/15 04:00:00+00
608592,608593,2008193N20126,WP,MM,KALMAEGI,18.04,123.64,35,996,2008,7,15,2008/07/15 04:00:00+00
608593,608594,2008193N20126,WP,MM,KALMAEGI,18.05,123.55,35,996,2008,7,15,2008/07/15 04:00:00+00
608594,608595,2008193N20126,WP,MM,KALMAEGI,18.14,123.54,37,994,2008,7,15,2008/07/15 04:00:00+00
608595,608596,2008193N20126,WP,MM,KALMAEGI,18.3,123.6,40,993,2008,7,15,2008/07/15 04:00:00+00
608596,608597,2008193N20126,WP,MM,KALMAEGI,18.5,123.72,45,989,2008,7,15,2008/07/15 04:00:00+00
608597,608598,2008193N20126,WP,MM,KALMAEGI,18.75,123.83,50,985,2008,7,16,2008/07/16 04:00:00+00
608598,608599,2008193N20126,WP,MM,KALMAEGI,18.99,123.84,52,983,2008,7,16,2008/07/16 04:00:00+00
608599,608600,2008193N20126,WP,MM,KALMAEGI,19.32,123.78,55,982,2008,7,16,2008/07/16 04:00:00+00
608600,608601,2008193N20126,WP,MM,KALMAEGI,19.81,123.67,55,982,2008,7,16,2008/07/16 04:00:00+00
608601,608602,2008193N20126,WP,MM,KALMAEGI,20.35,123.53,55,982,2008,7,16,2008/07/16 04:00:00+00
608602,608603,2008193N20126,WP,MM,KALMAEGI,20.8,123.41,57,980,2008,7,16,2008/07/16 04:00:00+00
608603,608604,2008193N20126,WP,MM,KALMAEGI,21.27,123.28,60,978,2008,7,16,2008/07/16 04:00:00+00
608604,608605,2008193N20126,WP,MM,KALMAEGI,21.87,123.09,70,970,2008,7,16,2008/07/16 04:00:00+00
608605,608606,2008193N20126,WP,MM,KALMAEGI,22.45,122.9,80,963,2008,7,17,2008/07/17 04:00:00+00
608606,608607,2008193N20126,WP,MM,KALMAEGI,22.82,122.72,85,959,2008,7,17,2008/07/17 04:00:00+00
608607,608608,2008193N20126,WP,MM,KALMAEGI,23.2,122.53,90,956,2008,7,17,2008/07/17 04:00:00+00
608608,608609,2008193N20126,WP,MM,KALMAEGI,23.66,122.32,90,956,2008,7,17,2008/07/17 04:00:00+00
608609,608610,2008193N20126,WP,MM,KALMAEGI,24.1,122.0,90,956,2008,7,17,2008/07/17 04:00:00+00
608610,608611,2008193N20126,WP,MM,KALMAEGI,24.42,121.69,90,956,2008,7,17,2008/07/17 04:00:00+00
608611,608612,2008193N20126,WP,MM,KALMAEGI,24.73,121.47,75,967,2008,7,17,2008/07/17 04:00:00+00
608612,608613,2008193N20126,WP,MM,KALMAEGI,24.99,121.31,65,974,2008,7,17,2008/07/17 04:00:00+00
608613,608614,2008193N20126,WP,MM,KALMAEGI,25.27,121.15,55,982,2008,7,18,2008/07/18 04:00:00+00
608614,608615,2008193N20126,WP,MM,KALMAEGI,25.71,120.85,52,983,2008,7,18,2008/07/18 04:00:00+00
608615,608616,2008193N20126,WP,MM,KALMAEGI,26.15,120.5,50,985,2008,7,18,2008/07/18 04:00:00+00
608616,608617,2008193N20126,WP,MM,KALMAEGI,26.45,120.15,50,985,2008,7,18,2008/07/18 04:00:00+00
608617,608618,2008193N20126,WP,MM,KALMAEGI,26.7,119.88,50,985,2008,7,18,2008/07/18 04:00:00+00
608618,608619,2008193N20126,WP,MM,KALMAEGI,26.91,119.73,47,987,2008,7,18,2008/07/18 04:00:00+00
608619,608620,2008193N20126,WP,MM,KALMAEGI,27.23,119.72,45,989,2008,7,18,2008/07/18 04:00:00+00
608620,608621,2008193N20126,WP,MM,KALMAEGI,27.77,119.86,37,994,2008,7,18,2008/07/18 04:00:00+00
608621,608622,2008193N20126,WP,MM,KALMAEGI,28.43,120.08,30,1000,2008,7,19,2008/07/19 04:00:00+00
608622,608623,2008193N20126,WP,MM,KALMAEGI,29.02,120.29,30,1000,2008,7,19,2008/07/19 04:00:00+00
608623,608624,2008193N20126,WP,MM,KALMAEGI,29.68,120.53,30,1000,2008,7,19,2008/07/19 04:00:00+00
608624,608625,2008193N20126,WP,MM,KALMAEGI,30.42,120.75,25,1003,2008,7,19,2008/07/19 04:00:00+00
608625,608626,2008193N20126,WP,MM,KALMAEGI,31.23,120.97,20,1007,2008,7,19,2008/07/19 04:00:00+00
608626,608627,2008193N20126,WP,MM,KALMAEGI,32.06,121.11,20,1007,2008,7,19,2008/07/19 04:00:00+00
608627,608628,2008193N20126,WP,MM,KALMAEGI,32.88,121.38,20,1007,2008,7,19,2008/07/19 04:00:00+00
608628,608629,2008193N20126,WP,MM,KALMAEGI,33.58,121.94,20,1007,2008,7,19,2008/07/19 04:00:00+00
608629,608630,2008193N20126,WP,MM,KALMAEGI,34.25,122.65,20,1007,2008,7,20,2008/07/20 04:00:00+00
608630,608631,2008193N20126,WP,MM,KALMAEGI,34.93,123.33,20,1007,2008,7,20,2008/07/20 04:00:00+00
608631,608632,2008193N20126,WP,MM,KALMAEGI,35.67,124.03,20,1007,2008,7,20,2008/07/20 04:00:00+00
608632,608633,2008193N20126,WP,MM,KALMAEGI,36.58,124.73,20,1007,2008,7,20,2008/07/20 04:00:00+00
608633,608634,2008193N20126,WP,MM,KALMAEGI,37.45,125.37,20,1007,2008,7,20,2008/07/20 04:00:00+00
608634,608635,2008193N20126,WP,MM,KALMAEGI,38.04,125.83,20,1007,2008,7,20,2008/07/20 04:00:00+00
608635,608636,2008193N20126,WP,MM,KALMAEGI,38.44,126.31,20,1007,2008,7,20,2008/07/20 04:00:00+00
608636,608637,2008193N20126,WP,MM,KALMAEGI,38.76,127.14,0,0,2008,7,20,2008/07/20 04:00:00+00
608637,608638,2008193N20126,WP,MM,KALMAEGI,39.15,128.15,0,0,2008,7,21,2008/07/21 04:00:00+00
608638,608639,2008193N20126,WP,MM,KALMAEGI,39.62,129.26,0,0,2008,7,21,2008/07/21 04:00:00+00
608639,608640,2008193N20126,WP,MM,KALMAEGI,40.1,130.25,0,0,2008,7,21,2008/07/21 04:00:00+00
608640,608641,2008193N20126,WP,MM,KALMAEGI,40.54,130.86,0,0,2008,7,21,2008/07/21 04:00:00+00
