Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
576082,576083,2003062S10080,SI,MM,KALUNDE,-10.4,80.4,0,0,2003,3,3,2003/03/03 05:00:00+00
576083,576084,2003062S10080,SI,MM,KALUNDE,-10.62,80.33,0,0,2003,3,3,2003/03/03 05:00:00+00
576084,576085,2003062S10080,SI,MM,KALUNDE,-10.8,80.2,0,0,2003,3,3,2003/03/03 05:00:00+00
576085,576086,2003062S10080,SI,MM,KALUNDE,-10.91,79.97,0,0,2003,3,3,2003/03/03 05:00:00+00
576086,576087,2003062S10080,SI,MM,KALUNDE,-10.9,79.27,15,1006,2003,3,3,2003/03/03 05:00:00+00
576087,576088,2003062S10080,SI,MM,KALUNDE,-10.95,78.95,15,1006,2003,3,3,2003/03/03 05:00:00+00
576088,576089,2003062S10080,SI,MM,KALUNDE,-11.02,78.78,15,1006,2003,3,4,2003/03/04 05:00:00+00
576089,576090,2003062S10080,SI,MM,KALUNDE,-11.11,78.69,20,1004,2003,3,4,2003/03/04 05:00:00+00
576090,576091,2003062S10080,SI,MM,KALUNDE,-11.23,78.67,25,1002,2003,3,4,2003/03/04 05:00:00+00
576091,576092,2003062S10080,SI,MM,KALUNDE,-11.39,78.71,25,1002,2003,3,4,2003/03/04 05:00:00+00
576092,576093,2003062S10080,SI,MM,KALUNDE,-11.5,78.7,25,1002,2003,3,4,2003/03/04 05:00:00+00
576093,576094,2003062S10080,SI,MM,KALUNDE,-11.49,78.55,27,1001,2003,3,4,2003/03/04 05:00:00+00
576094,576095,2003062S10080,SI,MM,KALUNDE,-11.43,78.33,30,1000,2003,3,4,2003/03/04 05:00:00+00
576095,576096,2003062S10080,SI,MM,KALUNDE,-11.42,78.12,32,998,2003,3,4,2003/03/04 05:00:00+00
576096,576097,2003062S10080,SI,MM,KALUNDE,-11.4,77.9,35,997,2003,3,5,2003/03/05 05:00:00+00
576097,576098,2003062S10080,SI,MM,KALUNDE,-11.33,77.66,32,998,2003,3,5,2003/03/05 05:00:00+00
576098,576099,2003062S10080,SI,MM,KALUNDE,-11.23,77.43,30,1000,2003,3,5,2003/03/05 05:00:00+00
576099,576100,2003062S10080,SI,MM,KALUNDE,-11.15,77.25,32,998,2003,3,5,2003/03/05 05:00:00+00
576100,576101,2003062S10080,SI,MM,KALUNDE,-11.07,77.1,35,997,2003,3,5,2003/03/05 05:00:00+00
576101,576102,2003062S10080,SI,MM,KALUNDE,-10.96,76.98,37,995,2003,3,5,2003/03/05 05:00:00+00
576102,576103,2003062S10080,SI,MM,KALUNDE,-10.9,76.87,40,994,2003,3,5,2003/03/05 05:00:00+00
576103,576104,2003062S10080,SI,MM,KALUNDE,-10.94,76.75,40,994,2003,3,5,2003/03/05 05:00:00+00
576104,576105,2003062S10080,SI,MM,KALUNDE,-11.03,76.6,40,994,2003,3,6,2003/03/06 05:00:00+00
576105,576106,2003062S10080,SI,MM,KALUNDE,-11.12,76.42,42,992,2003,3,6,2003/03/06 05:00:00+00
576106,576107,2003062S10080,SI,MM,KALUNDE,-11.23,76.2,45,991,2003,3,6,2003/03/06 05:00:00+00
576107,576108,2003062S10080,SI,MM,KALUNDE,-11.36,75.95,50,987,2003,3,6,2003/03/06 05:00:00+00
576108,576109,2003062S10080,SI,MM,KALUNDE,-11.5,75.67,55,984,2003,3,6,2003/03/06 05:00:00+00
576109,576110,2003062S10080,SI,MM,KALUNDE,-11.63,75.36,55,984,2003,3,6,2003/03/06 05:00:00+00
576110,576111,2003062S10080,SI,MM,KALUNDE,-11.77,75.03,55,984,2003,3,6,2003/03/06 05:00:00+00
576111,576112,2003062S10080,SI,MM,KALUNDE,-11.94,74.69,60,980,2003,3,6,2003/03/06 05:00:00+00
576112,576113,2003062S10080,SI,MM,KALUNDE,-12.13,74.33,65,976,2003,3,7,2003/03/07 05:00:00+00
576113,576114,2003062S10080,SI,MM,KALUNDE,-12.36,73.96,70,971,2003,3,7,2003/03/07 05:00:00+00
576114,576115,2003062S10080,SI,MM,KALUNDE,-12.6,73.57,75,967,2003,3,7,2003/03/07 05:00:00+00
576115,576116,2003062S10080,SI,MM,KALUNDE,-12.82,73.15,87,955,2003,3,7,2003/03/07 05:00:00+00
576116,576117,2003062S10080,SI,MM,KALUNDE,-13.03,72.73,100,944,2003,3,7,2003/03/07 05:00:00+00
576117,576118,2003062S10080,SI,MM,KALUNDE,-13.24,72.33,102,941,2003,3,7,2003/03/07 05:00:00+00
576118,576119,2003062S10080,SI,MM,KALUNDE,-13.43,71.93,105,938,2003,3,7,2003/03/07 05:00:00+00
576119,576120,2003062S10080,SI,MM,KALUNDE,-13.59,71.55,117,924,2003,3,7,2003/03/07 05:00:00+00
576120,576121,2003062S10080,SI,MM,KALUNDE,-13.73,71.17,130,910,2003,3,8,2003/03/08 05:00:00+00
576121,576122,2003062S10080,SI,MM,KALUNDE,-13.86,70.78,135,904,2003,3,8,2003/03/08 05:00:00+00
576122,576123,2003062S10080,SI,MM,KALUNDE,-14.0,70.4,140,898,2003,3,8,2003/03/08 05:00:00+00
576123,576124,2003062S10080,SI,MM,KALUNDE,-14.19,70.03,135,904,2003,3,8,2003/03/08 05:00:00+00
576124,576125,2003062S10080,SI,MM,KALUNDE,-14.4,69.7,130,910,2003,3,8,2003/03/08 05:00:00+00
576125,576126,2003062S10080,SI,MM,KALUNDE,-14.57,69.45,130,910,2003,3,8,2003/03/08 05:00:00+00
576126,576127,2003062S10080,SI,MM,KALUNDE,-14.77,69.23,130,910,2003,3,8,2003/03/08 05:00:00+00
576127,576128,2003062S10080,SI,MM,KALUNDE,-15.05,68.98,125,916,2003,3,8,2003/03/08 05:00:00+00
576128,576129,2003062S10080,SI,MM,KALUNDE,-15.33,68.73,120,922,2003,3,9,2003/03/09 05:00:00+00
576129,576130,2003062S10080,SI,MM,KALUNDE,-15.53,68.49,120,922,2003,3,9,2003/03/09 05:00:00+00
576130,576131,2003062S10080,SI,MM,KALUNDE,-15.7,68.27,120,922,2003,3,9,2003/03/09 05:00:00+00
576131,576132,2003062S10080,SI,MM,KALUNDE,-15.9,68.09,117,924,2003,3,9,2003/03/09 05:00:00+00
576132,576133,2003062S10080,SI,MM,KALUNDE,-16.1,67.93,115,927,2003,3,9,2003/03/09 05:00:00+00
576133,576134,2003062S10080,SI,MM,KALUNDE,-16.26,67.74,115,927,2003,3,9,2003/03/09 05:00:00+00
576134,576135,2003062S10080,SI,MM,KALUNDE,-16.4,67.53,115,927,2003,3,9,2003/03/09 05:00:00+00
576135,576136,2003062S10080,SI,MM,KALUNDE,-16.55,67.34,115,927,2003,3,9,2003/03/09 05:00:00+00
576136,576137,2003062S10080,SI,MM,KALUNDE,-16.7,67.13,115,927,2003,3,10,2003/03/10 04:00:00+00
576137,576138,2003062S10080,SI,MM,KALUNDE,-16.86,66.91,115,927,2003,3,10,2003/03/10 04:00:00+00
576138,576139,2003062S10080,SI,MM,KALUNDE,-17.03,66.7,115,927,2003,3,10,2003/03/10 04:00:00+00
576139,576140,2003062S10080,SI,MM,KALUNDE,-17.22,66.53,107,935,2003,3,10,2003/03/10 04:00:00+00
576140,576141,2003062S10080,SI,MM,KALUNDE,-17.4,66.37,100,944,2003,3,10,2003/03/10 04:00:00+00
576141,576142,2003062S10080,SI,MM,KALUNDE,-17.56,66.19,100,944,2003,3,10,2003/03/10 04:00:00+00
576142,576143,2003062S10080,SI,MM,KALUNDE,-17.7,66.0,100,944,2003,3,10,2003/03/10 04:00:00+00
576143,576144,2003062S10080,SI,MM,KALUNDE,-17.82,65.78,100,944,2003,3,10,2003/03/10 04:00:00+00
576144,576145,2003062S10080,SI,MM,KALUNDE,-17.93,65.57,100,944,2003,3,11,2003/03/11 04:00:00+00
576145,576146,2003062S10080,SI,MM,KALUNDE,-18.03,65.37,100,944,2003,3,11,2003/03/11 04:00:00+00
576146,576147,2003062S10080,SI,MM,KALUNDE,-18.13,65.2,100,944,2003,3,11,2003/03/11 04:00:00+00
576147,576148,2003062S10080,SI,MM,KALUNDE,-18.26,65.05,100,944,2003,3,11,2003/03/11 04:00:00+00
576148,576149,2003062S10080,SI,MM,KALUNDE,-18.4,64.9,100,944,2003,3,11,2003/03/11 04:00:00+00
576149,576150,2003062S10080,SI,MM,KALUNDE,-18.52,64.75,100,944,2003,3,11,2003/03/11 04:00:00+00
576150,576151,2003062S10080,SI,MM,KALUNDE,-18.63,64.6,100,944,2003,3,11,2003/03/11 04:00:00+00
576151,576152,2003062S10080,SI,MM,KALUNDE,-18.71,64.43,102,941,2003,3,11,2003/03/11 04:00:00+00
576152,576153,2003062S10080,SI,MM,KALUNDE,-18.8,64.27,105,938,2003,3,12,2003/03/12 04:00:00+00
576153,576154,2003062S10080,SI,MM,KALUNDE,-18.93,64.15,105,938,2003,3,12,2003/03/12 04:00:00+00
576154,576155,2003062S10080,SI,MM,KALUNDE,-19.1,64.07,105,938,2003,3,12,2003/03/12 04:00:00+00
576155,576156,2003062S10080,SI,MM,KALUNDE,-19.3,63.97,105,938,2003,3,12,2003/03/12 04:00:00+00
576156,576157,2003062S10080,SI,MM,KALUNDE,-19.53,63.9,105,938,2003,3,12,2003/03/12 04:00:00+00
576157,576158,2003062S10080,SI,MM,KALUNDE,-19.76,63.86,97,946,2003,3,12,2003/03/12 04:00:00+00
576158,576159,2003062S10080,SI,MM,KALUNDE,-20.0,63.87,90,954,2003,3,12,2003/03/12 04:00:00+00
576159,576160,2003062S10080,SI,MM,KALUNDE,-20.22,63.92,90,954,2003,3,12,2003/03/12 04:00:00+00
576160,576161,2003062S10080,SI,MM,KALUNDE,-20.47,64.0,90,954,2003,3,13,2003/03/13 04:00:00+00
576161,576162,2003062S10080,SI,MM,KALUNDE,-20.75,64.08,90,954,2003,3,13,2003/03/13 04:00:00+00
576162,576163,2003062S10080,SI,MM,KALUNDE,-21.07,64.17,90,954,2003,3,13,2003/03/13 04:00:00+00
576163,576164,2003062S10080,SI,MM,KALUNDE,-21.42,64.27,87,956,2003,3,13,2003/03/13 04:00:00+00
576164,576165,2003062S10080,SI,MM,KALUNDE,-21.8,64.4,85,958,2003,3,13,2003/03/13 04:00:00+00
576165,576166,2003062S10080,SI,MM,KALUNDE,-22.16,64.56,82,960,2003,3,13,2003/03/13 04:00:00+00
576166,576167,2003062S10080,SI,MM,KALUNDE,-22.53,64.7,80,963,2003,3,13,2003/03/13 04:00:00+00
576167,576168,2003062S10080,SI,MM,KALUNDE,-22.91,64.76,72,969,2003,3,13,2003/03/13 04:00:00+00
576168,576169,2003062S10080,SI,MM,KALUNDE,-23.3,64.8,65,976,2003,3,14,2003/03/14 04:00:00+00
576169,576170,2003062S10080,SI,MM,KALUNDE,-23.68,64.89,65,976,2003,3,14,2003/03/14 04:00:00+00
576170,576171,2003062S10080,SI,MM,KALUNDE,-24.07,65.0,65,976,2003,3,14,2003/03/14 04:00:00+00
576171,576172,2003062S10080,SI,MM,KALUNDE,-24.46,65.09,60,980,2003,3,14,2003/03/14 04:00:00+00
576172,576173,2003062S10080,SI,MM,KALUNDE,-24.87,65.17,55,984,2003,3,14,2003/03/14 04:00:00+00
576173,576174,2003062S10080,SI,MM,KALUNDE,-25.26,65.22,52,985,2003,3,14,2003/03/14 04:00:00+00
576174,576175,2003062S10080,SI,MM,KALUNDE,-25.67,65.3,50,987,2003,3,14,2003/03/14 04:00:00+00
576175,576176,2003062S10080,SI,MM,KALUNDE,-26.07,65.46,45,990,2003,3,14,2003/03/14 04:00:00+00
576176,576177,2003062S10080,SI,MM,KALUNDE,-26.5,65.67,40,994,2003,3,15,2003/03/15 04:00:00+00
576177,576178,2003062S10080,SI,MM,KALUNDE,-26.99,65.94,37,995,2003,3,15,2003/03/15 04:00:00+00
576178,576179,2003062S10080,SI,MM,KALUNDE,-27.53,66.17,35,997,2003,3,15,2003/03/15 04:00:00+00
576179,576180,2003062S10080,SI,MM,KALUNDE,-28.16,66.23,32,998,2003,3,15,2003/03/15 04:00:00+00
576180,576181,2003062S10080,SI,MM,KALUNDE,-28.77,66.23,30,1000,2003,3,15,2003/03/15 04:00:00+00
576181,576182,2003062S10080,SI,MM,KALUNDE,-29.21,66.29,27,1001,2003,3,15,2003/03/15 04:00:00+00
576182,576183,2003062S10080,SI,MM,KALUNDE,-29.68,66.36,25,1002,2003,3,15,2003/03/15 04:00:00+00
576183,576184,2003062S10080,SI,MM,KALUNDE,-30.41,66.45,25,1002,2003,3,15,2003/03/15 04:00:00+00
576184,576185,2003062S10080,SI,MM,KALUNDE,-31.47,66.57,25,1002,2003,3,16,2003/03/16 04:00:00+00
576185,576186,2003062S10080,SI,MM,KALUNDE,-33.03,66.73,0,0,2003,3,16,2003/03/16 04:00:00+00
576186,576187,2003062S10080,SI,MM,KALUNDE,-34.0,67.0,0,0,2003,3,16,2003/03/16 04:00:00+00
576187,576188,2003062S10080,SI,MM,KALUNDE,-34.95,67.17,0,0,2003,3,16,2003/03/16 04:00:00+00
576188,576189,2003062S10080,SI,MM,KALUNDE,-35.8,67.4,0,0,2003,3,16,2003/03/16 04:00:00+00
576189,576190,2003062S10080,SI,MM,KALUNDE,-36.48,67.74,0,0,2003,3,16,2003/03/16 04:00:00+00
576190,576191,2003062S10080,SI,MM,KALUNDE,-37.1,68.3,0,0,2003,3,16,2003/03/16 04:00:00+00
576191,576192,2003062S10080,SI,MM,KALUNDE,-37.79,69.15,0,0,2003,3,16,2003/03/16 04:00:00+00
576192,576193,2003062S10080,SI,MM,KALUNDE,-38.5,70.2,0,0,2003,3,17,2003/03/17 04:00:00+00
576193,576194,2003062S10080,SI,MM,KALUNDE,-39.2,71.29,0,0,2003,3,17,2003/03/17 04:00:00+00
