Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
430122,430123,1982113S06085,SI,MM,KARLA,-6.2,85.4,20,0,1982,4,23,1982/04/23 04:00:00+00
430123,430124,1982113S06085,SI,MM,KARLA,-6.3,84.9,22,0,1982,4,23,1982/04/23 04:00:00+00
430124,430125,1982113S06085,SI,MM,KARLA,-6.41,84.39,25,0,1982,4,23,1982/04/23 04:00:00+00
430125,430126,1982113S06085,SI,MM,KARLA,-6.55,83.86,25,0,1982,4,23,1982/04/23 04:00:00+00
430126,430127,1982113S06085,SI,MM,KARLA,-6.7,83.3,25,0,1982,4,23,1982/04/23 04:00:00+00
430127,430128,1982113S06085,SI,MM,KARLA,-6.85,82.7,25,0,1982,4,23,1982/04/23 04:00:00+00
430128,430129,1982113S06085,SI,MM,KARLA,-7.0,82.12,25,0,1982,4,24,1982/04/24 04:00:00+00
430129,430130,1982113S06085,SI,MM,KARLA,-7.16,81.58,25,0,1982,4,24,1982/04/24 04:00:00+00
430130,430131,1982113S06085,SI,MM,KARLA,-7.3,81.1,25,0,1982,4,24,1982/04/24 04:00:00+00
430131,430132,1982113S06085,SI,MM,KARLA,-7.41,80.71,25,0,1982,4,24,1982/04/24 04:00:00+00
430132,430133,1982113S06085,SI,MM,KARLA,-7.51,80.37,25,0,1982,4,24,1982/04/24 04:00:00+00
430133,430134,1982113S06085,SI,MM,KARLA,-7.62,79.98,27,0,1982,4,24,1982/04/24 04:00:00+00
430134,430135,1982113S06085,SI,MM,KARLA,-7.7,79.6,30,0,1982,4,24,1982/04/24 04:00:00+00
430135,430136,1982113S06085,SI,MM,KARLA,-7.72,79.24,32,0,1982,4,24,1982/04/24 04:00:00+00
430136,430137,1982113S06085,SI,MM,KARLA,-7.72,78.87,35,0,1982,4,25,1982/04/25 04:00:00+00
430137,430138,1982113S06085,SI,MM,KARLA,-7.76,78.48,37,0,1982,4,25,1982/04/25 04:00:00+00
430138,430139,1982113S06085,SI,MM,KARLA,-7.83,78.11,40,0,1982,4,25,1982/04/25 04:00:00+00
430139,430140,1982113S06085,SI,MM,KARLA,-7.89,77.81,42,0,1982,4,25,1982/04/25 04:00:00+00
430140,430141,1982113S06085,SI,MM,KARLA,-7.94,77.54,45,0,1982,4,25,1982/04/25 04:00:00+00
430141,430142,1982113S06085,SI,MM,KARLA,-7.98,77.26,47,0,1982,4,25,1982/04/25 04:00:00+00
430142,430143,1982113S06085,SI,MM,KARLA,-8.03,77.0,50,0,1982,4,25,1982/04/25 04:00:00+00
430143,430144,1982113S06085,SI,MM,KARLA,-8.07,76.77,52,0,1982,4,25,1982/04/25 04:00:00+00
430144,430145,1982113S06085,SI,MM,KARLA,-8.12,76.56,55,0,1982,4,26,1982/04/26 04:00:00+00
430145,430146,1982113S06085,SI,MM,KARLA,-8.19,76.33,57,0,1982,4,26,1982/04/26 04:00:00+00
430146,430147,1982113S06085,SI,MM,KARLA,-8.28,76.12,60,0,1982,4,26,1982/04/26 04:00:00+00
430147,430148,1982113S06085,SI,MM,KARLA,-8.39,75.97,62,0,1982,4,26,1982/04/26 04:00:00+00
430148,430149,1982113S06085,SI,MM,KARLA,-8.52,75.83,65,0,1982,4,26,1982/04/26 04:00:00+00
430149,430150,1982113S06085,SI,MM,KARLA,-8.62,75.68,67,0,1982,4,26,1982/04/26 04:00:00+00
430150,430151,1982113S06085,SI,MM,KARLA,-8.72,75.55,70,0,1982,4,26,1982/04/26 04:00:00+00
430151,430152,1982113S06085,SI,MM,KARLA,-8.88,75.43,72,0,1982,4,26,1982/04/26 04:00:00+00
430152,430153,1982113S06085,SI,MM,KARLA,-9.05,75.34,75,0,1982,4,27,1982/04/27 04:00:00+00
430153,430154,1982113S06085,SI,MM,KARLA,-9.23,75.26,77,0,1982,4,27,1982/04/27 04:00:00+00
430154,430155,1982113S06085,SI,MM,KARLA,-9.4,75.22,80,0,1982,4,27,1982/04/27 04:00:00+00
430155,430156,1982113S06085,SI,MM,KARLA,-9.57,75.24,82,0,1982,4,27,1982/04/27 04:00:00+00
430156,430157,1982113S06085,SI,MM,KARLA,-9.72,75.3,85,0,1982,4,27,1982/04/27 04:00:00+00
430157,430158,1982113S06085,SI,MM,KARLA,-9.86,75.39,85,0,1982,4,27,1982/04/27 04:00:00+00
430158,430159,1982113S06085,SI,MM,KARLA,-9.97,75.5,85,0,1982,4,27,1982/04/27 04:00:00+00
430159,430160,1982113S06085,SI,MM,KARLA,-10.05,75.6,85,0,1982,4,27,1982/04/27 04:00:00+00
430160,430161,1982113S06085,SI,MM,KARLA,-10.12,75.72,85,0,1982,4,28,1982/04/28 04:00:00+00
430161,430162,1982113S06085,SI,MM,KARLA,-10.21,75.89,87,0,1982,4,28,1982/04/28 04:00:00+00
430162,430163,1982113S06085,SI,MM,KARLA,-10.3,76.1,90,0,1982,4,28,1982/04/28 04:00:00+00
430163,430164,1982113S06085,SI,MM,KARLA,-10.37,76.33,90,0,1982,4,28,1982/04/28 04:00:00+00
430164,430165,1982113S06085,SI,MM,KARLA,-10.46,76.6,90,0,1982,4,28,1982/04/28 04:00:00+00
430165,430166,1982113S06085,SI,MM,KARLA,-10.62,76.9,92,0,1982,4,28,1982/04/28 04:00:00+00
