Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
246063,246064,1954240N13151,WP,MM,KATHY,12.6,151.0,10,0,1954,8,28,1954/08/28 04:00:00+00
246064,246065,1954240N13151,WP,MM,KATHY,12.8,150.5,17,0,1954,8,28,1954/08/28 04:00:00+00
246065,246066,1954240N13151,WP,MM,KATHY,13.08,150.31,25,0,1954,8,28,1954/08/28 04:00:00+00
246066,246067,1954240N13151,WP,MM,KATHY,13.39,149.89,27,0,1954,8,28,1954/08/28 04:00:00+00
246067,246068,1954240N13151,WP,MM,KATHY,13.7,149.51,30,0,1954,8,28,1954/08/28 04:00:00+00
246068,246069,1954240N13151,WP,MM,KATHY,13.96,149.08,32,0,1954,8,28,1954/08/28 04:00:00+00
246069,246070,1954240N13151,WP,MM,KATHY,14.2,148.6,35,0,1954,8,28,1954/08/28 04:00:00+00
246070,246071,1954240N13151,WP,MM,KATHY,14.47,148.1,37,0,1954,8,28,1954/08/28 04:00:00+00
246071,246072,1954240N13151,WP,MM,KATHY,14.71,147.56,40,0,1954,8,29,1954/08/29 04:00:00+00
246072,246073,1954240N13151,WP,MM,KATHY,14.89,146.99,37,0,1954,8,29,1954/08/29 04:00:00+00
246073,246074,1954240N13151,WP,MM,KATHY,15.06,146.38,35,0,1954,8,29,1954/08/29 04:00:00+00
246074,246075,1954240N13151,WP,MM,KATHY,15.26,145.72,35,0,1954,8,29,1954/08/29 04:00:00+00
246075,246076,1954240N13151,WP,MM,KATHY,15.46,145.06,35,0,1954,8,29,1954/08/29 04:00:00+00
246076,246077,1954240N13151,WP,MM,KATHY,15.62,144.48,32,0,1954,8,29,1954/08/29 04:00:00+00
246077,246078,1954240N13151,WP,MM,KATHY,15.79,143.93,30,0,1954,8,29,1954/08/29 04:00:00+00
246078,246079,1954240N13151,WP,MM,KATHY,16.01,143.34,30,0,1954,8,29,1954/08/29 04:00:00+00
246079,246080,1954240N13151,WP,MM,KATHY,16.26,142.73,30,0,1954,8,30,1954/08/30 04:00:00+00
246080,246081,1954240N13151,WP,MM,KATHY,16.47,142.08,27,0,1954,8,30,1954/08/30 04:00:00+00
246081,246082,1954240N13151,WP,MM,KATHY,16.71,141.47,25,0,1954,8,30,1954/08/30 04:00:00+00
246082,246083,1954240N13151,WP,MM,KATHY,17.03,140.93,27,0,1954,8,30,1954/08/30 04:00:00+00
246083,246084,1954240N13151,WP,MM,KATHY,17.48,140.52,30,0,1954,8,30,1954/08/30 04:00:00+00
246084,246085,1954240N13151,WP,MM,KATHY,18.12,140.22,32,0,1954,8,30,1954/08/30 04:00:00+00
246085,246086,1954240N13151,WP,MM,KATHY,18.85,140.03,35,0,1954,8,30,1954/08/30 04:00:00+00
246086,246087,1954240N13151,WP,MM,KATHY,19.58,140.05,35,0,1954,8,30,1954/08/30 04:00:00+00
246087,246088,1954240N13151,WP,MM,KATHY,20.34,140.23,35,0,1954,8,31,1954/08/31 04:00:00+00
246088,246089,1954240N13151,WP,MM,KATHY,21.15,140.44,32,0,1954,8,31,1954/08/31 04:00:00+00
246089,246090,1954240N13151,WP,MM,KATHY,21.92,140.98,30,0,1954,8,31,1954/08/31 04:00:00+00
246090,246091,1954240N13151,WP,MM,KATHY,22.48,141.59,27,0,1954,8,31,1954/08/31 04:00:00+00
