Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
343178,343179,1970075S16061,SI,MM,KATIA,-15.5,61.2,0,0,1970,3,16,1970/03/16 04:00:00+00
343179,343180,1970075S16061,SI,MM,KATIA,-15.67,60.7,0,0,1970,3,16,1970/03/16 04:00:00+00
343180,343181,1970075S16061,SI,MM,KATIA,-15.8,60.2,0,0,1970,3,16,1970/03/16 04:00:00+00
343181,343182,1970075S16061,SI,MM,KATIA,-15.86,59.71,0,0,1970,3,16,1970/03/16 04:00:00+00
343182,343183,1970075S16061,SI,MM,KATIA,-15.8,59.2,0,0,1970,3,16,1970/03/16 04:00:00+00
343183,343184,1970075S16061,SI,MM,KATIA,-15.57,58.66,0,0,1970,3,16,1970/03/16 04:00:00+00
343184,343185,1970075S16061,SI,MM,KATIA,-15.35,58.13,0,0,1970,3,17,1970/03/17 04:00:00+00
343185,343186,1970075S16061,SI,MM,KATIA,-15.3,57.58,0,0,1970,3,17,1970/03/17 04:00:00+00
343186,343187,1970075S16061,SI,MM,KATIA,-15.31,57.06,0,0,1970,3,17,1970/03/17 04:00:00+00
343187,343188,1970075S16061,SI,MM,KATIA,-15.37,56.6,0,0,1970,3,17,1970/03/17 04:00:00+00
343188,343189,1970075S16061,SI,MM,KATIA,-15.4,56.14,0,0,1970,3,17,1970/03/17 04:00:00+00
343189,343190,1970075S16061,SI,MM,KATIA,-15.42,55.62,0,0,1970,3,17,1970/03/17 04:00:00+00
343190,343191,1970075S16061,SI,MM,KATIA,-15.43,55.1,0,0,1970,3,17,1970/03/17 04:00:00+00
343191,343192,1970075S16061,SI,MM,KATIA,-15.47,54.66,0,0,1970,3,17,1970/03/17 04:00:00+00
343192,343193,1970075S16061,SI,MM,KATIA,-15.5,54.22,0,0,1970,3,18,1970/03/18 04:00:00+00
343193,343194,1970075S16061,SI,MM,KATIA,-15.52,53.72,0,0,1970,3,18,1970/03/18 04:00:00+00
343194,343195,1970075S16061,SI,MM,KATIA,-15.52,53.21,0,0,1970,3,18,1970/03/18 04:00:00+00
343195,343196,1970075S16061,SI,MM,KATIA,-15.52,52.72,0,0,1970,3,18,1970/03/18 04:00:00+00
343196,343197,1970075S16061,SI,MM,KATIA,-15.5,52.24,0,0,1970,3,18,1970/03/18 04:00:00+00
343197,343198,1970075S16061,SI,MM,KATIA,-15.46,51.76,0,0,1970,3,18,1970/03/18 04:00:00+00
343198,343199,1970075S16061,SI,MM,KATIA,-15.43,51.3,0,0,1970,3,18,1970/03/18 04:00:00+00
343199,343200,1970075S16061,SI,MM,KATIA,-15.42,50.84,0,0,1970,3,18,1970/03/18 04:00:00+00
343200,343201,1970075S16061,SI,MM,KATIA,-15.48,50.46,0,0,1970,3,19,1970/03/19 04:00:00+00
343201,343202,1970075S16061,SI,MM,KATIA,-15.59,50.19,0,0,1970,3,19,1970/03/19 04:00:00+00
343202,343203,1970075S16061,SI,MM,KATIA,-15.83,50.06,0,0,1970,3,19,1970/03/19 04:00:00+00
343203,343204,1970075S16061,SI,MM,KATIA,-16.22,50.08,0,0,1970,3,19,1970/03/19 04:00:00+00
343204,343205,1970075S16061,SI,MM,KATIA,-16.7,50.16,0,0,1970,3,19,1970/03/19 04:00:00+00
343205,343206,1970075S16061,SI,MM,KATIA,-17.14,50.17,0,0,1970,3,19,1970/03/19 04:00:00+00
