Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
627730,627731,2011302N13062,NI,AS,KEILA,13.0,62.0,0,0,2011,10,29,2011/10/29 04:00:00+00
627731,627732,2011302N13062,NI,AS,KEILA,13.0,61.39,0,0,2011,10,29,2011/10/29 04:00:00+00
627732,627733,2011302N13062,NI,AS,KEILA,13.0,61.0,0,0,2011,10,29,2011/10/29 04:00:00+00
627733,627734,2011302N13062,NI,AS,KEILA,13.0,60.96,0,0,2011,10,29,2011/10/29 04:00:00+00
627734,627735,2011302N13062,NI,AS,KEILA,13.0,61.0,0,0,2011,10,29,2011/10/29 04:00:00+00
627735,627736,2011302N13062,NI,AS,KEILA,13.0,60.84,0,0,2011,10,29,2011/10/29 04:00:00+00
627736,627737,2011302N13062,NI,AS,KEILA,13.0,60.5,0,0,2011,10,30,2011/10/30 04:00:00+00
627737,627738,2011302N13062,NI,AS,KEILA,13.0,60.0,0,0,2011,10,30,2011/10/30 04:00:00+00
627738,627739,2011302N13062,NI,AS,KEILA,13.0,60.01,0,0,2011,10,30,2011/10/30 04:00:00+00
627739,627740,2011302N13062,NI,AS,KEILA,13.2,59.8,0,0,2011,10,30,2011/10/30 04:00:00+00
627740,627741,2011302N13062,NI,AS,KEILA,13.5,59.5,0,0,2011,10,30,2011/10/30 04:00:00+00
627741,627742,2011302N13062,NI,AS,KEILA,13.75,59.21,0,0,2011,10,30,2011/10/30 04:00:00+00
627742,627743,2011302N13062,NI,AS,KEILA,14.0,59.0,0,0,2011,10,30,2011/10/30 04:00:00+00
627743,627744,2011302N13062,NI,AS,KEILA,14.2,59.07,0,0,2011,10,30,2011/10/30 04:00:00+00
627744,627745,2011302N13062,NI,AS,KEILA,14.5,59.0,0,0,2011,10,31,2011/10/31 04:00:00+00
627745,627746,2011302N13062,NI,AS,KEILA,15.0,58.5,0,0,2011,10,31,2011/10/31 04:00:00+00
627746,627747,2011302N13062,NI,AS,KEILA,16.0,57.0,0,0,2011,10,31,2011/10/31 04:00:00+00
627747,627748,2011302N13062,NI,AS,KEILA,16.2,56.96,0,0,2011,10,31,2011/10/31 04:00:00+00
627748,627749,2011302N13062,NI,AS,KEILA,16.0,57.5,0,0,2011,10,31,2011/10/31 04:00:00+00
627749,627750,2011302N13062,NI,AS,KEILA,16.0,57.33,0,0,2011,10,31,2011/10/31 04:00:00+00
627750,627751,2011302N13062,NI,AS,KEILA,16.0,57.0,0,0,2011,10,31,2011/10/31 04:00:00+00
627751,627752,2011302N13062,NI,AS,KEILA,16.0,56.8,0,0,2011,10,31,2011/10/31 04:00:00+00
627752,627753,2011302N13062,NI,AS,KEILA,15.94,56.56,15,1010,2011,11,1,2011/11/01 04:00:00+00
627753,627754,2011302N13062,NI,AS,KEILA,15.92,56.18,17,1008,2011,11,1,2011/11/01 04:00:00+00
627754,627755,2011302N13062,NI,AS,KEILA,15.91,56.13,20,1007,2011,11,1,2011/11/01 04:00:00+00
