Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
489971,489972,1991055S12142,SP,EA,KELVIN,-11.7,141.9,0,0,1991,2,24,1991/02/24 05:00:00+00
489972,489973,1991055S12142,SP,EA,KELVIN,-11.6,142.0,0,0,1991,2,24,1991/02/24 05:00:00+00
489973,489974,1991055S12142,SP,EA,KELVIN,-11.65,142.68,0,0,1991,2,24,1991/02/24 05:00:00+00
489974,489975,1991055S12142,SP,EA,KELVIN,-11.8,143.4,0,0,1991,2,24,1991/02/24 05:00:00+00
489975,489976,1991055S12142,SP,EA,KELVIN,-12.27,144.2,25,0,1991,2,24,1991/02/24 05:00:00+00
489976,489977,1991055S12142,SP,EA,KELVIN,-12.89,144.95,25,0,1991,2,24,1991/02/24 05:00:00+00
489977,489978,1991055S12142,SP,EA,KELVIN,-13.09,145.48,25,0,1991,2,24,1991/02/24 05:00:00+00
489978,489979,1991055S12142,SP,EA,KELVIN,-13.57,146.63,25,0,1991,2,24,1991/02/24 05:00:00+00
489979,489980,1991055S12142,SP,EA,KELVIN,-14.01,147.79,30,0,1991,2,24,1991/02/24 05:00:00+00
489980,489981,1991055S12142,SP,EA,KELVIN,-14.36,148.51,35,0,1991,2,25,1991/02/25 05:00:00+00
489981,489982,1991055S12142,SP,EA,KELVIN,-15.0,148.79,40,0,1991,2,25,1991/02/25 05:00:00+00
489982,489983,1991055S12142,SP,EA,KELVIN,-15.16,148.91,41,0,1991,2,25,1991/02/25 05:00:00+00
489983,489984,1991055S12142,SP,EA,KELVIN,-15.4,149.25,45,0,1991,2,25,1991/02/25 05:00:00+00
489984,489985,1991055S12142,SP,EA,KELVIN,-15.52,149.45,45,0,1991,2,25,1991/02/25 05:00:00+00
489985,489986,1991055S12142,SP,EA,KELVIN,-15.94,149.87,45,0,1991,2,25,1991/02/25 05:00:00+00
489986,489987,1991055S12142,SP,EA,KELVIN,-16.13,150.05,45,0,1991,2,25,1991/02/25 05:00:00+00
489987,489988,1991055S12142,SP,EA,KELVIN,-16.3,150.3,45,0,1991,2,25,1991/02/25 05:00:00+00
489988,489989,1991055S12142,SP,EA,KELVIN,-16.36,150.4,46,0,1991,2,25,1991/02/25 05:00:00+00
489989,489990,1991055S12142,SP,EA,KELVIN,-16.38,150.54,50,0,1991,2,25,1991/02/25 05:00:00+00
489990,489991,1991055S12142,SP,EA,KELVIN,-16.42,150.62,53,0,1991,2,25,1991/02/25 05:00:00+00
489991,489992,1991055S12142,SP,EA,KELVIN,-16.5,150.65,55,0,1991,2,25,1991/02/25 05:00:00+00
489992,489993,1991055S12142,SP,EA,KELVIN,-16.66,150.75,51,0,1991,2,25,1991/02/25 05:00:00+00
489993,489994,1991055S12142,SP,EA,KELVIN,-16.7,150.82,50,0,1991,2,25,1991/02/25 05:00:00+00
489994,489995,1991055S12142,SP,EA,KELVIN,-16.8,150.95,46,0,1991,2,25,1991/02/25 05:00:00+00
489995,489996,1991055S12142,SP,EA,KELVIN,-16.9,150.97,45,0,1991,2,26,1991/02/26 05:00:00+00
489996,489997,1991055S12142,SP,EA,KELVIN,-17.25,151.14,45,0,1991,2,26,1991/02/26 05:00:00+00
489997,489998,1991055S12142,SP,EA,KELVIN,-17.41,151.19,45,0,1991,2,26,1991/02/26 05:00:00+00
489998,489999,1991055S12142,SP,EA,KELVIN,-17.45,151.15,45,0,1991,2,26,1991/02/26 05:00:00+00
489999,490000,1991055S12142,SP,EA,KELVIN,-17.44,151.01,45,0,1991,2,26,1991/02/26 05:00:00+00
490000,490001,1991055S12142,SP,EA,KELVIN,-17.38,150.91,45,0,1991,2,26,1991/02/26 05:00:00+00
490001,490002,1991055S12142,SP,EA,KELVIN,-17.15,150.6,45,0,1991,2,26,1991/02/26 05:00:00+00
490002,490003,1991055S12142,SP,EA,KELVIN,-17.18,150.48,46,0,1991,2,26,1991/02/26 05:00:00+00
490003,490004,1991055S12142,SP,EA,KELVIN,-17.22,150.42,47,0,1991,2,26,1991/02/26 05:00:00+00
490004,490005,1991055S12142,SP,EA,KELVIN,-17.26,150.28,49,0,1991,2,26,1991/02/26 05:00:00+00
490005,490006,1991055S12142,SP,EA,KELVIN,-17.2,150.2,50,0,1991,2,26,1991/02/26 05:00:00+00
490006,490007,1991055S12142,SP,EA,KELVIN,-16.88,149.97,50,0,1991,2,26,1991/02/26 05:00:00+00
490007,490008,1991055S12142,SP,EA,KELVIN,-16.7,149.93,50,0,1991,2,26,1991/02/26 05:00:00+00
490008,490009,1991055S12142,SP,EA,KELVIN,-16.25,150.05,50,0,1991,2,27,1991/02/27 05:00:00+00
490009,490010,1991055S12142,SP,EA,KELVIN,-16.06,150.21,47,0,1991,2,27,1991/02/27 05:00:00+00
490010,490011,1991055S12142,SP,EA,KELVIN,-15.95,150.35,45,0,1991,2,27,1991/02/27 05:00:00+00
490011,490012,1991055S12142,SP,EA,KELVIN,-15.79,150.37,45,0,1991,2,27,1991/02/27 05:00:00+00
490012,490013,1991055S12142,SP,EA,KELVIN,-15.6,150.35,45,0,1991,2,27,1991/02/27 05:00:00+00
490013,490014,1991055S12142,SP,EA,KELVIN,-15.44,150.38,45,0,1991,2,27,1991/02/27 05:00:00+00
490014,490015,1991055S12142,SP,EA,KELVIN,-15.37,150.43,45,0,1991,2,27,1991/02/27 05:00:00+00
490015,490016,1991055S12142,SP,EA,KELVIN,-15.25,150.6,45,0,1991,2,27,1991/02/27 05:00:00+00
490016,490017,1991055S12142,SP,EA,KELVIN,-15.23,150.61,45,0,1991,2,27,1991/02/27 05:00:00+00
490017,490018,1991055S12142,SP,EA,KELVIN,-15.23,150.63,45,0,1991,2,27,1991/02/27 05:00:00+00
490018,490019,1991055S12142,SP,EA,KELVIN,-15.3,150.65,45,0,1991,2,28,1991/02/28 05:00:00+00
490019,490020,1991055S12142,SP,EA,KELVIN,-15.38,150.49,45,0,1991,2,28,1991/02/28 05:00:00+00
490020,490021,1991055S12142,SP,EA,KELVIN,-15.45,150.3,45,0,1991,2,28,1991/02/28 05:00:00+00
490021,490022,1991055S12142,SP,EA,KELVIN,-15.46,150.29,45,0,1991,2,28,1991/02/28 05:00:00+00
490022,490023,1991055S12142,SP,EA,KELVIN,-15.45,150.3,45,0,1991,2,28,1991/02/28 05:00:00+00
490023,490024,1991055S12142,SP,EA,KELVIN,-15.44,150.2,40,0,1991,2,28,1991/02/28 05:00:00+00
490024,490025,1991055S12142,SP,EA,KELVIN,-15.45,150.1,35,0,1991,2,28,1991/02/28 05:00:00+00
490025,490026,1991055S12142,SP,EA,KELVIN,-15.52,150.13,35,0,1991,2,28,1991/02/28 05:00:00+00
490026,490027,1991055S12142,SP,EA,KELVIN,-15.55,150.1,35,0,1991,3,1,1991/03/01 05:00:00+00
490027,490028,1991055S12142,SP,EA,KELVIN,-15.51,149.96,35,0,1991,3,1,1991/03/01 05:00:00+00
490028,490029,1991055S12142,SP,EA,KELVIN,-15.46,149.89,35,0,1991,3,1,1991/03/01 05:00:00+00
490029,490030,1991055S12142,SP,EA,KELVIN,-15.3,149.7,35,0,1991,3,1,1991/03/01 05:00:00+00
490030,490031,1991055S12142,SP,EA,KELVIN,-15.21,149.55,35,0,1991,3,1,1991/03/01 05:00:00+00
490031,490032,1991055S12142,SP,EA,KELVIN,-15.15,149.5,35,0,1991,3,1,1991/03/01 05:00:00+00
490032,490033,1991055S12142,SP,EA,KELVIN,-15.08,149.61,35,0,1991,3,1,1991/03/01 05:00:00+00
490033,490034,1991055S12142,SP,EA,KELVIN,-15.05,149.8,35,0,1991,3,1,1991/03/01 05:00:00+00
490034,490035,1991055S12142,SP,EA,KELVIN,-15.09,149.96,35,0,1991,3,1,1991/03/01 05:00:00+00
490035,490036,1991055S12142,SP,EA,KELVIN,-15.15,150.07,35,0,1991,3,2,1991/03/02 05:00:00+00
490036,490037,1991055S12142,SP,EA,KELVIN,-15.16,150.1,37,0,1991,3,2,1991/03/02 05:00:00+00
490037,490038,1991055S12142,SP,EA,KELVIN,-15.15,150.07,40,0,1991,3,2,1991/03/02 05:00:00+00
490038,490039,1991055S12142,SP,EA,KELVIN,-15.16,150.07,40,0,1991,3,2,1991/03/02 05:00:00+00
