Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
672781,672782,2018348S08093,SI,WA,KENANGA,-7.7,93.0,20,1007,2018,12,14,2018/12/14 05:00:00+00
672782,672783,2018348S08093,SI,WA,KENANGA,-7.82,92.8,20,1007,2018,12,14,2018/12/14 05:00:00+00
672783,672784,2018348S08093,SI,WA,KENANGA,-7.9,92.55,20,1007,2018,12,14,2018/12/14 05:00:00+00
672784,672785,2018348S08093,SI,WA,KENANGA,-7.93,92.23,22,1005,2018,12,14,2018/12/14 05:00:00+00
672785,672786,2018348S08093,SI,WA,KENANGA,-7.95,91.95,25,1004,2018,12,14,2018/12/14 05:00:00+00
672786,672787,2018348S08093,SI,WA,KENANGA,-7.98,91.79,25,1003,2018,12,14,2018/12/14 05:00:00+00
672787,672788,2018348S08093,SI,WA,KENANGA,-8.05,91.7,25,1002,2018,12,15,2018/12/15 05:00:00+00
672788,672789,2018348S08093,SI,WA,KENANGA,-8.22,91.61,27,1002,2018,12,15,2018/12/15 05:00:00+00
672789,672790,2018348S08093,SI,WA,KENANGA,-8.4,91.55,30,1003,2018,12,15,2018/12/15 05:00:00+00
672790,672791,2018348S08093,SI,WA,KENANGA,-8.49,91.5,30,1003,2018,12,15,2018/12/15 05:00:00+00
672791,672792,2018348S08093,SI,WA,KENANGA,-8.55,91.45,30,1003,2018,12,15,2018/12/15 05:00:00+00
672792,672793,2018348S08093,SI,WA,KENANGA,-8.64,91.35,32,999,2018,12,15,2018/12/15 05:00:00+00
672793,672794,2018348S08093,SI,WA,KENANGA,-8.75,91.25,35,996,2018,12,15,2018/12/15 05:00:00+00
672794,672795,2018348S08093,SI,WA,KENANGA,-8.87,91.18,37,994,2018,12,15,2018/12/15 05:00:00+00
672795,672796,2018348S08093,SI,WA,KENANGA,-9.05,91.1,40,993,2018,12,16,2018/12/16 05:00:00+00
672796,672797,2018348S08093,SI,WA,KENANGA,-9.28,90.99,42,993,2018,12,16,2018/12/16 05:00:00+00
672797,672798,2018348S08093,SI,WA,KENANGA,-9.6,90.8,45,993,2018,12,16,2018/12/16 05:00:00+00
672798,672799,2018348S08093,SI,WA,KENANGA,-10.02,90.47,47,993,2018,12,16,2018/12/16 05:00:00+00
672799,672800,2018348S08093,SI,WA,KENANGA,-10.45,90.05,50,993,2018,12,16,2018/12/16 05:00:00+00
672800,672801,2018348S08093,SI,MM,KENANGA,-10.76,89.62,50,993,2018,12,16,2018/12/16 05:00:00+00
672801,672802,2018348S08093,SI,MM,KENANGA,-11.05,89.15,50,993,2018,12,16,2018/12/16 05:00:00+00
672802,672803,2018348S08093,SI,MM,KENANGA,-11.43,88.64,50,993,2018,12,16,2018/12/16 05:00:00+00
672803,672804,2018348S08093,SI,MM,KENANGA,-11.8,88.15,50,993,2018,12,17,2018/12/17 05:00:00+00
672804,672805,2018348S08093,SI,MM,KENANGA,-12.08,87.75,50,992,2018,12,17,2018/12/17 05:00:00+00
672805,672806,2018348S08093,SI,MM,KENANGA,-12.3,87.35,50,992,2018,12,17,2018/12/17 05:00:00+00
672806,672807,2018348S08093,SI,MM,KENANGA,-12.48,86.86,52,991,2018,12,17,2018/12/17 05:00:00+00
672807,672808,2018348S08093,SI,MM,KENANGA,-12.65,86.35,55,991,2018,12,17,2018/12/17 05:00:00+00
672808,672809,2018348S08093,SI,MM,KENANGA,-12.86,85.88,57,990,2018,12,17,2018/12/17 05:00:00+00
672809,672810,2018348S08093,SI,MM,KENANGA,-13.1,85.45,60,990,2018,12,17,2018/12/17 05:00:00+00
672810,672811,2018348S08093,SI,MM,KENANGA,-13.36,85.07,62,988,2018,12,17,2018/12/17 05:00:00+00
672811,672812,2018348S08093,SI,MM,KENANGA,-13.65,84.75,65,986,2018,12,18,2018/12/18 05:00:00+00
672812,672813,2018348S08093,SI,MM,KENANGA,-13.95,84.46,70,983,2018,12,18,2018/12/18 05:00:00+00
672813,672814,2018348S08093,SI,MM,KENANGA,-14.25,84.2,75,980,2018,12,18,2018/12/18 05:00:00+00
672814,672815,2018348S08093,SI,MM,KENANGA,-14.53,83.95,82,970,2018,12,18,2018/12/18 05:00:00+00
672815,672816,2018348S08093,SI,MM,KENANGA,-14.8,83.7,90,960,2018,12,18,2018/12/18 05:00:00+00
672816,672817,2018348S08093,SI,MM,KENANGA,-15.05,83.41,95,954,2018,12,18,2018/12/18 05:00:00+00
672817,672818,2018348S08093,SI,MM,KENANGA,-15.3,83.15,100,948,2018,12,18,2018/12/18 05:00:00+00
672818,672819,2018348S08093,SI,MM,KENANGA,-15.56,82.96,107,946,2018,12,18,2018/12/18 05:00:00+00
672819,672820,2018348S08093,SI,MM,KENANGA,-15.8,82.8,115,945,2018,12,19,2018/12/19 05:00:00+00
672820,672821,2018348S08093,SI,MM,KENANGA,-15.99,82.64,115,945,2018,12,19,2018/12/19 05:00:00+00
