Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
319013,319014,1966277N14338,,,KENDRA,13.5,-22.0,25,0,1966,10,3,1966/10/03 04:00:00+00
319014,319015,1966277N14338,,,KENDRA,13.55,-22.0,25,0,1966,10,3,1966/10/03 04:00:00+00
319015,319016,1966277N14338,,,KENDRA,13.6,-22.0,25,0,1966,10,3,1966/10/03 04:00:00+00
319016,319017,1966277N14338,,,KENDRA,13.65,-22.0,25,0,1966,10,3,1966/10/03 04:00:00+00
319017,319018,1966277N14338,,,KENDRA,13.7,-22.0,25,0,1966,10,4,1966/10/04 04:00:00+00
319018,319019,1966277N14338,,,KENDRA,13.74,-22.0,25,0,1966,10,4,1966/10/04 04:00:00+00
319019,319020,1966277N14338,,,KENDRA,13.8,-22.0,25,0,1966,10,4,1966/10/04 04:00:00+00
319020,319021,1966277N14338,,,KENDRA,13.89,-22.0,25,0,1966,10,4,1966/10/04 04:00:00+00
319021,319022,1966277N14338,,,KENDRA,14.0,-22.0,25,0,1966,10,4,1966/10/04 04:00:00+00
319022,319023,1966277N14338,,,KENDRA,14.1,-22.01,25,0,1966,10,4,1966/10/04 04:00:00+00
319023,319024,1966277N14338,,,KENDRA,14.2,-22.0,25,0,1966,10,4,1966/10/04 04:00:00+00
319024,319025,1966277N14338,,,KENDRA,14.29,-21.96,27,0,1966,10,4,1966/10/04 04:00:00+00
319025,319026,1966277N14338,,,KENDRA,14.4,-21.9,30,0,1966,10,5,1966/10/05 04:00:00+00
319026,319027,1966277N14338,,,KENDRA,14.54,-21.82,30,0,1966,10,5,1966/10/05 04:00:00+00
319027,319028,1966277N14338,,,KENDRA,14.7,-21.7,30,0,1966,10,5,1966/10/05 04:00:00+00
319028,319029,1966277N14338,,,KENDRA,14.85,-21.56,30,0,1966,10,5,1966/10/05 04:00:00+00
319029,319030,1966277N14338,,,KENDRA,15.0,-21.4,30,0,1966,10,5,1966/10/05 04:00:00+00
319030,319031,1966277N14338,,,KENDRA,15.15,-21.25,30,0,1966,10,5,1966/10/05 04:00:00+00
319031,319032,1966277N14338,,,KENDRA,15.3,-21.1,30,0,1966,10,5,1966/10/05 04:00:00+00
319032,319033,1966277N14338,,,KENDRA,15.45,-20.92,30,0,1966,10,5,1966/10/05 04:00:00+00
319033,319034,1966277N14338,,,KENDRA,15.62,-20.75,30,0,1966,10,6,1966/10/06 04:00:00+00
319034,319035,1966277N14338,,,KENDRA,15.81,-20.59,30,0,1966,10,6,1966/10/06 04:00:00+00
319035,319036,1966277N14338,,,KENDRA,16.0,-20.45,30,0,1966,10,6,1966/10/06 04:00:00+00
319036,319037,1966277N14338,,,KENDRA,16.18,-20.33,30,0,1966,10,6,1966/10/06 04:00:00+00
319037,319038,1966277N14338,,,KENDRA,16.35,-20.24,30,0,1966,10,6,1966/10/06 04:00:00+00
319038,319039,1966277N14338,,,KENDRA,16.54,-20.16,30,0,1966,10,6,1966/10/06 04:00:00+00
319039,319040,1966277N14338,,,KENDRA,16.73,-20.11,30,0,1966,10,6,1966/10/06 04:00:00+00
319040,319041,1966277N14338,,,KENDRA,16.92,-20.09,30,0,1966,10,6,1966/10/06 04:00:00+00
319041,319042,1966277N14338,,,KENDRA,17.1,-20.1,30,0,1966,10,7,1966/10/07 04:00:00+00
319042,319043,1966277N14338,,,KENDRA,17.25,-20.14,32,0,1966,10,7,1966/10/07 04:00:00+00
319043,319044,1966277N14338,,,KENDRA,17.4,-20.2,35,0,1966,10,7,1966/10/07 04:00:00+00
319044,319045,1966277N14338,,,KENDRA,17.55,-20.25,35,0,1966,10,7,1966/10/07 04:00:00+00
319045,319046,1966277N14338,,,KENDRA,17.7,-20.3,35,0,1966,10,7,1966/10/07 04:00:00+00
319046,319047,1966277N14338,,,KENDRA,17.86,-20.35,35,0,1966,10,7,1966/10/07 04:00:00+00
319047,319048,1966277N14338,,,KENDRA,18.0,-20.4,35,0,1966,10,7,1966/10/07 04:00:00+00
