Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
434255,434256,1982311S09181,SP,MM,KINA,-9.0,181.0,0,0,1982,11,6,1982/11/06 04:00:00+00
434256,434257,1982311S09181,SP,MM,KINA,-9.15,180.28,0,0,1982,11,6,1982/11/06 04:00:00+00
434257,434258,1982311S09181,SP,MM,KINA,-9.29,179.6,0,0,1982,11,6,1982/11/06 04:00:00+00
434258,434259,1982311S09181,SP,MM,KINA,-9.41,179.0,0,0,1982,11,6,1982/11/06 04:00:00+00
434259,434260,1982311S09181,SP,MM,KINA,-9.5,178.5,0,0,1982,11,7,1982/11/07 04:00:00+00
434260,434261,1982311S09181,SP,MM,KINA,-9.55,178.14,0,0,1982,11,7,1982/11/07 04:00:00+00
434261,434262,1982311S09181,SP,MM,KINA,-9.58,177.88,0,0,1982,11,7,1982/11/07 04:00:00+00
434262,434263,1982311S09181,SP,MM,KINA,-9.59,177.68,0,0,1982,11,7,1982/11/07 04:00:00+00
434263,434264,1982311S09181,SP,MM,KINA,-9.6,177.5,0,0,1982,11,7,1982/11/07 04:00:00+00
434264,434265,1982311S09181,SP,MM,KINA,-9.62,177.28,0,0,1982,11,7,1982/11/07 04:00:00+00
434265,434266,1982311S09181,SP,MM,KINA,-10.03,177.64,20,0,1982,11,7,1982/11/07 04:00:00+00
434266,434267,1982311S09181,SP,MM,KINA,-10.26,177.59,22,0,1982,11,7,1982/11/07 04:00:00+00
434267,434268,1982311S09181,SP,MM,KINA,-10.42,177.38,25,0,1982,11,8,1982/11/08 05:00:00+00
434268,434269,1982311S09181,SP,MM,KINA,-10.51,177.11,25,0,1982,11,8,1982/11/08 05:00:00+00
434269,434270,1982311S09181,SP,MM,KINA,-10.52,176.75,25,0,1982,11,8,1982/11/08 05:00:00+00
434270,434271,1982311S09181,SP,MM,KINA,-10.54,176.39,25,0,1982,11,8,1982/11/08 05:00:00+00
434271,434272,1982311S09181,SP,MM,KINA,-10.57,176.03,25,0,1982,11,8,1982/11/08 05:00:00+00
434272,434273,1982311S09181,SP,MM,KINA,-10.6,175.67,25,0,1982,11,8,1982/11/08 05:00:00+00
434273,434274,1982311S09181,SP,MM,KINA,-10.66,175.32,25,0,1982,11,8,1982/11/08 05:00:00+00
434274,434275,1982311S09181,SP,MM,KINA,-10.74,175.0,25,0,1982,11,8,1982/11/08 05:00:00+00
434275,434276,1982311S09181,SP,MM,KINA,-10.91,174.65,25,0,1982,11,9,1982/11/09 05:00:00+00
434276,434277,1982311S09181,SP,MM,KINA,-11.07,174.31,27,0,1982,11,9,1982/11/09 05:00:00+00
434277,434278,1982311S09181,SP,MM,KINA,-11.22,174.01,30,0,1982,11,9,1982/11/09 05:00:00+00
434278,434279,1982311S09181,SP,MM,KINA,-11.38,173.75,30,0,1982,11,9,1982/11/09 05:00:00+00
434279,434280,1982311S09181,SP,MM,KINA,-11.5,173.53,30,0,1982,11,9,1982/11/09 05:00:00+00
434280,434281,1982311S09181,SP,MM,KINA,-11.62,173.29,32,0,1982,11,9,1982/11/09 05:00:00+00
434281,434282,1982311S09181,SP,MM,KINA,-11.73,173.05,35,0,1982,11,9,1982/11/09 05:00:00+00
434282,434283,1982311S09181,SP,MM,KINA,-11.82,172.84,35,0,1982,11,9,1982/11/09 05:00:00+00
434283,434284,1982311S09181,SP,MM,KINA,-11.93,172.62,35,0,1982,11,10,1982/11/10 05:00:00+00
434284,434285,1982311S09181,SP,MM,KINA,-12.07,172.4,37,0,1982,11,10,1982/11/10 05:00:00+00
434285,434286,1982311S09181,SP,MM,KINA,-12.22,172.18,40,0,1982,11,10,1982/11/10 05:00:00+00
434286,434287,1982311S09181,SP,MM,KINA,-12.38,172.01,40,0,1982,11,10,1982/11/10 05:00:00+00
434287,434288,1982311S09181,SP,MM,KINA,-12.53,171.88,40,0,1982,11,10,1982/11/10 05:00:00+00
434288,434289,1982311S09181,SP,MM,KINA,-12.64,171.76,37,0,1982,11,10,1982/11/10 05:00:00+00
434289,434290,1982311S09181,SP,MM,KINA,-12.75,171.69,35,0,1982,11,10,1982/11/10 05:00:00+00
434290,434291,1982311S09181,SP,MM,KINA,-12.86,171.66,35,0,1982,11,10,1982/11/10 05:00:00+00
434291,434292,1982311S09181,SP,MM,KINA,-13.0,171.65,35,0,1982,11,11,1982/11/11 05:00:00+00
434292,434293,1982311S09181,SP,MM,KINA,-13.15,171.61,35,0,1982,11,11,1982/11/11 05:00:00+00
434293,434294,1982311S09181,SP,MM,KINA,-13.32,171.6,35,0,1982,11,11,1982/11/11 05:00:00+00
434294,434295,1982311S09181,SP,MM,KINA,-13.51,171.66,35,0,1982,11,11,1982/11/11 05:00:00+00
434295,434296,1982311S09181,SP,MM,KINA,-13.72,171.78,35,0,1982,11,11,1982/11/11 05:00:00+00
434296,434297,1982311S09181,SP,MM,KINA,-13.93,171.94,32,0,1982,11,11,1982/11/11 05:00:00+00
434297,434298,1982311S09181,SP,MM,KINA,-14.05,172.25,30,0,1982,11,11,1982/11/11 05:00:00+00
434298,434299,1982311S09181,SP,MM,KINA,-14.14,172.63,30,0,1982,11,11,1982/11/11 05:00:00+00
434299,434300,1982311S09181,SP,MM,KINA,-14.2,173.01,30,0,1982,11,12,1982/11/12 05:00:00+00
434300,434301,1982311S09181,SP,MM,KINA,-14.19,173.33,30,0,1982,11,12,1982/11/12 05:00:00+00
434301,434302,1982311S09181,SP,MM,KINA,-14.45,173.51,30,0,1982,11,12,1982/11/12 05:00:00+00
434302,434303,1982311S09181,SP,MM,KINA,-14.74,173.7,30,0,1982,11,12,1982/11/12 05:00:00+00
434303,434304,1982311S09181,SP,MM,KINA,-15.07,173.87,30,0,1982,11,12,1982/11/12 05:00:00+00
434304,434305,1982311S09181,SP,MM,KINA,-15.44,174.02,27,0,1982,11,12,1982/11/12 05:00:00+00
434305,434306,1982311S09181,SP,MM,KINA,-15.86,174.15,25,0,1982,11,12,1982/11/12 05:00:00+00
434306,434307,1982311S09181,SP,MM,KINA,-16.3,174.26,25,0,1982,11,12,1982/11/12 05:00:00+00
434307,434308,1982311S09181,SP,MM,KINA,-16.76,174.34,25,0,1982,11,13,1982/11/13 05:00:00+00
434308,434309,1982311S09181,SP,MM,KINA,-17.21,174.38,25,0,1982,11,13,1982/11/13 05:00:00+00
434309,434310,1982311S09181,SP,MM,KINA,-17.67,174.44,25,0,1982,11,13,1982/11/13 05:00:00+00
434310,434311,1982311S09181,SP,MM,KINA,-18.13,174.62,0,0,1982,11,13,1982/11/13 05:00:00+00
434311,434312,1982311S09181,SP,MM,KINA,-18.4,174.7,0,0,1982,11,13,1982/11/13 05:00:00+00
434312,434313,1982311S09181,SP,MM,KINA,-18.61,174.83,0,0,1982,11,13,1982/11/13 05:00:00+00
434313,434314,1982311S09181,SP,MM,KINA,-18.77,175.0,0,0,1982,11,13,1982/11/13 05:00:00+00
434314,434315,1982311S09181,SP,MM,KINA,-18.89,175.19,0,0,1982,11,13,1982/11/13 05:00:00+00
504351,504352,1992358S07161,SP,MM,KINA,-6.7,161.3,15,0,1992,12,23,1992/12/23 05:00:00+00
504352,504353,1992358S07161,SP,MM,KINA,-6.7,161.7,15,0,1992,12,23,1992/12/23 05:00:00+00
504353,504354,1992358S07161,SP,MM,KINA,-6.7,162.1,15,0,1992,12,23,1992/12/23 05:00:00+00
504354,504355,1992358S07161,SP,MM,KINA,-6.69,162.5,15,0,1992,12,23,1992/12/23 05:00:00+00
504355,504356,1992358S07161,SP,MM,KINA,-6.7,162.9,15,0,1992,12,23,1992/12/23 05:00:00+00
504356,504357,1992358S07161,SP,MM,KINA,-6.74,163.31,17,0,1992,12,23,1992/12/23 05:00:00+00
504357,504358,1992358S07161,SP,MM,KINA,-6.8,163.7,20,0,1992,12,24,1992/12/24 05:00:00+00
504358,504359,1992358S07161,SP,MM,KINA,-6.85,164.06,20,0,1992,12,24,1992/12/24 05:00:00+00
504359,504360,1992358S07161,SP,MM,KINA,-6.9,164.4,20,0,1992,12,24,1992/12/24 05:00:00+00
504360,504361,1992358S07161,SP,MM,KINA,-6.93,164.71,20,0,1992,12,24,1992/12/24 05:00:00+00
504361,504362,1992358S07161,SP,MM,KINA,-7.0,165.0,20,0,1992,12,24,1992/12/24 05:00:00+00
504362,504363,1992358S07161,SP,MM,KINA,-7.14,165.29,20,0,1992,12,24,1992/12/24 05:00:00+00
504363,504364,1992358S07161,SP,MM,KINA,-7.3,165.6,20,0,1992,12,24,1992/12/24 05:00:00+00
504364,504365,1992358S07161,SP,MM,KINA,-7.41,165.94,20,0,1992,12,24,1992/12/24 05:00:00+00
504365,504366,1992358S07161,SP,MM,KINA,-7.5,166.3,20,0,1992,12,25,1992/12/25 05:00:00+00
