Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
559039,559040,2000184N13133,WP,MM,KIROGI,13.1,133.4,25,0,2000,7,2,2000/07/02 04:00:00+00
559040,559041,2000184N13133,WP,MM,KIROGI,13.34,133.2,25,0,2000,7,2,2000/07/02 04:00:00+00
559041,559042,2000184N13133,WP,MM,KIROGI,13.48,132.84,25,0,2000,7,2,2000/07/02 04:00:00+00
559042,559043,2000184N13133,WP,MM,KIROGI,13.72,132.67,27,0,2000,7,2,2000/07/02 04:00:00+00
559043,559044,2000184N13133,WP,MM,KIROGI,13.96,132.56,30,0,2000,7,2,2000/07/02 04:00:00+00
559044,559045,2000184N13133,WP,MM,KIROGI,14.22,132.4,32,0,2000,7,2,2000/07/02 04:00:00+00
559045,559046,2000184N13133,WP,MM,KIROGI,14.53,132.24,35,0,2000,7,2,2000/07/02 04:00:00+00
559046,559047,2000184N13133,WP,MM,KIROGI,14.93,132.1,37,0,2000,7,2,2000/07/02 04:00:00+00
559047,559048,2000184N13133,WP,MM,KIROGI,15.35,131.97,40,0,2000,7,3,2000/07/03 04:00:00+00
559048,559049,2000184N13133,WP,MM,KIROGI,15.73,131.89,42,0,2000,7,3,2000/07/03 04:00:00+00
559049,559050,2000184N13133,WP,MM,KIROGI,16.07,131.82,45,0,2000,7,3,2000/07/03 04:00:00+00
559050,559051,2000184N13133,WP,MM,KIROGI,16.36,131.75,50,0,2000,7,3,2000/07/03 04:00:00+00
559051,559052,2000184N13133,WP,MM,KIROGI,16.6,131.7,55,0,2000,7,3,2000/07/03 04:00:00+00
559052,559053,2000184N13133,WP,MM,KIROGI,16.83,131.66,60,0,2000,7,3,2000/07/03 04:00:00+00
559053,559054,2000184N13133,WP,MM,KIROGI,17.05,131.65,65,0,2000,7,3,2000/07/03 04:00:00+00
559054,559055,2000184N13133,WP,MM,KIROGI,17.25,131.66,70,0,2000,7,3,2000/07/03 04:00:00+00
559055,559056,2000184N13133,WP,MM,KIROGI,17.5,131.68,75,0,2000,7,4,2000/07/04 04:00:00+00
559056,559057,2000184N13133,WP,MM,KIROGI,17.87,131.67,87,0,2000,7,4,2000/07/04 04:00:00+00
559057,559058,2000184N13133,WP,MM,KIROGI,18.3,131.65,100,0,2000,7,4,2000/07/04 04:00:00+00
559058,559059,2000184N13133,WP,MM,KIROGI,18.72,131.63,107,0,2000,7,4,2000/07/04 04:00:00+00
559059,559060,2000184N13133,WP,MM,KIROGI,19.15,131.6,115,0,2000,7,4,2000/07/04 04:00:00+00
559060,559061,2000184N13133,WP,MM,KIROGI,19.57,131.54,115,0,2000,7,4,2000/07/04 04:00:00+00
559061,559062,2000184N13133,WP,MM,KIROGI,19.98,131.55,115,0,2000,7,4,2000/07/04 04:00:00+00
559062,559063,2000184N13133,WP,MM,KIROGI,20.34,131.73,115,0,2000,7,4,2000/07/04 04:00:00+00
