Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
423173,423174,1981087S07057,SI,MM,KLARA,-6.6,56.9,20,0,1981,3,28,1981/03/28 04:00:00+00
423174,423175,1981087S07057,SI,MM,KLARA,-6.85,56.85,20,0,1981,3,28,1981/03/28 04:00:00+00
423175,423176,1981087S07057,SI,MM,KLARA,-7.09,56.81,20,0,1981,3,28,1981/03/28 04:00:00+00
423176,423177,1981087S07057,SI,MM,KLARA,-7.34,56.8,20,0,1981,3,28,1981/03/28 04:00:00+00
423177,423178,1981087S07057,SI,MM,KLARA,-7.6,56.8,20,0,1981,3,28,1981/03/28 04:00:00+00
423178,423179,1981087S07057,SI,MM,KLARA,-7.89,56.81,20,0,1981,3,28,1981/03/28 04:00:00+00
423179,423180,1981087S07057,SI,MM,KLARA,-8.19,56.81,20,0,1981,3,28,1981/03/28 04:00:00+00
423180,423181,1981087S07057,SI,MM,KLARA,-8.49,56.83,20,0,1981,3,28,1981/03/28 04:00:00+00
423181,423182,1981087S07057,SI,MM,KLARA,-8.8,56.8,20,0,1981,3,29,1981/03/29 04:00:00+00
423182,423183,1981087S07057,SI,MM,KLARA,-9.14,56.68,20,0,1981,3,29,1981/03/29 04:00:00+00
423183,423184,1981087S07057,SI,MM,KLARA,-9.49,56.52,20,0,1981,3,29,1981/03/29 04:00:00+00
423184,423185,1981087S07057,SI,MM,KLARA,-9.8,56.37,22,0,1981,3,29,1981/03/29 04:00:00+00
423185,423186,1981087S07057,SI,MM,KLARA,-10.1,56.2,25,0,1981,3,29,1981/03/29 04:00:00+00
423186,423187,1981087S07057,SI,MM,KLARA,-10.4,56.01,25,0,1981,3,29,1981/03/29 04:00:00+00
423187,423188,1981087S07057,SI,MM,KLARA,-10.69,55.81,25,0,1981,3,29,1981/03/29 04:00:00+00
423188,423189,1981087S07057,SI,MM,KLARA,-10.94,55.64,25,0,1981,3,29,1981/03/29 04:00:00+00
423189,423190,1981087S07057,SI,MM,KLARA,-11.2,55.5,25,0,1981,3,30,1981/03/30 04:00:00+00
423190,423191,1981087S07057,SI,MM,KLARA,-11.5,55.39,27,0,1981,3,30,1981/03/30 04:00:00+00
423191,423192,1981087S07057,SI,MM,KLARA,-11.8,55.3,30,0,1981,3,30,1981/03/30 04:00:00+00
423192,423193,1981087S07057,SI,MM,KLARA,-12.11,55.25,30,0,1981,3,30,1981/03/30 04:00:00+00
