Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
577726,577727,2003196N11137,WP,MM,KONI,10.5,136.9,15,1006,2003,7,14,2003/07/14 04:00:00+00
577727,577728,2003196N11137,WP,MM,KONI,10.51,136.3,15,1006,2003,7,14,2003/07/14 04:00:00+00
577728,577729,2003196N11137,WP,MM,KONI,10.5,135.7,15,1006,2003,7,14,2003/07/14 04:00:00+00
577729,577730,2003196N11137,WP,MM,KONI,10.46,135.1,15,1006,2003,7,14,2003/07/14 04:00:00+00
577730,577731,2003196N11137,WP,MM,KONI,10.2,134.56,15,1007,2003,7,15,2003/07/15 04:00:00+00
577731,577732,2003196N11137,WP,MM,KONI,10.05,134.04,17,1005,2003,7,15,2003/07/15 04:00:00+00
577732,577733,2003196N11137,WP,MM,KONI,10.01,133.39,20,1004,2003,7,15,2003/07/15 04:00:00+00
577733,577734,2003196N11137,WP,MM,KONI,10.04,132.71,22,1003,2003,7,15,2003/07/15 04:00:00+00
577734,577735,2003196N11137,WP,MM,KONI,10.08,132.04,25,1002,2003,7,15,2003/07/15 04:00:00+00
577735,577736,2003196N11137,WP,MM,KONI,10.11,131.42,25,1002,2003,7,15,2003/07/15 04:00:00+00
577736,577737,2003196N11137,WP,MM,KONI,10.1,130.87,25,1002,2003,7,15,2003/07/15 04:00:00+00
577737,577738,2003196N11137,WP,MM,KONI,10.07,130.45,27,1001,2003,7,15,2003/07/15 04:00:00+00
577738,577739,2003196N11137,WP,MM,KONI,10.07,130.07,30,1000,2003,7,16,2003/07/16 04:00:00+00
577739,577740,2003196N11137,WP,MM,KONI,10.14,129.58,30,1000,2003,7,16,2003/07/16 04:00:00+00
577740,577741,2003196N11137,WP,MM,KONI,10.23,129.08,30,1000,2003,7,16,2003/07/16 04:00:00+00
577741,577742,2003196N11137,WP,MM,KONI,10.34,128.62,30,1000,2003,7,16,2003/07/16 04:00:00+00
577742,577743,2003196N11137,WP,MM,KONI,10.49,128.12,30,1000,2003,7,16,2003/07/16 04:00:00+00
577743,577744,2003196N11137,WP,MM,KONI,10.67,127.5,35,997,2003,7,16,2003/07/16 04:00:00+00
577744,577745,2003196N11137,WP,MM,KONI,10.85,126.85,40,994,2003,7,16,2003/07/16 04:00:00+00
577745,577746,2003196N11137,WP,MM,KONI,10.95,126.27,42,992,2003,7,16,2003/07/16 04:00:00+00
577746,577747,2003196N11137,WP,MM,KONI,11.03,125.7,45,991,2003,7,17,2003/07/17 04:00:00+00
577747,577748,2003196N11137,WP,MM,KONI,11.12,125.13,42,992,2003,7,17,2003/07/17 04:00:00+00
577748,577749,2003196N11137,WP,MM,KONI,11.25,124.5,40,994,2003,7,17,2003/07/17 04:00:00+00
577749,577750,2003196N11137,WP,MM,KONI,11.44,123.75,40,994,2003,7,17,2003/07/17 04:00:00+00
577750,577751,2003196N11137,WP,MM,KONI,11.65,123.0,40,994,2003,7,17,2003/07/17 04:00:00+00
577751,577752,2003196N11137,WP,MM,KONI,11.83,122.42,40,994,2003,7,17,2003/07/17 04:00:00+00
577752,577753,2003196N11137,WP,MM,KONI,11.97,121.85,40,994,2003,7,17,2003/07/17 04:00:00+00
577753,577754,2003196N11137,WP,MM,KONI,12.06,121.14,42,992,2003,7,17,2003/07/17 04:00:00+00
577754,577755,2003196N11137,WP,MM,KONI,12.12,120.42,45,991,2003,7,18,2003/07/18 04:00:00+00
577755,577756,2003196N11137,WP,MM,KONI,12.2,119.81,45,991,2003,7,18,2003/07/18 04:00:00+00
577756,577757,2003196N11137,WP,MM,KONI,12.3,119.28,45,991,2003,7,18,2003/07/18 04:00:00+00
577757,577758,2003196N11137,WP,MM,KONI,12.46,118.81,45,991,2003,7,18,2003/07/18 04:00:00+00
577758,577759,2003196N11137,WP,MM,KONI,12.65,118.42,45,991,2003,7,18,2003/07/18 04:00:00+00
577759,577760,2003196N11137,WP,MM,KONI,12.81,118.11,45,991,2003,7,18,2003/07/18 04:00:00+00
577760,577761,2003196N11137,WP,MM,KONI,13.03,117.83,45,991,2003,7,18,2003/07/18 04:00:00+00
577761,577762,2003196N11137,WP,MM,KONI,13.33,117.52,45,991,2003,7,18,2003/07/18 04:00:00+00
577762,577763,2003196N11137,WP,MM,KONI,13.7,117.22,45,991,2003,7,19,2003/07/19 04:00:00+00
577763,577764,2003196N11137,WP,MM,KONI,14.08,116.97,45,989,2003,7,19,2003/07/19 04:00:00+00
577764,577765,2003196N11137,WP,MM,KONI,14.45,116.75,45,987,2003,7,19,2003/07/19 04:00:00+00
577765,577766,2003196N11137,WP,MM,KONI,14.74,116.55,45,987,2003,7,19,2003/07/19 04:00:00+00
577766,577767,2003196N11137,WP,MM,KONI,15.0,116.35,45,987,2003,7,19,2003/07/19 04:00:00+00
577767,577768,2003196N11137,WP,MM,KONI,15.26,116.13,47,987,2003,7,19,2003/07/19 04:00:00+00
577768,577769,2003196N11137,WP,MM,KONI,15.55,115.85,50,987,2003,7,19,2003/07/19 04:00:00+00
577769,577770,2003196N11137,WP,MM,KONI,15.95,115.47,55,983,2003,7,19,2003/07/19 04:00:00+00
577770,577771,2003196N11137,WP,MM,KONI,16.35,115.05,60,980,2003,7,20,2003/07/20 04:00:00+00
577771,577772,2003196N11137,WP,MM,KONI,16.65,114.64,62,978,2003,7,20,2003/07/20 04:00:00+00
577772,577773,2003196N11137,WP,MM,KONI,16.93,114.25,65,976,2003,7,20,2003/07/20 04:00:00+00
577773,577774,2003196N11137,WP,MM,KONI,17.26,113.94,65,976,2003,7,20,2003/07/20 04:00:00+00
577774,577775,2003196N11137,WP,MM,KONI,17.57,113.6,65,976,2003,7,20,2003/07/20 04:00:00+00
577775,577776,2003196N11137,WP,MM,KONI,17.8,113.11,65,976,2003,7,20,2003/07/20 04:00:00+00
577776,577777,2003196N11137,WP,MM,KONI,17.98,112.6,65,976,2003,7,20,2003/07/20 04:00:00+00
577777,577778,2003196N11137,WP,MM,KONI,18.12,112.19,65,976,2003,7,20,2003/07/20 04:00:00+00
577778,577779,2003196N11137,WP,MM,KONI,18.25,111.83,65,976,2003,7,21,2003/07/21 04:00:00+00
577779,577780,2003196N11137,WP,MM,KONI,18.44,111.45,62,978,2003,7,21,2003/07/21 04:00:00+00
577780,577781,2003196N11137,WP,MM,KONI,18.6,111.05,60,980,2003,7,21,2003/07/21 04:00:00+00
577781,577782,2003196N11137,WP,MM,KONI,18.67,110.59,57,982,2003,7,21,2003/07/21 04:00:00+00
577782,577783,2003196N11137,WP,MM,KONI,18.73,110.08,55,984,2003,7,21,2003/07/21 04:00:00+00
577783,577784,2003196N11137,WP,MM,KONI,18.83,109.51,57,982,2003,7,21,2003/07/21 04:00:00+00
577784,577785,2003196N11137,WP,MM,KONI,18.98,108.9,60,980,2003,7,21,2003/07/21 04:00:00+00
577785,577786,2003196N11137,WP,MM,KONI,19.11,108.24,60,980,2003,7,21,2003/07/21 04:00:00+00
577786,577787,2003196N11137,WP,MM,KONI,19.3,107.58,60,980,2003,7,22,2003/07/22 04:00:00+00
577787,577788,2003196N11137,WP,MM,KONI,19.59,107.0,57,982,2003,7,22,2003/07/22 04:00:00+00
577788,577789,2003196N11137,WP,MM,KONI,19.88,106.4,55,984,2003,7,22,2003/07/22 04:00:00+00
577789,577790,2003196N11137,WP,MM,KONI,20.09,105.72,47,989,2003,7,22,2003/07/22 04:00:00+00
577790,577791,2003196N11137,WP,MM,KONI,20.2,104.97,40,994,2003,7,22,2003/07/22 04:00:00+00
577791,577792,2003196N11137,WP,MM,KONI,20.19,104.18,37,995,2003,7,22,2003/07/22 04:00:00+00
