Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
357040,357041,1971291N25302,,,KRISTY,25.0,-58.5,25,0,1971,10,18,1971/10/18 04:00:00+00
357041,357042,1971291N25302,,,KRISTY,25.5,-58.24,25,0,1971,10,18,1971/10/18 04:00:00+00
357042,357043,1971291N25302,,,KRISTY,26.0,-58.0,25,0,1971,10,18,1971/10/18 04:00:00+00
357043,357044,1971291N25302,,,KRISTY,26.5,-57.78,25,0,1971,10,18,1971/10/18 04:00:00+00
357044,357045,1971291N25302,,,KRISTY,27.0,-57.6,25,0,1971,10,18,1971/10/18 04:00:00+00
357045,357046,1971291N25302,,,KRISTY,27.49,-57.43,25,0,1971,10,18,1971/10/18 04:00:00+00
357046,357047,1971291N25302,,,KRISTY,28.0,-57.3,25,1009,1971,10,18,1971/10/18 04:00:00+00
357047,357048,1971291N25302,,,KRISTY,28.56,-57.2,25,1009,1971,10,18,1971/10/18 04:00:00+00
357048,357049,1971291N25302,,,KRISTY,29.1,-57.1,25,1009,1971,10,19,1971/10/19 04:00:00+00
357049,357050,1971291N25302,,,KRISTY,29.55,-56.97,25,0,1971,10,19,1971/10/19 04:00:00+00
357050,357051,1971291N25302,,,KRISTY,30.0,-56.8,25,0,1971,10,19,1971/10/19 04:00:00+00
357051,357052,1971291N25302,,,KRISTY,30.51,-56.65,25,0,1971,10,19,1971/10/19 04:00:00+00
357052,357053,1971291N25302,,,KRISTY,31.1,-56.3,25,0,1971,10,19,1971/10/19 04:00:00+00
357053,357054,1971291N25302,,,KRISTY,31.81,-55.61,27,0,1971,10,19,1971/10/19 04:00:00+00
357054,357055,1971291N25302,,,KRISTY,32.5,-54.7,30,1009,1971,10,19,1971/10/19 04:00:00+00
357055,357056,1971291N25302,,,KRISTY,33.01,-53.85,32,0,1971,10,19,1971/10/19 04:00:00+00
357056,357057,1971291N25302,,,KRISTY,33.5,-52.8,35,0,1971,10,20,1971/10/20 04:00:00+00
357057,357058,1971291N25302,,,KRISTY,34.18,-51.36,35,0,1971,10,20,1971/10/20 04:00:00+00
357058,357059,1971291N25302,,,KRISTY,34.8,-49.8,35,0,1971,10,20,1971/10/20 04:00:00+00
357059,357060,1971291N25302,,,KRISTY,35.12,-48.53,40,0,1971,10,20,1971/10/20 04:00:00+00
357060,357061,1971291N25302,,,KRISTY,35.4,-47.1,45,997,1971,10,20,1971/10/20 04:00:00+00
357061,357062,1971291N25302,,,KRISTY,35.92,-45.15,45,994,1971,10,20,1971/10/20 04:00:00+00
357062,357063,1971291N25302,,,KRISTY,36.4,-42.9,45,992,1971,10,20,1971/10/20 04:00:00+00
357063,357064,1971291N25302,,,KRISTY,36.6,-40.56,42,0,1971,10,20,1971/10/20 04:00:00+00
357064,357065,1971291N25302,,,KRISTY,36.7,-38.3,40,0,1971,10,21,1971/10/21 04:00:00+00
357065,357066,1971291N25302,,,KRISTY,36.78,-36.38,40,0,1971,10,21,1971/10/21 04:00:00+00
357066,357067,1971291N25302,,,KRISTY,37.0,-34.6,40,0,1971,10,21,1971/10/21 04:00:00+00
357067,357068,1971291N25302,,,KRISTY,37.45,-32.57,40,0,1971,10,21,1971/10/21 04:00:00+00
357068,357069,1971291N25302,,,KRISTY,38.2,-30.8,40,0,1971,10,21,1971/10/21 04:00:00+00
357069,357070,1971291N25302,,,KRISTY,39.26,-29.66,40,0,1971,10,21,1971/10/21 04:00:00+00
404953,404954,1978231N14251,EP,MM,KRISTY,13.6,-109.2,30,0,1978,8,18,1978/08/18 04:00:00+00
404954,404955,1978231N14251,EP,MM,KRISTY,13.85,-109.6,35,0,1978,8,18,1978/08/18 04:00:00+00
404955,404956,1978231N14251,EP,MM,KRISTY,14.1,-110.0,40,0,1978,8,19,1978/08/19 04:00:00+00
404956,404957,1978231N14251,EP,MM,KRISTY,14.35,-110.4,42,0,1978,8,19,1978/08/19 04:00:00+00
404957,404958,1978231N14251,EP,MM,KRISTY,14.59,-110.79,45,0,1978,8,19,1978/08/19 04:00:00+00
404958,404959,1978231N14251,EP,MM,KRISTY,14.8,-111.15,50,0,1978,8,19,1978/08/19 04:00:00+00
404959,404960,1978231N14251,EP,MM,KRISTY,15.0,-111.5,55,0,1978,8,19,1978/08/19 04:00:00+00
404960,404961,1978231N14251,EP,MM,KRISTY,15.25,-111.89,60,0,1978,8,19,1978/08/19 04:00:00+00
404961,404962,1978231N14251,EP,MM,KRISTY,15.5,-112.29,65,0,1978,8,19,1978/08/19 04:00:00+00
404962,404963,1978231N14251,EP,MM,KRISTY,15.72,-112.64,70,0,1978,8,19,1978/08/19 04:00:00+00
404963,404964,1978231N14251,EP,MM,KRISTY,15.9,-113.0,75,0,1978,8,20,1978/08/20 04:00:00+00
404964,404965,1978231N14251,EP,MM,KRISTY,16.02,-113.44,77,0,1978,8,20,1978/08/20 04:00:00+00
404965,404966,1978231N14251,EP,MM,KRISTY,16.1,-113.9,80,0,1978,8,20,1978/08/20 04:00:00+00
404966,404967,1978231N14251,EP,MM,KRISTY,16.19,-114.36,80,0,1978,8,20,1978/08/20 04:00:00+00
404967,404968,1978231N14251,EP,MM,KRISTY,16.3,-114.8,80,0,1978,8,20,1978/08/20 04:00:00+00
404968,404969,1978231N14251,EP,MM,KRISTY,16.44,-115.21,80,0,1978,8,20,1978/08/20 04:00:00+00
404969,404970,1978231N14251,EP,MM,KRISTY,16.61,-115.6,80,0,1978,8,20,1978/08/20 04:00:00+00
404970,404971,1978231N14251,EP,MM,KRISTY,16.81,-116.0,82,0,1978,8,20,1978/08/20 04:00:00+00
404971,404972,1978231N14251,EP,MM,KRISTY,17.0,-116.4,85,0,1978,8,21,1978/08/21 04:00:00+00
404972,404973,1978231N14251,EP,MM,KRISTY,17.16,-116.8,87,0,1978,8,21,1978/08/21 04:00:00+00
404973,404974,1978231N14251,EP,MM,KRISTY,17.29,-117.19,90,0,1978,8,21,1978/08/21 04:00:00+00
404974,404975,1978231N14251,EP,MM,KRISTY,17.39,-117.55,90,0,1978,8,21,1978/08/21 04:00:00+00
404975,404976,1978231N14251,EP,MM,KRISTY,17.5,-117.9,90,0,1978,8,21,1978/08/21 04:00:00+00
404976,404977,1978231N14251,EP,MM,KRISTY,17.64,-118.29,90,0,1978,8,21,1978/08/21 04:00:00+00
404977,404978,1978231N14251,EP,MM,KRISTY,17.84,-118.68,90,0,1978,8,21,1978/08/21 04:00:00+00
404978,404979,1978231N14251,EP,MM,KRISTY,18.13,-119.02,90,0,1978,8,21,1978/08/21 04:00:00+00
404979,404980,1978231N14251,EP,MM,KRISTY,18.4,-119.4,90,0,1978,8,22,1978/08/22 04:00:00+00
404980,404981,1978231N14251,EP,MM,KRISTY,18.54,-119.87,90,0,1978,8,22,1978/08/22 04:00:00+00
404981,404982,1978231N14251,EP,MM,KRISTY,18.58,-120.4,90,0,1978,8,22,1978/08/22 04:00:00+00
404982,404983,1978231N14251,EP,MM,KRISTY,18.55,-120.95,90,0,1978,8,22,1978/08/22 04:00:00+00
404983,404984,1978231N14251,EP,MM,KRISTY,18.5,-121.5,90,0,1978,8,22,1978/08/22 04:00:00+00
404984,404985,1978231N14251,EP,MM,KRISTY,18.5,-122.0,82,0,1978,8,22,1978/08/22 04:00:00+00
404985,404986,1978231N14251,EP,MM,KRISTY,18.5,-122.49,75,0,1978,8,22,1978/08/22 04:00:00+00
404986,404987,1978231N14251,EP,MM,KRISTY,18.51,-122.97,72,0,1978,8,22,1978/08/22 04:00:00+00
404987,404988,1978231N14251,EP,MM,KRISTY,18.5,-123.5,70,0,1978,8,23,1978/08/23 04:00:00+00
404988,404989,1978231N14251,EP,MM,KRISTY,18.45,-124.17,67,0,1978,8,23,1978/08/23 04:00:00+00
404989,404990,1978231N14251,EP,MM,KRISTY,18.4,-124.88,65,0,1978,8,23,1978/08/23 04:00:00+00
404990,404991,1978231N14251,EP,MM,KRISTY,18.33,-125.54,65,0,1978,8,23,1978/08/23 04:00:00+00
