Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
215489,215490,1947257N25154,WP,MM,LAURA,24.5,153.9,90,0,1947,9,14,1947/09/14 04:00:00+00
215490,215491,1947257N25154,WP,MM,LAURA,24.55,153.5,90,0,1947,9,14,1947/09/14 04:00:00+00
215491,215492,1947257N25154,WP,MM,LAURA,24.61,153.15,90,0,1947,9,14,1947/09/14 04:00:00+00
215492,215493,1947257N25154,WP,MM,LAURA,24.66,152.89,90,0,1947,9,14,1947/09/14 04:00:00+00
215493,215494,1947257N25154,WP,MM,LAURA,24.7,152.6,90,0,1947,9,14,1947/09/14 04:00:00+00
215494,215495,1947257N25154,WP,MM,LAURA,24.7,152.18,90,0,1947,9,14,1947/09/14 04:00:00+00
215495,215496,1947257N25154,WP,MM,LAURA,24.7,151.71,90,0,1947,9,14,1947/09/14 04:00:00+00
215496,215497,1947257N25154,WP,MM,LAURA,24.74,151.25,80,0,1947,9,14,1947/09/14 04:00:00+00
215497,215498,1947257N25154,WP,MM,LAURA,24.8,150.8,70,0,1947,9,15,1947/09/15 04:00:00+00
215498,215499,1947257N25154,WP,MM,LAURA,24.87,150.38,70,0,1947,9,15,1947/09/15 04:00:00+00
215499,215500,1947257N25154,WP,MM,LAURA,25.0,149.98,70,0,1947,9,15,1947/09/15 04:00:00+00
215500,215501,1947257N25154,WP,MM,LAURA,25.21,149.56,72,0,1947,9,15,1947/09/15 04:00:00+00
215501,215502,1947257N25154,WP,MM,LAURA,25.5,149.2,75,0,1947,9,15,1947/09/15 04:00:00+00
215502,215503,1947257N25154,WP,MM,LAURA,25.86,148.96,75,0,1947,9,15,1947/09/15 04:00:00+00
215503,215504,1947257N25154,WP,MM,LAURA,26.31,148.79,75,0,1947,9,15,1947/09/15 04:00:00+00
215504,215505,1947257N25154,WP,MM,LAURA,26.83,148.63,75,0,1947,9,15,1947/09/15 04:00:00+00
215505,215506,1947257N25154,WP,MM,LAURA,27.4,148.5,75,0,1947,9,16,1947/09/16 04:00:00+00
215506,215507,1947257N25154,WP,MM,LAURA,27.98,148.38,72,0,1947,9,16,1947/09/16 04:00:00+00
215507,215508,1947257N25154,WP,MM,LAURA,28.57,148.3,70,0,1947,9,16,1947/09/16 04:00:00+00
215508,215509,1947257N25154,WP,MM,LAURA,29.13,148.28,70,0,1947,9,16,1947/09/16 04:00:00+00
215509,215510,1947257N25154,WP,MM,LAURA,29.7,148.3,70,0,1947,9,16,1947/09/16 04:00:00+00
215510,215511,1947257N25154,WP,MM,LAURA,30.29,148.33,70,0,1947,9,16,1947/09/16 04:00:00+00
215511,215512,1947257N25154,WP,MM,LAURA,30.93,148.43,70,0,1947,9,16,1947/09/16 04:00:00+00
215512,215513,1947257N25154,WP,MM,LAURA,31.69,148.63,70,0,1947,9,16,1947/09/16 04:00:00+00
215513,215514,1947257N25154,WP,MM,LAURA,32.5,148.9,70,0,1947,9,17,1947/09/17 04:00:00+00
215514,215515,1947257N25154,WP,MM,LAURA,33.3,149.2,62,0,1947,9,17,1947/09/17 04:00:00+00
215515,215516,1947257N25154,WP,MM,LAURA,34.0,149.5,55,0,1947,9,17,1947/09/17 04:00:00+00
215516,215517,1947257N25154,WP,MM,LAURA,34.6,149.78,50,0,1947,9,17,1947/09/17 04:00:00+00
215517,215518,1947257N25154,WP,MM,LAURA,35.0,150.0,45,0,1947,9,17,1947/09/17 04:00:00+00
215518,215519,1947257N25154,WP,MM,LAURA,35.17,150.12,42,0,1947,9,17,1947/09/17 04:00:00+00
215519,215520,1947257N25154,WP,MM,LAURA,35.2,150.2,40,0,1947,9,17,1947/09/17 04:00:00+00
215520,215521,1947257N25154,WP,MM,LAURA,35.24,150.29,35,0,1947,9,17,1947/09/17 04:00:00+00
357466,357467,1971317N12282,,CS,LAURA,12.0,-78.5,25,0,1971,11,12,1971/11/12 05:00:00+00
357467,357468,1971317N12282,,CS,LAURA,12.15,-78.67,27,0,1971,11,12,1971/11/12 05:00:00+00
357468,357469,1971317N12282,,CS,LAURA,12.3,-78.8,30,0,1971,11,12,1971/11/12 05:00:00+00
357469,357470,1971317N12282,,CS,LAURA,12.48,-78.88,30,0,1971,11,12,1971/11/12 05:00:00+00
357470,357471,1971317N12282,,CS,LAURA,12.7,-79.0,30,0,1971,11,13,1971/11/13 05:00:00+00
357471,357472,1971317N12282,,CS,LAURA,12.99,-79.28,30,0,1971,11,13,1971/11/13 05:00:00+00
357472,357473,1971317N12282,,CS,LAURA,13.3,-79.6,30,0,1971,11,13,1971/11/13 05:00:00+00
357473,357474,1971317N12282,,CS,LAURA,13.54,-79.8,30,0,1971,11,13,1971/11/13 05:00:00+00
357474,357475,1971317N12282,,CS,LAURA,13.8,-80.0,30,0,1971,11,13,1971/11/13 05:00:00+00
357475,357476,1971317N12282,,CS,LAURA,14.13,-80.28,30,0,1971,11,13,1971/11/13 05:00:00+00
357476,357477,1971317N12282,,CS,LAURA,14.5,-80.6,30,0,1971,11,13,1971/11/13 05:00:00+00
357477,357478,1971317N12282,,CS,LAURA,14.84,-80.94,30,0,1971,11,13,1971/11/13 05:00:00+00
357478,357479,1971317N12282,,CS,LAURA,15.2,-81.3,30,0,1971,11,14,1971/11/14 05:00:00+00
357479,357480,1971317N12282,,CS,LAURA,15.61,-81.66,30,0,1971,11,14,1971/11/14 05:00:00+00
357480,357481,1971317N12282,,CS,LAURA,16.0,-82.0,30,0,1971,11,14,1971/11/14 05:00:00+00
357481,357482,1971317N12282,,CS,LAURA,16.3,-82.25,32,0,1971,11,14,1971/11/14 05:00:00+00
357482,357483,1971317N12282,,CS,LAURA,16.6,-82.5,35,1004,1971,11,14,1971/11/14 05:00:00+00
357483,357484,1971317N12282,,CS,LAURA,16.99,-82.86,37,0,1971,11,14,1971/11/14 05:00:00+00
