Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
428241,428242,1981355N07149,WP,MM,LEE,6.5,148.5,0,0,1981,12,21,1981/12/21 05:00:00+00
428242,428243,1981355N07149,WP,MM,LEE,6.6,148.02,0,0,1981,12,21,1981/12/21 05:00:00+00
428243,428244,1981355N07149,WP,MM,LEE,6.71,147.53,0,0,1981,12,21,1981/12/21 05:00:00+00
428244,428245,1981355N07149,WP,MM,LEE,6.82,147.02,0,0,1981,12,21,1981/12/21 05:00:00+00
428245,428246,1981355N07149,WP,MM,LEE,6.94,146.5,0,0,1981,12,21,1981/12/21 05:00:00+00
428246,428247,1981355N07149,WP,MM,LEE,7.06,145.96,0,0,1981,12,21,1981/12/21 05:00:00+00
428247,428248,1981355N07149,WP,MM,LEE,7.19,145.38,0,0,1981,12,21,1981/12/21 05:00:00+00
428248,428249,1981355N07149,WP,MM,LEE,7.34,144.76,0,0,1981,12,21,1981/12/21 05:00:00+00
428249,428250,1981355N07149,WP,MM,LEE,7.5,144.1,0,0,1981,12,22,1981/12/22 05:00:00+00
428250,428251,1981355N07149,WP,MM,LEE,7.68,143.39,0,0,1981,12,22,1981/12/22 05:00:00+00
428251,428252,1981355N07149,WP,MM,LEE,7.87,142.63,0,0,1981,12,22,1981/12/22 05:00:00+00
428252,428253,1981355N07149,WP,MM,LEE,8.08,141.84,0,0,1981,12,22,1981/12/22 05:00:00+00
428253,428254,1981355N07149,WP,MM,LEE,8.3,141.0,0,0,1981,12,22,1981/12/22 05:00:00+00
428254,428255,1981355N07149,WP,MM,LEE,8.52,140.1,0,0,1981,12,22,1981/12/22 05:00:00+00
428255,428256,1981355N07149,WP,MM,LEE,9.04,139.28,30,0,1981,12,22,1981/12/22 05:00:00+00
428256,428257,1981355N07149,WP,MM,LEE,9.31,138.39,30,0,1981,12,22,1981/12/22 05:00:00+00
428257,428258,1981355N07149,WP,MM,LEE,9.54,137.57,30,0,1981,12,23,1981/12/23 05:00:00+00
428258,428259,1981355N07149,WP,MM,LEE,9.74,136.89,32,0,1981,12,23,1981/12/23 05:00:00+00
428259,428260,1981355N07149,WP,MM,LEE,9.98,136.2,35,0,1981,12,23,1981/12/23 05:00:00+00
428260,428261,1981355N07149,WP,MM,LEE,10.31,135.39,40,0,1981,12,23,1981/12/23 05:00:00+00
428261,428262,1981355N07149,WP,MM,LEE,10.66,134.6,45,0,1981,12,23,1981/12/23 05:00:00+00
428262,428263,1981355N07149,WP,MM,LEE,10.99,133.93,50,0,1981,12,23,1981/12/23 05:00:00+00
428263,428264,1981355N07149,WP,MM,LEE,11.29,133.32,55,0,1981,12,23,1981/12/23 05:00:00+00
428264,428265,1981355N07149,WP,MM,LEE,11.55,132.68,60,0,1981,12,23,1981/12/23 05:00:00+00
428265,428266,1981355N07149,WP,MM,LEE,11.76,132.06,65,0,1981,12,24,1981/12/24 05:00:00+00
428266,428267,1981355N07149,WP,MM,LEE,11.93,131.46,67,0,1981,12,24,1981/12/24 05:00:00+00
428267,428268,1981355N07149,WP,MM,LEE,12.07,130.9,70,0,1981,12,24,1981/12/24 05:00:00+00
428268,428269,1981355N07149,WP,MM,LEE,12.22,130.39,72,0,1981,12,24,1981/12/24 05:00:00+00
428269,428270,1981355N07149,WP,MM,LEE,12.36,129.88,75,0,1981,12,24,1981/12/24 05:00:00+00
428270,428271,1981355N07149,WP,MM,LEE,12.52,129.32,80,0,1981,12,24,1981/12/24 05:00:00+00
428271,428272,1981355N07149,WP,MM,LEE,12.64,128.76,85,0,1981,12,24,1981/12/24 05:00:00+00
428272,428273,1981355N07149,WP,MM,LEE,12.71,128.28,87,0,1981,12,24,1981/12/24 05:00:00+00
428273,428274,1981355N07149,WP,MM,LEE,12.72,127.74,90,0,1981,12,25,1981/12/25 05:00:00+00
428274,428275,1981355N07149,WP,MM,LEE,12.68,127.03,92,0,1981,12,25,1981/12/25 05:00:00+00
428275,428276,1981355N07149,WP,MM,LEE,12.63,126.27,95,0,1981,12,25,1981/12/25 05:00:00+00
428276,428277,1981355N07149,WP,MM,LEE,12.58,125.57,90,0,1981,12,25,1981/12/25 05:00:00+00
428277,428278,1981355N07149,WP,MM,LEE,12.58,124.86,85,0,1981,12,25,1981/12/25 05:00:00+00
428278,428279,1981355N07149,WP,MM,LEE,12.66,124.11,77,0,1981,12,25,1981/12/25 05:00:00+00
428279,428280,1981355N07149,WP,MM,LEE,12.8,123.35,70,0,1981,12,25,1981/12/25 05:00:00+00
428280,428281,1981355N07149,WP,MM,LEE,12.95,122.58,65,0,1981,12,25,1981/12/25 05:00:00+00
428281,428282,1981355N07149,WP,MM,LEE,13.12,121.82,60,0,1981,12,26,1981/12/26 05:00:00+00
428282,428283,1981355N07149,WP,MM,LEE,13.31,121.08,55,0,1981,12,26,1981/12/26 05:00:00+00
428283,428284,1981355N07149,WP,MM,LEE,13.49,120.39,50,0,1981,12,26,1981/12/26 05:00:00+00
428284,428285,1981355N07149,WP,MM,LEE,13.63,119.78,45,0,1981,12,26,1981/12/26 05:00:00+00
428285,428286,1981355N07149,WP,MM,LEE,13.74,119.2,40,0,1981,12,26,1981/12/26 05:00:00+00
428286,428287,1981355N07149,WP,MM,LEE,13.85,118.59,42,0,1981,12,26,1981/12/26 05:00:00+00
428287,428288,1981355N07149,WP,MM,LEE,13.96,118.01,45,0,1981,12,26,1981/12/26 05:00:00+00
428288,428289,1981355N07149,WP,MM,LEE,14.08,117.44,47,0,1981,12,26,1981/12/26 05:00:00+00
428289,428290,1981355N07149,WP,MM,LEE,14.24,116.92,50,0,1981,12,27,1981/12/27 05:00:00+00
428290,428291,1981355N07149,WP,MM,LEE,14.43,116.46,52,0,1981,12,27,1981/12/27 05:00:00+00
428291,428292,1981355N07149,WP,MM,LEE,14.66,116.04,55,0,1981,12,27,1981/12/27 05:00:00+00
428292,428293,1981355N07149,WP,MM,LEE,14.91,115.62,52,0,1981,12,27,1981/12/27 05:00:00+00
428293,428294,1981355N07149,WP,MM,LEE,15.2,115.2,50,0,1981,12,27,1981/12/27 05:00:00+00
428294,428295,1981355N07149,WP,MM,LEE,15.5,114.72,47,0,1981,12,27,1981/12/27 05:00:00+00
428295,428296,1981355N07149,WP,MM,LEE,15.82,114.27,45,0,1981,12,27,1981/12/27 05:00:00+00
428296,428297,1981355N07149,WP,MM,LEE,16.13,113.91,40,0,1981,12,27,1981/12/27 05:00:00+00
428297,428298,1981355N07149,WP,MM,LEE,16.46,113.62,35,0,1981,12,28,1981/12/28 05:00:00+00
428298,428299,1981355N07149,WP,MM,LEE,16.82,113.36,32,0,1981,12,28,1981/12/28 05:00:00+00
428299,428300,1981355N07149,WP,MM,LEE,17.19,113.17,30,0,1981,12,28,1981/12/28 05:00:00+00
428300,428301,1981355N07149,WP,MM,LEE,17.57,113.08,27,0,1981,12,28,1981/12/28 05:00:00+00
428301,428302,1981355N07149,WP,MM,LEE,17.94,113.08,25,0,1981,12,28,1981/12/28 05:00:00+00
428302,428303,1981355N07149,WP,MM,LEE,18.27,113.15,0,0,1981,12,28,1981/12/28 05:00:00+00
428303,428304,1981355N07149,WP,MM,LEE,18.58,113.31,0,0,1981,12,28,1981/12/28 05:00:00+00
