Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
538131,538132,1997143N17111,WP,MM,LEVI,16.8,111.0,15,0,1997,5,23,1997/05/23 04:00:00+00
538132,538133,1997143N17111,WP,MM,LEVI,16.8,111.34,15,0,1997,5,23,1997/05/23 04:00:00+00
538133,538134,1997143N17111,WP,MM,LEVI,16.8,111.7,15,0,1997,5,23,1997/05/23 04:00:00+00
538134,538135,1997143N17111,WP,MM,LEVI,16.8,112.09,15,0,1997,5,23,1997/05/23 04:00:00+00
538135,538136,1997143N17111,WP,MM,LEVI,16.8,112.5,15,0,1997,5,23,1997/05/23 04:00:00+00
538136,538137,1997143N17111,WP,MM,LEVI,16.8,112.9,15,0,1997,5,23,1997/05/23 04:00:00+00
538137,538138,1997143N17111,WP,MM,LEVI,16.8,113.3,15,0,1997,5,23,1997/05/23 04:00:00+00
538138,538139,1997143N17111,WP,MM,LEVI,16.8,113.7,15,0,1997,5,23,1997/05/23 04:00:00+00
538139,538140,1997143N17111,WP,MM,LEVI,16.8,114.1,15,0,1997,5,24,1997/05/24 04:00:00+00
538140,538141,1997143N17111,WP,MM,LEVI,16.8,114.5,15,0,1997,5,24,1997/05/24 04:00:00+00
538141,538142,1997143N17111,WP,MM,LEVI,16.8,114.9,15,0,1997,5,24,1997/05/24 04:00:00+00
538142,538143,1997143N17111,WP,MM,LEVI,16.8,115.3,15,0,1997,5,24,1997/05/24 04:00:00+00
538143,538144,1997143N17111,WP,MM,LEVI,16.8,115.7,15,0,1997,5,24,1997/05/24 04:00:00+00
538144,538145,1997143N17111,WP,MM,LEVI,16.8,116.11,15,0,1997,5,24,1997/05/24 04:00:00+00
538145,538146,1997143N17111,WP,MM,LEVI,16.8,116.5,15,0,1997,5,24,1997/05/24 04:00:00+00
538146,538147,1997143N17111,WP,MM,LEVI,16.8,116.86,17,0,1997,5,24,1997/05/24 04:00:00+00
538147,538148,1997143N17111,WP,MM,LEVI,16.8,117.2,20,0,1997,5,25,1997/05/25 04:00:00+00
538148,538149,1997143N17111,WP,MM,LEVI,16.8,117.55,20,0,1997,5,25,1997/05/25 04:00:00+00
538149,538150,1997143N17111,WP,MM,LEVI,16.8,117.9,20,0,1997,5,25,1997/05/25 04:00:00+00
538150,538151,1997143N17111,WP,MM,LEVI,16.81,118.25,20,0,1997,5,25,1997/05/25 04:00:00+00
538151,538152,1997143N17111,WP,MM,LEVI,16.8,118.6,20,0,1997,5,25,1997/05/25 04:00:00+00
538152,538153,1997143N17111,WP,MM,LEVI,16.71,118.95,22,0,1997,5,25,1997/05/25 04:00:00+00
538153,538154,1997143N17111,WP,MM,LEVI,16.54,119.04,25,0,1997,5,25,1997/05/25 04:00:00+00
538154,538155,1997143N17111,WP,MM,LEVI,16.47,119.3,25,0,1997,5,25,1997/05/25 04:00:00+00
538155,538156,1997143N17111,WP,MM,LEVI,16.39,119.61,25,0,1997,5,26,1997/05/26 04:00:00+00
538156,538157,1997143N17111,WP,MM,LEVI,16.33,120.15,25,0,1997,5,26,1997/05/26 04:00:00+00
538157,538158,1997143N17111,WP,MM,LEVI,16.3,120.79,25,0,1997,5,26,1997/05/26 04:00:00+00
538158,538159,1997143N17111,WP,MM,LEVI,16.3,121.44,25,0,1997,5,26,1997/05/26 04:00:00+00
538159,538160,1997143N17111,WP,MM,LEVI,16.35,122.1,25,0,1997,5,26,1997/05/26 04:00:00+00
538160,538161,1997143N17111,WP,MM,LEVI,16.48,122.77,25,0,1997,5,26,1997/05/26 04:00:00+00
538161,538162,1997143N17111,WP,MM,LEVI,16.68,123.4,25,0,1997,5,26,1997/05/26 04:00:00+00
538162,538163,1997143N17111,WP,MM,LEVI,16.88,124.0,25,0,1997,5,26,1997/05/26 04:00:00+00
538163,538164,1997143N17111,WP,MM,LEVI,17.12,124.53,25,0,1997,5,27,1997/05/27 04:00:00+00
538164,538165,1997143N17111,WP,MM,LEVI,17.44,124.99,27,0,1997,5,27,1997/05/27 04:00:00+00
538165,538166,1997143N17111,WP,MM,LEVI,17.77,125.38,30,0,1997,5,27,1997/05/27 04:00:00+00
538166,538167,1997143N17111,WP,MM,LEVI,18.06,125.69,32,0,1997,5,27,1997/05/27 04:00:00+00
538167,538168,1997143N17111,WP,MM,LEVI,18.38,125.92,35,0,1997,5,27,1997/05/27 04:00:00+00
538168,538169,1997143N17111,WP,MM,LEVI,18.75,126.11,35,0,1997,5,27,1997/05/27 04:00:00+00
538169,538170,1997143N17111,WP,MM,LEVI,19.18,126.22,35,0,1997,5,27,1997/05/27 04:00:00+00
538170,538171,1997143N17111,WP,MM,LEVI,19.61,126.31,35,0,1997,5,27,1997/05/27 04:00:00+00
538171,538172,1997143N17111,WP,MM,LEVI,20.05,126.38,35,0,1997,5,28,1997/05/28 04:00:00+00
538172,538173,1997143N17111,WP,MM,LEVI,20.49,126.45,37,0,1997,5,28,1997/05/28 04:00:00+00
538173,538174,1997143N17111,WP,MM,LEVI,20.93,126.53,40,0,1997,5,28,1997/05/28 04:00:00+00
538174,538175,1997143N17111,WP,MM,LEVI,21.35,126.61,42,0,1997,5,28,1997/05/28 04:00:00+00
538175,538176,1997143N17111,WP,MM,LEVI,21.8,126.72,45,0,1997,5,28,1997/05/28 04:00:00+00
538176,538177,1997143N17111,WP,MM,LEVI,22.3,126.9,45,0,1997,5,28,1997/05/28 04:00:00+00
538177,538178,1997143N17111,WP,MM,LEVI,22.85,127.08,45,0,1997,5,28,1997/05/28 04:00:00+00
538178,538179,1997143N17111,WP,MM,LEVI,23.45,127.14,45,0,1997,5,28,1997/05/28 04:00:00+00
538179,538180,1997143N17111,WP,MM,LEVI,24.05,127.31,45,0,1997,5,29,1997/05/29 04:00:00+00
538180,538181,1997143N17111,WP,MM,LEVI,24.59,127.8,45,0,1997,5,29,1997/05/29 04:00:00+00
538181,538182,1997143N17111,WP,MM,LEVI,25.11,128.46,45,0,1997,5,29,1997/05/29 04:00:00+00
538182,538183,1997143N17111,WP,MM,LEVI,25.65,129.26,45,0,1997,5,29,1997/05/29 04:00:00+00
538183,538184,1997143N17111,WP,MM,LEVI,26.2,130.13,45,0,1997,5,29,1997/05/29 04:00:00+00
538184,538185,1997143N17111,WP,MM,LEVI,26.79,131.1,45,0,1997,5,29,1997/05/29 04:00:00+00
538185,538186,1997143N17111,WP,MM,LEVI,27.37,132.2,45,0,1997,5,29,1997/05/29 04:00:00+00
538186,538187,1997143N17111,WP,MM,LEVI,27.91,133.42,42,0,1997,5,29,1997/05/29 04:00:00+00
