Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
426634,426635,1981280N20250,EP,MM,LIDIA,19.5,-110.0,30,0,1981,10,6,1981/10/06 04:00:00+00
426635,426636,1981280N20250,EP,MM,LIDIA,19.93,-109.7,37,0,1981,10,6,1981/10/06 04:00:00+00
426636,426637,1981280N20250,EP,MM,LIDIA,20.4,-109.5,45,0,1981,10,7,1981/10/07 04:00:00+00
426637,426638,1981280N20250,EP,MM,LIDIA,20.93,-109.45,45,0,1981,10,7,1981/10/07 04:00:00+00
426638,426639,1981280N20250,EP,MM,LIDIA,21.49,-109.47,45,0,1981,10,7,1981/10/07 04:00:00+00
426639,426640,1981280N20250,EP,MM,LIDIA,22.04,-109.49,42,0,1981,10,7,1981/10/07 04:00:00+00
426640,426641,1981280N20250,EP,MM,LIDIA,22.6,-109.5,40,0,1981,10,7,1981/10/07 04:00:00+00
426641,426642,1981280N20250,EP,MM,LIDIA,23.15,-109.51,37,0,1981,10,7,1981/10/07 04:00:00+00
426642,426643,1981280N20250,EP,MM,LIDIA,23.73,-109.53,35,0,1981,10,7,1981/10/07 04:00:00+00
426643,426644,1981280N20250,EP,MM,LIDIA,24.38,-109.55,35,0,1981,10,7,1981/10/07 04:00:00+00
426644,426645,1981280N20250,EP,MM,LIDIA,25.0,-109.5,35,0,1981,10,8,1981/10/08 04:00:00+00
426645,426646,1981280N20250,EP,MM,LIDIA,25.53,-109.3,35,0,1981,10,8,1981/10/08 04:00:00+00
465736,465737,1987242N13257,EP,MM,LIDIA,12.5,-102.6,25,0,1987,8,29,1987/08/29 04:00:00+00
465737,465738,1987242N13257,EP,MM,LIDIA,12.7,-103.15,27,0,1987,8,29,1987/08/29 04:00:00+00
465738,465739,1987242N13257,EP,MM,LIDIA,12.92,-103.67,30,0,1987,8,29,1987/08/29 04:00:00+00
465739,465740,1987242N13257,EP,MM,LIDIA,13.21,-104.13,32,0,1987,8,29,1987/08/29 04:00:00+00
465740,465741,1987242N13257,EP,MM,LIDIA,13.5,-104.6,35,0,1987,8,30,1987/08/30 04:00:00+00
465741,465742,1987242N13257,EP,MM,LIDIA,13.75,-105.14,37,0,1987,8,30,1987/08/30 04:00:00+00
465742,465743,1987242N13257,EP,MM,LIDIA,14.0,-105.7,40,0,1987,8,30,1987/08/30 04:00:00+00
465743,465744,1987242N13257,EP,MM,LIDIA,14.29,-106.25,42,0,1987,8,30,1987/08/30 04:00:00+00
465744,465745,1987242N13257,EP,MM,LIDIA,14.6,-106.8,45,0,1987,8,30,1987/08/30 04:00:00+00
465745,465746,1987242N13257,EP,MM,LIDIA,14.95,-107.31,45,0,1987,8,30,1987/08/30 04:00:00+00
465746,465747,1987242N13257,EP,MM,LIDIA,15.31,-107.83,45,0,1987,8,30,1987/08/30 04:00:00+00
465747,465748,1987242N13257,EP,MM,LIDIA,15.68,-108.4,45,0,1987,8,30,1987/08/30 04:00:00+00
465748,465749,1987242N13257,EP,MM,LIDIA,16.0,-109.0,45,0,1987,8,31,1987/08/31 04:00:00+00
465749,465750,1987242N13257,EP,MM,LIDIA,16.23,-109.61,50,0,1987,8,31,1987/08/31 04:00:00+00
465750,465751,1987242N13257,EP,MM,LIDIA,16.39,-110.18,55,0,1987,8,31,1987/08/31 04:00:00+00
465751,465752,1987242N13257,EP,MM,LIDIA,16.46,-110.67,55,0,1987,8,31,1987/08/31 04:00:00+00
465752,465753,1987242N13257,EP,MM,LIDIA,16.5,-111.1,55,0,1987,8,31,1987/08/31 04:00:00+00
465753,465754,1987242N13257,EP,MM,LIDIA,16.55,-111.51,55,0,1987,8,31,1987/08/31 04:00:00+00
465754,465755,1987242N13257,EP,MM,LIDIA,16.6,-111.89,55,0,1987,8,31,1987/08/31 04:00:00+00
465755,465756,1987242N13257,EP,MM,LIDIA,16.64,-112.24,57,0,1987,8,31,1987/08/31 04:00:00+00
465756,465757,1987242N13257,EP,MM,LIDIA,16.7,-112.6,60,0,1987,9,1,1987/09/01 04:00:00+00
