Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
505004,505005,1993029S11178,SP,MM,LIN,-11.0,178.1,15,0,1993,1,29,1993/01/29 05:00:00+00
505005,505006,1993029S11178,SP,MM,LIN,-10.99,178.54,15,0,1993,1,29,1993/01/29 05:00:00+00
505006,505007,1993029S11178,SP,MM,LIN,-11.0,179.0,15,0,1993,1,29,1993/01/29 05:00:00+00
505007,505008,1993029S11178,SP,MM,LIN,-11.04,179.49,17,0,1993,1,29,1993/01/29 05:00:00+00
505008,505009,1993029S11178,SP,MM,LIN,-11.1,180.0,20,0,1993,1,29,1993/01/29 05:00:00+00
505009,505010,1993029S11178,SP,MM,LIN,-11.15,180.5,20,0,1993,1,29,1993/01/29 05:00:00+00
505010,505011,1993029S11178,SP,MM,LIN,-11.2,181.0,20,0,1993,1,29,1993/01/29 05:00:00+00
505011,505012,1993029S11178,SP,MM,LIN,-11.25,181.49,20,0,1993,1,29,1993/01/29 05:00:00+00
505012,505013,1993029S11178,SP,MM,LIN,-11.3,182.0,20,0,1993,1,30,1993/01/30 05:00:00+00
505013,505014,1993029S11178,SP,MM,LIN,-11.34,182.55,22,0,1993,1,30,1993/01/30 05:00:00+00
505014,505015,1993029S11178,SP,MM,LIN,-11.4,183.1,25,0,1993,1,30,1993/01/30 05:00:00+00
505015,505016,1993029S11178,SP,MM,LIN,-11.53,183.6,25,0,1993,1,30,1993/01/30 05:00:00+00
505016,505017,1993029S11178,SP,MM,LIN,-11.7,184.1,25,0,1993,1,30,1993/01/30 05:00:00+00
505017,505018,1993029S11178,SP,MM,LIN,-11.88,184.65,27,0,1993,1,30,1993/01/30 05:00:00+00
505018,505019,1993029S11178,SP,MM,LIN,-12.1,185.2,30,0,1993,1,30,1993/01/30 05:00:00+00
505019,505020,1993029S11178,SP,MM,LIN,-12.33,185.72,32,0,1993,1,30,1993/01/30 05:00:00+00
505020,505021,1993029S11178,SP,MM,LIN,-12.59,186.18,35,0,1993,1,31,1993/01/31 05:00:00+00
505021,505022,1993029S11178,SP,MM,LIN,-12.88,186.53,37,0,1993,1,31,1993/01/31 05:00:00+00
505022,505023,1993029S11178,SP,MM,LIN,-13.2,186.89,40,0,1993,1,31,1993/01/31 05:00:00+00
505023,505024,1993029S11178,SP,MM,LIN,-13.52,187.33,45,0,1993,1,31,1993/01/31 05:00:00+00
505024,505025,1993029S11178,SP,MM,LIN,-13.87,187.83,50,0,1993,1,31,1993/01/31 05:00:00+00
505025,505026,1993029S11178,SP,MM,LIN,-14.25,188.34,55,0,1993,1,31,1993/01/31 05:00:00+00
505026,505027,1993029S11178,SP,MM,LIN,-14.67,188.8,60,0,1993,1,31,1993/01/31 05:00:00+00
505027,505028,1993029S11178,SP,MM,LIN,-15.06,189.19,62,0,1993,1,31,1993/01/31 05:00:00+00
505028,505029,1993029S11178,SP,MM,LIN,-15.5,189.5,65,0,1993,2,1,1993/02/01 05:00:00+00
505029,505030,1993029S11178,SP,MM,LIN,-16.02,189.73,67,0,1993,2,1,1993/02/01 05:00:00+00
505030,505031,1993029S11178,SP,MM,LIN,-16.57,189.97,70,0,1993,2,1,1993/02/01 05:00:00+00
505031,505032,1993029S11178,SP,MM,LIN,-17.07,190.3,72,0,1993,2,1,1993/02/01 05:00:00+00
505032,505033,1993029S11178,SP,MM,LIN,-17.53,190.67,75,0,1993,2,1,1993/02/01 05:00:00+00
505033,505034,1993029S11178,SP,MM,LIN,-17.96,191.0,80,0,1993,2,1,1993/02/01 05:00:00+00
505034,505035,1993029S11178,SP,MM,LIN,-18.37,191.33,85,0,1993,2,1,1993/02/01 05:00:00+00
