Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
314022,314023,1966036S15113,SI,WA,LISA,-14.7,112.8,0,0,1966,2,4,1966/02/04 05:00:00+00
314023,314024,1966036S15113,SI,WA,LISA,-14.8,112.78,0,0,1966,2,5,1966/02/05 05:00:00+00
314024,314025,1966036S15113,SI,WA,LISA,-14.91,112.78,0,0,1966,2,5,1966/02/05 05:00:00+00
314025,314026,1966036S15113,SI,WA,LISA,-15.09,112.73,0,0,1966,2,5,1966/02/05 05:00:00+00
314026,314027,1966036S15113,SI,WA,LISA,-15.33,112.7,0,0,1966,2,5,1966/02/05 05:00:00+00
314027,314028,1966036S15113,SI,WA,LISA,-15.53,112.72,0,0,1966,2,5,1966/02/05 05:00:00+00
314028,314029,1966036S15113,SI,WA,LISA,-15.67,112.74,0,0,1966,2,5,1966/02/05 05:00:00+00
314029,314030,1966036S15113,SI,WA,LISA,-15.72,112.77,0,0,1966,2,5,1966/02/05 05:00:00+00
314030,314031,1966036S15113,SI,WA,LISA,-15.94,112.83,0,0,1966,2,5,1966/02/05 05:00:00+00
314031,314032,1966036S15113,SI,WA,LISA,-16.14,112.92,0,0,1966,2,5,1966/02/05 05:00:00+00
314032,314033,1966036S15113,SI,WA,LISA,-16.33,113.01,0,0,1966,2,5,1966/02/05 05:00:00+00
314033,314034,1966036S15113,SI,WA,LISA,-16.43,113.07,0,0,1966,2,5,1966/02/05 05:00:00+00
314034,314035,1966036S15113,SI,WA,LISA,-16.48,113.11,0,0,1966,2,6,1966/02/06 05:00:00+00
314035,314036,1966036S15113,SI,WA,LISA,-16.53,113.14,0,0,1966,2,6,1966/02/06 05:00:00+00
314036,314037,1966036S15113,SI,WA,LISA,-16.64,113.21,0,0,1966,2,6,1966/02/06 05:00:00+00
314037,314038,1966036S15113,SI,WA,LISA,-16.79,113.32,0,0,1966,2,6,1966/02/06 05:00:00+00
314038,314039,1966036S15113,SI,WA,LISA,-16.94,113.43,0,0,1966,2,6,1966/02/06 05:00:00+00
314039,314040,1966036S15113,SI,WA,LISA,-17.03,113.52,0,0,1966,2,6,1966/02/06 05:00:00+00
314040,314041,1966036S15113,SI,WA,LISA,-17.08,113.57,0,0,1966,2,6,1966/02/06 05:00:00+00
314041,314042,1966036S15113,SI,WA,LISA,-17.24,113.76,0,0,1966,2,6,1966/02/06 05:00:00+00
314042,314043,1966036S15113,SI,WA,LISA,-17.38,113.96,0,0,1966,2,6,1966/02/06 05:00:00+00
314043,314044,1966036S15113,SI,WA,LISA,-17.5,114.13,0,0,1966,2,6,1966/02/06 05:00:00+00
314044,314045,1966036S15113,SI,WA,LISA,-17.57,114.23,0,0,1966,2,6,1966/02/06 05:00:00+00
314045,314046,1966036S15113,SI,WA,LISA,-17.6,114.28,0,0,1966,2,7,1966/02/07 05:00:00+00
314046,314047,1966036S15113,SI,WA,LISA,-17.64,114.34,0,0,1966,2,7,1966/02/07 05:00:00+00
314047,314048,1966036S15113,SI,WA,LISA,-17.69,114.44,0,0,1966,2,7,1966/02/07 05:00:00+00
314048,314049,1966036S15113,SI,WA,LISA,-17.76,114.59,0,0,1966,2,7,1966/02/07 05:00:00+00
314049,314050,1966036S15113,SI,WA,LISA,-17.82,114.72,0,0,1966,2,7,1966/02/07 05:00:00+00
314050,314051,1966036S15113,SI,WA,LISA,-17.85,114.81,0,0,1966,2,7,1966/02/07 05:00:00+00
314051,314052,1966036S15113,SI,WA,LISA,-17.87,114.85,0,0,1966,2,7,1966/02/07 05:00:00+00
314052,314053,1966036S15113,SI,WA,LISA,-17.92,114.99,0,0,1966,2,7,1966/02/07 05:00:00+00
314053,314054,1966036S15113,SI,WA,LISA,-17.97,115.12,0,0,1966,2,7,1966/02/07 05:00:00+00
314054,314055,1966036S15113,SI,WA,LISA,-18.01,115.25,0,0,1966,2,7,1966/02/07 05:00:00+00
314055,314056,1966036S15113,SI,WA,LISA,-18.05,115.35,0,0,1966,2,7,1966/02/07 05:00:00+00
314056,314057,1966036S15113,SI,WA,LISA,-18.06,115.4,0,0,1966,2,8,1966/02/08 05:00:00+00
314057,314058,1966036S15113,SI,WA,LISA,-18.08,115.46,0,0,1966,2,8,1966/02/08 05:00:00+00
314058,314059,1966036S15113,SI,WA,LISA,-18.11,115.58,0,0,1966,2,8,1966/02/08 05:00:00+00
314059,314060,1966036S15113,SI,WA,LISA,-18.16,115.77,0,0,1966,2,8,1966/02/08 05:00:00+00
314060,314061,1966036S15113,SI,WA,LISA,-18.23,115.92,0,0,1966,2,8,1966/02/08 05:00:00+00
314061,314062,1966036S15113,SI,WA,LISA,-18.28,116.0,0,0,1966,2,8,1966/02/08 05:00:00+00
314062,314063,1966036S15113,SI,WA,LISA,-18.31,116.05,0,0,1966,2,8,1966/02/08 05:00:00+00
314063,314064,1966036S15113,SI,WA,LISA,-18.38,116.18,0,0,1966,2,8,1966/02/08 05:00:00+00
314064,314065,1966036S15113,SI,WA,LISA,-18.46,116.29,0,0,1966,2,8,1966/02/08 05:00:00+00
314065,314066,1966036S15113,SI,WA,LISA,-18.55,116.37,0,0,1966,2,8,1966/02/08 05:00:00+00
314066,314067,1966036S15113,SI,WA,LISA,-18.63,116.42,0,0,1966,2,8,1966/02/08 05:00:00+00
314067,314068,1966036S15113,SI,WA,LISA,-18.68,116.44,0,0,1966,2,9,1966/02/09 05:00:00+00
314068,314069,1966036S15113,SI,WA,LISA,-18.72,116.46,0,0,1966,2,9,1966/02/09 05:00:00+00
314069,314070,1966036S15113,SI,WA,LISA,-18.83,116.51,0,0,1966,2,9,1966/02/09 05:00:00+00
314070,314071,1966036S15113,SI,WA,LISA,-19.01,116.57,0,0,1966,2,9,1966/02/09 05:00:00+00
314071,314072,1966036S15113,SI,WA,LISA,-19.2,116.58,0,0,1966,2,9,1966/02/09 05:00:00+00
314072,314073,1966036S15113,SI,WA,LISA,-19.33,116.58,0,0,1966,2,9,1966/02/09 05:00:00+00
314073,314074,1966036S15113,SI,WA,LISA,-19.39,116.59,0,0,1966,2,9,1966/02/09 05:00:00+00
314074,314075,1966036S15113,SI,WA,LISA,-19.57,116.59,0,0,1966,2,9,1966/02/09 05:00:00+00
314075,314076,1966036S15113,SI,WA,LISA,-19.73,116.56,0,0,1966,2,9,1966/02/09 05:00:00+00
314076,314077,1966036S15113,SI,WA,LISA,-19.85,116.5,0,0,1966,2,9,1966/02/09 05:00:00+00
314077,314078,1966036S15113,SI,WA,LISA,-19.95,116.42,0,0,1966,2,9,1966/02/09 05:00:00+00
314078,314079,1966036S15113,SI,WA,LISA,-19.93,116.3,0,0,1966,2,10,1966/02/10 05:00:00+00
423375,423376,1981096S14059,SI,MM,LISA,-14.3,58.6,20,0,1981,4,6,1981/04/06 04:00:00+00
