Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
222801,222802,1949243N17145,WP,MM,LISE,16.8,145.48,25,0,1949,8,31,1949/08/31 04:00:00+00
222802,222803,1949243N17145,WP,MM,LISE,16.8,144.99,25,0,1949,8,31,1949/08/31 04:00:00+00
222803,222804,1949243N17145,WP,MM,LISE,16.8,144.5,25,0,1949,8,31,1949/08/31 04:00:00+00
222804,222805,1949243N17145,WP,MM,LISE,16.8,144.0,25,0,1949,8,31,1949/08/31 04:00:00+00
222805,222806,1949243N17145,WP,MM,LISE,16.8,143.52,25,0,1949,8,31,1949/08/31 04:00:00+00
222806,222807,1949243N17145,WP,MM,LISE,16.8,143.07,25,0,1949,8,31,1949/08/31 04:00:00+00
222807,222808,1949243N17145,WP,MM,LISE,16.8,142.62,25,0,1949,8,31,1949/08/31 04:00:00+00
222808,222809,1949243N17145,WP,MM,LISE,16.79,142.16,25,0,1949,8,31,1949/08/31 04:00:00+00
222809,222810,1949243N17145,WP,MM,LISE,16.8,141.68,25,0,1949,9,1,1949/09/01 04:00:00+00
222810,222811,1949243N17145,WP,MM,LISE,16.84,141.14,25,0,1949,9,1,1949/09/01 04:00:00+00
222811,222812,1949243N17145,WP,MM,LISE,16.89,140.6,25,0,1949,9,1,1949/09/01 04:00:00+00
222812,222813,1949243N17145,WP,MM,LISE,16.95,140.09,27,0,1949,9,1,1949/09/01 04:00:00+00
222813,222814,1949243N17145,WP,MM,LISE,17.0,139.62,30,0,1949,9,1,1949/09/01 04:00:00+00
222814,222815,1949243N17145,WP,MM,LISE,17.04,139.17,35,0,1949,9,1,1949/09/01 04:00:00+00
222815,222816,1949243N17145,WP,MM,LISE,17.1,138.73,40,0,1949,9,1,1949/09/01 04:00:00+00
222816,222817,1949243N17145,WP,MM,LISE,17.21,138.3,45,0,1949,9,1,1949/09/01 04:00:00+00
222817,222818,1949243N17145,WP,MM,LISE,17.38,137.88,50,0,1949,9,2,1949/09/02 04:00:00+00
222818,222819,1949243N17145,WP,MM,LISE,17.61,137.42,60,0,1949,9,2,1949/09/02 04:00:00+00
222819,222820,1949243N17145,WP,MM,LISE,17.89,137.02,70,0,1949,9,2,1949/09/02 04:00:00+00
222820,222821,1949243N17145,WP,MM,LISE,18.18,136.7,70,0,1949,9,2,1949/09/02 04:00:00+00
222821,222822,1949243N17145,WP,MM,LISE,18.52,136.56,70,0,1949,9,2,1949/09/02 04:00:00+00
222822,222823,1949243N17145,WP,MM,LISE,18.92,136.64,72,0,1949,9,2,1949/09/02 04:00:00+00
222823,222824,1949243N17145,WP,MM,LISE,19.32,136.85,75,0,1949,9,2,1949/09/02 04:00:00+00
222824,222825,1949243N17145,WP,MM,LISE,19.65,137.04,80,0,1949,9,2,1949/09/02 04:00:00+00
222825,222826,1949243N17145,WP,MM,LISE,19.9,137.27,85,0,1949,9,3,1949/09/03 04:00:00+00
222826,222827,1949243N17145,WP,MM,LISE,20.12,137.5,87,0,1949,9,3,1949/09/03 04:00:00+00
222827,222828,1949243N17145,WP,MM,LISE,20.38,137.81,90,0,1949,9,3,1949/09/03 04:00:00+00
222828,222829,1949243N17145,WP,MM,LISE,20.76,138.22,90,0,1949,9,3,1949/09/03 04:00:00+00
222829,222830,1949243N17145,WP,MM,LISE,21.13,138.7,90,0,1949,9,3,1949/09/03 04:00:00+00
222830,222831,1949243N17145,WP,MM,LISE,21.43,139.15,90,0,1949,9,3,1949/09/03 04:00:00+00
222831,222832,1949243N17145,WP,MM,LISE,21.71,139.57,90,0,1949,9,3,1949/09/03 04:00:00+00
222832,222833,1949243N17145,WP,MM,LISE,22.01,139.94,95,0,1949,9,3,1949/09/03 04:00:00+00
222833,222834,1949243N17145,WP,MM,LISE,22.33,140.27,100,0,1949,9,4,1949/09/04 04:00:00+00
222834,222835,1949243N17145,WP,MM,LISE,22.66,140.58,110,0,1949,9,4,1949/09/04 04:00:00+00
222835,222836,1949243N17145,WP,MM,LISE,23.04,140.92,120,0,1949,9,4,1949/09/04 04:00:00+00
222836,222837,1949243N17145,WP,MM,LISE,23.51,141.39,120,0,1949,9,4,1949/09/04 04:00:00+00
222837,222838,1949243N17145,WP,MM,LISE,24.03,141.87,120,0,1949,9,4,1949/09/04 04:00:00+00
222838,222839,1949243N17145,WP,MM,LISE,24.54,142.25,120,0,1949,9,4,1949/09/04 04:00:00+00
222839,222840,1949243N17145,WP,MM,LISE,25.0,142.58,120,0,1949,9,4,1949/09/04 04:00:00+00
222840,222841,1949243N17145,WP,MM,LISE,25.37,142.8,120,0,1949,9,4,1949/09/04 04:00:00+00
222841,222842,1949243N17145,WP,MM,LISE,25.79,143.02,120,0,1949,9,5,1949/09/05 04:00:00+00
222842,222843,1949243N17145,WP,MM,LISE,26.4,143.4,120,0,1949,9,5,1949/09/05 04:00:00+00
222843,222844,1949243N17145,WP,MM,LISE,27.11,143.88,120,0,1949,9,5,1949/09/05 04:00:00+00
222844,222845,1949243N17145,WP,MM,LISE,27.76,144.34,120,0,1949,9,5,1949/09/05 04:00:00+00
222845,222846,1949243N17145,WP,MM,LISE,28.4,144.8,120,0,1949,9,5,1949/09/05 04:00:00+00
222846,222847,1949243N17145,WP,MM,LISE,29.04,145.22,120,0,1949,9,5,1949/09/05 04:00:00+00
222847,222848,1949243N17145,WP,MM,LISE,29.69,145.68,120,0,1949,9,5,1949/09/05 04:00:00+00
222848,222849,1949243N17145,WP,MM,LISE,30.31,146.24,120,0,1949,9,5,1949/09/05 04:00:00+00
222849,222850,1949243N17145,WP,MM,LISE,30.94,146.82,120,0,1949,9,6,1949/09/06 04:00:00+00
222850,222851,1949243N17145,WP,MM,LISE,31.61,147.31,120,0,1949,9,6,1949/09/06 04:00:00+00
222851,222852,1949243N17145,WP,MM,LISE,32.29,147.81,120,0,1949,9,6,1949/09/06 04:00:00+00
222852,222853,1949243N17145,WP,MM,LISE,33.0,148.44,110,0,1949,9,6,1949/09/06 04:00:00+00
222853,222854,1949243N17145,WP,MM,LISE,33.68,149.1,100,0,1949,9,6,1949/09/06 04:00:00+00
