Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
567825,567826,2001301N27325,,,LORENZO,27.2,-34.9,30,1010,2001,10,27,2001/10/27 04:00:00+00
567826,567827,2001301N27325,,,LORENZO,27.38,-35.49,30,1009,2001,10,27,2001/10/27 04:00:00+00
567827,567828,2001301N27325,,,LORENZO,27.5,-36.1,30,1009,2001,10,27,2001/10/27 04:00:00+00
567828,567829,2001301N27325,,,LORENZO,27.52,-36.74,30,1009,2001,10,27,2001/10/27 04:00:00+00
567829,567830,2001301N27325,,,LORENZO,27.5,-37.4,30,1009,2001,10,28,2001/10/28 04:00:00+00
567830,567831,2001301N27325,,,LORENZO,27.5,-38.06,30,1009,2001,10,28,2001/10/28 04:00:00+00
567831,567832,2001301N27325,,,LORENZO,27.5,-38.7,30,1009,2001,10,28,2001/10/28 04:00:00+00
567832,567833,2001301N27325,,,LORENZO,27.5,-39.26,30,1009,2001,10,28,2001/10/28 04:00:00+00
567833,567834,2001301N27325,,,LORENZO,27.5,-39.8,30,1009,2001,10,28,2001/10/28 04:00:00+00
567834,567835,2001301N27325,,,LORENZO,27.52,-40.46,30,1009,2001,10,28,2001/10/28 04:00:00+00
567835,567836,2001301N27325,,,LORENZO,27.5,-41.0,30,1009,2001,10,28,2001/10/28 04:00:00+00
567836,567837,2001301N27325,,,LORENZO,27.31,-41.2,30,1009,2001,10,28,2001/10/28 04:00:00+00
567837,567838,2001301N27325,,,LORENZO,27.2,-41.3,30,1009,2001,10,29,2001/10/29 04:00:00+00
567838,567839,2001301N27325,,,LORENZO,27.42,-41.56,30,1009,2001,10,29,2001/10/29 04:00:00+00
567839,567840,2001301N27325,,,LORENZO,27.7,-41.9,30,1009,2001,10,29,2001/10/29 04:00:00+00
567840,567841,2001301N27325,,,LORENZO,27.77,-42.27,30,1009,2001,10,29,2001/10/29 04:00:00+00
567841,567842,2001301N27325,,,LORENZO,27.8,-42.7,30,1009,2001,10,29,2001/10/29 04:00:00+00
567842,567843,2001301N27325,,,LORENZO,27.87,-43.19,30,1009,2001,10,29,2001/10/29 04:00:00+00
567843,567844,2001301N27325,,,LORENZO,28.0,-43.7,30,1009,2001,10,29,2001/10/29 04:00:00+00
567844,567845,2001301N27325,,,LORENZO,28.2,-44.16,32,1008,2001,10,29,2001/10/29 04:00:00+00
567845,567846,2001301N27325,,,LORENZO,28.5,-44.6,35,1007,2001,10,30,2001/10/30 04:00:00+00
567846,567847,2001301N27325,,,LORENZO,28.88,-45.11,35,1007,2001,10,30,2001/10/30 04:00:00+00
567847,567848,2001301N27325,,,LORENZO,29.4,-45.5,35,1007,2001,10,30,2001/10/30 04:00:00+00
567848,567849,2001301N27325,,,LORENZO,30.07,-45.59,35,1007,2001,10,30,2001/10/30 04:00:00+00
567849,567850,2001301N27325,,,LORENZO,30.9,-45.6,35,1007,2001,10,30,2001/10/30 04:00:00+00
567850,567851,2001301N27325,,,LORENZO,31.8,-45.89,35,1007,2001,10,30,2001/10/30 04:00:00+00
567851,567852,2001301N27325,,,LORENZO,32.8,-46.0,35,1008,2001,10,30,2001/10/30 04:00:00+00
567852,567853,2001301N27325,,,LORENZO,33.8,-45.61,35,1008,2001,10,30,2001/10/30 04:00:00+00
567853,567854,2001301N27325,,,LORENZO,34.9,-44.9,35,1008,2001,10,31,2001/10/31 04:00:00+00
567854,567855,2001301N27325,,,LORENZO,36.12,-44.04,35,1008,2001,10,31,2001/10/31 04:00:00+00
604386,604387,2007269N22265,,GM,LORENZO,21.8,-94.8,25,1009,2007,9,25,2007/09/25 04:00:00+00
604387,604388,2007269N22265,,GM,LORENZO,21.8,-95.06,25,1008,2007,9,25,2007/09/25 04:00:00+00
604388,604389,2007269N22265,,GM,LORENZO,21.7,-95.2,25,1008,2007,9,26,2007/09/26 04:00:00+00
604389,604390,2007269N22265,,GM,LORENZO,21.46,-95.15,25,1007,2007,9,26,2007/09/26 04:00:00+00
