Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
444696,444697,1984239N16246,EP,MM,LOWELL,15.6,-114.1,25,0,1984,8,26,1984/08/26 04:00:00+00
444697,444698,1984239N16246,EP,MM,LOWELL,15.65,-114.43,25,0,1984,8,26,1984/08/26 04:00:00+00
444698,444699,1984239N16246,EP,MM,LOWELL,15.7,-114.8,25,0,1984,8,26,1984/08/26 04:00:00+00
444699,444700,1984239N16246,EP,MM,LOWELL,15.75,-115.22,30,0,1984,8,26,1984/08/26 04:00:00+00
444700,444701,1984239N16246,EP,MM,LOWELL,15.81,-115.71,35,0,1984,8,26,1984/08/26 04:00:00+00
444701,444702,1984239N16246,EP,MM,LOWELL,15.9,-116.25,35,0,1984,8,26,1984/08/26 04:00:00+00
444702,444703,1984239N16246,EP,MM,LOWELL,16.0,-116.8,35,0,1984,8,27,1984/08/27 04:00:00+00
444703,444704,1984239N16246,EP,MM,LOWELL,16.1,-117.3,37,0,1984,8,27,1984/08/27 04:00:00+00
444704,444705,1984239N16246,EP,MM,LOWELL,16.21,-117.81,40,0,1984,8,27,1984/08/27 04:00:00+00
444705,444706,1984239N16246,EP,MM,LOWELL,16.36,-118.35,47,0,1984,8,27,1984/08/27 04:00:00+00
444706,444707,1984239N16246,EP,MM,LOWELL,16.5,-118.9,55,0,1984,8,27,1984/08/27 04:00:00+00
444707,444708,1984239N16246,EP,MM,LOWELL,16.6,-119.47,60,0,1984,8,27,1984/08/27 04:00:00+00
444708,444709,1984239N16246,EP,MM,LOWELL,16.7,-120.0,65,0,1984,8,27,1984/08/27 04:00:00+00
444709,444710,1984239N16246,EP,MM,LOWELL,16.84,-120.48,65,0,1984,8,27,1984/08/27 04:00:00+00
444710,444711,1984239N16246,EP,MM,LOWELL,17.0,-120.9,65,0,1984,8,28,1984/08/28 04:00:00+00
444711,444712,1984239N16246,EP,MM,LOWELL,17.18,-121.26,67,0,1984,8,28,1984/08/28 04:00:00+00
444712,444713,1984239N16246,EP,MM,LOWELL,17.38,-121.63,70,0,1984,8,28,1984/08/28 04:00:00+00
444713,444714,1984239N16246,EP,MM,LOWELL,17.55,-122.09,72,0,1984,8,28,1984/08/28 04:00:00+00
444714,444715,1984239N16246,EP,MM,LOWELL,17.8,-122.6,75,0,1984,8,28,1984/08/28 04:00:00+00
444715,444716,1984239N16246,EP,MM,LOWELL,18.2,-123.14,70,0,1984,8,28,1984/08/28 04:00:00+00
444716,444717,1984239N16246,EP,MM,LOWELL,18.69,-123.68,65,0,1984,8,28,1984/08/28 04:00:00+00
444717,444718,1984239N16246,EP,MM,LOWELL,19.19,-124.2,65,0,1984,8,28,1984/08/28 04:00:00+00
444718,444719,1984239N16246,EP,MM,LOWELL,19.7,-124.7,65,0,1984,8,29,1984/08/29 04:00:00+00
444719,444720,1984239N16246,EP,MM,LOWELL,20.15,-125.16,60,0,1984,8,29,1984/08/29 04:00:00+00
444720,444721,1984239N16246,EP,MM,LOWELL,20.62,-125.63,55,0,1984,8,29,1984/08/29 04:00:00+00
444721,444722,1984239N16246,EP,MM,LOWELL,21.15,-126.17,52,0,1984,8,29,1984/08/29 04:00:00+00
444722,444723,1984239N16246,EP,MM,LOWELL,21.7,-126.7,50,0,1984,8,29,1984/08/29 04:00:00+00
444723,444724,1984239N16246,EP,MM,LOWELL,22.21,-127.11,45,0,1984,8,29,1984/08/29 04:00:00+00
444724,444725,1984239N16246,EP,MM,LOWELL,22.71,-127.54,40,0,1984,8,29,1984/08/29 04:00:00+00
444725,444726,1984239N16246,EP,MM,LOWELL,23.26,-128.09,35,0,1984,8,29,1984/08/29 04:00:00+00
444726,444727,1984239N16246,EP,MM,LOWELL,23.8,-128.7,30,0,1984,8,30,1984/08/30 04:00:00+00
444727,444728,1984239N16246,EP,MM,LOWELL,24.31,-129.3,27,0,1984,8,30,1984/08/30 04:00:00+00
486260,486261,1990236N14264,EP,MM,LOWELL,14.0,-96.5,20,1011,1990,8,23,1990/08/23 04:00:00+00
486261,486262,1990236N14264,EP,MM,LOWELL,14.04,-97.05,22,1011,1990,8,23,1990/08/23 04:00:00+00
486262,486263,1990236N14264,EP,MM,LOWELL,14.1,-97.6,25,1011,1990,8,24,1990/08/24 04:00:00+00
486263,486264,1990236N14264,EP,MM,LOWELL,14.22,-98.14,25,1011,1990,8,24,1990/08/24 04:00:00+00
486264,486265,1990236N14264,EP,MM,LOWELL,14.4,-98.7,25,1011,1990,8,24,1990/08/24 04:00:00+00
486265,486266,1990236N14264,EP,MM,LOWELL,14.63,-99.28,25,1011,1990,8,24,1990/08/24 04:00:00+00
486266,486267,1990236N14264,EP,MM,LOWELL,14.9,-99.9,25,1011,1990,8,24,1990/08/24 04:00:00+00
486267,486268,1990236N14264,EP,MM,LOWELL,15.15,-100.59,25,1010,1990,8,24,1990/08/24 04:00:00+00
486268,486269,1990236N14264,EP,MM,LOWELL,15.4,-101.3,25,1010,1990,8,24,1990/08/24 04:00:00+00
486269,486270,1990236N14264,EP,MM,LOWELL,15.66,-101.97,27,1010,1990,8,24,1990/08/24 04:00:00+00
486270,486271,1990236N14264,EP,MM,LOWELL,15.9,-102.6,30,1010,1990,8,25,1990/08/25 04:00:00+00
486271,486272,1990236N14264,EP,MM,LOWELL,16.08,-103.16,30,1009,1990,8,25,1990/08/25 04:00:00+00
486272,486273,1990236N14264,EP,MM,LOWELL,16.3,-103.7,30,1009,1990,8,25,1990/08/25 04:00:00+00
486273,486274,1990236N14264,EP,MM,LOWELL,16.63,-104.28,30,1008,1990,8,25,1990/08/25 04:00:00+00
486274,486275,1990236N14264,EP,MM,LOWELL,17.0,-104.9,30,1007,1990,8,25,1990/08/25 04:00:00+00
486275,486276,1990236N14264,EP,MM,LOWELL,17.36,-105.55,32,1006,1990,8,25,1990/08/25 04:00:00+00
486276,486277,1990236N14264,EP,MM,LOWELL,17.7,-106.2,35,1005,1990,8,25,1990/08/25 04:00:00+00
486277,486278,1990236N14264,EP,MM,LOWELL,18.02,-106.81,37,1003,1990,8,25,1990/08/25 04:00:00+00
486278,486279,1990236N14264,EP,MM,LOWELL,18.3,-107.4,40,1002,1990,8,26,1990/08/26 04:00:00+00
486279,486280,1990236N14264,EP,MM,LOWELL,18.52,-107.97,42,1000,1990,8,26,1990/08/26 04:00:00+00
486280,486281,1990236N14264,EP,MM,LOWELL,18.7,-108.5,45,999,1990,8,26,1990/08/26 04:00:00+00
486281,486282,1990236N14264,EP,MM,LOWELL,18.86,-109.01,47,997,1990,8,26,1990/08/26 04:00:00+00
486282,486283,1990236N14264,EP,MM,LOWELL,19.0,-109.5,50,996,1990,8,26,1990/08/26 04:00:00+00
486283,486284,1990236N14264,EP,MM,LOWELL,19.16,-110.0,52,994,1990,8,26,1990/08/26 04:00:00+00
486284,486285,1990236N14264,EP,MM,LOWELL,19.3,-110.5,55,992,1990,8,26,1990/08/26 04:00:00+00
486285,486286,1990236N14264,EP,MM,LOWELL,19.36,-111.0,57,990,1990,8,26,1990/08/26 04:00:00+00
486286,486287,1990236N14264,EP,MM,LOWELL,19.4,-111.5,60,989,1990,8,27,1990/08/27 04:00:00+00
486287,486288,1990236N14264,EP,MM,LOWELL,19.46,-111.99,62,988,1990,8,27,1990/08/27 04:00:00+00
486288,486289,1990236N14264,EP,MM,LOWELL,19.5,-112.5,65,987,1990,8,27,1990/08/27 04:00:00+00
486289,486290,1990236N14264,EP,MM,LOWELL,19.51,-113.03,65,987,1990,8,27,1990/08/27 04:00:00+00
486290,486291,1990236N14264,EP,MM,LOWELL,19.5,-113.6,65,987,1990,8,27,1990/08/27 04:00:00+00
486291,486292,1990236N14264,EP,MM,LOWELL,19.47,-114.23,65,987,1990,8,27,1990/08/27 04:00:00+00
486292,486293,1990236N14264,EP,MM,LOWELL,19.4,-114.9,65,987,1990,8,27,1990/08/27 04:00:00+00
486293,486294,1990236N14264,EP,MM,LOWELL,19.27,-115.55,65,986,1990,8,27,1990/08/27 04:00:00+00
486294,486295,1990236N14264,EP,MM,LOWELL,19.1,-116.2,65,986,1990,8,28,1990/08/28 04:00:00+00
486295,486296,1990236N14264,EP,MM,LOWELL,18.89,-116.86,65,986,1990,8,28,1990/08/28 04:00:00+00
486296,486297,1990236N14264,EP,MM,LOWELL,18.7,-117.5,65,987,1990,8,28,1990/08/28 04:00:00+00
486297,486298,1990236N14264,EP,MM,LOWELL,18.59,-118.11,65,987,1990,8,28,1990/08/28 04:00:00+00
486298,486299,1990236N14264,EP,MM,LOWELL,18.5,-118.7,65,987,1990,8,28,1990/08/28 04:00:00+00
486299,486300,1990236N14264,EP,MM,LOWELL,18.35,-119.27,62,987,1990,8,28,1990/08/28 04:00:00+00
486300,486301,1990236N14264,EP,MM,LOWELL,18.2,-119.8,60,988,1990,8,28,1990/08/28 04:00:00+00
486301,486302,1990236N14264,EP,MM,LOWELL,18.08,-120.27,60,989,1990,8,28,1990/08/28 04:00:00+00
486302,486303,1990236N14264,EP,MM,LOWELL,18.0,-120.7,60,991,1990,8,29,1990/08/29 04:00:00+00
486303,486304,1990236N14264,EP,MM,LOWELL,17.93,-121.15,57,992,1990,8,29,1990/08/29 04:00:00+00
