Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
671469,671470,2018279N11069,NI,AS,LUBAN,11.2,68.9,20,1004,2018,10,5,2018/10/05 04:00:00+00
671470,671471,2018279N11069,NI,AS,LUBAN,11.08,68.39,20,1005,2018,10,5,2018/10/05 04:00:00+00
671471,671472,2018279N11069,NI,AS,LUBAN,11.0,67.9,20,1007,2018,10,6,2018/10/06 04:00:00+00
671472,671473,2018279N11069,NI,AS,LUBAN,10.98,67.46,22,1006,2018,10,6,2018/10/06 04:00:00+00
671473,671474,2018279N11069,NI,AS,LUBAN,11.0,67.1,25,1006,2018,10,6,2018/10/06 04:00:00+00
671474,671475,2018279N11069,NI,AS,LUBAN,11.03,66.9,25,1005,2018,10,6,2018/10/06 04:00:00+00
671475,671476,2018279N11069,NI,AS,LUBAN,11.1,66.77,25,1004,2018,10,6,2018/10/06 04:00:00+00
671476,671477,2018279N11069,NI,AS,LUBAN,11.21,66.59,25,1004,2018,10,6,2018/10/06 04:00:00+00
671477,671478,2018279N11069,NI,AS,LUBAN,11.35,66.4,25,1004,2018,10,6,2018/10/06 04:00:00+00
671478,671479,2018279N11069,NI,AS,LUBAN,11.45,66.19,25,1003,2018,10,6,2018/10/06 04:00:00+00
671479,671480,2018279N11069,NI,AS,LUBAN,11.55,65.95,25,1003,2018,10,7,2018/10/07 04:00:00+00
671480,671481,2018279N11069,NI,AS,LUBAN,11.67,65.65,25,1003,2018,10,7,2018/10/07 04:00:00+00
671481,671482,2018279N11069,NI,AS,LUBAN,11.75,65.3,25,1004,2018,10,7,2018/10/07 04:00:00+00
671482,671483,2018279N11069,NI,AS,LUBAN,11.84,64.78,27,1002,2018,10,7,2018/10/07 04:00:00+00
671483,671484,2018279N11069,NI,AS,LUBAN,11.95,64.3,30,1000,2018,10,7,2018/10/07 04:00:00+00
671484,671485,2018279N11069,NI,AS,LUBAN,11.99,63.87,32,998,2018,10,7,2018/10/07 04:00:00+00
671485,671486,2018279N11069,NI,AS,LUBAN,12.0,63.45,35,996,2018,10,7,2018/10/07 04:00:00+00
671486,671487,2018279N11069,NI,AS,LUBAN,12.02,62.96,37,994,2018,10,7,2018/10/07 04:00:00+00
671487,671488,2018279N11069,NI,AS,LUBAN,12.05,62.5,40,993,2018,10,8,2018/10/08 04:00:00+00
671488,671489,2018279N11069,NI,AS,LUBAN,12.11,62.11,42,991,2018,10,8,2018/10/08 04:00:00+00
671489,671490,2018279N11069,NI,AS,LUBAN,12.15,61.85,45,989,2018,10,8,2018/10/08 04:00:00+00
671490,671491,2018279N11069,NI,AS,LUBAN,12.27,61.61,47,987,2018,10,8,2018/10/08 04:00:00+00
671491,671492,2018279N11069,NI,AS,LUBAN,12.35,61.3,50,985,2018,10,8,2018/10/08 04:00:00+00
671492,671493,2018279N11069,NI,AS,LUBAN,12.45,61.1,52,983,2018,10,8,2018/10/08 04:00:00+00
671493,671494,2018279N11069,NI,AS,LUBAN,12.55,60.85,55,982,2018,10,8,2018/10/08 04:00:00+00
671494,671495,2018279N11069,NI,AS,LUBAN,12.68,60.59,55,982,2018,10,8,2018/10/08 04:00:00+00
671495,671496,2018279N11069,NI,AS,LUBAN,12.8,60.5,55,982,2018,10,9,2018/10/09 04:00:00+00
671496,671497,2018279N11069,NI,AS,LUBAN,12.9,60.39,57,980,2018,10,9,2018/10/09 04:00:00+00
671497,671498,2018279N11069,NI,AS,LUBAN,13.0,60.35,60,978,2018,10,9,2018/10/09 04:00:00+00
671498,671499,2018279N11069,NI,AS,LUBAN,13.09,60.26,60,978,2018,10,9,2018/10/09 04:00:00+00
671499,671500,2018279N11069,NI,AS,LUBAN,13.2,60.05,60,978,2018,10,9,2018/10/09 04:00:00+00
671500,671501,2018279N11069,NI,AS,LUBAN,13.4,59.81,62,976,2018,10,9,2018/10/09 04:00:00+00
671501,671502,2018279N11069,NI,AS,LUBAN,13.6,59.55,65,974,2018,10,9,2018/10/09 04:00:00+00
671502,671503,2018279N11069,NI,AS,LUBAN,13.71,59.31,67,972,2018,10,9,2018/10/09 04:00:00+00
671503,671504,2018279N11069,NI,AS,LUBAN,14.0,59.15,70,970,2018,10,10,2018/10/10 04:00:00+00
671504,671505,2018279N11069,NI,AS,LUBAN,14.07,59.07,72,968,2018,10,10,2018/10/10 04:00:00+00
671505,671506,2018279N11069,NI,AS,LUBAN,14.2,58.95,75,967,2018,10,10,2018/10/10 04:00:00+00
671506,671507,2018279N11069,NI,AS,LUBAN,14.36,58.75,80,968,2018,10,10,2018/10/10 04:00:00+00
671507,671508,2018279N11069,NI,AS,LUBAN,14.4,58.6,85,969,2018,10,10,2018/10/10 04:00:00+00
671508,671509,2018279N11069,NI,AS,LUBAN,14.46,58.49,85,964,2018,10,10,2018/10/10 04:00:00+00
671509,671510,2018279N11069,NI,AS,LUBAN,14.5,58.4,85,959,2018,10,10,2018/10/10 04:00:00+00
671510,671511,2018279N11069,NI,AS,LUBAN,14.5,58.35,80,967,2018,10,10,2018/10/10 04:00:00+00
671511,671512,2018279N11069,NI,AS,LUBAN,14.55,58.15,75,975,2018,10,11,2018/10/11 04:00:00+00
671512,671513,2018279N11069,NI,AS,LUBAN,14.45,58.05,72,978,2018,10,11,2018/10/11 04:00:00+00
671513,671514,2018279N11069,NI,AS,LUBAN,14.45,57.9,70,982,2018,10,11,2018/10/11 04:00:00+00
671514,671515,2018279N11069,NI,AS,LUBAN,14.47,57.87,65,980,2018,10,11,2018/10/11 04:00:00+00
671515,671516,2018279N11069,NI,AS,LUBAN,14.5,57.8,60,978,2018,10,11,2018/10/11 04:00:00+00
671516,671517,2018279N11069,NI,AS,LUBAN,14.53,57.78,55,981,2018,10,11,2018/10/11 04:00:00+00
671517,671518,2018279N11069,NI,AS,LUBAN,14.6,57.7,50,985,2018,10,11,2018/10/11 04:00:00+00
671518,671519,2018279N11069,NI,AS,LUBAN,14.65,57.65,47,987,2018,10,11,2018/10/11 04:00:00+00
671519,671520,2018279N11069,NI,AS,LUBAN,14.65,57.6,45,989,2018,10,12,2018/10/12 04:00:00+00
671520,671521,2018279N11069,NI,AS,LUBAN,14.65,57.46,42,991,2018,10,12,2018/10/12 04:00:00+00
671521,671522,2018279N11069,NI,AS,LUBAN,14.65,57.35,40,993,2018,10,12,2018/10/12 04:00:00+00
671522,671523,2018279N11069,NI,AS,LUBAN,14.65,57.19,40,993,2018,10,12,2018/10/12 04:00:00+00
671523,671524,2018279N11069,NI,AS,LUBAN,14.65,57.0,40,993,2018,10,12,2018/10/12 04:00:00+00
671524,671525,2018279N11069,NI,AS,LUBAN,14.68,56.78,40,993,2018,10,12,2018/10/12 04:00:00+00
671525,671526,2018279N11069,NI,AS,LUBAN,14.75,56.5,40,993,2018,10,12,2018/10/12 04:00:00+00
671526,671527,2018279N11069,NI,AS,LUBAN,14.75,56.2,40,993,2018,10,12,2018/10/12 04:00:00+00
671527,671528,2018279N11069,NI,AS,LUBAN,14.75,55.9,40,993,2018,10,13,2018/10/13 04:00:00+00
671528,671529,2018279N11069,NI,AS,LUBAN,14.77,55.58,40,993,2018,10,13,2018/10/13 04:00:00+00
671529,671530,2018279N11069,NI,AS,LUBAN,14.85,55.25,40,993,2018,10,13,2018/10/13 04:00:00+00
671530,671531,2018279N11069,NI,AS,LUBAN,14.87,54.89,40,993,2018,10,13,2018/10/13 04:00:00+00
671531,671532,2018279N11069,NI,AS,LUBAN,14.9,54.5,40,993,2018,10,13,2018/10/13 04:00:00+00
671532,671533,2018279N11069,NI,AS,LUBAN,14.94,54.08,40,993,2018,10,13,2018/10/13 04:00:00+00
671533,671534,2018279N11069,NI,AS,LUBAN,15.05,53.7,40,993,2018,10,13,2018/10/13 04:00:00+00
671534,671535,2018279N11069,NI,AS,LUBAN,15.2,53.26,37,997,2018,10,13,2018/10/13 04:00:00+00
671535,671536,2018279N11069,NI,AS,LUBAN,15.4,52.8,35,1002,2018,10,14,2018/10/14 04:00:00+00
671536,671537,2018279N11069,NI,AS,LUBAN,15.62,52.49,35,999,2018,10,14,2018/10/14 04:00:00+00
671537,671538,2018279N11069,NI,AS,LUBAN,15.85,52.15,35,996,2018,10,14,2018/10/14 04:00:00+00
671538,671539,2018279N11069,NI,AS,LUBAN,15.95,51.8,32,998,2018,10,14,2018/10/14 04:00:00+00
671539,671540,2018279N11069,NI,AS,LUBAN,16.03,51.37,30,1000,2018,10,14,2018/10/14 04:00:00+00
671540,671541,2018279N11069,NI,AS,LUBAN,16.15,51.09,27,1002,2018,10,14,2018/10/14 04:00:00+00
