Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
276610,276611,1960146N08131,WP,MM,LUCILLE,8.4,131.3,15,0,1960,5,25,1960/05/25 04:00:00+00
276611,276612,1960146N08131,WP,MM,LUCILLE,8.54,131.0,15,0,1960,5,25,1960/05/25 04:00:00+00
276612,276613,1960146N08131,WP,MM,LUCILLE,8.7,130.7,15,0,1960,5,25,1960/05/25 04:00:00+00
276613,276614,1960146N08131,WP,MM,LUCILLE,8.89,130.4,15,0,1960,5,25,1960/05/25 04:00:00+00
276614,276615,1960146N08131,WP,MM,LUCILLE,9.1,130.09,15,0,1960,5,25,1960/05/25 04:00:00+00
276615,276616,1960146N08131,WP,MM,LUCILLE,9.29,129.74,15,0,1960,5,25,1960/05/25 04:00:00+00
276616,276617,1960146N08131,WP,MM,LUCILLE,9.5,129.4,15,0,1960,5,26,1960/05/26 04:00:00+00
276617,276618,1960146N08131,WP,MM,LUCILLE,9.74,129.09,15,0,1960,5,26,1960/05/26 04:00:00+00
276618,276619,1960146N08131,WP,MM,LUCILLE,10.16,128.69,15,0,1960,5,26,1960/05/26 04:00:00+00
276619,276620,1960146N08131,WP,MM,LUCILLE,10.51,128.23,15,0,1960,5,26,1960/05/26 04:00:00+00
276620,276621,1960146N08131,WP,MM,LUCILLE,10.62,127.97,15,0,1960,5,26,1960/05/26 04:00:00+00
276621,276622,1960146N08131,WP,MM,LUCILLE,10.79,127.77,15,0,1960,5,26,1960/05/26 04:00:00+00
276622,276623,1960146N08131,WP,MM,LUCILLE,11.12,127.43,15,0,1960,5,26,1960/05/26 04:00:00+00
276623,276624,1960146N08131,WP,MM,LUCILLE,11.5,127.11,15,0,1960,5,26,1960/05/26 04:00:00+00
276624,276625,1960146N08131,WP,MM,LUCILLE,11.9,126.7,15,0,1960,5,27,1960/05/27 04:00:00+00
276625,276626,1960146N08131,WP,MM,LUCILLE,12.26,126.11,15,0,1960,5,27,1960/05/27 04:00:00+00
276626,276627,1960146N08131,WP,MM,LUCILLE,12.73,125.05,15,0,1960,5,27,1960/05/27 04:00:00+00
276627,276628,1960146N08131,WP,MM,LUCILLE,13.17,124.09,15,0,1960,5,27,1960/05/27 04:00:00+00
276628,276629,1960146N08131,WP,MM,LUCILLE,13.55,123.26,15,0,1960,5,27,1960/05/27 04:00:00+00
276629,276630,1960146N08131,WP,MM,LUCILLE,13.86,122.63,15,0,1960,5,27,1960/05/27 04:00:00+00
276630,276631,1960146N08131,WP,MM,LUCILLE,14.22,122.11,15,0,1960,5,27,1960/05/27 04:00:00+00
276631,276632,1960146N08131,WP,MM,LUCILLE,14.58,121.66,17,0,1960,5,27,1960/05/27 04:00:00+00
276632,276633,1960146N08131,WP,MM,LUCILLE,15.02,121.36,20,0,1960,5,28,1960/05/28 04:00:00+00
276633,276634,1960146N08131,WP,MM,LUCILLE,15.6,121.18,20,0,1960,5,28,1960/05/28 04:00:00+00
276634,276635,1960146N08131,WP,MM,LUCILLE,16.17,121.13,20,0,1960,5,28,1960/05/28 04:00:00+00
