Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
493510,493511,1991256N14148,WP,MM,LUKE,14.4,147.8,20,0,1991,9,13,1991/09/13 04:00:00+00
493511,493512,1991256N14148,WP,MM,LUKE,14.66,147.27,22,0,1991,9,13,1991/09/13 04:00:00+00
493512,493513,1991256N14148,WP,MM,LUKE,14.9,146.7,25,0,1991,9,13,1991/09/13 04:00:00+00
493513,493514,1991256N14148,WP,MM,LUKE,15.11,146.06,25,0,1991,9,13,1991/09/13 04:00:00+00
493514,493515,1991256N14148,WP,MM,LUKE,15.3,145.4,25,0,1991,9,13,1991/09/13 04:00:00+00
493515,493516,1991256N14148,WP,MM,LUKE,15.5,144.74,25,0,1991,9,13,1991/09/13 04:00:00+00
493516,493517,1991256N14148,WP,MM,LUKE,15.47,144.23,25,0,1991,9,14,1991/09/14 04:00:00+00
493517,493518,1991256N14148,WP,MM,LUKE,15.7,143.65,25,0,1991,9,14,1991/09/14 04:00:00+00
493518,493519,1991256N14148,WP,MM,LUKE,15.95,143.06,25,0,1991,9,14,1991/09/14 04:00:00+00
493519,493520,1991256N14148,WP,MM,LUKE,16.18,142.58,25,0,1991,9,14,1991/09/14 04:00:00+00
493520,493521,1991256N14148,WP,MM,LUKE,16.38,142.08,25,0,1991,9,14,1991/09/14 04:00:00+00
493521,493522,1991256N14148,WP,MM,LUKE,16.58,141.46,27,0,1991,9,14,1991/09/14 04:00:00+00
493522,493523,1991256N14148,WP,MM,LUKE,16.8,140.82,30,0,1991,9,14,1991/09/14 04:00:00+00
493523,493524,1991256N14148,WP,MM,LUKE,17.08,140.22,30,0,1991,9,14,1991/09/14 04:00:00+00
493524,493525,1991256N14148,WP,MM,LUKE,17.38,139.62,30,0,1991,9,15,1991/09/15 04:00:00+00
493525,493526,1991256N14148,WP,MM,LUKE,17.62,139.03,32,0,1991,9,15,1991/09/15 04:00:00+00
493526,493527,1991256N14148,WP,MM,LUKE,17.85,138.43,35,0,1991,9,15,1991/09/15 04:00:00+00
493527,493528,1991256N14148,WP,MM,LUKE,18.11,137.79,35,0,1991,9,15,1991/09/15 04:00:00+00
493528,493529,1991256N14148,WP,MM,LUKE,18.38,137.2,35,0,1991,9,15,1991/09/15 04:00:00+00
493529,493530,1991256N14148,WP,MM,LUKE,18.59,136.72,37,0,1991,9,15,1991/09/15 04:00:00+00
493530,493531,1991256N14148,WP,MM,LUKE,18.85,136.25,40,0,1991,9,15,1991/09/15 04:00:00+00
493531,493532,1991256N14148,WP,MM,LUKE,19.2,135.65,40,0,1991,9,15,1991/09/15 04:00:00+00
493532,493533,1991256N14148,WP,MM,LUKE,19.65,135.03,40,0,1991,9,16,1991/09/16 04:00:00+00
493533,493534,1991256N14148,WP,MM,LUKE,20.25,134.44,42,0,1991,9,16,1991/09/16 04:00:00+00
493534,493535,1991256N14148,WP,MM,LUKE,20.82,133.88,45,0,1991,9,16,1991/09/16 04:00:00+00
493535,493536,1991256N14148,WP,MM,LUKE,21.19,133.33,45,0,1991,9,16,1991/09/16 04:00:00+00
493536,493537,1991256N14148,WP,MM,LUKE,21.48,132.85,45,0,1991,9,16,1991/09/16 04:00:00+00
493537,493538,1991256N14148,WP,MM,LUKE,21.78,132.45,45,0,1991,9,16,1991/09/16 04:00:00+00
493538,493539,1991256N14148,WP,MM,LUKE,22.07,132.12,45,0,1991,9,16,1991/09/16 04:00:00+00
493539,493540,1991256N14148,WP,MM,LUKE,22.38,131.82,45,0,1991,9,16,1991/09/16 04:00:00+00
493540,493541,1991256N14148,WP,MM,LUKE,22.65,131.55,45,0,1991,9,17,1991/09/17 04:00:00+00
493541,493542,1991256N14148,WP,MM,LUKE,22.87,131.32,47,0,1991,9,17,1991/09/17 04:00:00+00
493542,493543,1991256N14148,WP,MM,LUKE,23.07,131.07,50,0,1991,9,17,1991/09/17 04:00:00+00
493543,493544,1991256N14148,WP,MM,LUKE,23.24,130.77,50,0,1991,9,17,1991/09/17 04:00:00+00
493544,493545,1991256N14148,WP,MM,LUKE,23.45,130.45,50,0,1991,9,17,1991/09/17 04:00:00+00
493545,493546,1991256N14148,WP,MM,LUKE,23.8,130.22,50,0,1991,9,17,1991/09/17 04:00:00+00
493546,493547,1991256N14148,WP,MM,LUKE,24.35,130.2,50,0,1991,9,17,1991/09/17 04:00:00+00
493547,493548,1991256N14148,WP,MM,LUKE,24.98,130.29,50,0,1991,9,17,1991/09/17 04:00:00+00
493548,493549,1991256N14148,WP,MM,LUKE,25.62,130.43,50,0,1991,9,18,1991/09/18 04:00:00+00
493549,493550,1991256N14148,WP,MM,LUKE,26.23,130.46,50,0,1991,9,18,1991/09/18 04:00:00+00
493550,493551,1991256N14148,WP,MM,LUKE,26.7,130.65,50,0,1991,9,18,1991/09/18 04:00:00+00
493551,493552,1991256N14148,WP,MM,LUKE,27.06,131.14,50,0,1991,9,18,1991/09/18 04:00:00+00
493552,493553,1991256N14148,WP,MM,LUKE,27.32,131.82,50,0,1991,9,18,1991/09/18 04:00:00+00
493553,493554,1991256N14148,WP,MM,LUKE,27.57,132.52,47,0,1991,9,18,1991/09/18 04:00:00+00
493554,493555,1991256N14148,WP,MM,LUKE,27.85,133.43,45,0,1991,9,18,1991/09/18 04:00:00+00
493555,493556,1991256N14148,WP,MM,LUKE,28.2,134.71,45,0,1991,9,18,1991/09/18 04:00:00+00
493556,493557,1991256N14148,WP,MM,LUKE,28.86,136.09,45,0,1991,9,19,1991/09/19 04:00:00+00
493557,493558,1991256N14148,WP,MM,LUKE,29.97,137.36,45,0,1991,9,19,1991/09/19 04:00:00+00
