Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
368596,368597,1973063S12071,SI,MM,LYDIE,-11.6,71.1,0,0,1973,3,4,1973/03/04 05:00:00+00
368597,368598,1973063S12071,SI,MM,LYDIE,-11.75,70.99,0,0,1973,3,4,1973/03/04 05:00:00+00
368598,368599,1973063S12071,SI,MM,LYDIE,-11.9,70.88,0,0,1973,3,4,1973/03/04 05:00:00+00
368599,368600,1973063S12071,SI,MM,LYDIE,-12.05,70.77,0,0,1973,3,4,1973/03/04 05:00:00+00
368600,368601,1973063S12071,SI,MM,LYDIE,-12.2,70.7,0,0,1973,3,4,1973/03/04 05:00:00+00
368601,368602,1973063S12071,SI,MM,LYDIE,-12.35,70.67,0,0,1973,3,4,1973/03/04 05:00:00+00
368602,368603,1973063S12071,SI,MM,LYDIE,-12.51,70.65,0,0,1973,3,5,1973/03/05 05:00:00+00
368603,368604,1973063S12071,SI,MM,LYDIE,-12.66,70.6,0,0,1973,3,5,1973/03/05 05:00:00+00
368604,368605,1973063S12071,SI,MM,LYDIE,-12.77,70.43,0,0,1973,3,5,1973/03/05 05:00:00+00
368605,368606,1973063S12071,SI,MM,LYDIE,-12.77,69.9,0,0,1973,3,5,1973/03/05 05:00:00+00
368606,368607,1973063S12071,SI,MM,LYDIE,-12.72,69.18,0,0,1973,3,5,1973/03/05 05:00:00+00
368607,368608,1973063S12071,SI,MM,LYDIE,-12.69,68.36,0,0,1973,3,5,1973/03/05 05:00:00+00
368608,368609,1973063S12071,SI,MM,LYDIE,-12.74,67.5,0,0,1973,3,5,1973/03/05 05:00:00+00
368609,368610,1973063S12071,SI,MM,LYDIE,-12.79,66.64,0,0,1973,3,5,1973/03/05 05:00:00+00
368610,368611,1973063S12071,SI,MM,LYDIE,-12.87,65.75,0,0,1973,3,6,1973/03/06 05:00:00+00
368611,368612,1973063S12071,SI,MM,LYDIE,-13.0,64.86,0,0,1973,3,6,1973/03/06 05:00:00+00
368612,368613,1973063S12071,SI,MM,LYDIE,-13.16,64.0,0,0,1973,3,6,1973/03/06 05:00:00+00
368613,368614,1973063S12071,SI,MM,LYDIE,-13.3,63.2,0,0,1973,3,6,1973/03/06 05:00:00+00
368614,368615,1973063S12071,SI,MM,LYDIE,-13.44,62.43,0,0,1973,3,6,1973/03/06 05:00:00+00
368615,368616,1973063S12071,SI,MM,LYDIE,-13.54,61.63,0,0,1973,3,6,1973/03/06 05:00:00+00
368616,368617,1973063S12071,SI,MM,LYDIE,-13.68,60.88,0,0,1973,3,6,1973/03/06 05:00:00+00
368617,368618,1973063S12071,SI,MM,LYDIE,-13.92,60.22,0,0,1973,3,6,1973/03/06 05:00:00+00
368618,368619,1973063S12071,SI,MM,LYDIE,-14.2,59.6,0,0,1973,3,7,1973/03/07 05:00:00+00
368619,368620,1973063S12071,SI,MM,LYDIE,-14.5,58.98,0,0,1973,3,7,1973/03/07 05:00:00+00
368620,368621,1973063S12071,SI,MM,LYDIE,-14.76,58.4,0,0,1973,3,7,1973/03/07 05:00:00+00
368621,368622,1973063S12071,SI,MM,LYDIE,-14.89,57.89,0,0,1973,3,7,1973/03/07 05:00:00+00
368622,368623,1973063S12071,SI,MM,LYDIE,-14.97,57.42,0,0,1973,3,7,1973/03/07 05:00:00+00
368623,368624,1973063S12071,SI,MM,LYDIE,-15.07,56.96,0,0,1973,3,7,1973/03/07 05:00:00+00
368624,368625,1973063S12071,SI,MM,LYDIE,-15.18,56.52,0,0,1973,3,7,1973/03/07 05:00:00+00
368625,368626,1973063S12071,SI,MM,LYDIE,-15.34,56.07,0,0,1973,3,7,1973/03/07 05:00:00+00
368626,368627,1973063S12071,SI,MM,LYDIE,-15.52,55.63,0,0,1973,3,8,1973/03/08 05:00:00+00
368627,368628,1973063S12071,SI,MM,LYDIE,-15.69,55.2,0,0,1973,3,8,1973/03/08 05:00:00+00
368628,368629,1973063S12071,SI,MM,LYDIE,-15.86,54.82,0,0,1973,3,8,1973/03/08 05:00:00+00
368629,368630,1973063S12071,SI,MM,LYDIE,-16.0,54.5,0,0,1973,3,8,1973/03/08 05:00:00+00
368630,368631,1973063S12071,SI,MM,LYDIE,-16.17,54.25,0,0,1973,3,8,1973/03/08 05:00:00+00
368631,368632,1973063S12071,SI,MM,LYDIE,-16.44,54.06,0,0,1973,3,8,1973/03/08 05:00:00+00
368632,368633,1973063S12071,SI,MM,LYDIE,-16.72,53.9,0,0,1973,3,8,1973/03/08 05:00:00+00
